# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: -40C
# W = 2.0 um
# L = 2 um (2000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.414973e+01    1.493203e+02    4.706929e-05    4.741091e+04    5.395935e-09    5.479725e-13    2.266731e-09    2.706592e-10    3.500000e-01    6.057081e-01    2.954599e-02
    3.413980e+01    1.490108e+02    6.622755e-05    6.476856e+04    5.555915e-09    6.058730e-13    2.486921e-09    2.928391e-10    3.600000e-01    6.057081e-01    2.954968e-02
    3.409826e+01    1.486516e+02    9.315935e-05    8.827697e+04    5.727055e-09    6.696330e-13    2.720437e-09    3.160546e-10    3.700000e-01    6.057081e-01    2.955488e-02
    3.402867e+01    1.482371e+02    1.309701e-04    1.200419e+05    5.908870e-09    7.397435e-13    2.966647e-09    3.402240e-10    3.800000e-01    6.057081e-01    2.956218e-02
    3.393291e+01    1.477615e+02    1.839747e-04    1.628615e+05    6.100715e-09    8.167185e-13    3.224700e-09    3.652482e-10    3.900000e-01    6.057081e-01    2.957240e-02
    3.381158e+01    1.472198e+02    2.581502e-04    2.204426e+05    6.301770e-09    9.010965e-13    3.493545e-09    3.910120e-10    4.000000e-01    6.057081e-01    2.958669e-02
    3.366444e+01    1.466088e+02    3.617465e-04    2.976757e+05    6.511070e-09    9.934370e-13    3.771934e-09    4.173865e-10    4.100000e-01    6.057081e-01    2.960663e-02
    3.349069e+01    1.459266e+02    5.061040e-04    4.009869e+05    6.727500e-09    1.094323e-12    4.058460e-09    4.442312e-10    4.200000e-01    6.057081e-01    2.963438e-02
    3.328940e+01    1.451756e+02    7.067420e-04    5.387810e+05    6.949840e-09    1.204359e-12    4.351574e-09    4.713974e-10    4.300000e-01    6.057081e-01    2.967286e-02
    3.305961e+01    1.443631e+02    9.847960e-04    7.219966e+05    7.176770e-09    1.324172e-12    4.649626e-09    4.987313e-10    4.400000e-01    6.057081e-01    2.972606e-02
