# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: -40C
# W = 2.0 um
# L = 3.5 um (3500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.320485e+01    1.895652e+02    3.802454e-05    2.115629e+04    9.498305e-09    1.117243e-12    4.107307e-09    5.054615e-10    3.400000e-01    5.925313e-01    3.047317e-02
    3.319816e+01    1.891228e+02    5.299930e-05    2.863917e+04    9.777860e-09    1.233496e-12    4.492905e-09    5.452325e-10    3.500000e-01    5.925313e-01    3.047848e-02
    3.315629e+01    1.886146e+02    7.385310e-05    3.867989e+04    1.007557e-08    1.361349e-12    4.900114e-09    5.866910e-10    3.600000e-01    5.925313e-01    3.048587e-02
    3.308356e+01    1.880343e+02    1.028531e-04    5.212094e+04    1.039053e-08    1.501768e-12    5.327715e-09    6.296845e-10    3.700000e-01    5.925313e-01    3.049615e-02
    3.298248e+01    1.873768e+02    1.431159e-04    7.007039e+04    1.072153e-08    1.655773e-12    5.774155e-09    6.740315e-10    3.800000e-01    5.925313e-01    3.051040e-02
    3.285428e+01    1.866384e+02    1.989117e-04    9.398029e+04    1.106715e-08    1.824433e-12    6.237575e-09    7.195275e-10    3.900000e-01    5.925313e-01    3.053012e-02
    3.269936e+01    1.858182e+02    2.760691e-04    1.257462e+05    1.142569e-08    2.008870e-12    6.715820e-09    7.659470e-10    4.000000e-01    5.925313e-01    3.055737e-02
    3.251763e+01    1.849196e+02    3.825116e-04    1.678321e+05    1.179529e-08    2.210257e-12    7.206510e-09    8.130490e-10    4.100000e-01    5.925313e-01    3.059488e-02
    3.230887e+01    1.839522e+02    5.289605e-04    2.234269e+05    1.217390e-08    2.429821e-12    7.707055e-09    8.605800e-10    4.200000e-01    5.925313e-01    3.064636e-02
    3.207301e+01    1.829336e+02    7.298550e-04    2.966393e+05    1.255937e-08    2.668846e-12    8.214740e-09    9.082830e-10    4.300000e-01    5.925313e-01    3.071672e-02
