# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: 25C
# W = 2.0 um
# L = 4.5 um (4500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.600210e+01    2.082459e+02    4.490536e-05    1.531810e+04    1.213170e-08    1.797414e-12    5.060960e-09    6.710145e-10    2.400000e-01    5.204114e-01    3.885442e-02
    2.599117e+01    2.078685e+02    5.823795e-05    1.944064e+04    1.239200e-08    1.946319e-12    5.438815e-09    7.121660e-10    2.500000e-01    5.204114e-01    3.886206e-02
    2.596449e+01    2.074512e+02    7.551475e-05    2.463479e+04    1.266727e-08    2.107358e-12    5.834310e-09    7.547465e-10    2.600000e-01    5.204114e-01    3.887195e-02
    2.592365e+01    2.069922e+02    9.788370e-05    3.116879e+04    1.295707e-08    2.281417e-12    6.246855e-09    7.986675e-10    2.700000e-01    5.204114e-01    3.888475e-02
    2.586971e+01    2.064905e+02    1.268186e-04    3.937526e+04    1.326084e-08    2.469432e-12    6.675710e-09    8.438270e-10    2.800000e-01    5.204114e-01    3.890129e-02
    2.580337e+01    2.059462e+02    1.642079e-04    4.966583e+04    1.357791e-08    2.672397e-12    7.119960e-09    8.901095e-10    2.900000e-01    5.204114e-01    3.892265e-02
    2.572507e+01    2.053606e+02    2.124667e-04    6.254899e+04    1.390744e-08    2.891357e-12    7.578540e-09    9.373865e-10    3.000000e-01    5.204114e-01    3.895019e-02
    2.563511e+01    2.047374e+02    2.746770e-04    7.865165e+04    1.424852e-08    3.127420e-12    8.050240e-09    9.855195e-10    3.100000e-01    5.204114e-01    3.898563e-02
    2.553369e+01    2.040830e+02    3.547627e-04    9.874515e+04    1.460010e-08    3.381753e-12    8.533710e-09    1.034360e-09    3.200000e-01    5.204114e-01    3.903117e-02
    2.542097e+01    2.034066e+02    4.577082e-04    1.237768e+05    1.496104e-08    3.655589e-12    9.027490e-09    1.083752e-09    3.300000e-01    5.204114e-01    3.908957e-02
    2.529728e+01    2.027224e+02    5.898285e-04    1.549082e+05    1.533011e-08    3.950227e-12    9.530020e-09    1.133534e-09    3.400000e-01    5.204114e-01    3.916428e-02
    2.516306e+01    2.020495e+02    7.591065e-04    1.935618e+05    1.570604e-08    4.267042e-12    1.003966e-08    1.183540e-09    3.500000e-01    5.204114e-01    3.925961e-02
    2.501896e+01    2.014135e+02    9.756075e-04    2.414777e+05    1.608746e-08    4.607482e-12    1.055471e-08    1.233604e-09    3.600000e-01    5.204114e-01    3.938093e-02
    2.486597e+01    2.008469e+02    1.251993e-03    3.007839e+05    1.647301e-08    4.973075e-12    1.107344e-08    1.283561e-09    3.700000e-01    5.204114e-01    3.953482e-02
    2.470535e+01    2.003907e+02    1.604158e-03    3.740822e+05    1.686130e-08    5.365435e-12    1.159410e-08    1.333247e-09    3.800000e-01    5.204114e-01    3.972932e-02
    2.453866e+01    2.000948e+02    2.052017e-03    4.645571e+05    1.725094e-08    5.786275e-12    1.211498e-08    1.382505e-09    3.900000e-01    5.204114e-01    3.997419e-02
    2.436774e+01    2.000183e+02    2.620482e-03    5.761077e+05    1.764057e-08    6.237390e-12    1.263437e-08    1.431185e-09    4.000000e-01    5.204114e-01    4.028115e-02
    2.419457e+01    2.002294e+02    3.340668e-03    7.135147e+05    1.802886e-08    6.720695e-12    1.315063e-08    1.479146e-09    4.100000e-01    5.204114e-01    4.066408e-02
    2.402102e+01    2.008037e+02    4.251399e-03    8.826387e+05    1.841453e-08    7.238200e-12    1.366220e-08    1.526255e-09    4.200000e-01    5.204114e-01    4.113928e-02
    2.384868e+01    2.018230e+02    5.401060e-03    1.090661e+06    1.879637e-08    7.792055e-12    1.416761e-08    1.572391e-09    4.300000e-01    5.204114e-01    4.172561e-02
    2.367840e+01    2.033707e+02    6.849865e-03    1.346352e+06    1.917325e-08    8.384520e-12    1.466548e-08    1.617448e-09    4.400000e-01    5.204114e-01    4.244454e-02
    2.350990e+01    2.055283e+02    8.672605e-03    1.660367e+06    1.954413e-08    9.018000e-12    1.515454e-08    1.661330e-09    4.500000e-01    5.204114e-01    4.332013e-02
    2.334138e+01    2.083681e+02    1.096192e-02    2.045522e+06    1.990806e-08    9.695045e-12    1.563369e-08    1.703955e-09    4.600000e-01    5.204114e-01    4.437882e-02
    2.316920e+01    2.119463e+02    1.383200e-02    2.517021e+06    2.026421e-08    1.041837e-11    1.610190e-08    1.745254e-09    4.700000e-01    5.204114e-01    4.564905e-02
    2.298777e+01    2.162955e+02    1.742282e-02    3.092570e+06    2.061180e-08    1.119086e-11    1.655830e-08    1.785173e-09    4.800000e-01    5.204114e-01    4.716063e-02
    2.278967e+01    2.214170e+02    2.190435e-02    3.792276e+06    2.095022e-08    1.201557e-11    1.700216e-08    1.823670e-09    4.900000e-01    5.204114e-01    4.894403e-02
    2.256612e+01    2.272741e+02    2.748084e-02    4.638286e+06    2.127892e-08    1.289579e-11    1.743287e-08    1.860715e-09    5.000000e-01    5.204114e-01    5.102931e-02
    2.230773e+01    2.337874e+02    3.439432e-02    5.654045e+06    2.159747e-08    1.383498e-11    1.784995e-08    1.896290e-09    5.100000e-01    5.204114e-01    5.344504e-02
    2.200553e+01    2.408345e+02    4.292685e-02    6.863207e+06    2.190554e-08    1.483686e-11    1.825304e-08    1.930388e-09    5.200000e-01    5.204114e-01    5.621705e-02
    2.165193e+01    2.482516e+02    5.340105e-02    8.288152e+06    2.220286e-08    1.590540e-11    1.864190e-08    1.963012e-09    5.300000e-01    5.204114e-01    5.936726e-02
    2.124171e+01    2.558403e+02    6.617795e-02    9.948254e+06    2.248930e-08    1.704482e-11    1.901639e-08    1.994176e-09    5.400000e-01    5.204114e-01    6.291258e-02
    2.077259e+01    2.633781e+02    8.165210e-02    1.185810e+07    2.276477e-08    1.825967e-11    1.937646e-08    2.023898e-09    5.500000e-01    5.204114e-01    6.686396e-02
    2.024553e+01    2.706308e+02    1.002438e-01    1.402577e+07    2.302925e-08    1.955477e-11    1.972216e-08    2.052207e-09    5.600000e-01    5.204114e-01    7.122586e-02
    1.966456e+01    2.773668e+02    1.223883e-01    1.645160e+07    2.328283e-08    2.093532e-11    2.005365e-08    2.079135e-09    5.700000e-01    5.204114e-01    7.599594e-02
    1.903638e+01    2.833720e+02    1.485229e-01    1.912744e+07    2.352561e-08    2.240686e-11    2.037109e-08    2.104723e-09    5.800000e-01    5.204114e-01    8.116518e-02
    1.836960e+01    2.884612e+02    1.790737e-01    2.203666e+07    2.375777e-08    2.397534e-11    2.067476e-08    2.129012e-09    5.900000e-01    5.204114e-01    8.671833e-02
    1.767405e+01    2.924882e+02    2.144411e-01    2.515497e+07    2.397952e-08    2.564715e-11    2.096496e-08    2.152050e-09    6.000000e-01    5.204114e-01    9.263466e-02
    1.695995e+01    2.953514e+02    2.549880e-01    2.845173e+07    2.419110e-08    2.742914e-11    2.124205e-08    2.173887e-09    6.100000e-01    5.204114e-01    9.888899e-02
    1.623731e+01    2.969957e+02    3.010287e-01    3.189188e+07    2.439283e-08    2.932864e-11    2.150643e-08    2.194571e-09    6.200000e-01    5.204114e-01    1.054527e-01
    1.551541e+01    2.974106e+02    3.528225e-01    3.543804e+07    2.458498e-08    3.135357e-11    2.175850e-08    2.214157e-09    6.300000e-01    5.204114e-01    1.122952e-01
    1.480244e+01    2.966255e+02    4.105689e-01    3.905261e+07    2.476791e-08    3.351242e-11    2.199871e-08    2.232697e-09    6.400000e-01    5.204114e-01    1.193845e-01
    1.410534e+01    2.947034e+02    4.744076e-01    4.269972e+07    2.494195e-08    3.581429e-11    2.222751e-08    2.250246e-09    6.500000e-01    5.204114e-01    1.266889e-01
    1.342969e+01    2.917322e+02    5.444205e-01    4.634662e+07    2.510745e-08    3.826903e-11    2.244537e-08    2.266855e-09    6.600000e-01    5.204114e-01    1.341775e-01
    1.277977e+01    2.878177e+02    6.206370e-01    4.996495e+07    2.526478e-08    4.088719e-11    2.265274e-08    2.282578e-09    6.700000e-01    5.204114e-01    1.418207e-01
    1.215866e+01    2.830755e+02    7.030400e-01    5.353128e+07    2.541431e-08    4.368016e-11    2.285011e-08    2.297466e-09    6.800000e-01    5.204114e-01    1.495913e-01
    1.156835e+01    2.776248e+02    7.915735e-01    5.702735e+07    2.555640e-08    4.666021e-11    2.303794e-08    2.311569e-09    6.900000e-01    5.204114e-01    1.574644e-01
    1.100992e+01    2.715825e+02    8.861505e-01    6.043991e+07    2.569141e-08    4.984054e-11    2.321668e-08    2.324938e-09    7.000000e-01    5.204114e-01    1.654178e-01
    1.048367e+01    2.650597e+02    9.866625e-01    6.376034e+07    2.581971e-08    5.323540e-11    2.338679e-08    2.337620e-09    7.100000e-01    5.204114e-01    1.734320e-01
    9.989309e+00    2.581589e+02    1.092984e+00    6.698414e+07    2.594164e-08    5.686020e-11    2.354870e-08    2.349660e-09    7.200000e-01    5.204114e-01    1.814899e-01
    9.526088e+00    2.509719e+02    1.204980e+00    7.011015e+07    2.605756e-08    6.073150e-11    2.370285e-08    2.361104e-09    7.300000e-01    5.204114e-01    1.895773e-01
    9.092893e+00    2.435792e+02    1.322513e+00    7.314002e+07    2.616779e-08    6.486725e-11    2.384964e-08    2.371995e-09    7.400000e-01    5.204114e-01    1.976821e-01
    8.688368e+00    2.360500e+02    1.445444e+00    7.607734e+07    2.627267e-08    6.928670e-11    2.398947e-08    2.382373e-09    7.500000e-01    5.204114e-01    2.057944e-01
    8.311005e+00    2.284431e+02    1.573640e+00    7.892738e+07    2.637251e-08    7.401080e-11    2.412273e-08    2.392278e-09    7.600000e-01    5.204114e-01    2.139063e-01
    7.959206e+00    2.208066e+02    1.706973e+00    8.169618e+07    2.646762e-08    7.906210e-11    2.424978e-08    2.401748e-09    7.700000e-01    5.204114e-01    2.220113e-01
    7.631333e+00    2.131800e+02    1.845325e+00    8.439042e+07    2.655829e-08    8.446505e-11    2.437097e-08    2.410819e-09    7.800000e-01    5.204114e-01    2.301048e-01
    7.325755e+00    2.055946e+02    1.988584e+00    8.701692e+07    2.664481e-08    9.024595e-11    2.448663e-08    2.419525e-09    7.900000e-01    5.204114e-01    2.381831e-01
    7.040879e+00    1.980751e+02    2.136650e+00    8.958243e+07    2.672746e-08    9.643330e-11    2.459708e-08    2.427899e-09    8.000000e-01    5.204114e-01    2.462437e-01
    6.775169e+00    1.906409e+02    2.289433e+00    9.209336e+07    2.680649e-08    1.030580e-10    2.470261e-08    2.435974e-09    8.100000e-01    5.204114e-01    2.542847e-01
    6.527162e+00    1.833061e+02    2.446851e+00    9.455574e+07    2.688216e-08    1.101533e-10    2.480351e-08    2.443778e-09    8.200000e-01    5.204114e-01    2.623054e-01
    6.295475e+00    1.760815e+02    2.608830e+00    9.697502e+07    2.695471e-08    1.177554e-10    2.490004e-08    2.451341e-09    8.300000e-01    5.204114e-01    2.703053e-01
    6.078817e+00    1.689747e+02    2.775307e+00    9.935611e+07    2.702437e-08    1.259032e-10    2.499245e-08    2.458692e-09    8.400000e-01    5.204114e-01    2.782844e-01
    5.875976e+00    1.619915e+02    2.946223e+00    1.017033e+08    2.709137e-08    1.346389e-10    2.508099e-08    2.465856e-09    8.500000e-01    5.204114e-01    2.862433e-01
    5.685841e+00    1.551357e+02    3.121530e+00    1.040202e+08    2.715593e-08    1.440082e-10    2.516587e-08    2.472859e-09    8.600000e-01    5.204114e-01    2.941825e-01
    5.507375e+00    1.484100e+02    3.301180e+00    1.063100e+08    2.721824e-08    1.540605e-10    2.524728e-08    2.479728e-09    8.700000e-01    5.204114e-01    3.021030e-01
    5.339630e+00    1.418166e+02    3.485133e+00    1.085750e+08    2.727852e-08    1.648490e-10    2.532544e-08    2.486484e-09    8.800000e-01    5.204114e-01    3.100059e-01
    5.181736e+00    1.353571e+02    3.673355e+00    1.108175e+08    2.733695e-08    1.764315e-10    2.540051e-08    2.493152e-09    8.900000e-01    5.204114e-01    3.178923e-01
    5.032891e+00    1.290329e+02    3.865810e+00    1.130387e+08    2.739372e-08    1.888703e-10    2.547266e-08    2.499754e-09    9.000000e-01    5.204114e-01    3.257633e-01
    4.892365e+00    1.228457e+02    4.062469e+00    1.152398e+08    2.744901e-08    2.022326e-10    2.554205e-08    2.506313e-09    9.100000e-01    5.204114e-01    3.336203e-01
    4.759490e+00    1.167970e+02    4.263302e+00    1.174212e+08    2.750300e-08    2.165910e-10    2.560881e-08    2.512851e-09    9.200000e-01    5.204114e-01    3.414644e-01
    4.633654e+00    1.108887e+02    4.468282e+00    1.195833e+08    2.755586e-08    2.320240e-10    2.567308e-08    2.519389e-09    9.300000e-01    5.204114e-01    3.492969e-01
    4.514299e+00    1.051232e+02    4.677383e+00    1.217257e+08    2.760775e-08    2.486158e-10    2.573497e-08    2.525948e-09    9.400000e-01    5.204114e-01    3.571189e-01
    4.400917e+00    9.950281e+01    4.890575e+00    1.238480e+08    2.765886e-08    2.664573e-10    2.579459e-08    2.532551e-09    9.500000e-01    5.204114e-01    3.649316e-01
    4.293039e+00    9.403061e+01    5.107835e+00    1.259493e+08    2.770933e-08    2.856461e-10    2.585204e-08    2.539217e-09    9.600000e-01    5.204114e-01    3.727361e-01
    4.190242e+00    8.870967e+01    5.329130e+00    1.280285e+08    2.775933e-08    3.062870e-10    2.590740e-08    2.545967e-09    9.700000e-01    5.204114e-01    3.805334e-01
    4.092137e+00    8.354346e+01    5.554430e+00    1.300841e+08    2.780902e-08    3.284927e-10    2.596075e-08    2.552822e-09    9.800000e-01    5.204114e-01    3.883245e-01
    3.998364e+00    7.853556e+01    5.783705e+00    1.321144e+08    2.785855e-08    3.523834e-10    2.601217e-08    2.559805e-09    9.900000e-01    5.204114e-01    3.961104e-01
    3.908592e+00    7.368969e+01    6.016925e+00    1.341174e+08    2.790809e-08    3.780875e-10    2.606170e-08    2.566935e-09    1.000000e+00    5.204114e-01    4.038918e-01
    3.822522e+00    6.900967e+01    6.254050e+00    1.360908e+08    2.795779e-08    4.057422e-10    2.610938e-08    2.574235e-09    1.010000e+00    5.204114e-01    4.116698e-01
    3.739878e+00    6.449922e+01    6.495035e+00    1.380321e+08    2.800781e-08    4.354931e-10    2.615528e-08    2.581723e-09    1.020000e+00    5.204114e-01    4.194449e-01
    3.660396e+00    6.016190e+01    6.739845e+00    1.399383e+08    2.805831e-08    4.674945e-10    2.619942e-08    2.589425e-09    1.030000e+00    5.204114e-01    4.272179e-01
    3.583841e+00    5.600111e+01    6.988430e+00    1.418065e+08    2.810945e-08    5.019095e-10    2.624181e-08    2.597360e-09    1.040000e+00    5.204114e-01    4.349895e-01
    3.509990e+00    5.201981e+01    7.240735e+00    1.436332e+08    2.816139e-08    5.389105e-10    2.628247e-08    2.605549e-09    1.050000e+00    5.204114e-01    4.427604e-01
    3.438633e+00    4.822063e+01    7.496710e+00    1.454145e+08    2.821428e-08    5.786765e-10    2.632140e-08    2.614016e-09    1.060000e+00    5.204114e-01    4.505309e-01
    3.369579e+00    4.460562e+01    7.756285e+00    1.471464e+08    2.826831e-08    6.213965e-10    2.635860e-08    2.622782e-09    1.070000e+00    5.204114e-01    4.583018e-01
    3.302643e+00    4.117621e+01    8.019395e+00    1.488246e+08    2.832361e-08    6.672650e-10    2.639406e-08    2.631867e-09    1.080000e+00    5.204114e-01    4.660735e-01
    3.237657e+00    3.793319e+01    8.285960e+00    1.504443e+08    2.838037e-08    7.164835e-10    2.642778e-08    2.641294e-09    1.090000e+00    5.204114e-01    4.738464e-01
    3.174454e+00    3.487655e+01    8.555905e+00    1.520005e+08    2.843872e-08    7.692595e-10    2.645970e-08    2.651085e-09    1.100000e+00    5.204114e-01    4.816209e-01
    3.112883e+00    3.200542e+01    8.829135e+00    1.534878e+08    2.849884e-08    8.258030e-10    2.648981e-08    2.661257e-09    1.110000e+00    5.204114e-01    4.893976e-01
    3.052798e+00    2.931811e+01    9.105555e+00    1.549006e+08    2.856087e-08    8.863255e-10    2.651806e-08    2.671834e-09    1.120000e+00    5.204114e-01    4.971766e-01
    2.994067e+00    2.681196e+01    9.385045e+00    1.562331e+08    2.862497e-08    9.510405e-10    2.654441e-08    2.682831e-09    1.130000e+00    5.204114e-01    5.049585e-01
    2.936559e+00    2.448344e+01    9.667500e+00    1.574792e+08    2.869128e-08    1.020157e-09    2.656882e-08    2.694268e-09    1.140000e+00    5.204114e-01    5.127434e-01
    2.880158e+00    2.232810e+01    9.952785e+00    1.586329e+08    2.875993e-08    1.093879e-09    2.659123e-08    2.706159e-09    1.150000e+00    5.204114e-01    5.205316e-01
    2.824754e+00    2.034056e+01    1.024076e+01    1.596881e+08    2.883106e-08    1.172403e-09    2.661157e-08    2.718521e-09    1.160000e+00    5.204114e-01    5.283236e-01
    2.770251e+00    1.851465e+01    1.053129e+01    1.606391e+08    2.890477e-08    1.255914e-09    2.662981e-08    2.731365e-09    1.170000e+00    5.204114e-01    5.361194e-01
    2.716566e+00    1.684341e+01    1.082420e+01    1.614805e+08    2.898117e-08    1.344579e-09    2.664586e-08    2.744701e-09    1.180000e+00    5.204114e-01    5.439194e-01
    2.663622e+00    1.531922e+01    1.111933e+01    1.622072e+08    2.906035e-08    1.438553e-09    2.665969e-08    2.758537e-09    1.190000e+00    5.204114e-01    5.517237e-01
    2.611366e+00    1.393390e+01    1.141649e+01    1.628155e+08    2.914237e-08    1.537959e-09    2.667122e-08    2.772879e-09    1.200000e+00    5.204114e-01    5.595327e-01
    2.559754e+00    1.267884e+01    1.171551e+01    1.633019e+08    2.922729e-08    1.642904e-09    2.668042e-08    2.787727e-09    1.210000e+00    5.204114e-01    5.673465e-01
    2.508762e+00    1.154515e+01    1.201620e+01    1.636647e+08    2.931511e-08    1.753456e-09    2.668723e-08    2.803083e-09    1.220000e+00    5.204114e-01    5.751652e-01
    2.458375e+00    1.052379e+01    1.231837e+01    1.639031e+08    2.940587e-08    1.869657e-09    2.669161e-08    2.818940e-09    1.230000e+00    5.204114e-01    5.829891e-01
    2.408601e+00    9.605731e+00    1.262180e+01    1.640179e+08    2.949953e-08    1.991510e-09    2.669352e-08    2.835293e-09    1.240000e+00    5.204114e-01    5.908184e-01
    2.359457e+00    8.782077e+00    1.292632e+01    1.640111e+08    2.959604e-08    2.118980e-09    2.669295e-08    2.852130e-09    1.250000e+00    5.204114e-01    5.986532e-01
