# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: 25C
# W = 2.0 um
# L = 6 um (6000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.618932e+01    2.483213e+02    3.542591e-05    9.082753e+03    1.625728e-08    2.407510e-12    6.871565e-09    9.070100e-10    2.400000e-01    5.170979e-01    3.822842e-02
    2.618662e+01    2.478476e+02    4.603214e-05    1.154780e+04    1.661353e-08    2.608641e-12    7.387250e-09    9.630680e-10    2.500000e-01    5.170979e-01    3.823661e-02
    2.616496e+01    2.473245e+02    5.980640e-05    1.465863e+04    1.699004e-08    2.826261e-12    7.926890e-09    1.021066e-09    2.600000e-01    5.170979e-01    3.824724e-02
    2.612649e+01    2.467499e+02    7.767885e-05    1.857800e+04    1.738622e-08    3.061576e-12    8.489640e-09    1.080879e-09    2.700000e-01    5.170979e-01    3.826101e-02
    2.607277e+01    2.461230e+02    1.008457e-04    2.350795e+04    1.780123e-08    3.315863e-12    9.074415e-09    1.142362e-09    2.800000e-01    5.170979e-01    3.827886e-02
    2.600488e+01    2.454445e+02    1.308421e-04    2.969876e+04    1.823409e-08    3.590471e-12    9.679910e-09    1.205354e-09    2.900000e-01    5.170979e-01    3.830195e-02
    2.592352e+01    2.447173e+02    1.696342e-04    3.745984e+04    1.868364e-08    3.886823e-12    1.030461e-08    1.269673e-09    3.000000e-01    5.170979e-01    3.833176e-02
    2.582923e+01    2.439470e+02    2.197342e-04    4.717300e+04    1.914854e-08    4.206421e-12    1.094677e-08    1.335126e-09    3.100000e-01    5.170979e-01    3.837020e-02
    2.572238e+01    2.431428e+02    2.843446e-04    5.930821e+04    1.962734e-08    4.550855e-12    1.160454e-08    1.401504e-09    3.200000e-01    5.170979e-01    3.841968e-02
    2.560337e+01    2.423190e+02    3.675376e-04    7.444321e+04    2.011842e-08    4.921794e-12    1.227582e-08    1.468590e-09    3.300000e-01    5.170979e-01    3.848320e-02
    2.547267e+01    2.414956e+02    4.744781e-04    9.328690e+04    2.062007e-08    5.321005e-12    1.295844e-08    1.536159e-09    3.400000e-01    5.170979e-01    3.856457e-02
    2.533094e+01    2.406993e+02    6.117000e-04    1.167079e+05    2.113049e-08    5.750350e-12    1.365011e-08    1.603983e-09    3.500000e-01    5.170979e-01    3.866852e-02
    2.517901e+01    2.399658e+02    7.874500e-04    1.457699e+05    2.164781e-08    6.211790e-12    1.434848e-08    1.671830e-09    3.600000e-01    5.170979e-01    3.880091e-02
    2.501808e+01    2.393404e+02    1.012110e-03    1.817747e+05    2.217013e-08    6.707400e-12    1.505115e-08    1.739475e-09    3.700000e-01    5.170979e-01    3.896892e-02
    2.484964e+01    2.388790e+02    1.298723e-03    2.263165e+05    2.269554e-08    7.239370e-12    1.575572e-08    1.806693e-09    3.800000e-01    5.170979e-01    3.918136e-02
    2.467546e+01    2.386489e+02    1.663645e-03    2.813482e+05    2.322212e-08    7.810005e-12    1.645982e-08    1.873269e-09    3.900000e-01    5.170979e-01    3.944882e-02
    2.449754e+01    2.387296e+02    2.127352e-03    3.492647e+05    2.374802e-08    8.421750e-12    1.716113e-08    1.939000e-09    4.000000e-01    5.170979e-01    3.978399e-02
    2.431794e+01    2.392109e+02    2.715446e-03    4.330047e+05    2.427144e-08    9.077185e-12    1.785743e-08    2.003693e-09    4.100000e-01    5.170979e-01    4.020185e-02
    2.413850e+01    2.401920e+02    3.459893e-03    5.361734e+05    2.479064e-08    9.779045e-12    1.854660e-08    2.067171e-09    4.200000e-01    5.170979e-01    4.071988e-02
    2.396052e+01    2.417778e+02    4.400557e-03    6.631853e+05    2.530400e-08    1.053022e-11    1.922666e-08    2.129274e-09    4.300000e-01    5.170979e-01    4.135817e-02
    2.378438e+01    2.440736e+02    5.587065e-03    8.194216e+05    2.581002e-08    1.133378e-11    1.989577e-08    2.189858e-09    4.400000e-01    5.170979e-01    4.213943e-02
    2.360906e+01    2.471790e+02    7.081045e-03    1.011393e+06    2.630730e-08    1.219296e-11    2.055227e-08    2.248797e-09    4.500000e-01    5.170979e-01    4.308884e-02
