# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: -40C
# W = 2.0 um
# L = 3 um (3000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.456324e+01    1.843122e+02    3.848716e-05    2.784148e+04    7.604280e-09    8.029520e-13    3.220523e-09    4.181389e-10    4.000000e-01    6.468880e-01    2.896817e-02
    3.454339e+01    1.838063e+02    5.437445e-05    3.820750e+04    7.824045e-09    8.881525e-13    3.527094e-09    4.519157e-10    4.100000e-01    6.468880e-01    2.897366e-02
    3.448253e+01    1.832216e+02    7.678860e-05    5.229730e+04    8.058175e-09    9.819215e-13    3.851092e-09    4.871615e-10    4.200000e-01    6.468880e-01    2.898141e-02
    3.438529e+01    1.825499e+02    1.083562e-04    7.139399e+04    8.305865e-09    1.084967e-12    4.191454e-09    5.237370e-10    4.300000e-01    6.468880e-01    2.899232e-02
    3.425414e+01    1.817845e+02    1.527265e-04    9.719971e+04    8.566090e-09    1.198030e-12    4.546827e-09    5.614760e-10    4.400000e-01    6.468880e-01    2.900764e-02
    3.409007e+01    1.809202e+02    2.149482e-04    1.319616e+05    8.837600e-09    1.321884e-12    4.915580e-09    6.001920e-10    4.500000e-01    6.468880e-01    2.902911e-02
    3.389319e+01    1.799560e+02    3.019741e-04    1.786312e+05    9.118950e-09    1.457334e-12    5.295840e-09    6.396770e-10    4.600000e-01    6.468880e-01    2.905908e-02
    3.366309e+01    1.788956e+02    4.233294e-04    2.410632e+05    9.408525e-09    1.605215e-12    5.685525e-09    6.797100e-10    4.700000e-01    6.468880e-01    2.910078e-02
    3.339935e+01    1.777503e+02    5.919905e-04    3.242624e+05    9.704570e-09    1.766397e-12    6.082395e-09    7.200595e-10    4.800000e-01    6.468880e-01    2.915856e-02
    3.310193e+01    1.765417e+02    8.255295e-04    4.346880e+05    1.000526e-08    1.941776e-12    6.484115e-09    7.604905e-10    4.900000e-01    6.468880e-01    2.923823e-02
    3.277159e+01    1.753044e+02    1.147590e-03    5.806310e+05    1.030871e-08    2.132284e-12    6.888290e-09    8.007685e-10    5.000000e-01    6.468880e-01    2.934747e-02
    3.241017e+01    1.740888e+02    1.589783e-03    7.726813e+05    1.061302e-08    2.338885e-12    7.292535e-09    8.406665e-10    5.100000e-01    6.468880e-01    2.949629e-02
    3.202084e+01    1.729638e+02    2.194106e-03    1.024312e+06    1.091637e-08    2.562575e-12    7.694530e-09    8.799690e-10    5.200000e-01    6.468880e-01    2.969756e-02
    3.160814e+01    1.720177e+02    3.016016e-03    1.352624e+06    1.121697e-08    2.804390e-12    8.092065e-09    9.184750e-10    5.300000e-01    6.468880e-01    2.996750e-02
    3.117756e+01    1.713576e+02    4.128349e-03    1.779275e+06    1.151319e-08    3.065401e-12    8.483090e-09    9.560055e-10    5.400000e-01    6.468880e-01    3.032621e-02
    3.073488e+01    1.711051e+02    5.626275e-03    2.331637e+06    1.180353e-08    3.346726e-12    8.865745e-09    9.924015e-10    5.500000e-01    6.468880e-01    3.079795e-02
    3.028510e+01    1.713894e+02    7.633540e-03    3.044175e+06    1.208664e-08    3.649526e-12    9.238390e-09    1.027529e-09    5.600000e-01    6.468880e-01    3.141134e-02
    2.983082e+01    1.723352e+02    1.031022e-02    3.959922e+06    1.236136e-08    3.975014e-12    9.599605e-09    1.061279e-09    5.700000e-01    6.468880e-01    3.219910e-02
    2.937095e+01    1.740481e+02    1.386199e-02    5.131828e+06    1.262675e-08    4.324459e-12    9.948235e-09    1.093565e-09    5.800000e-01    6.468880e-01    3.319742e-02
    2.889948e+01    1.765980e+02    1.855085e-02    6.623549e+06    1.288200e-08    4.699191e-12    1.028335e-08    1.124328e-09    5.900000e-01    6.468880e-01    3.444484e-02
    2.840554e+01    1.800027e+02    2.470648e-02    8.509108e+06    1.312654e-08    5.100610e-12    1.060426e-08    1.153532e-09    6.000000e-01    6.468880e-01    3.598061e-02
    2.787443e+01    1.842153e+02    3.273690e-02    1.087074e+07    1.335994e-08    5.530185e-12    1.091050e-08    1.181157e-09    6.100000e-01    6.468880e-01    3.784265e-02
