# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: -40C
# W = 2.0 um
# L = 3.5 um (3500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.487857e+01    1.989804e+02    3.376033e-05    2.122436e+04    8.829800e-09    9.407815e-13    3.734371e-09    4.856725e-10    4.000000e-01    6.456661e-01    2.910739e-02
    3.486569e+01    1.984070e+02    4.784896e-05    2.921590e+04    9.088070e-09    1.041743e-12    4.094135e-09    5.254100e-10    4.100000e-01    6.456661e-01    2.911306e-02
    3.480652e+01    1.977431e+02    6.779215e-05    4.010783e+04    9.363345e-09    1.152976e-12    4.474554e-09    5.668970e-10    4.200000e-01    6.456661e-01    2.912109e-02
    3.470680e+01    1.969797e+02    9.597090e-05    5.490815e+04    9.654670e-09    1.275338e-12    4.874343e-09    6.099655e-10    4.300000e-01    6.456661e-01    2.913244e-02
    3.456967e+01    1.961088e+02    1.357015e-04    7.495596e+04    9.960790e-09    1.409730e-12    5.291860e-09    6.544150e-10    4.400000e-01    6.456661e-01    2.914842e-02
    3.439657e+01    1.951250e+02    1.915825e-04    1.020211e+05    1.028019e-08    1.557087e-12    5.725140e-09    7.000200e-10    4.500000e-01    6.456661e-01    2.917086e-02
    3.418788e+01    1.940271e+02    2.699592e-04    1.384296e+05    1.061112e-08    1.718389e-12    6.171910e-09    7.465295e-10    4.600000e-01    6.456661e-01    2.920230e-02
    3.394337e+01    1.928197e+02    3.795387e-04    1.872200e+05    1.095164e-08    1.894650e-12    6.629665e-09    7.936770e-10    4.700000e-01    6.456661e-01    2.924614e-02
    3.366281e+01    1.915166e+02    5.321990e-04    2.523369e+05    1.129962e-08    2.086925e-12    7.095700e-09    8.411840e-10    4.800000e-01    6.456661e-01    2.930703e-02
    3.334636e+01    1.901432e+02    7.440390e-04    3.388688e+05    1.165287e-08    2.296308e-12    7.567210e-09    8.887665e-10    4.900000e-01    6.456661e-01    2.939114e-02
    3.299511e+01    1.887403e+02    1.036732e-03    4.533415e+05    1.200911e-08    2.523929e-12    8.041310e-09    9.361445e-10    5.000000e-01    6.456661e-01    2.950666e-02
    3.261124e+01    1.873668e+02    1.439263e-03    6.040806e+05    1.236610e-08    2.770961e-12    8.515160e-09    9.830455e-10    5.100000e-01    6.456661e-01    2.966422e-02
    3.219844e+01    1.861026e+02    1.990134e-03    8.016678e+05    1.272163e-08    3.038621e-12    8.985990e-09    1.029212e-09    5.200000e-01    6.456661e-01    2.987746e-02
    3.176173e+01    1.850491e+02    2.740170e-03    1.059513e+06    1.307361e-08    3.328169e-12    9.451175e-09    1.074407e-09    5.300000e-01    6.456661e-01    3.016355e-02
