# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: 25C
# W = 2.0 um
# L = 1 um (1000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.746364e+01    1.502862e+02    6.242320e-05    1.285067e+05    2.123237e-09    1.839558e-13    5.639160e-10    8.035990e-11    2.900000e-01    6.326824e-01    4.179638e-02
    2.745349e+01    1.500597e+02    8.214900e-05    1.665584e+05    2.155030e-09    1.997522e-13    6.149170e-10    8.632760e-11    3.000000e-01    6.326824e-01    4.179904e-02
    2.742962e+01    1.498029e+02    1.080897e-04    2.154684e+05    2.189981e-09    2.169439e-13    6.696975e-10    9.264715e-11    3.100000e-01    6.326824e-01    4.180254e-02
    2.739319e+01    1.495126e+02    1.421788e-04    2.781946e+05    2.228172e-09    2.356469e-13    7.283560e-10    9.932145e-11    3.200000e-01    6.326824e-01    4.180714e-02
    2.734486e+01    1.491854e+02    1.869395e-04    3.584552e+05    2.269667e-09    2.559849e-13    7.909665e-10    1.063508e-10    3.300000e-01    6.326824e-01    4.181317e-02
    2.728487e+01    1.488173e+02    2.456587e-04    4.609102e+05    2.314504e-09    2.780899e-13    8.575730e-10    1.137326e-10    3.400000e-01    6.326824e-01    4.182108e-02
    2.721315e+01    1.484048e+02    3.226097e-04    5.913817e+05    2.362699e-09    3.021020e-13    9.281870e-10    1.214607e-10    3.500000e-01    6.326824e-01    4.183144e-02
    2.712942e+01    1.479443e+02    4.233360e-04    7.571210e+05    2.414240e-09    3.281699e-13    1.002786e-09    1.295259e-10    3.600000e-01    6.326824e-01    4.184500e-02
    2.703317e+01    1.474326e+02    5.550120e-04    9.671263e+05    2.469086e-09    3.564512e-13    1.081309e-09    1.379154e-10    3.700000e-01    6.326824e-01    4.186271e-02
    2.692383e+01    1.468670e+02    7.268980e-04    1.232528e+06    2.527165e-09    3.871127e-13    1.163657e-09    1.466128e-10    3.800000e-01    6.326824e-01    4.188581e-02
    2.680074e+01    1.462455e+02    9.509110e-04    1.567040e+06    2.588372e-09    4.203307e-13    1.249691e-09    1.555985e-10    3.900000e-01    6.326824e-01    4.191588e-02
    2.666324e+01    1.455676e+02    1.242341e-03    1.987497e+06    2.652574e-09    4.562909e-13    1.339231e-09    1.648493e-10    4.000000e-01    6.326824e-01    4.195493e-02
    2.651079e+01    1.448341e+02    1.620736e-03    2.514489e+06    2.719602e-09    4.951893e-13    1.432061e-09    1.743389e-10    4.100000e-01    6.326824e-01    4.200553e-02
    2.634296e+01    1.440483e+02    2.111001e-03    3.173100e+06    2.789262e-09    5.372325e-13    1.527925e-09    1.840381e-10    4.200000e-01    6.326824e-01    4.207093e-02
    2.615953e+01    1.432161e+02    2.744743e-03    3.993780e+06    2.861329e-09    5.826370e-13    1.626537e-09    1.939154e-10    4.300000e-01    6.326824e-01    4.215517e-02
    2.596063e+01    1.423469e+02    3.561924e-03    5.013373e+06    2.935554e-09    6.316325e-13    1.727576e-09    2.039366e-10    4.400000e-01    6.326824e-01    4.226334e-02
    2.574667e+01    1.414536e+02    4.612868e-03    6.276323e+06    3.011667e-09    6.844575e-13    1.830696e-09    2.140664e-10    4.500000e-01    6.326824e-01    4.240168e-02
    2.551858e+01    1.405542e+02    5.960695e-03    7.836146e+06    3.089379e-09    7.413660e-13    1.935533e-09    2.242681e-10    4.600000e-01    6.326824e-01    4.257786e-02
