# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: 85C
# W = 2.0 um
# L = 5.5 um (5500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.268816e+01    2.412826e+02    3.524387e-05    9.424833e+03    1.350297e-08    2.058764e-12    5.141700e-09    7.624605e-10    2.000000e-01    5.050409e-01    4.434791e-02
    2.268674e+01    2.408816e+02    4.422000e-05    1.163724e+04    1.372022e-08    2.206818e-12    5.478640e-09    8.034290e-10    2.100000e-01    5.050409e-01    4.435639e-02
    2.267267e+01    2.404447e+02    5.547785e-05    1.435075e+04    1.394980e-08    2.365473e-12    5.830310e-09    8.457455e-10    2.200000e-01    5.050409e-01    4.436703e-02
    2.264729e+01    2.399707e+02    6.958805e-05    1.767428e+04    1.419154e-08    2.535435e-12    6.196445e-09    8.893555e-10    2.300000e-01    5.050409e-01    4.438035e-02
    2.261160e+01    2.394591e+02    8.726030e-05    2.173930e+04    1.444517e-08    2.717450e-12    6.576695e-09    9.341965e-10    2.400000e-01    5.050409e-01    4.439703e-02
    2.256632e+01    2.389100e+02    1.093762e-04    2.670424e+04    1.471036e-08    2.912307e-12    6.970595e-09    9.801955e-10    2.500000e-01    5.050409e-01    4.441788e-02
    2.251198e+01    2.383246e+02    1.370289e-04    3.275973e+04    1.498669e-08    3.120838e-12    7.377580e-09    1.027269e-09    2.600000e-01    5.050409e-01    4.444393e-02
    2.244898e+01    2.377054e+02    1.715722e-04    4.013474e+04    1.527366e-08    3.343921e-12    7.796985e-09    1.075326e-09    2.700000e-01    5.050409e-01    4.447643e-02
    2.237762e+01    2.370569e+02    2.146790e-04    4.910387e+04    1.557069e-08    3.582484e-12    8.228045e-09    1.124266e-09    2.800000e-01    5.050409e-01    4.451692e-02
    2.229816e+01    2.363854e+02    2.684137e-04    5.999586e+04    1.587715e-08    3.837505e-12    8.669915e-09    1.173980e-09    2.900000e-01    5.050409e-01    4.456730e-02
