# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: -40C
# W = 2.0 um
# L = 4 um (4000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.268081e+01    1.967383e+02    3.963129e-05    1.848986e+04    1.114853e-08    1.391070e-12    4.996811e-09    6.068875e-10    3.300000e-01    5.796019e-01    3.055604e-02
    3.266691e+01    1.962644e+02    5.494800e-05    2.488224e+04    1.148129e-08    1.534166e-12    5.453850e-09    6.532815e-10    3.400000e-01    5.796019e-01    3.056228e-02
    3.261964e+01    1.957233e+02    7.616075e-05    3.341055e+04    1.183442e-08    1.691336e-12    5.934960e-09    7.014985e-10    3.500000e-01    5.796019e-01    3.057092e-02
    3.254288e+01    1.951095e+02    1.054969e-04    4.476278e+04    1.220672e-08    1.863738e-12    6.438600e-09    7.513530e-10    3.600000e-01    5.796019e-01    3.058286e-02
    3.243888e+01    1.944186e+02    1.460009e-04    5.983882e+04    1.259675e-08    2.052586e-12    6.962880e-09    8.026305e-10    3.700000e-01    5.796019e-01    3.059933e-02
    3.230880e+01    1.936490e+02    2.018193e-04    7.981196e+04    1.300277e-08    2.259159e-12    7.505560e-09    8.550930e-10    3.800000e-01    5.796019e-01    3.062200e-02
    3.215311e+01    1.928021e+02    2.785796e-04    1.062061e+05    1.342279e-08    2.484797e-12    8.064115e-09    9.084815e-10    3.900000e-01    5.796019e-01    3.065313e-02
    3.197186e+01    1.918843e+02    3.838876e-04    1.409928e+05    1.385464e-08    2.730904e-12    8.635780e-09    9.625220e-10    4.000000e-01    5.796019e-01    3.069574e-02
    3.176509e+01    1.909092e+02    5.279785e-04    1.867125e+05    1.429595e-08    2.998952e-12    9.217590e-09    1.016930e-09    4.100000e-01    5.796019e-01    3.075388e-02
    3.153308e+01    1.898992e+02    7.245620e-04    2.466259e+05    1.474427e-08    3.290479e-12    9.806455e-09    1.071418e-09    4.200000e-01    5.796019e-01    3.083288e-02
    3.127666e+01    1.888890e+02    9.919135e-04    3.249034e+05    1.519708e-08    3.607095e-12    1.039922e-08    1.125701e-09    4.300000e-01    5.796019e-01    3.093974e-02
    3.099744e+01    1.879275e+02    1.354279e-03    4.268635e+05    1.565183e-08    3.950485e-12    1.099275e-08    1.179501e-09    4.400000e-01    5.796019e-01    3.108352e-02
    3.069796e+01    1.870804e+02    1.843676e-03    5.592757e+05    1.610603e-08    4.322414e-12    1.158394e-08    1.232554e-09    4.500000e-01    5.796019e-01    3.127585e-02
    3.038170e+01    1.864322e+02    2.502205e-03    7.307464e+05    1.655726e-08    4.724730e-12    1.216985e-08    1.284614e-09    4.600000e-01    5.796019e-01    3.153137e-02
    3.005300e+01    1.860861e+02    3.385002e-03    9.522142e+05    1.700326e-08    5.159375e-12    1.274770e-08    1.335458e-09    4.700000e-01    5.796019e-01    3.186829e-02
    2.971640e+01    1.861619e+02    4.564031e-03    1.237572e+06    1.744193e-08    5.628380e-12    1.331495e-08    1.384886e-09    4.800000e-01    5.796019e-01    3.230876e-02
    2.937596e+01    1.867912e+02    6.132910e-03    1.604432e+06    1.787135e-08    6.133900e-12    1.386928e-08    1.432727e-09    4.900000e-01    5.796019e-01    3.287921e-02
    2.903399e+01    1.881085e+02    8.213015e-03    2.075006e+06    1.828985e-08    6.678180e-12    1.440872e-08    1.478838e-09    5.000000e-01    5.796019e-01    3.361039e-02
    2.868989e+01    1.902388e+02    1.096099e-02    2.677014e+06    1.869598e-08    7.263605e-12    1.493152e-08    1.523106e-09    5.100000e-01    5.796019e-01    3.453707e-02
    2.833892e+01    1.932818e+02    1.457774e-02    3.444460e+06    1.908853e-08    7.892695e-12    1.543629e-08    1.565445e-09    5.200000e-01    5.796019e-01    3.569736e-02
    2.797158e+01    1.972944e+02    1.931858e-02    4.417981e+06    1.946652e-08    8.568120e-12    1.592192e-08    1.605796e-09    5.300000e-01    5.796019e-01    3.713149e-02
    2.757409e+01    2.022752e+02    2.550379e-02    5.644436e+06    1.982922e-08    9.292695e-12    1.638758e-08    1.644128e-09    5.400000e-01    5.796019e-01    3.888015e-02
    2.712978e+01    2.081511e+02    3.352840e-02    7.175324e+06    2.017612e-08    1.006944e-11    1.683273e-08    1.680431e-09    5.500000e-01    5.796019e-01    4.098244e-02
    2.662173e+01    2.147742e+02    4.386909e-02    9.063900e+06    2.050689e-08    1.090153e-11    1.725707e-08    1.714716e-09    5.600000e-01    5.796019e-01    4.347355e-02
    2.603565e+01    2.219245e+02    5.708645e-02    1.136086e+07    2.082142e-08    1.179237e-11    1.766053e-08    1.747014e-09    5.700000e-01    5.796019e-01    4.638253e-02
    2.536266e+01    2.293258e+02    7.382020e-02    1.410918e+07    2.111974e-08    1.274559e-11    1.804325e-08    1.777370e-09    5.800000e-01    5.796019e-01    4.973030e-02
    2.460087e+01    2.366674e+02    9.477665e-02    1.733872e+07    2.140203e-08    1.376507e-11    1.840553e-08    1.805843e-09    5.900000e-01    5.796019e-01    5.352819e-02
    2.375581e+01    2.436318e+02    1.207076e-01    2.106173e+07    2.166860e-08    1.485494e-11    1.874781e-08    1.832500e-09    6.000000e-01    5.796019e-01    5.777722e-02
    2.283945e+01    2.499233e+02    1.523836e-01    2.527005e+07    2.191986e-08    1.601964e-11    1.907068e-08    1.857420e-09    6.100000e-01    5.796019e-01    6.246821e-02
    2.186835e+01    2.552909e+02    1.905621e-01    2.993473e+07    2.215630e-08    1.726392e-11    1.937479e-08    1.880684e-09    6.200000e-01    5.796019e-01    6.758261e-02
    2.086154e+01    2.595461e+02    2.359569e-01    3.500812e+07    2.237847e-08    1.859286e-11    1.966090e-08    1.902380e-09    6.300000e-01    5.796019e-01    7.309395e-02
    1.983839e+01    2.625707e+02    2.892104e-01    4.042800e+07    2.258699e-08    2.001192e-11    1.992980e-08    1.922594e-09    6.400000e-01    5.796019e-01    7.896969e-02
    1.881699e+01    2.643165e+02    3.508725e-01    4.612313e+07    2.278248e-08    2.152697e-11    2.018231e-08    1.941419e-09    6.500000e-01    5.796019e-01    8.517331e-02
    1.781305e+01    2.647983e+02    4.213875e-01    5.201902e+07    2.296560e-08    2.314430e-11    2.041930e-08    1.958942e-09    6.600000e-01    5.796019e-01    9.166625e-02
    1.683932e+01    2.640823e+02    5.010895e-01    5.804331e+07    2.313704e-08    2.487068e-11    2.064162e-08    1.975250e-09    6.700000e-01    5.796019e-01    9.840973e-02
    1.590544e+01    2.622715e+02    5.902065e-01    6.413005e+07    2.329744e-08    2.671341e-11    2.085011e-08    1.990431e-09    6.800000e-01    5.796019e-01    1.053662e-01
    1.501815e+01    2.594925e+02    6.888680e-01    7.022245e+07    2.344750e-08    2.868031e-11    2.104563e-08    2.004564e-09    6.900000e-01    5.796019e-01    1.125005e-01
    1.418159e+01    2.558834e+02    7.971195e-01    7.627472e+07    2.358783e-08    3.077982e-11    2.122899e-08    2.017730e-09    7.000000e-01    5.796019e-01    1.197806e-01
    1.339774e+01    2.515826e+02    9.149390e-01    8.225187e+07    2.371909e-08    3.302105e-11    2.140098e-08    2.030004e-09    7.100000e-01    5.796019e-01    1.271778e-01
    1.266689e+01    2.467227e+02    1.042250e+00    8.812951e+07    2.384188e-08    3.541379e-11    2.156236e-08    2.041458e-09    7.200000e-01    5.796019e-01    1.346672e-01
    1.198803e+01    2.414245e+02    1.178937e+00    9.389233e+07    2.395679e-08    3.796859e-11    2.171386e-08    2.052160e-09    7.300000e-01    5.796019e-01    1.422275e-01
    1.135924e+01    2.357948e+02    1.324863e+00    9.953266e+07    2.406437e-08    4.069685e-11    2.185617e-08    2.062173e-09    7.400000e-01    5.796019e-01    1.498409e-01
    1.077796e+01    2.299252e+02    1.479873e+00    1.050489e+08    2.416516e-08    4.361087e-11    2.198993e-08    2.071556e-09    7.500000e-01    5.796019e-01    1.574926e-01
    1.024128e+01    2.238926e+02    1.643810e+00    1.104438e+08    2.425966e-08    4.672394e-11    2.211579e-08    2.080367e-09    7.600000e-01    5.796019e-01    1.651705e-01
    9.746096e+00    2.177594e+02    1.816516e+00    1.157232e+08    2.434834e-08    5.005035e-11    2.223430e-08    2.088657e-09    7.700000e-01    5.796019e-01    1.728650e-01
    9.289260e+00    2.115756e+02    1.997839e+00    1.208951e+08    2.443166e-08    5.360565e-11    2.234600e-08    2.096474e-09    7.800000e-01    5.796019e-01    1.805686e-01
    8.867665e+00    2.053802e+02    2.187638e+00    1.259682e+08    2.451004e-08    5.740650e-11    2.245141e-08    2.103864e-09    7.900000e-01    5.796019e-01    1.882755e-01
    8.478335e+00    1.992031e+02    2.385782e+00    1.309518e+08    2.458387e-08    6.147100e-11    2.255098e-08    2.110870e-09    8.000000e-01    5.796019e-01    1.959813e-01
    8.118450e+00    1.930664e+02    2.592150e+00    1.358547e+08    2.465351e-08    6.581870e-11    2.264517e-08    2.117530e-09    8.100000e-01    5.796019e-01    2.036828e-01
    7.785374e+00    1.869861e+02    2.806633e+00    1.406853e+08    2.471932e-08    7.047080e-11    2.273437e-08    2.123882e-09    8.200000e-01    5.796019e-01    2.113778e-01
    7.476684e+00    1.809736e+02    3.029133e+00    1.454513e+08    2.478162e-08    7.545005e-11    2.281895e-08    2.129958e-09    8.300000e-01    5.796019e-01    2.190648e-01
    7.190144e+00    1.750365e+02    3.259562e+00    1.501596e+08    2.484071e-08    8.078130e-11    2.289928e-08    2.135792e-09    8.400000e-01    5.796019e-01    2.267428e-01
    6.923720e+00    1.691795e+02    3.497842e+00    1.548157e+08    2.489687e-08    8.649130e-11    2.297564e-08    2.141410e-09    8.500000e-01    5.796019e-01    2.344113e-01
    6.675568e+00    1.634054e+02    3.743901e+00    1.594247e+08    2.495037e-08    9.260900e-11    2.304835e-08    2.146842e-09    8.600000e-01    5.796019e-01    2.420703e-01
    6.444014e+00    1.577155e+02    3.997675e+00    1.639906e+08    2.500145e-08    9.916580e-11    2.311768e-08    2.152114e-09    8.700000e-01    5.796019e-01    2.497198e-01
    6.227554e+00    1.521105e+02    4.259104e+00    1.685164e+08    2.505034e-08    1.061956e-10    2.318386e-08    2.157250e-09    8.800000e-01    5.796019e-01    2.573602e-01
    6.024823e+00    1.465901e+02    4.528133e+00    1.730044e+08    2.509726e-08    1.137352e-10    2.324713e-08    2.162271e-09    8.900000e-01    5.796019e-01    2.649919e-01
    5.834605e+00    1.411541e+02    4.804711e+00    1.774564e+08    2.514243e-08    1.218243e-10    2.330769e-08    2.167201e-09    9.000000e-01    5.796019e-01    2.726154e-01
    5.655795e+00    1.358021e+02    5.088790e+00    1.818733e+08    2.518601e-08    1.305060e-10    2.336573e-08    2.172058e-09    9.100000e-01    5.796019e-01    2.802313e-01
    5.487412e+00    1.305341e+02    5.380320e+00    1.862556e+08    2.522821e-08    1.398270e-10    2.342142e-08    2.176864e-09    9.200000e-01    5.796019e-01    2.878403e-01
    5.328562e+00    1.253499e+02    5.679255e+00    1.906033e+08    2.526918e-08    1.498374e-10    2.347493e-08    2.181636e-09    9.300000e-01    5.796019e-01    2.954427e-01
    5.178446e+00    1.202500e+02    5.985550e+00    1.949158e+08    2.530910e-08    1.605920e-10    2.352638e-08    2.186393e-09    9.400000e-01    5.796019e-01    3.030394e-01
    5.036350e+00    1.152349e+02    6.299155e+00    1.991924e+08    2.534811e-08    1.721495e-10    2.357591e-08    2.191152e-09    9.500000e-01    5.796019e-01    3.106309e-01
    4.901620e+00    1.103058e+02    6.620025e+00    2.034317e+08    2.538638e-08    1.845735e-10    2.362363e-08    2.195930e-09    9.600000e-01    5.796019e-01    3.182176e-01
    4.773670e+00    1.054641e+02    6.948115e+00    2.076323e+08    2.542404e-08    1.979330e-10    2.366965e-08    2.200744e-09    9.700000e-01    5.796019e-01    3.258002e-01
    4.651974e+00    1.007114e+02    7.283370e+00    2.117925e+08    2.546123e-08    2.123018e-10    2.371405e-08    2.205610e-09    9.800000e-01    5.796019e-01    3.333791e-01
    4.536053e+00    9.604995e+01    7.625740e+00    2.159100e+08    2.549809e-08    2.277600e-10    2.375692e-08    2.210545e-09    9.900000e-01    5.796019e-01    3.409548e-01
    4.425475e+00    9.148206e+01    7.975165e+00    2.199825e+08    2.553475e-08    2.443936e-10    2.379833e-08    2.215564e-09    1.000000e+00    5.796019e-01    3.485277e-01
    4.319843e+00    8.701043e+01    8.331595e+00    2.240076e+08    2.557135e-08    2.622951e-10    2.383833e-08    2.220684e-09    1.010000e+00    5.796019e-01    3.560982e-01
    4.218797e+00    8.263793e+01    8.694970e+00    2.279823e+08    2.560801e-08    2.815638e-10    2.387698e-08    2.225921e-09    1.020000e+00    5.796019e-01    3.636668e-01
    4.122013e+00    7.836764e+01    9.065220e+00    2.319036e+08    2.564486e-08    3.023065e-10    2.391433e-08    2.231291e-09    1.030000e+00    5.796019e-01    3.712337e-01
    4.029188e+00    7.420280e+01    9.442285e+00    2.357683e+08    2.568203e-08    3.246369e-10    2.395039e-08    2.236810e-09    1.040000e+00    5.796019e-01    3.787992e-01
    3.940046e+00    7.014672e+01    9.826095e+00    2.395728e+08    2.571965e-08    3.486769e-10    2.398522e-08    2.242495e-09    1.050000e+00    5.796019e-01    3.863637e-01
    3.854339e+00    6.620283e+01    1.021657e+01    2.433131e+08    2.575784e-08    3.745564e-10    2.401881e-08    2.248363e-09    1.060000e+00    5.796019e-01    3.939275e-01
    3.771829e+00    6.237447e+01    1.061363e+01    2.469852e+08    2.579674e-08    4.024131e-10    2.405119e-08    2.254431e-09    1.070000e+00    5.796019e-01    4.014907e-01
    3.692297e+00    5.866501e+01    1.101720e+01    2.505847e+08    2.583648e-08    4.323930e-10    2.408235e-08    2.260715e-09    1.080000e+00    5.796019e-01    4.090536e-01
    3.615549e+00    5.507771e+01    1.142717e+01    2.541067e+08    2.587719e-08    4.646504e-10    2.411229e-08    2.267234e-09    1.090000e+00    5.796019e-01    4.166166e-01
    3.541392e+00    5.161562e+01    1.184347e+01    2.575460e+08    2.591900e-08    4.993476e-10    2.414101e-08    2.274004e-09    1.100000e+00    5.796019e-01    4.241796e-01
    3.469652e+00    4.828167e+01    1.226599e+01    2.608974e+08    2.596204e-08    5.366545e-10    2.416847e-08    2.281044e-09    1.110000e+00    5.796019e-01    4.317431e-01
    3.400165e+00    4.507851e+01    1.269461e+01    2.641546e+08    2.600646e-08    5.767475e-10    2.419466e-08    2.288369e-09    1.120000e+00    5.796019e-01    4.393070e-01
    3.332774e+00    4.200848e+01    1.312922e+01    2.673114e+08    2.605238e-08    6.198110e-10    2.421955e-08    2.296000e-09    1.130000e+00    5.796019e-01    4.468718e-01
