# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: -40C
# W = 2.0 um
# L = 5.5 um (5500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.305802e+01    2.404718e+02    3.066323e-05    1.045148e+04    1.543609e-08    1.918565e-12    7.014570e-09    8.487735e-10    3.300000e-01    5.762884e-01    2.999702e-02
    3.305746e+01    2.398377e+02    4.267781e-05    1.411435e+04    1.590856e-08    2.118487e-12    7.662265e-09    9.144825e-10    3.400000e-01    5.762884e-01    3.000382e-02
    3.301515e+01    2.391134e+02    5.938695e-05    1.901625e+04    1.640966e-08    2.338263e-12    8.343900e-09    9.827670e-10    3.500000e-01    5.762884e-01    3.001327e-02
    3.293674e+01    2.382922e+02    8.258780e-05    2.556021e+04    1.693761e-08    2.579527e-12    9.057150e-09    1.053351e-09    3.600000e-01    5.762884e-01    3.002638e-02
    3.282568e+01    2.373695e+02    1.147436e-04    3.427421e+04    1.749021e-08    2.843995e-12    9.799150e-09    1.125917e-09    3.700000e-01    5.762884e-01    3.004454e-02
    3.268398e+01    2.363439e+02    1.592179e-04    4.584721e+04    1.806484e-08    3.133470e-12    1.056658e-08    1.200113e-09    3.800000e-01    5.762884e-01    3.006963e-02
    3.251275e+01    2.352196e+02    2.205847e-04    6.117453e+04    1.865858e-08    3.449840e-12    1.135569e-08    1.275558e-09    3.900000e-01    5.762884e-01    3.010417e-02
    3.231254e+01    2.340080e+02    3.050367e-04    8.141462e+04    1.926819e-08    3.795081e-12    1.216238e-08    1.351850e-09    4.000000e-01    5.762884e-01    3.015160e-02
    3.208381e+01    2.327306e+02    4.209177e-04    1.080597e+05    1.989023e-08    4.171258e-12    1.298230e-08    1.428577e-09    4.100000e-01    5.762884e-01    3.021645e-02
    3.182739e+01    2.314228e+02    5.794130e-04    1.430241e+05    2.052109e-08    4.580531e-12    1.381097e-08    1.505319e-09    4.200000e-01    5.762884e-01    3.030475e-02
    3.154463e+01    2.301367e+02    7.954415e-04    1.887546e+05    2.115710e-08    5.025155e-12    1.464379e-08    1.581665e-09    4.300000e-01    5.762884e-01    3.042435e-02
    3.123788e+01    2.289450e+02    1.088797e-03    2.483698e+05    2.179464e-08    5.507490e-12    1.547625e-08    1.657218e-09    4.400000e-01    5.762884e-01    3.058540e-02
    3.091040e+01    2.279434e+02    1.485617e-03    3.258367e+05    2.243012e-08    6.030005e-12    1.630393e-08    1.731601e-09    4.500000e-01    5.762884e-01    3.080086e-02
    3.056648e+01    2.272522e+02    2.020261e-03    4.261978e+05    2.306013e-08    6.595285e-12    1.712266e-08    1.804467e-09    4.600000e-01    5.762884e-01    3.108694e-02
    3.021101e+01    2.270155e+02    2.737709e-03    5.558578e+05    2.368149e-08    7.206030e-12    1.792853e-08    1.875503e-09    4.700000e-01    5.762884e-01    3.146361e-02
    2.984886e+01    2.273967e+02    3.696640e-03    7.229448e+05    2.429126e-08    7.865095e-12    1.871799e-08    1.944434e-09    4.800000e-01    5.762884e-01    3.195497e-02
    2.948374e+01    2.285699e+02    4.973326e-03    9.377350e+05    2.488683e-08    8.575455e-12    1.948790e-08    2.011025e-09    4.900000e-01    5.762884e-01    3.258939e-02
    2.911699e+01    2.307063e+02    6.666495e-03    1.213124e+06    2.546590e-08    9.340270e-12    2.023551e-08    2.075085e-09    5.000000e-01    5.762884e-01    3.339937e-02
    2.874620e+01    2.339570e+02    8.903245e-03    1.565065e+06    2.602655e-08    1.016286e-11    2.095855e-08    2.136465e-09    5.100000e-01    5.762884e-01    3.442104e-02
    2.836427e+01    2.384310e+02    1.184590e-02    2.012863e+06    2.656719e-08    1.104672e-11    2.165518e-08    2.195055e-09    5.200000e-01    5.762884e-01    3.569318e-02
    2.795937e+01    2.441756e+02    1.569944e-02    2.579156e+06    2.708658e-08    1.199558e-11    2.232398e-08    2.250789e-09    5.300000e-01    5.762884e-01    3.725575e-02
    2.751595e+01    2.511571e+02    2.071878e-02    3.289384e+06    2.758382e-08    1.301337e-11    2.296395e-08    2.303630e-09    5.400000e-01    5.762884e-01    3.914799e-02
    2.701689e+01    2.592515e+02    2.721473e-02    4.170596e+06    2.805831e-08    1.410428e-11    2.357451e-08    2.353582e-09    5.500000e-01    5.762884e-01    4.140628e-02
    2.644662e+01    2.682440e+02    3.555714e-02    5.249572e+06    2.850974e-08    1.527277e-11    2.415538e-08    2.400670e-09    5.600000e-01    5.762884e-01    4.406186e-02
    2.579378e+01    2.778396e+02    4.617390e-02    6.550317e+06    2.893806e-08    1.652357e-11    2.470661e-08    2.444951e-09    5.700000e-01    5.762884e-01    4.713883e-02
    2.505366e+01    2.876866e+02    5.954455e-02    8.091371e+06    2.934346e-08    1.786175e-11    2.522854e-08    2.486498e-09    5.800000e-01    5.762884e-01    5.065247e-02
    2.422891e+01    2.974053e+02    7.618810e-02    9.883266e+06    2.972629e-08    1.929271e-11    2.572172e-08    2.525404e-09    5.900000e-01    5.762884e-01    5.460829e-02
    2.332917e+01    3.066222e+02    9.664575e-02    1.192675e+07    3.008709e-08    2.082223e-11    2.618693e-08    2.561774e-09    6.000000e-01    5.762884e-01    5.900183e-02
    2.236939e+01    3.149996e+02    1.214604e-01    1.421205e+07    3.042651e-08    2.245649e-11    2.662505e-08    2.595722e-09    6.100000e-01    5.762884e-01    6.381920e-02
    2.136781e+01    3.222596e+02    1.511543e-01    1.671942e+07    3.074535e-08    2.420214e-11    2.703713e-08    2.627372e-09    6.200000e-01    5.762884e-01    6.903823e-02
    2.034378e+01    3.282011e+02    1.862090e-01    1.942088e+07    3.104442e-08    2.606627e-11    2.742427e-08    2.656849e-09    6.300000e-01    5.762884e-01    7.463019e-02
    1.931585e+01    3.327028e+02    2.270485e-01    2.228262e+07    3.132466e-08    2.805651e-11    2.778768e-08    2.684285e-09    6.400000e-01    5.762884e-01    8.056167e-02
    1.830058e+01    3.357210e+02    2.740277e-01    2.526802e+07    3.158699e-08    3.018104e-11    2.812856e-08    2.709806e-09    6.500000e-01    5.762884e-01    8.679651e-02
    1.731169e+01    3.372788e+02    3.274264e-01    2.834029e+07    3.183238e-08    3.244867e-11    2.844816e-08    2.733539e-09    6.600000e-01    5.762884e-01    9.329764e-02
    1.635987e+01    3.374525e+02    3.874499e-01    3.146500e+07    3.206179e-08    3.486887e-11    2.874771e-08    2.755611e-09    6.700000e-01    5.762884e-01    1.000286e-01
    1.545277e+01    3.363559e+02    4.542329e-01    3.461168e+07    3.227619e-08    3.745181e-11    2.902842e-08    2.776141e-09    6.800000e-01    5.762884e-01    1.069547e-01
    1.459534e+01    3.341254e+02    5.278475e-01    3.775491e+07    3.247652e-08    4.020845e-11    2.929149e-08    2.795245e-09    6.900000e-01    5.762884e-01    1.140438e-01
    1.379025e+01    3.309080e+02    6.083140e-01    4.087471e+07    3.266369e-08    4.315057e-11    2.953808e-08    2.813033e-09    7.000000e-01    5.762884e-01    1.212673e-01
    1.303827e+01    3.268497e+02    6.956105e-01    4.395635e+07    3.283861e-08    4.629090e-11    2.976928e-08    2.829611e-09    7.100000e-01    5.762884e-01    1.285996e-01
    1.233881e+01    3.220896e+02    7.896835e-01    4.698994e+07    3.300210e-08    4.964313e-11    2.998618e-08    2.845079e-09    7.200000e-01    5.762884e-01    1.360188e-01
    1.169021e+01    3.167545e+02    8.904580e-01    4.996970e+07    3.315500e-08    5.322200e-11    3.018977e-08    2.859529e-09    7.300000e-01    5.762884e-01    1.435062e-01
    1.109009e+01    3.109561e+02    9.978450e-01    5.289310e+07    3.329808e-08    5.704350e-11    3.038100e-08    2.873051e-09    7.400000e-01    5.762884e-01    1.510462e-01
    1.053564e+01    3.047906e+02    1.111749e+00    5.576022e+07    3.343207e-08    6.112480e-11    3.056079e-08    2.885726e-09    7.500000e-01    5.762884e-01    1.586260e-01
    1.002380e+01    2.983388e+02    1.232072e+00    5.857295e+07    3.355766e-08    6.548440e-11    3.072996e-08    2.897631e-09    7.600000e-01    5.762884e-01    1.662352e-01
    9.551419e+00    2.916665e+02    1.358719e+00    6.133432e+07    3.367549e-08    7.014240e-11    3.088933e-08    2.908837e-09    7.700000e-01    5.762884e-01    1.738656e-01
    9.115377e+00    2.848271e+02    1.491597e+00    6.404819e+07    3.378620e-08    7.512040e-11    3.103961e-08    2.919411e-09    7.800000e-01    5.762884e-01    1.815106e-01
    8.712650e+00    2.778630e+02    1.630621e+00    6.671868e+07    3.389033e-08    8.044180e-11    3.118150e-08    2.929415e-09    7.900000e-01    5.762884e-01    1.891651e-01
    8.340364e+00    2.708068e+02    1.775712e+00    6.934999e+07    3.398844e-08    8.613190e-11    3.131564e-08    2.938905e-09    8.000000e-01    5.762884e-01    1.968255e-01
    7.995824e+00    2.636834e+02    1.926799e+00    7.194610e+07    3.408102e-08    9.221795e-11    3.144261e-08    2.947936e-09    8.100000e-01    5.762884e-01    2.044890e-01
    7.676539e+00    2.565123e+02    2.083819e+00    7.451077e+07    3.416854e-08    9.872955e-11    3.156296e-08    2.956556e-09    8.200000e-01    5.762884e-01    2.121534e-01
    7.380211e+00    2.493071e+02    2.246711e+00    7.704729e+07    3.425144e-08    1.056987e-10    3.167719e-08    2.964811e-09    8.300000e-01    5.762884e-01    2.198176e-01
    7.104743e+00    2.420789e+02    2.415427e+00    7.955860e+07    3.433011e-08    1.131598e-10    3.178577e-08    2.972745e-09    8.400000e-01    5.762884e-01    2.274806e-01
    6.848232e+00    2.348355e+02    2.589917e+00    8.204715e+07    3.440495e-08    1.211504e-10    3.188912e-08    2.980396e-09    8.500000e-01    5.762884e-01    2.351419e-01
    6.608948e+00    2.275830e+02    2.770140e+00    8.451498e+07    3.447629e-08    1.297110e-10    3.198764e-08    2.987803e-09    8.600000e-01    5.762884e-01    2.428015e-01
    6.385330e+00    2.203267e+02    2.956059e+00    8.696370e+07    3.454447e-08    1.388853e-10    3.208166e-08    2.994998e-09    8.700000e-01    5.762884e-01    2.504593e-01
