# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: 85C
# W = 2.0 um
# L = 2.5 um (2500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.191582e+01    1.525867e+02    5.953730e-05    3.129220e+04    6.636375e-09    9.638600e-13    2.459995e-09    3.399291e-10    1.300000e-01    4.575793e-01    4.588277e-02
    2.190831e+01    1.523939e+02    7.412335e-05    3.834398e+04    6.740420e-09    1.031323e-12    2.622253e-09    3.580424e-10    1.400000e-01    4.575793e-01    4.588787e-02
    2.189330e+01    1.521829e+02    9.227235e-05    4.693092e+04    6.850840e-09    1.103537e-12    2.791946e-09    3.767799e-10    1.500000e-01    4.575793e-01    4.589422e-02
    2.187138e+01    1.519528e+02    1.148439e-04    5.737477e+04    6.967600e-09    1.180815e-12    2.969015e-09    3.961234e-10    1.600000e-01    4.575793e-01    4.590210e-02
    2.184299e+01    1.517027e+02    1.429008e-04    7.006190e+04    7.090630e-09    1.263488e-12    3.153354e-09    4.160505e-10    1.700000e-01    4.575793e-01    4.591190e-02
    2.180839e+01    1.514317e+02    1.777561e-04    8.545594e+04    7.219815e-09    1.351905e-12    3.344814e-09    4.365348e-10    1.800000e-01    4.575793e-01    4.592407e-02
    2.176777e+01    1.511393e+02    2.210299e-04    1.041123e+05    7.355010e-09    1.446432e-12    3.543196e-09    4.575459e-10    1.900000e-01    4.575793e-01    4.593917e-02
    2.172121e+01    1.508255e+02    2.747188e-04    1.266954e+05    7.496035e-09    1.547461e-12    3.748256e-09    4.790491e-10    2.000000e-01    4.575793e-01    4.595789e-02
    2.166874e+01    1.504905e+02    3.412799e-04    1.539995e+05    7.642670e-09    1.655400e-12    3.959701e-09    5.010060e-10    2.100000e-01    4.575793e-01    4.598108e-02
    2.161037e+01    1.501355e+02    4.237329e-04    1.869725e+05    7.794655e-09    1.770681e-12    4.177199e-09    5.233750e-10    2.200000e-01    4.575793e-01    4.600977e-02
    2.154604e+01    1.497618e+02    5.257840e-04    2.267436e+05    7.951700e-09    1.893759e-12    4.400366e-09    5.461105e-10    2.300000e-01    4.575793e-01    4.604524e-02
    2.147576e+01    1.493724e+02    6.519740e-04    2.746576e+05    8.113485e-09    2.025115e-12    4.628785e-09    5.691650e-10    2.400000e-01    4.575793e-01    4.608903e-02
    2.139958e+01    1.489714e+02    8.078580e-04    3.323138e+05    8.279650e-09    2.165256e-12    4.861997e-09    5.924875e-10    2.500000e-01    4.575793e-01    4.614302e-02
    2.131754e+01    1.485638e+02    1.000222e-03    4.016115e+05    8.449815e-09    2.314715e-12    5.099510e-09    6.160255e-10    2.600000e-01    4.575793e-01    4.620948e-02
    2.122981e+01    1.481572e+02    1.237338e-03    4.848054e+05    8.623575e-09    2.474055e-12    5.340810e-09    6.397250e-10    2.700000e-01    4.575793e-01    4.629117e-02
    2.113666e+01    1.477606e+02    1.529284e-03    5.845711e+05    8.800495e-09    2.643867e-12    5.585340e-09    6.635310e-10    2.800000e-01    4.575793e-01    4.639138e-02
    2.103845e+01    1.473856e+02    1.888304e-03    7.040815e+05    8.980130e-09    2.824781e-12    5.832550e-09    6.873870e-10    2.900000e-01    4.575793e-01    4.651406e-02
    2.093569e+01    1.470467e+02    2.329266e-03    8.471008e+05    9.162025e-09    3.017453e-12    6.081850e-09    7.112375e-10    3.000000e-01    4.575793e-01    4.666394e-02
    2.082907e+01    1.467610e+02    2.870195e-03    1.018097e+06    9.345710e-09    3.222581e-12    6.332655e-09    7.350270e-10    3.100000e-01    4.575793e-01    4.684661e-02
    2.071940e+01    1.465492e+02    3.532919e-03    1.222378e+06    9.530715e-09    3.440901e-12    6.584380e-09    7.587015e-10    3.200000e-01    4.575793e-01    4.706865e-02
    2.060759e+01    1.464349e+02    4.343849e-03    1.466255e+06    9.716560e-09    3.673188e-12    6.836430e-09    7.822075e-10    3.300000e-01    4.575793e-01    4.733778e-02
    2.049471e+01    1.464454e+02    5.334915e-03    1.757244e+06    9.902785e-09    3.920262e-12    7.088225e-09    8.054945e-10    3.400000e-01    4.575793e-01    4.766299e-02
    2.038187e+01    1.466110e+02    6.544695e-03    2.104306e+06    1.008892e-08    4.182989e-12    7.339205e-09    8.285135e-10    3.500000e-01    4.575793e-01    4.805463e-02
    2.027009e+01    1.469650e+02    8.019800e-03    2.518125e+06    1.027453e-08    4.462287e-12    7.588815e-09    8.512190e-10    3.600000e-01    4.575793e-01    4.852457e-02
    2.016031e+01    1.475422e+02    9.816490e-03    3.011454e+06    1.045918e-08    4.759124e-12    7.836530e-09    8.735680e-10    3.700000e-01    4.575793e-01    4.908628e-02
    2.005318e+01    1.483789e+02    1.200267e-02    3.599481e+06    1.064244e-08    5.074525e-12    8.081845e-09    8.955205e-10    3.800000e-01    4.575793e-01    4.975487e-02
    1.994890e+01    1.495106e+02    1.466021e-02    4.300253e+06    1.082394e-08    5.409575e-12    8.324285e-09    9.170410e-10    3.900000e-01    4.575793e-01    5.054712e-02
    1.984710e+01    1.509705e+02    1.788773e-02    5.135108e+06    1.100330e-08    5.765430e-12    8.563415e-09    9.380965e-10    4.000000e-01    4.575793e-01    5.148143e-02
    1.974665e+01    1.527872e+02    2.180378e-02    6.129100e+06    1.118017e-08    6.143305e-12    8.798825e-09    9.586590e-10    4.100000e-01    4.575793e-01    5.257772e-02
    1.964558e+01    1.549825e+02    2.655043e-02    7.311351e+06    1.135426e-08    6.544495e-12    9.030145e-09    9.787030e-10    4.200000e-01    4.575793e-01    5.385719e-02
    1.954096e+01    1.575680e+02    3.229728e-02    8.715272e+06    1.152527e-08    6.970370e-12    9.257045e-09    9.982080e-10    4.300000e-01    4.575793e-01    5.534211e-02
    1.942905e+01    1.605435e+02    3.924567e-02    1.037862e+07    1.169294e-08    7.422395e-12    9.479220e-09    1.017157e-09    4.400000e-01    4.575793e-01    5.705535e-02
    1.930525e+01    1.638934e+02    4.763294e-02    1.234315e+07    1.185706e-08    7.902110e-12    9.696415e-09    1.035536e-09    4.500000e-01    4.575793e-01    5.901993e-02
    1.916445e+01    1.675853e+02    5.773650e-02    1.465400e+07    1.201741e-08    8.411170e-12    9.908415e-09    1.053334e-09    4.600000e-01    4.575793e-01    6.125851e-02
    1.900138e+01    1.715691e+02    6.987720e-02    1.735854e+07    1.217384e-08    8.951320e-12    1.011503e-08    1.070546e-09    4.700000e-01    4.575793e-01    6.379266e-02
    1.881086e+01    1.757761e+02    8.442180e-02    2.050473e+07    1.232620e-08    9.524420e-12    1.031611e-08    1.087168e-09    4.800000e-01    4.575793e-01    6.664227e-02
    1.858834e+01    1.801205e+02    1.017837e-01    2.413902e+07    1.247439e-08    1.013246e-11    1.051155e-08    1.103199e-09    4.900000e-01    4.575793e-01    6.982485e-02
    1.833018e+01    1.845014e+02    1.224219e-01    2.830377e+07    1.261832e-08    1.077755e-11    1.070125e-08    1.118642e-09    5.000000e-01    4.575793e-01    7.335486e-02
    1.803398e+01    1.888066e+02    1.468375e-01    3.303459e+07    1.275792e-08    1.146194e-11    1.088517e-08    1.133501e-09    5.100000e-01    4.575793e-01    7.724312e-02
    1.769882e+01    1.929168e+02    1.755674e-01    3.835737e+07    1.289317e-08    1.218805e-11    1.106329e-08    1.147785e-09    5.200000e-01    4.575793e-01    8.149639e-02
    1.732523e+01    1.967111e+02    2.091757e-01    4.428584e+07    1.302404e-08    1.295841e-11    1.123561e-08    1.161500e-09    5.300000e-01    4.575793e-01    8.611697e-02
    1.691519e+01    2.000731e+02    2.482425e-01    5.081942e+07    1.315053e-08    1.377578e-11    1.140215e-08    1.174660e-09    5.400000e-01    4.575793e-01    9.110257e-02
    1.647193e+01    2.028959e+02    2.933504e-01    5.794187e+07    1.327268e-08    1.464306e-11    1.156295e-08    1.187277e-09    5.500000e-01    4.575793e-01    9.644630e-02
    1.599972e+01    2.050874e+02    3.450702e-01    6.562096e+07    1.339052e-08    1.556340e-11    1.171810e-08    1.199363e-09    5.600000e-01    4.575793e-01    1.021369e-01
    1.550358e+01    2.065748e+02    4.039464e-01    7.380915e+07    1.350410e-08    1.654012e-11    1.186768e-08    1.210937e-09    5.700000e-01    4.575793e-01    1.081590e-01
    1.498895e+01    2.073065e+02    4.704820e-01    8.244506e+07    1.361350e-08    1.757677e-11    1.201178e-08    1.222011e-09    5.800000e-01    4.575793e-01    1.144936e-01
    1.446142e+01    2.072541e+02    5.451265e-01    9.145616e+07    1.371878e-08    1.867721e-11    1.215053e-08    1.232605e-09    5.900000e-01    4.575793e-01    1.211191e-01
    1.392654e+01    2.064124e+02    6.282650e-01    1.007621e+08    1.382004e-08    1.984549e-11    1.228404e-08    1.242735e-09    6.000000e-01    4.575793e-01    1.280111e-01
    1.338954e+01    2.047975e+02    7.202095e-01    1.102776e+08    1.391738e-08    2.108600e-11    1.241244e-08    1.252419e-09    6.100000e-01    4.575793e-01    1.351439e-01
    1.285521e+01    2.024449e+02    8.211960e-01    1.199169e+08    1.401090e-08    2.240343e-11    1.253588e-08    1.261675e-09    6.200000e-01    4.575793e-01    1.424911e-01
    1.232782e+01    1.994059e+02    9.313820e-01    1.295965e+08    1.410072e-08    2.380280e-11    1.265451e-08    1.270523e-09    6.300000e-01    4.575793e-01    1.500257e-01
    1.181103e+01    1.957441e+02    1.050849e+00    1.392386e+08    1.418693e-08    2.528951e-11    1.276847e-08    1.278980e-09    6.400000e-01    4.575793e-01    1.577213e-01
    1.130789e+01    1.915317e+02    1.179606e+00    1.487731e+08    1.426967e-08    2.686933e-11    1.287793e-08    1.287065e-09    6.500000e-01    4.575793e-01    1.655524e-01
    1.082084e+01    1.868458e+02    1.317597e+00    1.581394e+08    1.434906e-08    2.854846e-11    1.298303e-08    1.294796e-09    6.600000e-01    4.575793e-01    1.734947e-01
    1.035176e+01    1.817648e+02    1.464710e+00    1.672874e+08    1.442522e-08    3.033357e-11    1.308394e-08    1.302192e-09    6.700000e-01    4.575793e-01    1.815256e-01
    9.902001e+00    1.763660e+02    1.620783e+00    1.761780e+08    1.449827e-08    3.223181e-11    1.318082e-08    1.309269e-09    6.800000e-01    4.575793e-01    1.896243e-01
    9.472437e+00    1.707232e+02    1.785618e+00    1.847822e+08    1.456834e-08    3.425085e-11    1.327380e-08    1.316046e-09    6.900000e-01    4.575793e-01    1.977721e-01
    9.063556e+00    1.649052e+02    1.958986e+00    1.930817e+08    1.463555e-08    3.639896e-11    1.336307e-08    1.322541e-09    7.000000e-01    4.575793e-01    2.059523e-01
    8.675485e+00    1.589743e+02    2.140640e+00    2.010663e+08    1.470003e-08    3.868500e-11    1.344877e-08    1.328768e-09    7.100000e-01    4.575793e-01    2.141500e-01
    8.308067e+00    1.529859e+02    2.330320e+00    2.087342e+08    1.476190e-08    4.111851e-11    1.353104e-08    1.334746e-09    7.200000e-01    4.575793e-01    2.223527e-01
    7.960926e+00    1.469882e+02    2.527761e+00    2.160898e+08    1.482127e-08    4.370976e-11    1.361003e-08    1.340490e-09    7.300000e-01    4.575793e-01    2.305496e-01
    7.633493e+00    1.410223e+02    2.732699e+00    2.231427e+08    1.487828e-08    4.646979e-11    1.368588e-08    1.346014e-09    7.400000e-01    4.575793e-01    2.387315e-01
