# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: 85C
# W = 2.0 um
# L = 3 um (3000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.165536e+01    1.653134e+02    4.662779e-05    2.032875e+04    7.905325e-09    1.165865e-12    2.867733e-09    4.042594e-10    1.200000e-01    4.534036e-01    4.629615e-02
    2.165489e+01    1.651125e+02    5.790220e-05    2.486693e+04    8.025075e-09    1.246910e-12    3.056811e-09    4.257042e-10    1.300000e-01    4.534036e-01    4.630101e-02
    2.164606e+01    1.648930e+02    7.189930e-05    3.038375e+04    8.152340e-09    1.333650e-12    3.254639e-09    4.478948e-10    1.400000e-01    4.534036e-01    4.630703e-02
    2.162965e+01    1.646536e+02    8.926875e-05    3.708233e+04    8.287090e-09    1.426459e-12    3.461165e-09    4.708114e-10    1.500000e-01    4.534036e-01    4.631450e-02
    2.160629e+01    1.643934e+02    1.108122e-04    4.520629e+04    8.429250e-09    1.525738e-12    3.676288e-09    4.944297e-10    1.600000e-01    4.534036e-01    4.632376e-02
    2.157639e+01    1.641117e+02    1.375181e-04    5.504740e+04    8.578710e-09    1.631905e-12    3.899852e-09    5.187200e-10    1.700000e-01    4.534036e-01    4.633524e-02
    2.154026e+01    1.638079e+02    1.706038e-04    6.695462e+04    8.735325e-09    1.745406e-12    4.131651e-09    5.436485e-10    1.800000e-01    4.534036e-01    4.634946e-02
    2.149807e+01    1.634818e+02    2.115667e-04    8.134498e+04    8.898895e-09    1.866712e-12    4.371424e-09    5.691765e-10    1.900000e-01    4.534036e-01    4.636704e-02
    2.144993e+01    1.631336e+02    2.622466e-04    9.871599e+04    9.069185e-09    1.996316e-12    4.618853e-09    5.952600e-10    2.000000e-01    4.534036e-01    4.638879e-02
    2.139590e+01    1.627643e+02    3.249006e-04    1.196606e+05    9.245915e-09    2.134745e-12    4.873573e-09    6.218520e-10    2.100000e-01    4.534036e-01    4.641564e-02
    2.133602e+01    1.623754e+02    4.022943e-04    1.448847e+05    9.428765e-09    2.282549e-12    5.135165e-09    6.489010e-10    2.200000e-01    4.534036e-01    4.644877e-02
    2.127032e+01    1.619698e+02    4.978109e-04    1.752272e+05    9.617385e-09    2.440312e-12    5.403160e-09    6.763520e-10    2.300000e-01    4.534036e-01    4.648960e-02
    2.119882e+01    1.615511e+02    6.155835e-04    2.116847e+05    9.811365e-09    2.608651e-12    5.677050e-09    7.041465e-10    2.400000e-01    4.534036e-01    4.653984e-02
    2.112161e+01    1.611246e+02    7.606535e-04    2.554391e+05    1.001029e-08    2.788216e-12    5.956285e-09    7.322240e-10    2.500000e-01    4.534036e-01    4.660160e-02
    2.103888e+01    1.606974e+02    9.391590e-04    3.078924e+05    1.021370e-08    2.979693e-12    6.240270e-09    7.605215e-10    2.600000e-01    4.534036e-01    4.667739e-02
    2.095082e+01    1.602787e+02    1.158565e-03    3.707048e+05    1.042109e-08    3.183807e-12    6.528390e-09    7.889750e-10    2.700000e-01    4.534036e-01    4.677022e-02
    2.085779e+01    1.598799e+02    1.427935e-03    4.458438e+05    1.063198e-08    3.401323e-12    6.820000e-09    8.175190e-10    2.800000e-01    4.534036e-01    4.688374e-02
    2.076026e+01    1.595153e+02    1.758257e-03    5.356395e+05    1.084583e-08    3.633050e-12    7.114435e-09    8.460885e-10    2.900000e-01    4.534036e-01    4.702225e-02
    2.065883e+01    1.592022e+02    2.162838e-03    6.428540e+05    1.106210e-08    3.879842e-12    7.411015e-09    8.746170e-10    3.000000e-01    4.534036e-01    4.719088e-02
    2.055425e+01    1.589612e+02    2.657775e-03    7.707631e+05    1.128026e-08    4.142602e-12    7.709065e-09    9.030410e-10    3.100000e-01    4.534036e-01    4.739568e-02
    2.044738e+01    1.588162e+02    3.262516e-03    9.232570e+05    1.149974e-08    4.422285e-12    8.007890e-09    9.312975e-10    3.200000e-01    4.534036e-01    4.764374e-02
    2.033922e+01    1.587951e+02    4.000552e-03    1.104961e+06    1.172000e-08    4.719901e-12    8.306815e-09    9.593245e-10    3.300000e-01    4.534036e-01    4.794332e-02
    2.023084e+01    1.589290e+02    4.900231e-03    1.321381e+06    1.194050e-08    5.036520e-12    8.605170e-09    9.870645e-10    3.400000e-01    4.534036e-01    4.830400e-02
    2.012330e+01    1.592523e+02    5.995755e-03    1.579079e+06    1.216072e-08    5.373270e-12    8.902305e-09    1.014461e-09    3.500000e-01    4.534036e-01    4.873673e-02
    2.001756e+01    1.598022e+02    7.328380e-03    1.885879e+06    1.238014e-08    5.731355e-12    9.197590e-09    1.041462e-09    3.600000e-01    4.534036e-01    4.925404e-02
