# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: -40C
# W = 2.0 um
# L = 0.5 um (500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.336521e+01    1.668143e+02    6.485325e-05    3.024055e+05    1.138822e-09    5.854475e-13    3.031649e-10    3.982267e-11    4.000000e-01    7.178668e-01    3.077026e-02
    3.334657e+01    1.666793e+02    9.053230e-05    4.141997e+05    1.160019e-09    6.485305e-13    3.351818e-10    4.337763e-11    4.100000e-01    7.178668e-01    3.077179e-02
    3.330427e+01    1.665159e+02    1.263404e-04    5.658231e+05    1.183536e-09    7.171515e-13    3.700223e-10    4.718566e-11    4.200000e-01    7.178668e-01    3.077392e-02
    3.324026e+01    1.663197e+02    1.762177e-04    7.708076e+05    1.209450e-09    7.914565e-13    4.077773e-10    5.124965e-11    4.300000e-01    7.178668e-01    3.077690e-02
    3.315530e+01    1.660858e+02    2.456026e-04    1.047007e+06    1.237818e-09    8.715265e-13    4.485105e-10    5.556975e-11    4.400000e-01    7.178668e-01    3.078103e-02
    3.304921e+01    1.658090e+02    3.419811e-04    1.417865e+06    1.268670e-09    9.573660e-13    4.922527e-10    6.014270e-11    4.500000e-01    7.178668e-01    3.078678e-02
    3.292113e+01    1.654836e+02    4.756232e-04    1.914012e+06    1.302007e-09    1.048897e-12    5.389985e-10    6.496210e-11    4.600000e-01    7.178668e-01    3.079474e-02
    3.276972e+01    1.651038e+02    6.605680e-04    2.575246e+06    1.337802e-09    1.145947e-12    5.887015e-10    7.001770e-11    4.700000e-01    7.178668e-01    3.080574e-02
    3.259325e+01    1.646637e+02    9.159270e-04    3.452977e+06    1.375989e-09    1.248244e-12    6.412740e-10    7.529565e-11    4.800000e-01    7.178668e-01    3.082093e-02
    3.238988e+01    1.641580e+02    1.267594e-03    4.613191e+06    1.416472e-09    1.355418e-12    6.965835e-10    8.077840e-11    4.900000e-01    7.178668e-01    3.084182e-02
