# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: -40C
# W = 2.0 um
# L = 6 um (6000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.423223e+01    2.601972e+02    3.222007e-05    1.111870e+04    1.578803e-08    1.912616e-12    7.243675e-09    9.286095e-10    3.900000e-01    6.249858e-01    2.897938e-02
    3.419795e+01    2.592923e+02    4.536697e-05    1.517846e+04    1.626793e-08    2.115130e-12    7.906760e-09    1.000628e-09    4.000000e-01    6.249858e-01    2.898859e-02
    3.411475e+01    2.582589e+02    6.384040e-05    2.066317e+04    1.677495e-08    2.337768e-12    8.602490e-09    1.075277e-09    4.100000e-01    6.249858e-01    2.900152e-02
    3.398832e+01    2.570890e+02    8.974170e-05    2.804948e+04    1.730690e-08    2.582153e-12    9.328000e-09    1.152212e-09    4.200000e-01    6.249858e-01    2.901963e-02
    3.382197e+01    2.557792e+02    1.259669e-04    3.796343e+04    1.786117e-08    2.849981e-12    1.007988e-08    1.231044e-09    4.300000e-01    6.249858e-01    2.904493e-02
    3.361759e+01    2.543324e+02    1.764872e-04    5.122270e+04    1.843476e-08    3.143025e-12    1.085425e-08    1.311347e-09    4.400000e-01    6.249858e-01    2.908014e-02
    3.337626e+01    2.527608e+02    2.467185e-04    6.888904e+04    1.902433e-08    3.463130e-12    1.164683e-08    1.392668e-09    4.500000e-01    6.249858e-01    2.912896e-02
    3.309885e+01    2.510903e+02    3.440040e-04    9.233318e+04    1.962631e-08    3.812220e-12    1.245305e-08    1.474536e-09    4.600000e-01    6.249858e-01    2.919634e-02
    3.278655e+01    2.493635e+02    4.782381e-04    1.233147e+05    2.023696e-08    4.192290e-12    1.326815e-08    1.556477e-09    4.700000e-01    6.249858e-01    2.928885e-02
    3.244132e+01    2.476444e+02    6.626680e-04    1.640806e+05    2.085247e-08    4.605421e-12    1.408730e-08    1.638019e-09    4.800000e-01    6.249858e-01    2.941508e-02
    3.206621e+01    2.460224e+02    9.149185e-04    2.174890e+05    2.146905e-08    5.053770e-12    1.490571e-08    1.718707e-09    4.900000e-01    6.249858e-01    2.958615e-02
    3.166554e+01    2.446152e+02    1.258295e-03    2.871652e+05    2.208299e-08    5.539585e-12    1.571874e-08    1.798110e-09    5.000000e-01    6.249858e-01    2.981619e-02
    3.124479e+01    2.435689e+02    1.723443e-03    3.776985e+05    2.269077e-08    6.065200e-12    1.652199e-08    1.875834e-09    5.100000e-01    6.249858e-01    3.012280e-02
    3.081005e+01    2.430551e+02    2.350451e-03    4.948920e+05    2.328913e-08    6.633065e-12    1.731139e-08    1.951521e-09    5.200000e-01    6.249858e-01    3.052750e-02
    3.036714e+01    2.432638e+02    3.191521e-03    6.460656e+05    2.387509e-08    7.245715e-12    1.808327e-08    2.024862e-09    5.300000e-01    6.249858e-01    3.105594e-02
    2.992029e+01    2.443900e+02    4.314308e-03    8.404057e+05    2.444602e-08    7.905820e-12    1.883440e-08    2.095594e-09    5.400000e-01    6.249858e-01    3.173785e-02
    2.947069e+01    2.466157e+02    5.806015e-03    1.089318e+06    2.499965e-08    8.616175e-12    1.956204e-08    2.163506e-09    5.500000e-01    6.249858e-01    3.260671e-02
    2.901510e+01    2.500886e+02    7.778250e-03    1.406713e+06    2.553410e-08    9.379715e-12    2.026392e-08    2.228437e-09    5.600000e-01    6.249858e-01    3.369890e-02
    2.854536e+01    2.548978e+02    1.037242e-02    1.809104e+06    2.604786e-08    1.019953e-11    2.093825e-08    2.290273e-09    5.700000e-01    6.249858e-01    3.505239e-02
    2.804874e+01    2.610547e+02    1.376528e-02    2.315370e+06    2.653982e-08    1.107887e-11    2.158374e-08    2.348946e-09    5.800000e-01    6.249858e-01    3.670509e-02
    2.750972e+01    2.684777e+02    1.817385e-02    2.946060e+06    2.700919e-08    1.202120e-11    2.219952e-08    2.404430e-09    5.900000e-01    6.249858e-01    3.869280e-02
    2.691265e+01    2.769891e+02    2.385872e-02    3.722155e+06    2.745550e-08    1.303016e-11    2.278513e-08    2.456736e-09    6.000000e-01    6.249858e-01    4.104713e-02
    2.624483e+01    2.863227e+02    3.112465e-02    4.663342e+06    2.787861e-08    1.410962e-11    2.334050e-08    2.505906e-09    6.100000e-01    6.249858e-01    4.379347e-02
    2.549897e+01    2.961433e+02    4.031749e-02    5.786001e+06    2.827859e-08    1.526371e-11    2.386583e-08    2.552010e-09    6.200000e-01    6.249858e-01    4.694934e-02
    2.467473e+01    3.060752e+02    5.181695e-02    7.101209e+06    2.865577e-08    1.649682e-11    2.436163e-08    2.595144e-09    6.300000e-01    6.249858e-01    5.052336e-02
    2.377866e+01    3.157341e+02    6.602545e-02    8.613135e+06    2.901067e-08    1.781360e-11    2.482865e-08    2.635418e-09    6.400000e-01    6.249858e-01    5.451481e-02
    2.282318e+01    3.247603e+02    8.335365e-02    1.031817e+07    2.934392e-08    1.921906e-11    2.526777e-08    2.672957e-09    6.500000e-01    6.249858e-01    5.891392e-02
    2.182456e+01    3.328449e+02    1.042050e-01    1.220498e+07    2.965631e-08    2.071853e-11    2.568009e-08    2.707897e-09    6.600000e-01    6.249858e-01    6.370284e-02
    2.080092e+01    3.397489e+02    1.289598e-01    1.425539e+07    2.994870e-08    2.231770e-11    2.606674e-08    2.740379e-09    6.700000e-01    6.249858e-01    6.885705e-02
    1.977029e+01    3.453114e+02    1.579621e-01    1.644608e+07    3.022205e-08    2.402269e-11    2.642899e-08    2.770549e-09    6.800000e-01    6.249858e-01    7.434705e-02
    1.874916e+01    3.494507e+02    1.915097e-01    1.875063e+07    3.047731e-08    2.584002e-11    2.676811e-08    2.798552e-09    6.900000e-01    6.249858e-01    8.014017e-02
    1.775155e+01    3.521553e+02    2.298477e-01    2.114166e+07    3.071549e-08    2.777672e-11    2.708540e-08    2.824532e-09    7.000000e-01    6.249858e-01    8.620229e-02
