# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: 25C
# W = 2.0 um
# L = 2.5 um (2500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.660198e+01    1.592510e+02    4.709539e-05    3.197779e+04    6.235395e-09    7.521130e-13    2.376758e-09    3.295426e-10    2.800000e-01    5.707597e-01    3.699106e-02
    2.659619e+01    1.589922e+02    6.144730e-05    4.090892e+04    6.358055e-09    8.144145e-13    2.558983e-09    3.505146e-10    2.900000e-01    5.707597e-01    3.699613e-02
    2.657491e+01    1.587034e+02    8.016180e-05    5.225323e+04    6.488530e-09    8.817840e-13    2.750612e-09    3.723134e-10    3.000000e-01    5.707597e-01    3.700274e-02
    2.653970e+01    1.583823e+02    1.045465e-04    6.663904e+04    6.626690e-09    9.545900e-13    2.951458e-09    3.949026e-10    3.100000e-01    5.707597e-01    3.701136e-02
    2.649162e+01    1.580269e+02    1.362918e-04    8.485150e+04    6.772345e-09    1.033220e-12    3.161250e-09    4.182377e-10    3.200000e-01    5.707597e-01    3.702256e-02
    2.643133e+01    1.576360e+02    1.775804e-04    1.078700e+05    6.925220e-09    1.118086e-12    3.379621e-09    4.422659e-10    3.300000e-01    5.707597e-01    3.703713e-02
    2.635915e+01    1.572086e+02    2.312237e-04    1.369132e+05    7.084980e-09    1.209617e-12    3.606121e-09    4.669266e-10    3.400000e-01    5.707597e-01    3.705604e-02
    2.627520e+01    1.567450e+02    3.008366e-04    1.734945e+05    7.251220e-09    1.308266e-12    3.840212e-09    4.921521e-10    3.500000e-01    5.707597e-01    3.708056e-02
    2.617945e+01    1.562468e+02    3.910558e-04    2.194890e+05    7.423465e-09    1.414510e-12    4.081275e-09    5.178680e-10    3.600000e-01    5.707597e-01    3.711228e-02
    2.607189e+01    1.557178e+02    5.078145e-04    2.772145e+05    7.601195e-09    1.528848e-12    4.328617e-09    5.439940e-10    3.700000e-01    5.707597e-01    3.715327e-02
    2.595244e+01    1.551637e+02    6.586865e-04    3.495301e+05    7.783815e-09    1.651806e-12    4.581477e-09    5.704455e-10    3.800000e-01    5.707597e-01    3.720611e-02
    2.582117e+01    1.545938e+02    8.533125e-04    4.399544e+05    7.970700e-09    1.783932e-12    4.839037e-09    5.971340e-10    3.900000e-01    5.707597e-01    3.727407e-02
    2.567837e+01    1.540211e+02    1.103931e-03    5.528108e+05    8.161180e-09    1.925804e-12    5.100435e-09    6.239690e-10    4.000000e-01    5.707597e-01    3.736126e-02
    2.552449e+01    1.534633e+02    1.426039e-03    6.934035e+05    8.354545e-09    2.078027e-12    5.364780e-09    6.508580e-10    4.100000e-01    5.707597e-01    3.747278e-02
    2.536038e+01    1.529434e+02    1.839205e-03    8.682315e+05    8.550085e-09    2.241234e-12    5.631145e-09    6.777095e-10    4.200000e-01    5.707597e-01    3.761495e-02
    2.518715e+01    1.524907e+02    2.368077e-03    1.085256e+06    8.747070e-09    2.416089e-12    5.898610e-09    7.044330e-10    4.300000e-01    5.707597e-01    3.779554e-02
    2.500632e+01    1.521413e+02    3.043631e-03    1.354232e+06    8.944765e-09    2.603290e-12    6.166250e-09    7.309400e-10    4.400000e-01    5.707597e-01    3.802399e-02
    2.481969e+01    1.519383e+02    3.904717e-03    1.687108e+06    9.142460e-09    2.803568e-12    6.433165e-09    7.571470e-10    4.500000e-01    5.707597e-01    3.831167e-02
    2.462923e+01    1.519314e+02    4.999971e-03    2.098540e+06    9.339450e-09    3.017693e-12    6.698480e-09    7.829745e-10    4.600000e-01    5.707597e-01    3.867214e-02
    2.443693e+01    1.521762e+02    6.390190e-03    2.606495e+06    9.535065e-09    3.246469e-12    6.961355e-09    8.083480e-10    4.700000e-01    5.707597e-01    3.912133e-02
    2.424447e+01    1.527323e+02    8.151245e-03    3.232984e+06    9.728665e-09    3.490746e-12    7.221005e-09    8.332000e-10    4.800000e-01    5.707597e-01    3.967771e-02
    2.405283e+01    1.536607e+02    1.037766e-02    4.004875e+06    9.919665e-09    3.751418e-12    7.476700e-09    8.574695e-10    4.900000e-01    5.707597e-01    4.036237e-02
    2.386185e+01    1.550195e+02    1.318697e-02    4.954785e+06    1.010752e-08    4.029423e-12    7.727765e-09    8.811025e-10    5.000000e-01    5.707597e-01    4.119893e-02
    2.366984e+01    1.568589e+02    1.672475e-02    6.121915e+06    1.029172e-08    4.325753e-12    7.973605e-09    9.040540e-10    5.100000e-01    5.707597e-01    4.221335e-02
    2.347322e+01    1.592158e+02    2.117054e-02    7.552705e+06    1.047182e-08    4.641453e-12    8.213690e-09    9.262845e-10    5.200000e-01    5.707597e-01    4.343347e-02
    2.326639e+01    1.621074e+02    2.674427e-02    9.301084e+06    1.064747e-08    4.977627e-12    8.447550e-09    9.477630e-10    5.300000e-01    5.707597e-01    4.488844e-02
    2.304184e+01    1.655251e+02    3.371287e-02    1.142810e+07    1.081829e-08    5.335440e-12    8.674810e-09    9.684655e-10    5.400000e-01    5.707597e-01    4.660782e-02
    2.279073e+01    1.694306e+02    4.239662e-02    1.400062e+07    1.098405e-08    5.716130e-12    8.895150e-09    9.883760e-10    5.500000e-01    5.707597e-01    4.862061e-02
    2.250361e+01    1.737520e+02    5.317425e-02    1.708885e+07    1.114451e-08    6.121000e-12    9.108320e-09    1.007483e-09    5.600000e-01    5.707597e-01    5.095403e-02
    2.217155e+01    1.783849e+02    6.648595e-02    2.076286e+07    1.129949e-08    6.551435e-12    9.314140e-09    1.025785e-09    5.700000e-01    5.707597e-01    5.363230e-02
    2.178716e+01    1.831955e+02    8.283330e-02    2.508780e+07    1.144889e-08    7.008905e-12    9.512490e-09    1.043281e-09    5.800000e-01    5.707597e-01    5.667547e-02
    2.134556e+01    1.880265e+02    1.027751e-01    3.011854e+07    1.159263e-08    7.494970e-12    9.703310e-09    1.059979e-09    5.900000e-01    5.707597e-01    6.009830e-02
    2.084505e+01    1.927074e+02    1.269185e-01    3.589428e+07    1.173067e-08    8.011280e-12    9.886590e-09    1.075889e-09    6.000000e-01    5.707597e-01    6.390948e-02
    2.028722e+01    1.970646e+02    1.559059e-01    4.243358e+07    1.186303e-08    8.559600e-12    1.006237e-08    1.091029e-09    6.100000e-01    5.707597e-01    6.811108e-02
    1.967686e+01    2.009338e+02    1.903975e-01    4.973100e+07    1.198974e-08    9.141795e-12    1.023072e-08    1.105415e-09    6.200000e-01    5.707597e-01    7.269847e-02
    1.902132e+01    2.041703e+02    2.310511e-01    5.775543e+07    1.211089e-08    9.759870e-12    1.039176e-08    1.119070e-09    6.300000e-01    5.707597e-01    7.766046e-02
    1.832986e+01    2.066576e+02    2.785007e-01    6.645098e+07    1.222656e-08    1.041594e-11    1.054563e-08    1.132017e-09    6.400000e-01    5.707597e-01    8.297999e-02
    1.761276e+01    2.083134e+02    3.333359e-01    7.573985e+07    1.233688e-08    1.111227e-11    1.069251e-08    1.144282e-09    6.500000e-01    5.707597e-01    8.863492e-02
    1.688054e+01    2.090921e+02    3.960837e-01    8.552715e+07    1.244198e-08    1.185126e-11    1.083261e-08    1.155892e-09    6.600000e-01    5.707597e-01    9.459912e-02
    1.614333e+01    2.089837e+02    4.671942e-01    9.570693e+07    1.254202e-08    1.263551e-11    1.096613e-08    1.166874e-09    6.700000e-01    5.707597e-01    1.008437e-01
    1.541036e+01    2.080105e+02    5.470315e-01    1.061684e+08    1.263717e-08    1.346775e-11    1.109329e-08    1.177259e-09    6.800000e-01    5.707597e-01    1.073379e-01
    1.468965e+01    2.062221e+02    6.358695e-01    1.168028e+08    1.272760e-08    1.435092e-11    1.121435e-08    1.187075e-09    6.900000e-01    5.707597e-01    1.140508e-01
    1.398786e+01    2.036887e+02    7.338925e-01    1.275076e+08    1.281350e-08    1.528816e-11    1.132953e-08    1.196351e-09    7.000000e-01    5.707597e-01    1.209516e-01
    1.331022e+01    2.004946e+02    8.412015e-01    1.381919e+08    1.289505e-08    1.628282e-11    1.143909e-08    1.205116e-09    7.100000e-01    5.707597e-01    1.280109e-01
    1.266066e+01    1.967316e+02    9.578210e-01    1.487781e+08    1.297244e-08    1.733849e-11    1.154328e-08    1.213399e-09    7.200000e-01    5.707597e-01    1.352009e-01
    1.204183e+01    1.924943e+02    1.083712e+00    1.592037e+08    1.304587e-08    1.845901e-11    1.164235e-08    1.221227e-09    7.300000e-01    5.707597e-01    1.424963e-01
    1.145537e+01    1.878747e+02    1.218780e+00    1.694216e+08    1.311554e-08    1.964848e-11    1.173655e-08    1.228628e-09    7.400000e-01    5.707597e-01    1.498744e-01
    1.090200e+01    1.829594e+02    1.362893e+00    1.793987e+08    1.318161e-08    2.091131e-11    1.182612e-08    1.235628e-09    7.500000e-01    5.707597e-01    1.573148e-01
    1.038169e+01    1.778270e+02    1.515886e+00    1.891152e+08    1.324429e-08    2.225221e-11    1.191129e-08    1.242253e-09    7.600000e-01    5.707597e-01    1.648001e-01
