# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: 25C
# W = 2.0 um
# L = 4 um (4000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.713683e+01    2.010844e+02    4.155860e-05    1.789362e+04    1.003095e-08    1.345638e-12    4.008569e-09    5.548230e-10    2.900000e-01    5.669214e-01    3.784086e-02
    2.712626e+01    2.006869e+02    5.451290e-05    2.297866e+04    1.024200e-08    1.460011e-12    4.317342e-09    5.903620e-10    3.000000e-01    5.669214e-01    3.784822e-02
    2.709674e+01    2.002443e+02    7.149065e-05    2.945898e+04    1.046571e-08    1.583890e-12    4.641328e-09    6.272280e-10    3.100000e-01    5.669214e-01    3.785787e-02
    2.705019e+01    1.997540e+02    9.372030e-05    3.770240e+04    1.070176e-08    1.717980e-12    4.980053e-09    6.653445e-10    3.200000e-01    5.669214e-01    3.787050e-02
    2.698793e+01    1.992142e+02    1.227952e-04    4.816935e+04    1.094966e-08    1.863023e-12    5.332885e-09    7.046210e-10    3.300000e-01    5.669214e-01    3.788700e-02
    2.691081e+01    1.986242e+02    1.607779e-04    6.143463e+04    1.120883e-08    2.019803e-12    5.699040e-09    7.449530e-10    3.400000e-01    5.669214e-01    3.790853e-02
    2.681929e+01    1.979847e+02    2.103319e-04    7.821409e+04    1.147856e-08    2.189145e-12    6.077585e-09    7.862225e-10    3.500000e-01    5.669214e-01    3.793659e-02
    2.671365e+01    1.972991e+02    2.748878e-04    9.939712e+04    1.175804e-08    2.371921e-12    6.467450e-09    8.283020e-10    3.600000e-01    5.669214e-01    3.797309e-02
    2.659403e+01    1.965730e+02    3.588530e-04    1.260856e+05    1.204634e-08    2.569048e-12    6.867435e-09    8.710520e-10    3.700000e-01    5.669214e-01    3.802047e-02
    2.646060e+01    1.958165e+02    4.678732e-04    1.596415e+05    1.234247e-08    2.781488e-12    7.276235e-09    9.143275e-10    3.800000e-01    5.669214e-01    3.808182e-02
    2.631365e+01    1.950443e+02    6.091590e-04    2.017446e+05    1.264532e-08    3.010257e-12    7.692445e-09    9.579755e-10    3.900000e-01    5.669214e-01    3.816107e-02
    2.615361e+01    1.942766e+02    7.918930e-04    2.544620e+05    1.295375e-08    3.256421e-12    8.114585e-09    1.001840e-09    4.000000e-01    5.669214e-01    3.826311e-02
    2.598125e+01    1.935412e+02    1.027733e-03    3.203335e+05    1.326656e-08    3.521103e-12    8.541130e-09    1.045764e-09    4.100000e-01    5.669214e-01    3.839407e-02
    2.579768e+01    1.928736e+02    1.331437e-03    4.024768e+05    1.358253e-08    3.805482e-12    8.970525e-09    1.089590e-09    4.200000e-01    5.669214e-01    3.856153e-02
    2.560436e+01    1.923185e+02    1.721639e-03    5.047173e+05    1.390042e-08    4.110801e-12    9.401200e-09    1.133165e-09    4.300000e-01    5.669214e-01    3.877475e-02
    2.540310e+01    1.919299e+02    2.221804e-03    6.317472e+05    1.421901e-08    4.438367e-12    9.831615e-09    1.176340e-09    4.400000e-01    5.669214e-01    3.904499e-02
    2.519601e+01    1.917716e+02    2.861423e-03    7.893262e+05    1.453709e-08    4.789555e-12    1.026025e-08    1.218974e-09    4.500000e-01    5.669214e-01    3.938574e-02
    2.498522e+01    1.919154e+02    3.677479e-03    9.845195e+05    1.485351e-08    5.165820e-12    1.068566e-08    1.260933e-09    4.600000e-01    5.669214e-01    3.981297e-02
    2.477269e+01    1.924402e+02    4.716267e-03    1.225991e+06    1.516716e-08    5.568685e-12    1.110648e-08    1.302096e-09    4.700000e-01    5.669214e-01    4.034530e-02
    2.455974e+01    1.934276e+02    6.035625e-03    1.524332e+06    1.547699e-08    5.999770e-12    1.152140e-08    1.342350e-09    4.800000e-01    5.669214e-01    4.100411e-02
    2.434663e+01    1.949571e+02    7.707640e-03    1.892416e+06    1.578206e-08    6.460780e-12    1.192925e-08    1.381598e-09    4.900000e-01    5.669214e-01    4.181349e-02
    2.413209e+01    1.971003e+02    9.821835e-03    2.345751e+06    1.608147e-08    6.953520e-12    1.232896e-08    1.419752e-09    5.000000e-01    5.669214e-01    4.280001e-02
    2.391290e+01    1.999124e+02    1.248888e-02    2.902746e+06    1.637446e-08    7.479895e-12    1.271957e-08    1.456741e-09    5.100000e-01    5.669214e-01    4.399233e-02
    2.368370e+01    2.034249e+02    1.584467e-02    3.584838e+06    1.666031e-08    8.041925e-12    1.310027e-08    1.492504e-09    5.200000e-01    5.669214e-01    4.542056e-02
    2.343710e+01    2.076370e+02    2.005453e-02    4.416342e+06    1.693845e-08    8.641755e-12    1.347034e-08    1.526994e-09    5.300000e-01    5.669214e-01    4.711533e-02
    2.316418e+01    2.125092e+02    2.531728e-02    5.423929e+06    1.720839e-08    9.281665e-12    1.382922e-08    1.560178e-09    5.400000e-01    5.669214e-01    4.910674e-02
    2.285534e+01    2.179599e+02    3.186853e-02    6.635663e+06    1.746970e-08    9.964060e-12    1.417643e-08    1.592032e-09    5.500000e-01    5.669214e-01    5.142315e-02
    2.250138e+01    2.238641e+02    3.998257e-02    8.079511e+06    1.772209e-08    1.069151e-11    1.451165e-08    1.622547e-09    5.600000e-01    5.669214e-01    5.408981e-02
    2.209469e+01    2.300577e+02    4.997238e-02    9.781440e+06    1.796533e-08    1.146676e-11    1.483462e-08    1.651719e-09    5.700000e-01    5.669214e-01    5.712763e-02
    2.163027e+01    2.363456e+02    6.218690e-02    1.176324e+07    1.819928e-08    1.229270e-11    1.514523e-08    1.679559e-09    5.800000e-01    5.669214e-01    6.055208e-02
    2.110641e+01    2.425133e+02    7.700555e-02    1.404028e+07    1.842387e-08    1.317244e-11    1.544343e-08    1.706081e-09    5.900000e-01    5.669214e-01    6.437226e-02
