# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: tt
# Temperature: -40C
# W = 2.0 um
# L = 1 um (1000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.559968e+01    1.661171e+02    4.929099e-05    1.308394e+05    2.134495e-09    1.504882e-13    6.084995e-10    7.654320e-11    3.600000e-01    6.598027e-01    3.294445e-02
    3.557259e+01    1.656886e+02    7.036075e-05    1.823677e+05    2.184329e-09    1.672729e-13    6.807525e-10    8.415720e-11    3.700000e-01    6.598027e-01    3.294651e-02
    3.550830e+01    1.651839e+02    1.003907e-04    2.532848e+05    2.239930e-09    1.859756e-13    7.599470e-10    9.236500e-11    3.800000e-01    6.598027e-01    3.294946e-02
    3.541012e+01    1.645912e+02    1.431208e-04    3.504684e+05    2.301449e-09    2.067943e-13    8.462615e-10    1.011697e-10    3.900000e-01    6.598027e-01    3.295365e-02
    3.527927e+01    1.638983e+02    2.038050e-04    4.830527e+05    2.368972e-09    2.299416e-13    9.397825e-10    1.105661e-10    4.000000e-01    6.598027e-01    3.295961e-02
    3.511541e+01    1.630920e+02    2.897924e-04    6.630877e+05    2.442496e-09    2.556441e-13    1.040494e-09    1.205395e-10    4.100000e-01    6.598027e-01    3.296804e-02
    3.491715e+01    1.621592e+02    4.113141e-04    9.063563e+05    2.521933e-09    2.841418e-13    1.148264e-09    1.310654e-10    4.200000e-01    6.598027e-01    3.297995e-02
    3.468234e+01    1.610875e+02    5.825330e-04    1.233366e+06    2.607096e-09    3.156890e-13    1.262846e-09    1.421096e-10    4.300000e-01    6.598027e-01    3.299672e-02
    3.440851e+01    1.598660e+02    8.229320e-04    1.670538e+06    2.697700e-09    3.505532e-13    1.383869e-09    1.536278e-10    4.400000e-01    6.598027e-01    3.302024e-02
    3.409315e+01    1.584872e+02    1.159122e-03    2.251586e+06    2.793365e-09    3.890150e-13    1.510842e-09    1.655663e-10    4.500000e-01    6.598027e-01    3.305307e-02
    3.373415e+01    1.569484e+02    1.627160e-03    3.019110e+06    2.893618e-09    4.313679e-13    1.643163e-09    1.778633e-10    4.600000e-01    6.598027e-01    3.309869e-02
    3.333019e+01    1.552542e+02    2.275490e-03    4.026387e+06    2.997901e-09    4.779179e-13    1.780128e-09    1.904495e-10    4.700000e-01    6.598027e-01    3.316167e-02
    3.288110e+01    1.534179e+02    3.168597e-03    5.339367e+06    3.105587e-09    5.289835e-13    1.920949e-09    2.032500e-10    4.800000e-01    6.598027e-01    3.324808e-02
    3.238841e+01    1.514651e+02    4.391504e-03    7.038956e+06    3.215990e-09    5.848960e-13    2.064765e-09    2.161862e-10    4.900000e-01    6.598027e-01    3.336572e-02
    3.185558e+01    1.494340e+02    6.055235e-03    9.223658e+06    3.328384e-09    6.459975e-13    2.210677e-09    2.291773e-10    5.000000e-01    6.598027e-01    3.352455e-02
    3.128823e+01    1.473776e+02    8.303425e-03    1.201282e+07    3.442022e-09    7.126445e-13    2.357755e-09    2.421428e-10    5.100000e-01    6.598027e-01    3.373699e-02
    3.069405e+01    1.453625e+02    1.132030e-02    1.555078e+07    3.556152e-09    7.852055e-13    2.505074e-09    2.550041e-10    5.200000e-01    6.598027e-01    3.401826e-02
    3.008235e+01    1.434667e+02    1.534041e-02    2.001236e+07    3.670038e-09    8.640625e-13    2.651727e-09    2.676863e-10    5.300000e-01    6.598027e-01    3.438660e-02
    2.946336e+01    1.417752e+02    2.066044e-02    2.560994e+07    3.782975e-09    9.496130e-13    2.796853e-09    2.801200e-10    5.400000e-01    6.598027e-01    3.486331e-02
    2.884702e+01    1.403732e+02    2.765390e-02    3.260226e+07    3.894302e-09    1.042269e-12    2.939649e-09    2.922425e-10    5.500000e-01    6.598027e-01    3.547273e-02
    2.824170e+01    1.393380e+02    3.678897e-02    4.130450e+07    4.003421e-09    1.142460e-12    3.079388e-09    3.039988e-10    5.600000e-01    6.598027e-01    3.624186e-02
    2.765287e+01    1.387294e+02    4.865020e-02    5.209845e+07    4.109795e-09    1.250634e-12    3.215429e-09    3.153422e-10    5.700000e-01    6.598027e-01    3.719983e-02
    2.708210e+01    1.385812e+02    6.396370e-02    6.544072e+07    4.212966e-09    1.367260e-12    3.347222e-09    3.262347e-10    5.800000e-01    6.598027e-01    3.837718e-02
    2.652649e+01    1.388938e+02    8.362550e-02    8.186621e+07    4.312548e-09    1.492829e-12    3.474316e-09    3.366470e-10    5.900000e-01    6.598027e-01    3.980483e-02
    2.597905e+01    1.396292e+02    1.087306e-01    1.019836e+08    4.408236e-09    1.627856e-12    3.596351e-09    3.465583e-10    6.000000e-01    6.598027e-01    4.151298e-02
    2.542949e+01    1.407102e+02    1.406006e-01    1.264596e+08    4.499799e-09    1.772886e-12    3.713067e-09    3.559557e-10    6.100000e-01    6.598027e-01    4.352986e-02
    2.486589e+01    1.420237e+02    1.808045e-01    1.559903e+08    4.587076e-09    1.928491e-12    3.824287e-09    3.648337e-10    6.200000e-01    6.598027e-01    4.588043e-02
    2.427637e+01    1.434273e+02    2.311701e-01    1.912587e+08    4.669971e-09    2.095280e-12    3.929915e-09    3.731933e-10    6.300000e-01    6.598027e-01    4.858513e-02
    2.365097e+01    1.447612e+02    2.937779e-01    2.328820e+08    4.748452e-09    2.273897e-12    4.029932e-09    3.810412e-10    6.400000e-01    6.598027e-01    5.165872e-02
    2.298293e+01    1.458609e+02    3.709364e-01    2.813517e+08    4.822535e-09    2.465024e-12    4.124375e-09    3.883890e-10    6.500000e-01    6.598027e-01    5.510934e-02
    2.226959e+01    1.465725e+02    4.651365e-01    3.369779e+08    4.892281e-09    2.669390e-12    4.213341e-09    3.952520e-10    6.600000e-01    6.598027e-01    5.893793e-02
    2.151252e+01    1.467657e+02    5.789845e-01    3.998436e+08    4.957791e-09    2.887771e-12    4.296970e-09    4.016490e-10    6.700000e-01    6.598027e-01    6.313805e-02
    2.071708e+01    1.463450e+02    7.151220e-01    4.697802e+08    5.019195e-09    3.120995e-12    4.375436e-09    4.076009e-10    6.800000e-01    6.598027e-01    6.769606e-02
    1.989171e+01    1.452555e+02    8.761330e-01    5.463682e+08    5.076645e-09    3.369947e-12    4.448944e-09    4.131304e-10    6.900000e-01    6.598027e-01    7.259188e-02
    1.904669e+01    1.434845e+02    1.064458e+00    6.289620e+08    5.130315e-09    3.635572e-12    4.517718e-09    4.182612e-10    7.000000e-01    6.598027e-01    7.780003e-02
    1.819317e+01    1.410575e+02    1.282316e+00    7.167392e+08    5.180390e-09    3.918886e-12    4.581995e-09    4.230177e-10    7.100000e-01    6.598027e-01    8.329093e-02
    1.734212e+01    1.380323e+02    1.531639e+00    8.087627e+08    5.227060e-09    4.220972e-12    4.642020e-09    4.274242e-10    7.200000e-01    6.598027e-01    8.903238e-02
    1.650361e+01    1.344890e+02    1.814033e+00    9.040463e+08    5.270520e-09    4.542995e-12    4.698044e-09    4.315048e-10    7.300000e-01    6.598027e-01    9.499092e-02
    1.568627e+01    1.305212e+02    2.130765e+00    1.001617e+09    5.310965e-09    4.886204e-12    4.750313e-09    4.352831e-10    7.400000e-01    6.598027e-01    1.011332e-01
    1.489702e+01    1.262270e+02    2.482762e+00    1.100563e+09    5.348595e-09    5.251940e-12    4.799074e-09    4.387819e-10    7.500000e-01    6.598027e-01    1.074270e-01
    1.414108e+01    1.217020e+02    2.870633e+00    1.200074e+09    5.383595e-09    5.641645e-12    4.844563e-09    4.420230e-10    7.600000e-01    6.598027e-01    1.138420e-01
    1.342196e+01    1.170345e+02    3.294703e+00    1.299457e+09    5.416150e-09    6.056860e-12    4.887010e-09    4.450274e-10    7.700000e-01    6.598027e-01    1.203505e-01
    1.274174e+01    1.123020e+02    3.755050e+00    1.398146e+09    5.446435e-09    6.499260e-12    4.926636e-09    4.478146e-10    7.800000e-01    6.598027e-01    1.269276e-01
    1.210125e+01    1.075701e+02    4.251549e+00    1.495697e+09    5.474620e-09    6.970620e-12    4.963649e-09    4.504032e-10    7.900000e-01    6.598027e-01    1.335511e-01
    1.150033e+01    1.028919e+02    4.783912e+00    1.591778e+09    5.500865e-09    7.472875e-12    4.998246e-09    4.528104e-10    8.000000e-01    6.598027e-01    1.402022e-01
    1.093807e+01    9.830883e+01    5.351725e+00    1.686152e+09    5.525325e-09    8.008095e-12    5.030615e-09    4.550527e-10    8.100000e-01    6.598027e-01    1.468644e-01
    1.041305e+01    9.385227e+01    5.954480e+00    1.778670e+09    5.548130e-09    8.578510e-12    5.060925e-09    4.571448e-10    8.200000e-01    6.598027e-01    1.535240e-01
    9.923441e+00    8.954425e+01    6.591610e+00    1.869233e+09    5.569425e-09    9.186515e-12    5.089345e-09    4.591008e-10    8.300000e-01    6.598027e-01    1.601695e-01
    9.467208e+00    8.539939e+01    7.262500e+00    1.957801e+09    5.589330e-09    9.834705e-12    5.116020e-09    4.609336e-10    8.400000e-01    6.598027e-01    1.667914e-01
    9.042215e+00    8.142637e+01    7.966510e+00    2.044364e+09    5.607960e-09    1.052586e-11    5.141090e-09    4.626550e-10    8.500000e-01    6.598027e-01    1.733821e-01
    8.646303e+00    7.762914e+01    8.702980e+00    2.128941e+09    5.625420e-09    1.126300e-11    5.164685e-09    4.642760e-10    8.600000e-01    6.598027e-01    1.799352e-01
    8.277336e+00    7.400801e+01    9.471260e+00    2.211567e+09    5.641810e-09    1.204934e-11    5.186930e-09    4.658067e-10    8.700000e-01    6.598027e-01    1.864460e-01
    7.933242e+00    7.056050e+01    1.027070e+01    2.292279e+09    5.657225e-09    1.288839e-11    5.207925e-09    4.672565e-10    8.800000e-01    6.598027e-01    1.929105e-01
    7.612076e+00    6.728218e+01    1.110065e+01    2.371125e+09    5.671750e-09    1.378393e-11    5.227780e-09    4.686339e-10    8.900000e-01    6.598027e-01    1.993258e-01
