# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: tt
# Temperature: -40C
# W = 2.0 um
# L = 4.5 um (4500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.377660e+01    2.185551e+02    3.981340e-05    1.765560e+04    1.212223e-08    1.491247e-12    5.490495e-09    6.883085e-10    3.700000e-01    6.104658e-01    2.994169e-02
    3.374279e+01    2.179036e+02    5.580345e-05    2.399609e+04    1.248883e-08    1.647896e-12    5.995035e-09    7.416175e-10    3.800000e-01    6.104658e-01    2.994949e-02
    3.366966e+01    2.171582e+02    7.817330e-05    3.253154e+04    1.287694e-08    1.820112e-12    6.525275e-09    7.969490e-10    3.900000e-01    6.104658e-01    2.996040e-02
    3.356124e+01    2.163122e+02    1.094110e-04    4.399018e+04    1.328505e-08    2.009167e-12    7.079220e-09    8.540640e-10    4.000000e-01    6.104658e-01    2.997563e-02
    3.341985e+01    2.153613e+02    1.529397e-04    5.932887e+04    1.371130e-08    2.216395e-12    7.654460e-09    9.126895e-10    4.100000e-01    6.104658e-01    2.999681e-02
    3.324649e+01    2.143044e+02    2.134498e-04    7.979886e+04    1.415353e-08    2.443192e-12    8.248220e-09    9.725255e-10    4.200000e-01    6.104658e-01    3.002622e-02
    3.304162e+01    2.131473e+02    2.973376e-04    1.070288e+05    1.460934e-08    2.691019e-12    8.857405e-09    1.033249e-09    4.300000e-01    6.104658e-01    3.006691e-02
    3.280535e+01    2.119034e+02    4.132816e-04    1.431274e+05    1.507606e-08    2.961401e-12    9.478670e-09    1.094523e-09    4.400000e-01    6.104658e-01    3.012297e-02
    3.253799e+01    2.105974e+02    5.729920e-04    1.908105e+05    1.555096e-08    3.255928e-12    1.010850e-08    1.156001e-09    4.500000e-01    6.104658e-01    3.019990e-02
    3.224051e+01    2.092687e+02    7.921800e-04    2.535604e+05    1.603115e-08    3.576259e-12    1.074326e-08    1.217339e-09    4.600000e-01    6.104658e-01    3.030490e-02
    3.191466e+01    2.079740e+02    1.091805e-03    3.358227e+05    1.651373e-08    3.924124e-12    1.137937e-08    1.278199e-09    4.700000e-01    6.104658e-01    3.044737e-02
    3.156335e+01    2.067912e+02    1.499665e-03    4.432552e+05    1.699588e-08    4.301326e-12    1.201324e-08    1.338260e-09    4.800000e-01    6.104658e-01    3.063941e-02
    3.119067e+01    2.058205e+02    2.052436e-03    5.830440e+05    1.747484e-08    4.709750e-12    1.264146e-08    1.397221e-09    4.900000e-01    6.104658e-01    3.089631e-02
    3.080162e+01    2.051844e+02    2.798267e-03    7.643044e+05    1.794802e-08    5.151365e-12    1.326087e-08    1.454808e-09    5.000000e-01    6.104658e-01    3.123702e-02
    3.040164e+01    2.050251e+02    3.800085e-03    9.985852e+05    1.841303e-08    5.628230e-12    1.386849e-08    1.510778e-09    5.100000e-01    6.104658e-01    3.168464e-02
    2.999548e+01    2.054969e+02    5.139790e-03    1.300474e+06    1.886772e-08    6.142510e-12    1.446172e-08    1.564920e-09    5.200000e-01    6.104658e-01    3.226655e-02
    2.958603e+01    2.067549e+02    6.923505e-03    1.688285e+06    1.931022e-08    6.696470e-12    1.503826e-08    1.617062e-09    5.300000e-01    6.104658e-01    3.301441e-02
    2.917284e+01    2.089395e+02    9.287980e-03    2.184730e+06    1.973888e-08    7.292495e-12    1.559618e-08    1.667065e-09    5.400000e-01    6.104658e-01    3.396370e-02
    2.875100e+01    2.121573e+02    1.240812e-02    2.817426e+06    2.015239e-08    7.933110e-12    1.613392e-08    1.714826e-09    5.500000e-01    6.104658e-01    3.515277e-02
    2.831061e+01    2.164615e+02    1.650527e-02    3.618984e+06    2.054970e-08    8.620965e-12    1.665025e-08    1.760276e-09    5.600000e-01    6.104658e-01    3.662151e-02
    2.783760e+01    2.218351e+02    2.185555e-02    4.626406e+06    2.093003e-08    9.358875e-12    1.714429e-08    1.803378e-09    5.700000e-01    6.104658e-01    3.840946e-02
    2.731562e+01    2.281804e+02    2.879693e-02    5.879538e+06    2.129287e-08    1.014983e-11    1.761551e-08    1.844123e-09    5.800000e-01    6.104658e-01    4.055363e-02
    2.672881e+01    2.353169e+02    3.773359e-02    7.418435e+06    2.163793e-08    1.099698e-11    1.806363e-08    1.882527e-09    5.900000e-01    6.104658e-01    4.308628e-02
    2.606491e+01    2.429907e+02    4.913576e-02    9.279838e+06    2.196512e-08    1.190371e-11    1.848864e-08    1.918629e-09    6.000000e-01    6.104658e-01    4.603275e-02
    2.531767e+01    2.508942e+02    6.353370e-02    1.149314e+07    2.227457e-08    1.287360e-11    1.889078e-08    1.952488e-09    6.100000e-01    6.104658e-01    4.940978e-02
    2.448819e+01    2.586933e+02    8.150510e-02    1.407656e+07    2.256655e-08    1.391049e-11    1.927045e-08    1.984174e-09    6.200000e-01    6.104658e-01    5.322442e-02
    2.358451e+01    2.660560e+02    1.036569e-01    1.703419e+07    2.284145e-08    1.501845e-11    1.962826e-08    2.013773e-09    6.300000e-01    6.104658e-01    5.747373e-02
    2.262051e+01    2.726820e+02    1.306020e-01    2.035467e+07    2.309980e-08    1.620187e-11    1.996489e-08    2.041378e-09    6.400000e-01    6.104658e-01    6.214520e-02
    2.161368e+01    2.783252e+02    1.629353e-01    2.401167e+07    2.334219e-08    1.746542e-11    2.028116e-08    2.067090e-09    6.500000e-01    6.104658e-01    6.721790e-02
    2.058302e+01    2.828071e+02    2.012099e-01    2.796610e+07    2.356929e-08    1.881411e-11    2.057796e-08    2.091013e-09    6.600000e-01    6.104658e-01    7.266407e-02
    1.954709e+01    2.860229e+02    2.459175e-01    3.216968e+07    2.378182e-08    2.025332e-11    2.085623e-08    2.113253e-09    6.700000e-01    6.104658e-01    7.845103e-02
    1.852264e+01    2.879376e+02    2.974747e-01    3.656913e+07    2.398050e-08    2.178881e-11    2.111693e-08    2.133917e-09    6.800000e-01    6.104658e-01    8.454314e-02
    1.752371e+01    2.885772e+02    3.562150e-01    4.111041e+07    2.416611e-08    2.342677e-11    2.136105e-08    2.153109e-09    6.900000e-01    6.104658e-01    9.090361e-02
    1.656133e+01    2.880156e+02    4.223885e-01    4.574225e+07    2.433940e-08    2.517385e-11    2.158957e-08    2.170933e-09    7.000000e-01    6.104658e-01    9.749609e-02
    1.564347e+01    2.863601e+02    4.961656e-01    5.041895e+07    2.450112e-08    2.703720e-11    2.180345e-08    2.187488e-09    7.100000e-01    6.104658e-01    1.042859e-01
    1.477534e+01    2.837380e+02    5.776460e-01    5.510191e+07    2.465203e-08    2.902450e-11    2.200364e-08    2.202873e-09    7.200000e-01    6.104658e-01    1.112409e-01
    1.395984e+01    2.802849e+02    6.668680e-01    5.976050e+07    2.479283e-08    3.114401e-11    2.219106e-08    2.217176e-09    7.300000e-01    6.104658e-01    1.183320e-01
    1.319789e+01    2.761349e+02    7.638230e-01    6.437176e+07    2.492424e-08    3.340465e-11    2.236657e-08    2.230486e-09    7.400000e-01    6.104658e-01    1.255338e-01
    1.248898e+01    2.714154e+02    8.684645e-01    6.891998e+07    2.504690e-08    3.581598e-11    2.253103e-08    2.242885e-09    7.500000e-01    6.104658e-01    1.328238e-01
    1.183150e+01    2.662410e+02    9.807205e-01    7.339546e+07    2.516146e-08    3.838833e-11    2.268523e-08    2.254450e-09    7.600000e-01    6.104658e-01    1.401832e-01
    1.122310e+01    2.607128e+02    1.100501e+00    7.779353e+07    2.526852e-08    4.113283e-11    2.282991e-08    2.265254e-09    7.700000e-01    6.104658e-01    1.475963e-01
    1.066096e+01    2.549171e+02    1.227707e+00    8.211339e+07    2.536865e-08    4.406145e-11    2.296580e-08    2.275364e-09    7.800000e-01    6.104658e-01    1.550498e-01
    1.014200e+01    2.489259e+02    1.362237e+00    8.635695e+07    2.546239e-08    4.718714e-11    2.309354e-08    2.284843e-09    7.900000e-01    6.104658e-01    1.625332e-01
    9.663033e+00    2.427979e+02    1.503990e+00    9.052813e+07    2.555024e-08    5.052385e-11    2.321376e-08    2.293751e-09    8.000000e-01    6.104658e-01    1.700380e-01
    9.220903e+00    2.365806e+02    1.652868e+00    9.463195e+07    2.563268e-08    5.408660e-11    2.332704e-08    2.302141e-09    8.100000e-01    6.104658e-01    1.775573e-01
    8.812541e+00    2.303105e+02    1.808779e+00    9.867396e+07    2.571013e-08    5.789170e-11    2.343391e-08    2.310064e-09    8.200000e-01    6.104658e-01    1.850860e-01
    8.435033e+00    2.240164e+02    1.971640e+00    1.026599e+08    2.578302e-08    6.195665e-11    2.353488e-08    2.317567e-09    8.300000e-01    6.104658e-01    1.926201e-01
    8.085654e+00    2.177201e+02    2.141371e+00    1.065952e+08    2.585173e-08    6.630040e-11    2.363038e-08    2.324693e-09    8.400000e-01    6.104658e-01    2.001565e-01
    7.761873e+00    2.114377e+02    2.317905e+00    1.104852e+08    2.591661e-08    7.094345e-11    2.372085e-08    2.331482e-09    8.500000e-01    6.104658e-01    2.076931e-01
    7.461360e+00    2.051808e+02    2.501178e+00    1.143344e+08    2.597801e-08    7.590785e-11    2.380668e-08    2.337972e-09    8.600000e-01    6.104658e-01    2.152283e-01
    7.181992e+00    1.989580e+02    2.691131e+00    1.181468e+08    2.603622e-08    8.121760e-11    2.388823e-08    2.344196e-09    8.700000e-01    6.104658e-01    2.227610e-01
    6.921837e+00    1.927756e+02    2.887714e+00    1.219260e+08    2.609153e-08    8.689845e-11    2.396582e-08    2.350187e-09    8.800000e-01    6.104658e-01    2.302907e-01
    6.679145e+00    1.866376e+02    3.090882e+00    1.256748e+08    2.614420e-08    9.297840e-11    2.403976e-08    2.355975e-09    8.900000e-01    6.104658e-01    2.378169e-01
    6.452339e+00    1.805473e+02    3.300590e+00    1.293954e+08    2.619449e-08    9.948765e-11    2.411032e-08    2.361587e-09    9.000000e-01    6.104658e-01    2.453395e-01
    6.239992e+00    1.745072e+02    3.516799e+00    1.330896e+08    2.624264e-08    1.064589e-10    2.417777e-08    2.367050e-09    9.100000e-01    6.104658e-01    2.528586e-01
    6.040822e+00    1.685192e+02    3.739474e+00    1.367587e+08    2.628886e-08    1.139273e-10    2.424232e-08    2.372387e-09    9.200000e-01    6.104658e-01    2.603744e-01
    5.853677e+00    1.625851e+02    3.968578e+00    1.404035e+08    2.633333e-08    1.219313e-10    2.430418e-08    2.377623e-09    9.300000e-01    6.104658e-01    2.678870e-01
    5.677520e+00    1.567069e+02    4.204078e+00    1.440244e+08    2.637627e-08    1.305121e-10    2.436355e-08    2.382777e-09    9.400000e-01    6.104658e-01    2.753968e-01
    5.511419e+00    1.508868e+02    4.445942e+00    1.476216e+08    2.641785e-08    1.397142e-10    2.442060e-08    2.387872e-09    9.500000e-01    6.104658e-01    2.829042e-01
    5.354533e+00    1.451271e+02    4.694137e+00    1.511947e+08    2.645824e-08    1.495861e-10    2.447549e-08    2.392926e-09    9.600000e-01    6.104658e-01    2.904094e-01
    5.206109e+00    1.394307e+02    4.948630e+00    1.547433e+08    2.649759e-08    1.601797e-10    2.452836e-08    2.397959e-09    9.700000e-01    6.104658e-01    2.979129e-01
    5.065463e+00    1.338006e+02    5.209390e+00    1.582667e+08    2.653607e-08    1.715515e-10    2.457933e-08    2.402989e-09    9.800000e-01    6.104658e-01    3.054149e-01
    4.931989e+00    1.282405e+02    5.476375e+00    1.617639e+08    2.657381e-08    1.837623e-10    2.462852e-08    2.408033e-09    9.900000e-01    6.104658e-01    3.129159e-01
    4.805117e+00    1.227541e+02    5.749565e+00    1.652337e+08    2.661095e-08    1.968777e-10    2.467604e-08    2.413109e-09    1.000000e+00    6.104658e-01    3.204161e-01
    4.684357e+00    1.173460e+02    6.028910e+00    1.686748e+08    2.664763e-08    2.109684e-10    2.472197e-08    2.418234e-09    1.010000e+00    6.104658e-01    3.279159e-01
    4.569244e+00    1.120206e+02    6.314385e+00    1.720857e+08    2.668399e-08    2.261107e-10    2.476640e-08    2.423423e-09    1.020000e+00    6.104658e-01    3.354155e-01
    4.459371e+00    1.067829e+02    6.605940e+00    1.754646e+08    2.672015e-08    2.423867e-10    2.480939e-08    2.428695e-09    1.030000e+00    6.104658e-01    3.429153e-01
    4.354361e+00    1.016382e+02    6.903535e+00    1.788098e+08    2.675623e-08    2.598846e-10    2.485101e-08    2.434064e-09    1.040000e+00    6.104658e-01    3.504156e-01
    4.253864e+00    9.659165e+01    7.207135e+00    1.821191e+08    2.679236e-08    2.786992e-10    2.489129e-08    2.439548e-09    1.050000e+00    6.104658e-01    3.579165e-01
    4.157571e+00    9.164892e+01    7.516685e+00    1.853904e+08    2.682866e-08    2.989323e-10    2.493030e-08    2.445165e-09    1.060000e+00    6.104658e-01    3.654182e-01
    4.065192e+00    8.681559e+01    7.832140e+00    1.886213e+08    2.686525e-08    3.206926e-10    2.496806e-08    2.450927e-09    1.070000e+00    6.104658e-01    3.729211e-01
    3.976460e+00    8.209733e+01    8.153450e+00    1.918092e+08    2.690227e-08    3.440965e-10    2.500460e-08    2.456855e-09    1.080000e+00    6.104658e-01    3.804253e-01
    3.891133e+00    7.749971e+01    8.480560e+00    1.949513e+08    2.693981e-08    3.692680e-10    2.503993e-08    2.462965e-09    1.090000e+00    6.104658e-01    3.879309e-01
    3.808985e+00    7.302828e+01    8.813410e+00    1.980447e+08    2.697803e-08    3.963390e-10    2.507407e-08    2.469273e-09    1.100000e+00    6.104658e-01    3.954383e-01
    3.729805e+00    6.868838e+01    9.151940e+00    2.010860e+08    2.701703e-08    4.254497e-10    2.510701e-08    2.475797e-09    1.110000e+00    6.104658e-01    4.029474e-01
    3.653400e+00    6.448512e+01    9.496085e+00    2.040719e+08    2.705695e-08    4.567483e-10    2.513876e-08    2.482554e-09    1.120000e+00    6.104658e-01    4.104586e-01
    3.579586e+00    6.042342e+01    9.845775e+00    2.069985e+08    2.709790e-08    4.903908e-10    2.516931e-08    2.489563e-09    1.130000e+00    6.104658e-01    4.179719e-01
    3.508194e+00    5.650764e+01    1.020094e+01    2.098618e+08    2.714003e-08    5.265415e-10    2.519864e-08    2.496840e-09    1.140000e+00    6.104658e-01    4.254874e-01
    3.439061e+00    5.274196e+01    1.056148e+01    2.126574e+08    2.718345e-08    5.653715e-10    2.522672e-08    2.504404e-09    1.150000e+00    6.104658e-01    4.330054e-01
    3.372040e+00    4.912995e+01    1.092734e+01    2.153806e+08    2.722831e-08    6.070595e-10    2.525352e-08    2.512273e-09    1.160000e+00    6.104658e-01    4.405259e-01
    3.306984e+00    4.567463e+01    1.129840e+01    2.180263e+08    2.727472e-08    6.517910e-10    2.527902e-08    2.520464e-09    1.170000e+00    6.104658e-01    4.480490e-01
    3.243757e+00    4.237852e+01    1.167458e+01    2.205890e+08    2.732284e-08    6.997550e-10    2.530316e-08    2.528996e-09    1.180000e+00    6.104658e-01    4.555749e-01
    3.182230e+00    3.924345e+01    1.205575e+01    2.230629e+08    2.737278e-08    7.511460e-10    2.532589e-08    2.537885e-09    1.190000e+00    6.104658e-01    4.631037e-01
    3.122279e+00    3.627055e+01    1.244182e+01    2.254417e+08    2.742467e-08    8.061610e-10    2.534716e-08    2.547146e-09    1.200000e+00    6.104658e-01    4.706356e-01
    3.063785e+00    3.346028e+01    1.283264e+01    2.277190e+08    2.747865e-08    8.649980e-10    2.536693e-08    2.556798e-09    1.210000e+00    6.104658e-01    4.781705e-01
    3.006632e+00    3.081227e+01    1.322810e+01    2.298876e+08    2.753483e-08    9.278525e-10    2.538511e-08    2.566853e-09    1.220000e+00    6.104658e-01    4.857086e-01
    2.950713e+00    2.832546e+01    1.362804e+01    2.319403e+08    2.759333e-08    9.949185e-10    2.540166e-08    2.577328e-09    1.230000e+00    6.104658e-01    4.932501e-01
    2.895923e+00    2.599792e+01    1.403230e+01    2.338696e+08    2.765426e-08    1.066382e-09    2.541649e-08    2.588233e-09    1.240000e+00    6.104658e-01    5.007950e-01
    2.842164e+00    2.382701e+01    1.444070e+01    2.356677e+08    2.771773e-08    1.142420e-09    2.542955e-08    2.599580e-09    1.250000e+00    6.104658e-01    5.083435e-01
    2.789342e+00    2.180924e+01    1.485309e+01    2.373269e+08    2.778381e-08    1.223198e-09    2.544077e-08    2.611377e-09    1.260000e+00    6.104658e-01    5.158956e-01
    2.737373e+00    1.994041e+01    1.526924e+01    2.388394e+08    2.785260e-08    1.308866e-09    2.545007e-08    2.623632e-09    1.270000e+00    6.104658e-01    5.234514e-01
