# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: tt
# Temperature: 25C
# W = 2.0 um
# L = 3.5 um (3500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.648948e+01    1.857961e+02    4.313122e-05    2.022808e+04    8.989400e-09    1.204361e-12    3.537297e-09    4.817678e-10    2.600000e-01    5.462447e-01    3.834845e-02
    2.648421e+01    1.854767e+02    5.621200e-05    2.582696e+04    9.174090e-09    1.304928e-12    3.808564e-09    5.122760e-10    2.700000e-01    5.462447e-01    3.835454e-02
    2.646238e+01    1.851212e+02    7.324985e-05    3.292354e+04    9.370210e-09    1.413766e-12    4.093455e-09    5.439445e-10    2.800000e-01    5.462447e-01    3.836247e-02
    2.642575e+01    1.847274e+02    9.542385e-05    4.190360e+04    9.577520e-09    1.531485e-12    4.391629e-09    5.767155e-10    2.900000e-01    5.462447e-01    3.837279e-02
    2.637550e+01    1.842934e+02    1.242563e-04    5.324820e+04    9.795670e-09    1.658729e-12    4.702618e-09    6.105175e-10    3.000000e-01    5.462447e-01    3.838619e-02
    2.631240e+01    1.838180e+02    1.617086e-04    6.755584e+04    1.002422e-08    1.796180e-12    5.025825e-09    6.452705e-10    3.100000e-01    5.462447e-01    3.840359e-02
    2.623687e+01    1.833011e+02    2.103036e-04    8.556976e+04    1.026263e-08    1.944557e-12    5.360530e-09    6.808810e-10    3.200000e-01    5.462447e-01    3.842615e-02
    2.614917e+01    1.827442e+02    2.732789e-04    1.082110e+05    1.051024e-08    2.104620e-12    5.705885e-09    7.172475e-10    3.300000e-01    5.462447e-01    3.845534e-02
    2.604935e+01    1.821504e+02    3.547791e-04    1.366178e+05    1.076634e-08    2.277168e-12    6.060930e-09    7.542590e-10    3.400000e-01    5.462447e-01    3.849306e-02
    2.593751e+01    1.815260e+02    4.600981e-04    1.721950e+05    1.103008e-08    2.463042e-12    6.424610e-09    7.917975e-10    3.500000e-01    5.462447e-01    3.854170e-02
    2.581375e+01    1.808799e+02    5.959795e-04    2.166715e+05    1.130058e-08    2.663131e-12    6.795770e-09    8.297385e-10    3.600000e-01    5.462447e-01    3.860430e-02
    2.567833e+01    1.802257e+02    7.709905e-04    2.721724e+05    1.157689e-08    2.878367e-12    7.173190e-09    8.679540e-10    3.700000e-01    5.462447e-01    3.868464e-02
    2.553167e+01    1.795819e+02    9.959880e-04    3.413044e+05    1.185801e-08    3.109736e-12    7.555585e-09    9.063135e-10    3.800000e-01    5.462447e-01    3.878749e-02
    2.537450e+01    1.789731e+02    1.284692e-03    4.272626e+05    1.214288e-08    3.358271e-12    7.941640e-09    9.446855e-10    3.900000e-01    5.462447e-01    3.891873e-02
    2.520783e+01    1.784307e+02    1.654400e-03    5.339601e+05    1.243046e-08    3.625064e-12    8.330010e-09    9.829390e-10    4.000000e-01    5.462447e-01    3.908563e-02
    2.503305e+01    1.779939e+02    2.126864e-03    6.661896e+05    1.271967e-08    3.911264e-12    8.719350e-09    1.020948e-09    4.100000e-01    5.462447e-01    3.929705e-02
    2.485185e+01    1.777101e+02    2.729389e-03    8.298223e+05    1.300946e-08    4.218082e-12    9.108340e-09    1.058588e-09    4.200000e-01    5.462447e-01    3.956372e-02
    2.466618e+01    1.776351e+02    3.496180e-03    1.032058e+06    1.329878e-08    4.546794e-12    9.495675e-09    1.095743e-09    4.300000e-01    5.462447e-01    3.989850e-02
    2.447807e+01    1.778321e+02    4.470021e-03    1.281727e+06    1.358662e-08    4.898749e-12    9.880120e-09    1.132304e-09    4.400000e-01    5.462447e-01    4.031658e-02
    2.428936e+01    1.783705e+02    5.704355e-03    1.589653e+06    1.387204e-08    5.275370e-12    1.026048e-08    1.168169e-09    4.500000e-01    5.462447e-01    4.083571e-02
    2.410138e+01    1.793229e+02    7.265835e-03    1.969084e+06    1.415414e-08    5.678160e-12    1.063568e-08    1.203247e-09    4.600000e-01    5.462447e-01    4.147628e-02
    2.391459e+01    1.807616e+02    9.237415e-03    2.436155e+06    1.443206e-08    6.108705e-12    1.100466e-08    1.237456e-09    4.700000e-01    5.462447e-01    4.226139e-02
    2.372801e+01    1.827530e+02    1.172210e-02    3.010369e+06    1.470507e-08    6.568700e-12    1.136651e-08    1.270726e-09    4.800000e-01    5.462447e-01    4.321662e-02
    2.353895e+01    1.853513e+02    1.484724e-02    3.715012e+06    1.497244e-08    7.059915e-12    1.172042e-08    1.302995e-09    4.900000e-01    5.462447e-01    4.436980e-02
    2.334270e+01    1.885917e+02    1.876946e-02    4.577415e+06    1.523360e-08    7.584245e-12    1.206566e-08    1.334215e-09    5.000000e-01    5.462447e-01    4.575041e-02
    2.313257e+01    1.924829e+02    2.367979e-02    5.628940e+06    1.548800e-08    8.143700e-12    1.240160e-08    1.364345e-09    5.100000e-01    5.462447e-01    4.738887e-02
    2.290021e+01    1.970009e+02    2.980894e-02    6.904524e+06    1.573521e-08    8.740405e-12    1.272773e-08    1.393358e-09    5.200000e-01    5.462447e-01    4.931558e-02
    2.263630e+01    2.020845e+02    3.743182e-02    8.441700e+06    1.597484e-08    9.376625e-12    1.304365e-08    1.421235e-09    5.300000e-01    5.462447e-01    5.155975e-02
    2.233143e+01    2.076329e+02    4.687093e-02    1.027892e+07    1.620664e-08    1.005478e-11    1.334903e-08    1.447965e-09    5.400000e-01    5.462447e-01    5.414824e-02
    2.197730e+01    2.135080e+02    5.849760e-02    1.245333e+07    1.643036e-08    1.077741e-11    1.364365e-08    1.473546e-09    5.500000e-01    5.462447e-01    5.710420e-02
    2.156770e+01    2.195395e+02    7.273035e-02    1.499799e+07    1.664588e-08    1.154727e-11    1.392738e-08    1.497985e-09    5.600000e-01    5.462447e-01    6.044600e-02
    2.109927e+01    2.255335e+02    9.003000e-02    1.793885e+07    1.685311e-08    1.236727e-11    1.420016e-08    1.521296e-09    5.700000e-01    5.462447e-01    6.418614e-02
    2.057197e+01    2.312847e+02    1.108910e-01    2.129198e+07    1.705203e-08    1.324051e-11    1.446201e-08    1.543496e-09    5.800000e-01    5.462447e-01    6.833063e-02
    1.998906e+01    2.365896e+02    1.358290e-01    2.506112e+07    1.724267e-08    1.417032e-11    1.471301e-08    1.564610e-09    5.900000e-01    5.462447e-01    7.287859e-02
    1.935673e+01    2.412597e+02    1.653664e-01    2.923637e+07    1.742512e-08    1.516024e-11    1.495329e-08    1.584668e-09    6.000000e-01    5.462447e-01    7.782230e-02
    1.868338e+01    2.451329e+02    2.000154e-01    3.379395e+07    1.759949e-08    1.621407e-11    1.518304e-08    1.603701e-09    6.100000e-01    5.462447e-01    8.314762e-02
    1.797890e+01    2.480829e+02    2.402613e-01    3.869716e+07    1.776594e-08    1.733587e-11    1.540250e-08    1.621745e-09    6.200000e-01    5.462447e-01    8.883468e-02
    1.725378e+01    2.500239e+02    2.865473e-01    4.389849e+07    1.792467e-08    1.852998e-11    1.561193e-08    1.638837e-09    6.300000e-01    5.462447e-01    9.485892e-02
    1.651842e+01    2.509129e+02    3.392607e-01    4.934270e+07    1.807587e-08    1.980106e-11    1.581162e-08    1.655018e-09    6.400000e-01    5.462447e-01    1.011922e-01
    1.578257e+01    2.507474e+02    3.987244e-01    5.497018e+07    1.821980e-08    2.115410e-11    1.600190e-08    1.670327e-09    6.500000e-01    5.462447e-01    1.078040e-01
    1.505489e+01    2.495604e+02    4.651908e-01    6.072038e+07    1.835669e-08    2.259445e-11    1.618310e-08    1.684807e-09    6.600000e-01    5.462447e-01    1.146627e-01
    1.434276e+01    2.474152e+02    5.388410e-01    6.653519e+07    1.848681e-08    2.412784e-11    1.635557e-08    1.698499e-09    6.700000e-01    5.462447e-01    1.217364e-01
    1.365214e+01    2.443962e+02    6.197860e-01    7.236127e+07    1.861043e-08    2.576044e-11    1.651966e-08    1.711445e-09    6.800000e-01    5.462447e-01    1.289940e-01
    1.298761e+01    2.406029e+02    7.080750e-01    7.815216e+07    1.872784e-08    2.749887e-11    1.667575e-08    1.723686e-09    6.900000e-01    5.462447e-01    1.364062e-01
    1.235247e+01    2.361420e+02    8.036990e-01    8.386926e+07    1.883929e-08    2.935023e-11    1.682418e-08    1.735263e-09    7.000000e-01    5.462447e-01    1.439454e-01
    1.174889e+01    2.311219e+02    9.066030e-01    8.948231e+07    1.894510e-08    3.132216e-11    1.696532e-08    1.746215e-09    7.100000e-01    5.462447e-01    1.515867e-01
    1.117802e+01    2.256476e+02    1.016694e+00    9.496921e+07    1.904551e-08    3.342289e-11    1.709952e-08    1.756582e-09    7.200000e-01    5.462447e-01    1.593078e-01
    1.064024e+01    2.198179e+02    1.133852e+00    1.003153e+08    1.914082e-08    3.566124e-11    1.722714e-08    1.766400e-09    7.300000e-01    5.462447e-01    1.670890e-01
    1.013527e+01    2.137221e+02    1.257934e+00    1.055127e+08    1.923129e-08    3.804674e-11    1.734852e-08    1.775707e-09    7.400000e-01    5.462447e-01    1.749134e-01
    9.662317e+00    2.074395e+02    1.388789e+00    1.105590e+08    1.931718e-08    4.058962e-11    1.746397e-08    1.784536e-09    7.500000e-01    5.462447e-01    1.827666e-01
    9.220241e+00    2.010386e+02    1.526260e+00    1.154561e+08    1.939876e-08    4.330091e-11    1.757384e-08    1.792923e-09    7.600000e-01    5.462447e-01    1.906366e-01
    8.807639e+00    1.945771e+02    1.670187e+00    1.202096e+08    1.947626e-08    4.619251e-11    1.767842e-08    1.800898e-09    7.700000e-01    5.462447e-01    1.985133e-01
    8.422941e+00    1.881033e+02    1.820417e+00    1.248273e+08    1.954993e-08    4.927720e-11    1.777800e-08    1.808493e-09    7.800000e-01    5.462447e-01    2.063889e-01
    8.064480e+00    1.816558e+02    1.976805e+00    1.293185e+08    1.962002e-08    5.256880e-11    1.787287e-08    1.815737e-09    7.900000e-01    5.462447e-01    2.142570e-01
    7.730558e+00    1.752653e+02    2.139211e+00    1.336938e+08    1.968673e-08    5.608220e-11    1.796330e-08    1.822658e-09    8.000000e-01    5.462447e-01    2.221127e-01
    7.419489e+00    1.689559e+02    2.307510e+00    1.379636e+08    1.975027e-08    5.983345e-11    1.804955e-08    1.829283e-09    8.100000e-01    5.462447e-01    2.299524e-01
