# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: tt
# Temperature: 85C
# W = 2.0 um
# L = 5 um (5000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.208503e+01    2.216533e+02    4.387896e-05    1.192758e+04    1.293070e-08    2.120143e-12    5.071915e-09    7.308415e-10    1.700000e-01    4.773947e-01    4.564539e-02
    2.207698e+01    2.213024e+02    5.472135e-05    1.463047e+04    1.314191e-08    2.270138e-12    5.397515e-09    7.689385e-10    1.800000e-01    4.773947e-01    4.565402e-02
    2.205887e+01    2.209214e+02    6.823385e-05    1.792428e+04    1.336477e-08    2.430744e-12    5.736825e-09    8.082255e-10    1.900000e-01    4.773947e-01    4.566476e-02
    2.203161e+01    2.205093e+02    8.506370e-05    2.193311e+04    1.359911e-08    2.602662e-12    6.089590e-09    8.486525e-10    2.000000e-01    4.773947e-01    4.567814e-02
    2.199588e+01    2.200656e+02    1.060112e-04    2.680593e+04    1.384467e-08    2.786634e-12    6.455455e-09    8.901605e-10    2.100000e-01    4.773947e-01    4.569478e-02
    2.195219e+01    2.195908e+02    1.320646e-04    3.272133e+04    1.410112e-08    2.983448e-12    6.833980e-09    9.326815e-10    2.200000e-01    4.773947e-01    4.571546e-02
    2.190089e+01    2.190860e+02    1.644429e-04    3.989319e+04    1.436807e-08    3.193931e-12    7.224625e-09    9.761415e-10    2.300000e-01    4.773947e-01    4.574113e-02
    2.184225e+01    2.185532e+02    2.046467e-04    4.857713e+04    1.464504e-08    3.418960e-12    7.626785e-09    1.020458e-09    2.400000e-01    4.773947e-01    4.577297e-02
    2.177647e+01    2.179961e+02    2.545213e-04    5.907834e+04    1.493150e-08    3.659462e-12    8.039740e-09    1.065540e-09    2.500000e-01    4.773947e-01    4.581241e-02
    2.170375e+01    2.174205e+02    3.163318e-04    7.176083e+04    1.522686e-08    3.916415e-12    8.462715e-09    1.111292e-09    2.600000e-01    4.773947e-01    4.586120e-02
    2.162424e+01    2.168334e+02    3.928535e-04    8.705779e+04    1.553045e-08    4.190854e-12    8.894850e-09    1.157615e-09    2.700000e-01    4.773947e-01    4.592147e-02
    2.153821e+01    2.162452e+02    4.874826e-04    1.054851e+05    1.584156e-08    4.483871e-12    9.335220e-09    1.204401e-09    2.800000e-01    4.773947e-01    4.599580e-02
    2.144596e+01    2.156692e+02    6.043665e-04    1.276556e+05    1.615944e-08    4.796619e-12    9.782840e-09    1.251541e-09    2.900000e-01    4.773947e-01    4.608730e-02
    2.134788e+01    2.151218e+02    7.485625e-04    1.542977e+05    1.648328e-08    5.130320e-12    1.023668e-08    1.298924e-09    3.000000e-01    4.773947e-01    4.619971e-02
    2.124452e+01    2.146242e+02    9.262280e-04    1.862772e+05    1.681223e-08    5.486265e-12    1.069568e-08    1.346437e-09    3.100000e-01    4.773947e-01    4.633752e-02
    2.113652e+01    2.142015e+02    1.144850e-03    2.246226e+05    1.714545e-08    5.865810e-12    1.115873e-08    1.393966e-09    3.200000e-01    4.773947e-01    4.650605e-02
    2.102470e+01    2.138843e+02    1.413520e-03    2.705574e+05    1.748205e-08    6.270405e-12    1.162470e-08    1.441399e-09    3.300000e-01    4.773947e-01    4.671162e-02
    2.091001e+01    2.137082e+02    1.743263e-03    3.255380e+05    1.782115e-08    6.701575e-12    1.209249e-08    1.488624e-09    3.400000e-01    4.773947e-01    4.696166e-02
    2.079352e+01    2.137144e+02    2.147442e-03    3.912997e+05    1.816185e-08    7.160930e-12    1.256097e-08    1.535534e-09    3.500000e-01    4.773947e-01    4.726483e-02
    2.067635e+01    2.139494e+02    2.642239e-03    4.699134e+05    1.850326e-08    7.650180e-12    1.302903e-08    1.582023e-09    3.600000e-01    4.773947e-01    4.763120e-02
