# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: -40C
# W = 2.0 um
# L = 2 um (2000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.386758e+00    7.973534e+00    1.151229e+01    3.432049e+08    1.274197e-08    7.621685e-10    1.171361e-08    1.169786e-09   -1.800000e+00    1.091046e+00    6.081184e-01
    2.437965e+00    8.685922e+00    1.123752e+01    3.432679e+08    1.270237e-08    7.122165e-10    1.171192e-08    1.162771e-09   -1.790000e+00    1.091046e+00    6.000618e-01
    2.489838e+00    9.479892e+00    1.096441e+01    3.430813e+08    1.266425e-08    6.648960e-10    1.170929e-08    1.156014e-09   -1.780000e+00    1.091046e+00    5.920057e-01
    2.542601e+00    1.036349e+01    1.069197e+01    3.426375e+08    1.262761e-08    6.201725e-10    1.170572e-08    1.149518e-09   -1.770000e+00    1.091046e+00    5.839501e-01
    2.596150e+00    1.134500e+01    1.042076e+01    3.419318e+08    1.259243e-08    5.779945e-10    1.170127e-08    1.143280e-09   -1.760000e+00    1.091046e+00    5.758947e-01
    2.650474e+00    1.243283e+01    1.015095e+01    3.409623e+08    1.255868e-08    5.382990e-10    1.169594e-08    1.137299e-09   -1.750000e+00    1.091046e+00    5.678396e-01
    2.705583e+00    1.363541e+01    9.882720e+00    3.397301e+08    1.252632e-08    5.010105e-10    1.168979e-08    1.131569e-09   -1.740000e+00    1.091046e+00    5.597847e-01
    2.761503e+00    1.496111e+01    9.616235e+00    3.382394e+08    1.249530e-08    4.660458e-10    1.168283e-08    1.126085e-09   -1.730000e+00    1.091046e+00    5.517298e-01
    2.818270e+00    1.641816e+01    9.351670e+00    3.364962e+08    1.246556e-08    4.333130e-10    1.167511e-08    1.120842e-09   -1.720000e+00    1.091046e+00    5.436748e-01
    2.875944e+00    1.801455e+01    9.089180e+00    3.345089e+08    1.243706e-08    4.027154e-10    1.166664e-08    1.115829e-09   -1.710000e+00    1.091046e+00    5.356197e-01
    2.934593e+00    1.975802e+01    8.828920e+00    3.322875e+08    1.240971e-08    3.741526e-10    1.165746e-08    1.111041e-09   -1.700000e+00    1.091046e+00    5.275643e-01
    2.994303e+00    2.165601e+01    8.571040e+00    3.298431e+08    1.238346e-08    3.475216e-10    1.164759e-08    1.106467e-09   -1.690000e+00    1.091046e+00    5.195086e-01
    3.055170e+00    2.371573e+01    8.315680e+00    3.271876e+08    1.235823e-08    3.227190e-10    1.163706e-08    1.102096e-09   -1.680000e+00    1.091046e+00    5.114525e-01
    3.117304e+00    2.594409e+01    8.062965e+00    3.243331e+08    1.233397e-08    2.996413e-10    1.162591e-08    1.097920e-09   -1.670000e+00    1.091046e+00    5.033958e-01
