# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: 85C
# W = 2.0 um
# L = 1.5 um (1500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.520579e+00    2.083296e+00    1.493584e+01    3.613379e+08    1.000335e-08    1.358267e-09    8.730760e-09    1.002548e-09   -1.800000e+00    8.893820e-01    8.080641e-01
    1.549888e+00    2.167541e+00    1.470873e+01    3.641319e+08    9.964070e-09    1.299929e-09    8.741245e-09    9.969685e-10   -1.790000e+00    8.893820e-01    7.995616e-01
    1.580163e+00    2.257922e+00    1.447991e+01    3.669114e+08    9.924915e-09    1.242270e-09    8.751085e-09    9.913550e-10   -1.780000e+00    8.893820e-01    7.910660e-01
    1.611303e+00    2.355087e+00    1.425070e+01    3.696704e+08    9.885955e-09    1.185418e-09    8.760250e-09    9.857205e-10   -1.770000e+00    8.893820e-01    7.825772e-01
    1.643385e+00    2.459777e+00    1.402068e+01    3.724021e+08    9.847275e-09    1.129500e-09    8.802125e-09    1.016691e-09   -1.760000e+00    8.893820e-01    7.740951e-01
    1.676442e+00    2.572824e+00    1.378988e+01    3.750994e+08    9.808950e-09    1.074638e-09    8.808060e-09    1.009158e-09   -1.750000e+00    8.893820e-01    7.656196e-01
    1.710508e+00    2.695183e+00    1.355833e+01    3.777546e+08    9.771055e-09    1.020952e-09    8.813295e-09    1.001722e-09   -1.740000e+00    8.893820e-01    7.571506e-01
    1.745615e+00    2.827936e+00    1.332606e+01    3.803593e+08    9.733660e-09    9.685530e-10    8.817800e-09    9.943965e-10   -1.730000e+00    8.893820e-01    7.486879e-01
    1.781796e+00    2.972321e+00    1.309309e+01    3.829043e+08    9.696840e-09    9.175455e-10    8.821545e-09    9.871930e-10   -1.720000e+00    8.893820e-01    7.402316e-01
    1.819082e+00    3.129753e+00    1.285948e+01    3.853802e+08    9.660650e-09    8.680240e-10    8.824520e-09    9.801230e-10   -1.710000e+00    8.893820e-01    7.317814e-01
    1.857498e+00    3.301847e+00    1.262526e+01    3.877760e+08    9.625160e-09    8.200730e-10    8.826700e-09    9.731980e-10   -1.700000e+00    8.893820e-01    7.233374e-01
    1.897073e+00    3.490451e+00    1.239047e+01    3.900810e+08    9.590410e-09    7.737660e-10    8.828080e-09    9.664280e-10   -1.690000e+00    8.893820e-01    7.148993e-01
    1.937826e+00    3.697683e+00    1.215517e+01    3.922827e+08    9.556450e-09    7.291630e-10    8.828645e-09    9.598215e-10   -1.680000e+00    8.893820e-01    7.064671e-01
    1.979775e+00    3.925953e+00    1.191939e+01    3.943684e+08    9.523315e-09    6.863120e-10    8.828390e-09    9.533865e-10   -1.670000e+00    8.893820e-01    6.980407e-01
    2.022930e+00    4.178018e+00    1.168323e+01    3.963242e+08    9.491030e-09    6.452485e-10    8.827315e-09    9.471295e-10   -1.660000e+00    8.893820e-01    6.896200e-01
    2.067296e+00    4.457015e+00    1.144674e+01    3.981353e+08    9.459620e-09    6.059945e-10    8.825420e-09    9.410550e-10   -1.650000e+00    8.893820e-01    6.812049e-01
    2.112870e+00    4.766499e+00    1.120998e+01    3.997861e+08    9.429095e-09    5.685600e-10    8.822715e-09    9.351680e-10   -1.640000e+00    8.893820e-01    6.727953e-01
    2.159640e+00    5.110487e+00    1.097306e+01    4.012606e+08    9.399455e-09    5.329415e-10    8.819200e-09    9.294695e-10   -1.630000e+00    8.893820e-01    6.643911e-01
    2.207587e+00    5.493488e+00    1.073606e+01    4.025418e+08    9.370695e-09    4.991266e-10    8.814890e-09    9.239610e-10   -1.620000e+00    8.893820e-01    6.559923e-01
    2.256682e+00    5.920526e+00    1.049908e+01    4.036121e+08    9.342810e-09    4.670906e-10    8.809795e-09    9.186425e-10   -1.610000e+00    8.893820e-01    6.475987e-01
