# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: 85C
# W = 2.0 um
# L = 3 um (3000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.611147e+00    2.437419e+00    7.261095e+00    9.275621e+07    2.007311e-08    2.920755e-09    1.746727e-08    1.987675e-09   -1.800000e+00    9.044628e-01    7.765853e-01
    1.641790e+00    2.546458e+00    7.144105e+00    9.339116e+07    1.998848e-08    2.797910e-09    1.748776e-08    1.976463e-09   -1.790000e+00    9.044628e-01    7.683159e-01
    1.673439e+00    2.664446e+00    7.026515e+00    9.402277e+07    1.990385e-08    2.676097e-09    1.750700e-08    1.965143e-09   -1.780000e+00    9.044628e-01    7.600516e-01
    1.706020e+00    2.792425e+00    6.908790e+00    9.464904e+07    1.981938e-08    2.555598e-09    1.752489e-08    1.953738e-09   -1.770000e+00    9.044628e-01    7.517926e-01
    1.739599e+00    2.931592e+00    6.790790e+00    9.526792e+07    1.973526e-08    2.436697e-09    1.754137e-08    1.942277e-09   -1.760000e+00    9.044628e-01    7.435386e-01
    1.774204e+00    3.083316e+00    6.672530e+00    9.587712e+07    1.965166e-08    2.319676e-09    1.755636e-08    1.930785e-09   -1.750000e+00    9.044628e-01    7.352896e-01
    1.809863e+00    3.249166e+00    6.554025e+00    9.647410e+07    1.956876e-08    2.204812e-09    1.763577e-08    1.989162e-09   -1.740000e+00    9.044628e-01    7.270457e-01
    1.846601e+00    3.430951e+00    6.435295e+00    9.705607e+07    1.948673e-08    2.092373e-09    1.764393e-08    1.973935e-09   -1.730000e+00    9.044628e-01    7.188066e-01
    1.884437e+00    3.630742e+00    6.316365e+00    9.761994e+07    1.940575e-08    1.982610e-09    1.765056e-08    1.958928e-09   -1.720000e+00    9.044628e-01    7.105724e-01
    1.923393e+00    3.850929e+00    6.197250e+00    9.816252e+07    1.932598e-08    1.875762e-09    1.765562e-08    1.944167e-09   -1.710000e+00    9.044628e-01    7.023430e-01
    1.963478e+00    4.094259e+00    6.077980e+00    9.868019e+07    1.924755e-08    1.772045e-09    1.765905e-08    1.929679e-09   -1.700000e+00    9.044628e-01    6.941183e-01
    2.004701e+00    4.363886e+00    5.958580e+00    9.916914e+07    1.917061e-08    1.671653e-09    1.766081e-08    1.915487e-09   -1.690000e+00    9.044628e-01    6.858983e-01
    2.047062e+00    4.663438e+00    5.839085e+00    9.962537e+07    1.909528e-08    1.574753e-09    1.766090e-08    1.901613e-09   -1.680000e+00    9.044628e-01    6.776829e-01
    2.090553e+00    4.997065e+00    5.719535e+00    1.000446e+08    1.902166e-08    1.481486e-09    1.765929e-08    1.888077e-09   -1.670000e+00    9.044628e-01    6.694721e-01
    2.135162e+00    5.369509e+00    5.599960e+00    1.004224e+08    1.894984e-08    1.391962e-09    1.765595e-08    1.874896e-09   -1.660000e+00    9.044628e-01    6.612657e-01
    2.180863e+00    5.786167e+00    5.480410e+00    1.007541e+08    1.887987e-08    1.306264e-09    1.765089e-08    1.862084e-09   -1.650000e+00    9.044628e-01    6.530639e-01
    2.227626e+00    6.253149e+00    5.360935e+00    1.010351e+08    1.881182e-08    1.224443e-09    1.764412e-08    1.849652e-09   -1.640000e+00    9.044628e-01    6.448664e-01
    2.275413e+00    6.777327e+00    5.241585e+00    1.012608e+08    1.874570e-08    1.146523e-09    1.763564e-08    1.837609e-09   -1.630000e+00    9.044628e-01    6.366732e-01
    2.324178e+00    7.366389e+00    5.122420e+00    1.014267e+08    1.868152e-08    1.072501e-09    1.762547e-08    1.825959e-09   -1.620000e+00    9.044628e-01    6.284843e-01
    2.373873e+00    8.028849e+00    5.003500e+00    1.015287e+08    1.861927e-08    1.002345e-09    1.761364e-08    1.814705e-09   -1.610000e+00    9.044628e-01    6.202997e-01
    2.424451e+00    8.774071e+00    4.884890e+00    1.015630e+08    1.855892e-08    9.360015e-10    1.760015e-08    1.803845e-09   -1.600000e+00    9.044628e-01    6.121192e-01
    2.475861e+00    9.612216e+00    4.766661e+00    1.015264e+08    1.850043e-08    8.733965e-10    1.758504e-08    1.793376e-09   -1.590000e+00    9.044628e-01    6.039429e-01
    2.528062e+00    1.055422e+01    4.648883e+00    1.014163e+08    1.844374e-08    8.144360e-10    1.756832e-08    1.783293e-09   -1.580000e+00    9.044628e-01    5.957707e-01
    2.581019e+00    1.161171e+01    4.531632e+00    1.012310e+08    1.838876e-08    7.590105e-10    1.755004e-08    1.773585e-09   -1.570000e+00    9.044628e-01    5.876025e-01
    2.634711e+00    1.279689e+01    4.414983e+00    1.009697e+08    1.833543e-08    7.069970e-10    1.753021e-08    1.764243e-09   -1.560000e+00    9.044628e-01    5.794384e-01
    2.689127e+00    1.412237e+01    4.299013e+00    1.006324e+08    1.828363e-08    6.582630e-10    1.750886e-08    1.755253e-09   -1.550000e+00    9.044628e-01    5.712782e-01
    2.744277e+00    1.560110e+01    4.183797e+00    1.002199e+08    1.823328e-08    6.126675e-10    1.748601e-08    1.746603e-09   -1.540000e+00    9.044628e-01    5.631220e-01
    2.800184e+00    1.724616e+01    4.069408e+00    9.973383e+07    1.818425e-08    5.700640e-10    1.746167e-08    1.738275e-09   -1.530000e+00    9.044628e-01    5.549697e-01
    2.856892e+00    1.907060e+01    3.955919e+00    9.917662e+07    1.813644e-08    5.303035e-10    1.743587e-08    1.730254e-09   -1.520000e+00    9.044628e-01    5.468212e-01
    2.914459e+00    2.108738e+01    3.843398e+00    9.855115e+07    1.808972e-08    4.932359e-10    1.740861e-08    1.722522e-09   -1.510000e+00    9.044628e-01    5.386767e-01
