# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: -40C
# W = 2.0 um
# L = 0.5 um (500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.988083e+00    4.030213e+00    4.647272e+01    4.626414e+09    3.178397e-09    1.057185e-10    3.058917e-09    2.557273e-10   -1.800000e+00    1.033585e+00    6.657693e-01
    2.032721e+00    4.284807e+00    4.554880e+01    4.644666e+09    3.172637e-09    9.859000e-11    3.058396e-09    2.546835e-10   -1.790000e+00    1.033585e+00    6.576198e-01
    2.078543e+00    4.562652e+00    4.462108e+01    4.660808e+09    3.167073e-09    9.185925e-11    3.057699e-09    2.536795e-10   -1.780000e+00    1.033585e+00    6.494712e-01
    2.125389e+00    4.865719e+00    4.369299e+01    4.674660e+09    3.161698e-09    8.551100e-11    3.056831e-09    2.527143e-10   -1.770000e+00    1.033585e+00    6.413234e-01
    2.173276e+00    5.195983e+00    4.276394e+01    4.686048e+09    3.156502e-09    7.952945e-11    3.055798e-09    2.517865e-10   -1.760000e+00    1.033585e+00    6.331762e-01
    2.222172e+00    5.555353e+00    4.183439e+01    4.694800e+09    3.151477e-09    7.389860e-11    3.054607e-09    2.508950e-10   -1.750000e+00    1.033585e+00    6.250295e-01
    2.272043e+00    5.945614e+00    4.090484e+01    4.700759e+09    3.146614e-09    6.860230e-11    3.053263e-09    2.500384e-10   -1.740000e+00    1.033585e+00    6.168832e-01
    2.322855e+00    6.368341e+00    3.997582e+01    4.703781e+09    3.141902e-09    6.362445e-11    3.051771e-09    2.492152e-10   -1.730000e+00    1.033585e+00    6.087371e-01
    2.374580e+00    6.824842e+00    3.904787e+01    4.703744e+09    3.137333e-09    5.894910e-11    3.050137e-09    2.484241e-10   -1.720000e+00    1.033585e+00    6.005910e-01
    2.427193e+00    7.316086e+00    3.812157e+01    4.700554e+09    3.132897e-09    5.456045e-11    3.048365e-09    2.476636e-10   -1.710000e+00    1.033585e+00    5.924448e-01
    2.480679e+00    7.842643e+00    3.719750e+01    4.694146e+09    3.128584e-09    5.044310e-11    3.046461e-09    2.469322e-10   -1.700000e+00    1.033585e+00    5.842984e-01
    2.535036e+00    8.404680e+00    3.627627e+01    4.684493e+09    3.124384e-09    4.658213e-11    3.044427e-09    2.462284e-10   -1.690000e+00    1.033585e+00    5.761517e-01
    2.590275e+00    9.001912e+00    3.535847e+01    4.671592e+09    3.120287e-09    4.296300e-11    3.042267e-09    2.455507e-10   -1.680000e+00    1.033585e+00    5.680044e-01
    2.646422e+00    9.633682e+00    3.444470e+01    4.655480e+09    3.116285e-09    3.957171e-11    3.039985e-09    2.448978e-10   -1.670000e+00    1.033585e+00    5.598564e-01
    2.703514e+00    1.029895e+01    3.353556e+01    4.636216e+09    3.112366e-09    3.639484e-11    3.037582e-09    2.442681e-10   -1.660000e+00    1.033585e+00    5.517077e-01
    2.761610e+00    1.099642e+01    3.263162e+01    4.613889e+09    3.108522e-09    3.341953e-11    3.035061e-09    2.436602e-10   -1.650000e+00    1.033585e+00    5.435580e-01
    2.820780e+00    1.172462e+01    3.173343e+01    4.588604e+09    3.104743e-09    3.063350e-11    3.032423e-09    2.430726e-10   -1.640000e+00    1.033585e+00    5.354072e-01
    2.881105e+00    1.248195e+01    3.084153e+01    4.560480e+09    3.101021e-09    2.802509e-11    3.029670e-09    2.425041e-10   -1.630000e+00    1.033585e+00    5.272552e-01
    2.942683e+00    1.326684e+01    2.995643e+01    4.529646e+09    3.097345e-09    2.558323e-11    3.026801e-09    2.419532e-10   -1.620000e+00    1.033585e+00    5.191018e-01
    3.005622e+00    1.407779e+01    2.907864e+01    4.496241e+09    3.093706e-09    2.329742e-11    3.023816e-09    2.414186e-10   -1.610000e+00    1.033585e+00    5.109470e-01
    3.070035e+00    1.491346e+01    2.820860e+01    4.460394e+09    3.090095e-09    2.115779e-11    3.020715e-09    2.408989e-10   -1.600000e+00    1.033585e+00    5.027904e-01
    3.136050e+00    1.577270e+01    2.734676e+01    4.422239e+09    3.086504e-09    1.915496e-11    3.017496e-09    2.403929e-10   -1.590000e+00    1.033585e+00    4.946322e-01
    3.203799e+00    1.665461e+01    2.649352e+01    4.381901e+09    3.082922e-09    1.728019e-11    3.014158e-09    2.398992e-10   -1.580000e+00    1.033585e+00    4.864720e-01
    3.273423e+00    1.755857e+01    2.564929e+01    4.339502e+09    3.079340e-09    1.552519e-11    3.010696e-09    2.394167e-10   -1.570000e+00    1.033585e+00    4.783097e-01
    3.345073e+00    1.848418e+01    2.481442e+01    4.295157e+09    3.075748e-09    1.388221e-11    3.007109e-09    2.389441e-10   -1.560000e+00    1.033585e+00    4.701453e-01
    3.418903e+00    1.943130e+01    2.398927e+01    4.248966e+09    3.072138e-09    1.234401e-11    3.003392e-09    2.384801e-10   -1.550000e+00    1.033585e+00    4.619786e-01
    3.495079e+00    2.040006e+01    2.317419e+01    4.201028e+09    3.068499e-09    1.090376e-11    2.999540e-09    2.380235e-10   -1.540000e+00    1.033585e+00    4.538095e-01
    3.573776e+00    2.139081e+01    2.236947e+01    4.151432e+09    3.064821e-09    9.555110e-12    2.995548e-09    2.375730e-10   -1.530000e+00    1.033585e+00    4.456378e-01
    3.655177e+00    2.240410e+01    2.157542e+01    4.100257e+09    3.061093e-09    8.292115e-12    2.991409e-09    2.371276e-10   -1.520000e+00    1.033585e+00    4.374634e-01
    3.739474e+00    2.344066e+01    2.079232e+01    4.047575e+09    3.057305e-09    7.109220e-12    2.987116e-09    2.366857e-10   -1.510000e+00    1.033585e+00    4.292863e-01
    3.826878e+00    2.450141e+01    2.002046e+01    3.993454e+09    3.053445e-09    6.001245e-12    2.982660e-09    2.362463e-10   -1.500000e+00    1.033585e+00    4.211064e-01
    3.917606e+00    2.558740e+01    1.926009e+01    3.937953e+09    3.049501e-09    4.963369e-12    2.978032e-09    2.358080e-10   -1.490000e+00    1.033585e+00    4.129234e-01
    4.011893e+00    2.669982e+01    1.851148e+01    3.881124e+09    3.045461e-09    3.991084e-12    2.973224e-09    2.353695e-10   -1.480000e+00    1.033585e+00    4.047374e-01
    4.109995e+00    2.784002e+01    1.777485e+01    3.823021e+09    3.041311e-09    3.080204e-12    2.968221e-09    2.349295e-10   -1.470000e+00    1.033585e+00    3.965482e-01
    4.212183e+00    2.900945e+01    1.705046e+01    3.763686e+09    3.037037e-09    2.226830e-12    2.963011e-09    2.344864e-10   -1.460000e+00    1.033585e+00    3.883559e-01
    4.318748e+00    3.020965e+01    1.633853e+01    3.703159e+09    3.032625e-09    1.427337e-12    2.957581e-09    2.340388e-10   -1.450000e+00    1.033585e+00    3.801602e-01
    4.430001e+00    3.144223e+01    1.563930e+01    3.641471e+09    3.028059e-09    6.783530e-13    2.951915e-09    2.335853e-10   -1.440000e+00    1.033585e+00    3.719613e-01
    4.546294e+00    3.270899e+01    1.495296e+01    3.578661e+09    3.023321e-09    2.325080e-14    2.945995e-09    2.331241e-10   -1.430000e+00    1.033585e+00    3.637590e-01
    4.667993e+00    3.401179e+01    1.427976e+01    3.514756e+09    3.018394e-09    6.803805e-13    2.939804e-09    2.326536e-10   -1.420000e+00    1.033585e+00    3.555534e-01
    4.795499e+00    3.535249e+01    1.361988e+01    3.449775e+09    3.013258e-09    1.295732e-12    2.933319e-09    2.321719e-10   -1.410000e+00    1.033585e+00    3.473446e-01
    4.929256e+00    3.673318e+01    1.297354e+01    3.383745e+09    3.007893e-09    1.871803e-12    2.926519e-09    2.316772e-10   -1.400000e+00    1.033585e+00    3.391326e-01
    5.069741e+00    3.815596e+01    1.234095e+01    3.316682e+09    3.002275e-09    2.410908e-12    2.919379e-09    2.311673e-10   -1.390000e+00    1.033585e+00    3.309175e-01
    5.217479e+00    3.962305e+01    1.172230e+01    3.248603e+09    2.996381e-09    2.915186e-12    2.911871e-09    2.306400e-10   -1.380000e+00    1.033585e+00    3.226994e-01
    5.373035e+00    4.113665e+01    1.111780e+01    3.179513e+09    2.990184e-09    3.386615e-12    2.903966e-09    2.300931e-10   -1.370000e+00    1.033585e+00    3.144788e-01
    5.537039e+00    4.269917e+01    1.052764e+01    3.109424e+09    2.983657e-09    3.827021e-12    2.895633e-09    2.295238e-10   -1.360000e+00    1.033585e+00    3.062557e-01
    5.710177e+00    4.431299e+01    9.952020e+00    3.038337e+09    2.976769e-09    4.238084e-12    2.886836e-09    2.289296e-10   -1.350000e+00    1.033585e+00    2.980307e-01
    5.893195e+00    4.598061e+01    9.391145e+00    2.966252e+09    2.969487e-09    4.621351e-12    2.877537e-09    2.283075e-10   -1.340000e+00    1.033585e+00    2.898042e-01
    6.086910e+00    4.770447e+01    8.845210e+00    2.893162e+09    2.961777e-09    4.978240e-12    2.867694e-09    2.276542e-10   -1.330000e+00    1.033585e+00    2.815770e-01
    6.292217e+00    4.948703e+01    8.314415e+00    2.819056e+09    2.953600e-09    5.310050e-12    2.857264e-09    2.269665e-10   -1.320000e+00    1.033585e+00    2.733497e-01
    6.510109e+00    5.133084e+01    7.798955e+00    2.743922e+09    2.944918e-09    5.617965e-12    2.846198e-09    2.262404e-10   -1.310000e+00    1.033585e+00    2.651235e-01
    6.741640e+00    5.323819e+01    7.299040e+00    2.667732e+09    2.935684e-09    5.903065e-12    2.834444e-09    2.254722e-10   -1.300000e+00    1.033585e+00    2.568996e-01
    6.987984e+00    5.521141e+01    6.814875e+00    2.590463e+09    2.925854e-09    6.166325e-12    2.821946e-09    2.246574e-10   -1.290000e+00    1.033585e+00    2.486794e-01
    7.250410e+00    5.725250e+01    6.346665e+00    2.512081e+09    2.915376e-09    6.408625e-12    2.808643e-09    2.237915e-10   -1.280000e+00    1.033585e+00    2.404649e-01
    7.530280e+00    5.936329e+01    5.894630e+00    2.432549e+09    2.904198e-09    6.630755e-12    2.794471e-09    2.228695e-10   -1.270000e+00    1.033585e+00    2.322584e-01
