# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: 25C
# W = 2.0 um
# L = 2 um (2000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.827411e+00    3.452140e+00    1.128264e+01    2.456562e+08    1.335794e-08    1.373969e-09    1.196697e-08    1.303195e-09   -1.800000e+00    9.796406e-01    7.043721e-01
    1.866265e+00    3.657985e+00    1.107646e+01    2.472609e+08    1.330574e-08    1.301000e-09    1.197366e-08    1.293789e-09   -1.790000e+00    9.796406e-01    6.962733e-01
    1.906331e+00    3.884739e+00    1.086923e+01    2.488032e+08    1.325444e-08    1.230070e-09    1.197932e-08    1.284553e-09   -1.780000e+00    9.796406e-01    6.881779e-01
    1.947484e+00    4.135125e+00    1.066180e+01    2.502731e+08    1.320415e-08    1.161316e-09    1.198391e-08    1.275502e-09   -1.770000e+00    9.796406e-01    6.800860e-01
    1.989767e+00    4.412231e+00    1.045397e+01    2.516600e+08    1.315496e-08    1.094860e-09    1.198743e-08    1.266649e-09   -1.760000e+00    9.796406e-01    6.719974e-01
    2.033177e+00    4.719564e+00    1.024580e+01    2.529531e+08    1.310694e-08    1.030801e-09    1.198986e-08    1.258009e-09   -1.750000e+00    9.796406e-01    6.639119e-01
    2.077699e+00    5.061079e+00    1.003737e+01    2.541406e+08    1.306016e-08    9.692245e-10    1.199119e-08    1.249592e-09   -1.740000e+00    9.796406e-01    6.558295e-01
    2.123314e+00    5.441217e+00    9.828735e+00    2.552107e+08    1.301467e-08    9.101935e-10    1.199142e-08    1.241410e-09   -1.730000e+00    9.796406e-01    6.477500e-01
    2.169992e+00    5.864931e+00    9.620005e+00    2.561511e+08    1.297052e-08    8.537525e-10    1.199056e-08    1.233470e-09   -1.720000e+00    9.796406e-01    6.396733e-01
    2.217700e+00    6.337712e+00    9.411260e+00    2.569500e+08    1.292773e-08    7.999265e-10    1.198862e-08    1.225778e-09   -1.710000e+00    9.796406e-01    6.315994e-01
    2.266398e+00    6.865590e+00    9.202610e+00    2.575958e+08    1.288631e-08    7.487215e-10    1.198560e-08    1.218339e-09   -1.700000e+00    9.796406e-01    6.235280e-01
    2.316043e+00    7.455128e+00    8.994165e+00    2.580776e+08    1.284628e-08    7.001255e-10    1.198153e-08    1.211155e-09   -1.690000e+00    9.796406e-01    6.154592e-01
    2.366592e+00    8.113397e+00    8.786035e+00    2.583856e+08    1.280761e-08    6.541105e-10    1.197642e-08    1.204229e-09   -1.680000e+00    9.796406e-01    6.073927e-01
    2.418005e+00    8.847920e+00    8.578345e+00    2.585116e+08    1.277029e-08    6.106325e-10    1.197031e-08    1.197557e-09   -1.670000e+00    9.796406e-01    5.993285e-01
    2.470243e+00    9.666612e+00    8.371230e+00    2.584486e+08    1.273429e-08    5.696360e-10    1.196320e-08    1.191139e-09   -1.660000e+00    9.796406e-01    5.912665e-01
    2.523282e+00    1.057770e+01    8.164810e+00    2.581920e+08    1.269957e-08    5.310525e-10    1.195512e-08    1.184971e-09   -1.650000e+00    9.796406e-01    5.832065e-01
    2.577105e+00    1.158961e+01    7.959230e+00    2.577394e+08    1.266608e-08    4.948045e-10    1.194611e-08    1.179046e-09   -1.640000e+00    9.796406e-01    5.751485e-01
    2.631709e+00    1.271087e+01    7.754620e+00    2.570901e+08    1.263378e-08    4.608061e-10    1.193618e-08    1.173358e-09   -1.630000e+00    9.796406e-01    5.670923e-01
    2.687104e+00    1.395002e+01    7.551120e+00    2.562457e+08    1.260258e-08    4.289660e-10    1.192535e-08    1.167900e-09   -1.620000e+00    9.796406e-01    5.590379e-01
    2.743325e+00    1.531548e+01    7.348850e+00    2.552098e+08    1.257244e-08    3.991880e-10    1.191366e-08    1.162661e-09   -1.610000e+00    9.796406e-01    5.509851e-01
    2.800410e+00    1.681549e+01    7.147955e+00    2.539878e+08    1.254327e-08    3.713733e-10    1.190111e-08    1.157634e-09   -1.600000e+00    9.796406e-01    5.429338e-01
    2.858422e+00    1.845802e+01    6.948550e+00    2.525861e+08    1.251501e-08    3.454216e-10    1.188772e-08    1.152807e-09   -1.590000e+00    9.796406e-01    5.348840e-01
    2.917437e+00    2.025076e+01    6.750755e+00    2.510127e+08    1.248758e-08    3.212322e-10    1.187352e-08    1.148172e-09   -1.580000e+00    9.796406e-01    5.268356e-01
    2.977537e+00    2.220108e+01    6.554690e+00    2.492758e+08    1.246090e-08    2.987054e-10    1.185849e-08    1.143715e-09   -1.570000e+00    9.796406e-01    5.187883e-01
    3.038828e+00    2.431605e+01    6.360455e+00    2.473843e+08    1.243490e-08    2.777428e-10    1.184266e-08    1.139426e-09   -1.560000e+00    9.796406e-01    5.107423e-01
    3.101418e+00    2.660246e+01    6.168155e+00    2.453475e+08    1.240950e-08    2.582488e-10    1.182604e-08    1.135294e-09   -1.550000e+00    9.796406e-01    5.026973e-01
    3.165425e+00    2.906684e+01    5.977885e+00    2.431743e+08    1.238460e-08    2.401306e-10    1.180861e-08    1.131308e-09   -1.540000e+00    9.796406e-01    4.946533e-01
    3.230979e+00    3.171565e+01    5.789730e+00    2.408735e+08    1.236014e-08    2.232989e-10    1.179038e-08    1.127454e-09   -1.530000e+00    9.796406e-01    4.866103e-01
    3.298211e+00    3.455519e+01    5.603780e+00    2.384535e+08    1.233604e-08    2.076684e-10    1.177133e-08    1.123722e-09   -1.520000e+00    9.796406e-01    4.785681e-01
    3.367268e+00    3.759182e+01    5.420105e+00    2.359224e+08    1.231222e-08    1.931574e-10    1.175147e-08    1.120101e-09   -1.510000e+00    9.796406e-01    4.705266e-01
    3.438293e+00    4.083195e+01    5.238785e+00    2.332876e+08    1.228859e-08    1.796886e-10    1.173076e-08    1.116578e-09   -1.500000e+00    9.796406e-01    4.624859e-01
    3.511448e+00    4.428225e+01    5.059880e+00    2.305559e+08    1.226508e-08    1.671893e-10    1.170919e-08    1.113143e-09   -1.490000e+00    9.796406e-01    4.544459e-01
    3.586894e+00    4.794963e+01    4.883455e+00    2.277337e+08    1.224161e-08    1.555904e-10    1.168673e-08    1.109784e-09   -1.480000e+00    9.796406e-01    4.464065e-01
    3.664802e+00    5.184146e+01    4.709570e+00    2.248269e+08    1.221809e-08    1.448273e-10    1.166336e-08    1.106489e-09   -1.470000e+00    9.796406e-01    4.383678e-01
    3.745352e+00    5.596555e+01    4.538280e+00    2.218408e+08    1.219446e-08    1.348395e-10    1.163904e-08    1.103249e-09   -1.460000e+00    9.796406e-01    4.303296e-01
    3.828731e+00    6.033030e+01    4.369638e+00    2.187800e+08    1.217062e-08    1.255705e-10    1.161373e-08    1.100050e-09   -1.450000e+00    9.796406e-01    4.222920e-01
    3.915141e+00    6.494479e+01    4.203693e+00    2.156488e+08    1.214651e-08    1.169673e-10    1.158738e-08    1.096883e-09   -1.440000e+00    9.796406e-01    4.142551e-01
    4.004792e+00    6.981892e+01    4.040492e+00    2.124511e+08    1.212203e-08    1.089810e-10    1.155996e-08    1.093737e-09   -1.430000e+00    9.796406e-01    4.062188e-01
    4.097904e+00    7.496332e+01    3.880081e+00    2.091901e+08    1.209711e-08    1.015658e-10    1.153140e-08    1.090600e-09   -1.420000e+00    9.796406e-01    3.981833e-01
    4.194718e+00    8.038971e+01    3.722502e+00    2.058689e+08    1.207166e-08    9.467940e-11    1.150165e-08    1.087462e-09   -1.410000e+00    9.796406e-01    3.901486e-01
    4.295482e+00    8.611073e+01    3.567798e+00    2.024902e+08    1.204559e-08    8.828235e-11    1.147064e-08    1.084310e-09   -1.400000e+00    9.796406e-01    3.821149e-01
    4.400467e+00    9.214023e+01    3.416007e+00    1.990561e+08    1.201883e-08    8.233830e-11    1.143830e-08    1.081134e-09   -1.390000e+00    9.796406e-01    3.740824e-01
    4.509957e+00    9.849320e+01    3.267170e+00    1.955685e+08    1.199128e-08    7.681350e-11    1.140456e-08    1.077922e-09   -1.380000e+00    9.796406e-01    3.660512e-01
    4.624259e+00    1.051860e+02    3.121324e+00    1.920291e+08    1.196283e-08    7.167680e-11    1.136933e-08    1.074663e-09   -1.370000e+00    9.796406e-01    3.580217e-01
    4.743702e+00    1.122364e+02    2.978506e+00    1.884391e+08    1.193342e-08    6.689935e-11    1.133252e-08    1.071344e-09   -1.360000e+00    9.796406e-01    3.499942e-01
    4.868636e+00    1.196637e+02    2.838753e+00    1.847997e+08    1.190293e-08    6.245455e-11    1.129405e-08    1.067954e-09   -1.350000e+00    9.796406e-01    3.419690e-01
    4.999434e+00    1.274886e+02    2.702101e+00    1.811114e+08    1.187126e-08    5.831775e-11    1.125381e-08    1.064478e-09   -1.340000e+00    9.796406e-01    3.339468e-01
    5.136498e+00    1.357337e+02    2.568586e+00    1.773747e+08    1.183831e-08    5.446635e-11    1.121168e-08    1.060906e-09   -1.330000e+00    9.796406e-01    3.259280e-01
    5.280261e+00    1.444231e+02    2.438242e+00    1.735900e+08    1.180396e-08    5.087930e-11    1.116756e-08    1.057223e-09   -1.320000e+00    9.796406e-01    3.179134e-01
    5.431179e+00    1.535831e+02    2.311106e+00    1.697570e+08    1.176811e-08    4.753729e-11    1.112134e-08    1.053415e-09   -1.310000e+00    9.796406e-01    3.099038e-01
