# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: 25C
# W = 2.0 um
# L = 2.5 um (2500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.863047e+00    3.660055e+00    9.005125e+00    1.598949e+08    1.669934e-08    1.705875e-09    1.506849e-08    1.604805e-09   -1.800000e+00    9.837869e-01    7.038235e-01
    1.902750e+00    3.889145e+00    8.837355e+00    1.608953e+08    1.663339e-08    1.614495e-09    1.507641e-08    1.593165e-09   -1.790000e+00    9.837869e-01    6.955857e-01
    1.943666e+00    4.142596e+00    8.668835e+00    1.618514e+08    1.656861e-08    1.525724e-09    1.508302e-08    1.581739e-09   -1.780000e+00    9.837869e-01    6.873530e-01
    1.985674e+00    4.423718e+00    8.500190e+00    1.627562e+08    1.650514e-08    1.439731e-09    1.508828e-08    1.570546e-09   -1.770000e+00    9.837869e-01    6.791254e-01
    2.028808e+00    4.736289e+00    8.331280e+00    1.636025e+08    1.644307e-08    1.356665e-09    1.509218e-08    1.559604e-09   -1.760000e+00    9.837869e-01    6.709028e-01
    2.073057e+00    5.084618e+00    8.162160e+00    1.643827e+08    1.638250e-08    1.276651e-09    1.509471e-08    1.548929e-09   -1.750000e+00    9.837869e-01    6.626852e-01
    2.118399e+00    5.473596e+00    7.992890e+00    1.650889e+08    1.632352e-08    1.199790e-09    1.509585e-08    1.538535e-09   -1.740000e+00    9.837869e-01    6.544723e-01
    2.164805e+00    5.908740e+00    7.823540e+00    1.657130e+08    1.626619e-08    1.126159e-09    1.509560e-08    1.528434e-09   -1.730000e+00    9.837869e-01    6.462642e-01
    2.212239e+00    6.396246e+00    7.654185e+00    1.662469e+08    1.621055e-08    1.055807e-09    1.509397e-08    1.518637e-09   -1.720000e+00    9.837869e-01    6.380608e-01
    2.260656e+00    6.943014e+00    7.484910e+00    1.666826e+08    1.615663e-08    9.887635e-10    1.509097e-08    1.509149e-09   -1.710000e+00    9.837869e-01    6.298619e-01
