# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: -40C
# W = 2.0 um
# L = 1 um (1000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.723946e+00    1.217114e+01    1.580395e+01    1.174812e+09    5.831980e-09    1.557089e-10    5.570610e-09    5.400465e-10   -1.800000e+00    1.124551e+00    5.709150e-01
    2.777595e+00    1.321414e+01    1.537346e+01    1.167193e+09    5.822615e-09    1.456545e-10    5.567125e-09    5.382155e-10   -1.790000e+00    1.124551e+00    5.628415e-01
    2.831332e+00    1.433924e+01    1.495001e+01    1.158803e+09    5.813570e-09    1.362309e-10    5.563365e-09    5.364575e-10   -1.780000e+00    1.124551e+00    5.547715e-01
    2.886132e+00    1.554756e+01    1.452869e+01    1.149672e+09    5.804820e-09    1.274047e-10    5.559350e-09    5.347695e-10   -1.770000e+00    1.124551e+00    5.467047e-01
    2.941744e+00    1.683950e+01    1.411145e+01    1.139836e+09    5.796345e-09    1.191427e-10    5.555080e-09    5.331485e-10   -1.760000e+00    1.124551e+00    5.386412e-01
    2.998239e+00    1.821483e+01    1.369852e+01    1.129332e+09    5.788130e-09    1.114129e-10    5.550570e-09    5.315905e-10   -1.750000e+00    1.124551e+00    5.305809e-01
    3.055701e+00    1.967284e+01    1.329009e+01    1.118202e+09    5.780145e-09    1.041843e-10    5.545825e-09    5.300925e-10   -1.740000e+00    1.124551e+00    5.225237e-01
    3.114227e+00    2.121241e+01    1.288637e+01    1.106487e+09    5.772375e-09    9.742665e-11    5.540845e-09    5.286505e-10   -1.730000e+00    1.124551e+00    5.144696e-01
    3.173917e+00    2.283219e+01    1.248753e+01    1.094228e+09    5.764800e-09    9.111140e-11    5.535645e-09    5.272615e-10   -1.720000e+00    1.124551e+00    5.064187e-01
    3.234885e+00    2.453076e+01    1.209373e+01    1.081467e+09    5.757395e-09    8.521090e-11    5.530220e-09    5.259220e-10   -1.710000e+00    1.124551e+00    4.983707e-01
    3.297248e+00    2.630674e+01    1.170514e+01    1.068243e+09    5.750140e-09    7.969895e-11    5.524580e-09    5.246290e-10   -1.700000e+00    1.124551e+00    4.903258e-01
    3.361134e+00    2.815895e+01    1.132188e+01    1.054591e+09    5.743020e-09    7.455060e-11    5.518725e-09    5.233785e-10   -1.690000e+00    1.124551e+00    4.822838e-01
    3.426672e+00    3.008648e+01    1.094409e+01    1.040548e+09    5.736015e-09    6.974225e-11    5.512650e-09    5.221680e-10   -1.680000e+00    1.124551e+00    4.742448e-01
    3.493999e+00    3.208881e+01    1.057188e+01    1.026146e+09    5.729095e-09    6.525155e-11    5.506360e-09    5.209940e-10   -1.670000e+00    1.124551e+00    4.662086e-01
    3.563257e+00    3.416583e+01    1.020536e+01    1.011413e+09    5.722255e-09    6.105750e-11    5.499850e-09    5.198530e-10   -1.660000e+00    1.124551e+00    4.581753e-01
    3.634596e+00    3.631797e+01    9.844625e+00    9.963773e+08    5.715465e-09    5.714035e-11    5.493120e-09    5.187425e-10   -1.650000e+00    1.124551e+00    4.501449e-01
    3.708170e+00    3.854615e+01    9.489765e+00    9.810639e+08    5.708710e-09    5.348145e-11    5.486160e-09    5.176595e-10   -1.640000e+00    1.124551e+00    4.421172e-01
    3.784146e+00    4.085183e+01    9.140860e+00    9.654952e+08    5.701970e-09    5.006340e-11    5.478970e-09    5.166005e-10   -1.630000e+00    1.124551e+00    4.340924e-01
    3.862696e+00    4.323701e+01    8.797980e+00    9.496920e+08    5.695225e-09    4.686993e-11    5.471535e-09    5.155625e-10   -1.620000e+00    1.124551e+00    4.260703e-01
    3.944000e+00    4.570432e+01    8.461205e+00    9.336740e+08    5.688450e-09    4.388573e-11    5.463855e-09    5.145425e-10   -1.610000e+00    1.124551e+00    4.180509e-01
    4.028254e+00    4.825692e+01    8.130585e+00    9.174573e+08    5.681630e-09    4.109657e-11    5.455915e-09    5.135380e-10   -1.600000e+00    1.124551e+00    4.100343e-01
    4.115667e+00    5.089849e+01    7.806180e+00    9.010576e+08    5.674745e-09    3.848915e-11    5.447700e-09    5.125455e-10   -1.590000e+00    1.124551e+00    4.020205e-01
    4.206455e+00    5.363337e+01    7.488045e+00    8.844901e+08    5.667765e-09    3.605107e-11    5.439200e-09    5.115625e-10   -1.580000e+00    1.124551e+00    3.940094e-01
    4.300853e+00    5.646644e+01    7.176235e+00    8.677672e+08    5.660675e-09    3.377078e-11    5.430395e-09    5.105850e-10   -1.570000e+00    1.124551e+00    3.860010e-01
    4.399120e+00    5.940329e+01    6.870785e+00    8.509011e+08    5.653445e-09    3.163751e-11    5.421270e-09    5.096105e-10   -1.560000e+00    1.124551e+00    3.779954e-01
    4.501527e+00    6.245001e+01    6.571740e+00    8.339025e+08    5.646055e-09    2.964126e-11    5.411800e-09    5.086350e-10   -1.550000e+00    1.124551e+00    3.699925e-01
    4.608370e+00    6.561342e+01    6.279140e+00    8.167809e+08    5.638480e-09    2.777270e-11    5.401970e-09    5.076565e-10   -1.540000e+00    1.124551e+00    3.619925e-01
    4.719973e+00    6.890103e+01    5.993015e+00    7.995466e+08    5.630685e-09    2.602318e-11    5.391745e-09    5.066700e-10   -1.530000e+00    1.124551e+00    3.539953e-01
    4.836676e+00    7.232109e+01    5.713410e+00    7.822073e+08    5.622645e-09    2.438464e-11    5.381105e-09    5.056725e-10   -1.520000e+00    1.124551e+00    3.460010e-01
    4.958861e+00    7.588265e+01    5.440350e+00    7.647702e+08    5.614330e-09    2.284960e-11    5.370015e-09    5.046605e-10   -1.510000e+00    1.124551e+00    3.380097e-01
    5.086946e+00    7.959561e+01    5.173860e+00    7.472433e+08    5.605700e-09    2.141109e-11    5.358440e-09    5.036295e-10   -1.500000e+00    1.124551e+00    3.300216e-01
    5.221372e+00    8.347078e+01    4.913975e+00    7.296317e+08    5.596725e-09    2.006267e-11    5.346340e-09    5.025755e-10   -1.490000e+00    1.124551e+00    3.220367e-01
    5.362635e+00    8.751995e+01    4.660716e+00    7.119410e+08    5.587365e-09    1.879832e-11    5.333675e-09    5.014940e-10   -1.480000e+00    1.124551e+00    3.140552e-01
    5.511277e+00    9.175607e+01    4.414109e+00    6.941766e+08    5.577575e-09    1.761245e-11    5.320395e-09    5.003795e-10   -1.470000e+00    1.124551e+00    3.060773e-01
    5.667884e+00    9.619321e+01    4.174176e+00    6.763423e+08    5.567310e-09    1.649989e-11    5.306455e-09    4.992273e-10   -1.460000e+00    1.124551e+00    2.981033e-01
    5.833108e+00    1.008467e+02    3.940941e+00    6.584409e+08    5.556525e-09    1.545583e-11    5.291795e-09    4.980318e-10   -1.450000e+00    1.124551e+00    2.901335e-01
    6.007660e+00    1.057335e+02    3.714425e+00    6.404755e+08    5.545165e-09    1.447577e-11    5.276360e-09    4.967869e-10   -1.440000e+00    1.124551e+00    2.821683e-01
    6.192322e+00    1.108716e+02    3.494648e+00    6.224480e+08    5.533170e-09    1.355557e-11    5.260070e-09    4.954860e-10   -1.430000e+00    1.124551e+00    2.742081e-01
    6.387954e+00    1.162812e+02    3.281632e+00    6.043584e+08    5.520485e-09    1.269136e-11    5.242865e-09    4.941224e-10   -1.420000e+00    1.124551e+00    2.662537e-01
    6.595502e+00    1.219838e+02    3.075397e+00    5.862063e+08    5.507045e-09    1.187955e-11    5.224660e-09    4.926883e-10   -1.410000e+00    1.124551e+00    2.583057e-01
    6.816007e+00    1.280030e+02    2.875963e+00    5.679923e+08    5.492765e-09    1.111679e-11    5.205370e-09    4.911756e-10   -1.400000e+00    1.124551e+00    2.503650e-01
    7.050609e+00    1.343644e+02    2.683352e+00    5.497121e+08    5.477585e-09    1.039998e-11    5.184900e-09    4.895754e-10   -1.390000e+00    1.124551e+00    2.424327e-01
    7.300556e+00    1.410954e+02    2.497585e+00    5.313638e+08    5.461405e-09    9.726230e-12    5.163145e-09    4.878782e-10   -1.380000e+00    1.124551e+00    2.345102e-01
    7.567220e+00    1.482256e+02    2.318685e+00    5.129422e+08    5.444145e-09    9.092855e-12    5.140000e-09    4.860737e-10   -1.370000e+00    1.124551e+00    2.265991e-01
    7.852090e+00    1.557867e+02    2.146673e+00    4.944413e+08    5.425710e-09    8.497360e-12    5.115340e-09    4.841507e-10   -1.360000e+00    1.124551e+00    2.187014e-01
    8.156787e+00    1.638120e+02    1.981575e+00    4.758549e+08    5.405990e-09    7.937420e-12    5.089040e-09    4.820972e-10   -1.350000e+00    1.124551e+00    2.108196e-01
    8.483053e+00    1.723367e+02    1.823416e+00    4.571750e+08    5.384875e-09    7.410865e-12    5.060965e-09    4.799003e-10   -1.340000e+00    1.124551e+00    2.029565e-01
    8.832762e+00    1.813967e+02    1.672221e+00    4.383927e+08    5.362250e-09    6.915680e-12    5.030960e-09    4.775460e-10   -1.330000e+00    1.124551e+00    1.951159e-01
    9.207892e+00    1.910288e+02    1.528018e+00    4.194991e+08    5.337990e-09    6.450000e-12    4.998869e-09    4.750196e-10   -1.320000e+00    1.124551e+00    1.873020e-01
    9.610507e+00    2.012684e+02    1.390834e+00    4.004859e+08    5.311955e-09    6.012070e-12    4.964528e-09    4.723052e-10   -1.310000e+00    1.124551e+00    1.795201e-01
    1.004272e+01    2.121489e+02    1.260695e+00    3.813443e+08    5.284015e-09    5.600265e-12    4.927760e-09    4.693859e-10   -1.300000e+00    1.124551e+00    1.717765e-01
    1.050663e+01    2.236992e+02    1.137626e+00    3.620693e+08    5.254015e-09    5.213070e-12    4.888376e-09    4.662440e-10   -1.290000e+00    1.124551e+00    1.640790e-01
    1.100424e+01    2.359408e+02    1.021649e+00    3.426584e+08    5.221805e-09    4.849076e-12    4.846185e-09    4.628605e-10   -1.280000e+00    1.124551e+00    1.564364e-01
    1.153734e+01    2.488840e+02    9.127805e-01    3.231150e+08    5.187225e-09    4.506963e-12    4.800983e-09    4.592160e-10   -1.270000e+00    1.124551e+00    1.488598e-01
    1.210731e+01    2.625230e+02    8.110285e-01    3.034499e+08    5.150115e-09    4.185504e-12    4.752564e-09    4.552898e-10   -1.260000e+00    1.124551e+00    1.413618e-01
    1.271496e+01    2.768306e+02    7.163890e-01    2.836854e+08    5.110310e-09    3.883554e-12    4.700716e-09    4.510612e-10   -1.250000e+00    1.124551e+00    1.339575e-01
