# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: 25C
# W = 2.0 um
# L = 2.5 um (2500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.291640e+00    6.823781e+00    6.516035e+00    1.672596e+08    1.420885e-08    9.030055e-10    1.315511e-08    1.443513e-09   -1.800000e+00    1.050572e+00    6.342445e-01
    2.338433e+00    7.395961e+00    6.366710e+00    1.672843e+08    1.416463e-08    8.466625e-10    1.315260e-08    1.434917e-09   -1.790000e+00    1.050572e+00    6.262384e-01
    2.385921e+00    8.036457e+00    6.218295e+00    1.672078e+08    1.412183e-08    7.930715e-10    1.314896e-08    1.426602e-09   -1.780000e+00    1.050572e+00    6.182355e-01
    2.434294e+00    8.753425e+00    6.070225e+00    1.670248e+08    1.408046e-08    7.422130e-10    1.314420e-08    1.418572e-09   -1.770000e+00    1.050572e+00    6.102358e-01
    2.483432e+00    9.555628e+00    5.922790e+00    1.667309e+08    1.404051e-08    6.940505e-10    1.313835e-08    1.410827e-09   -1.760000e+00    1.050572e+00    6.022390e-01
    2.533296e+00    1.045236e+01    5.776075e+00    1.663225e+08    1.400193e-08    6.485340e-10    1.313142e-08    1.403364e-09   -1.750000e+00    1.050572e+00    5.942453e-01
    2.583854e+00    1.145339e+01    5.630170e+00    1.657974e+08    1.396471e-08    6.056005e-10    1.312345e-08    1.396182e-09   -1.740000e+00    1.050572e+00    5.862546e-01
    2.635090e+00    1.256879e+01    5.485155e+00    1.651546e+08    1.392880e-08    5.651755e-10    1.311445e-08    1.389274e-09   -1.730000e+00    1.050572e+00    5.782668e-01
    2.686997e+00    1.380890e+01    5.341120e+00    1.643947e+08    1.389415e-08    5.271755e-10    1.310447e-08    1.382635e-09   -1.720000e+00    1.050572e+00    5.702820e-01
    2.739583e+00    1.518411e+01    5.198150e+00    1.635191e+08    1.386070e-08    4.915106e-10    1.309351e-08    1.376257e-09   -1.710000e+00    1.050572e+00    5.622999e-01
    2.792869e+00    1.670476e+01    5.056335e+00    1.625306e+08    1.382838e-08    4.580841e-10    1.308161e-08    1.370131e-09   -1.700000e+00    1.050572e+00    5.543208e-01
    2.846899e+00    1.838106e+01    4.915745e+00    1.614332e+08    1.379713e-08    4.267960e-10    1.306880e-08    1.364247e-09   -1.690000e+00    1.050572e+00    5.463444e-01
    2.901725e+00    2.022289e+01    4.776465e+00    1.602313e+08    1.376688e-08    3.975438e-10    1.305508e-08    1.358595e-09   -1.680000e+00    1.050572e+00    5.383707e-01
    2.957415e+00    2.223977e+01    4.638568e+00    1.589303e+08    1.373756e-08    3.702235e-10    1.304048e-08    1.353165e-09   -1.670000e+00    1.050572e+00    5.303998e-01
    3.014048e+00    2.444087e+01    4.502124e+00    1.575359e+08    1.370908e-08    3.447315e-10    1.302501e-08    1.347943e-09   -1.660000e+00    1.050572e+00    5.224316e-01
