# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: 25C
# W = 2.0 um
# L = 6 um (6000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.371637e+00    8.667106e+00    2.703340e+00    3.037093e+07    3.359780e-08    2.401237e-09    3.137924e-08    3.345840e-09   -1.800000e+00    1.053852e+00    6.282068e-01
    2.418603e+00    9.510524e+00    2.639227e+00    3.034490e+07    3.347924e-08    2.251583e-09    3.137446e-08    3.323460e-09   -1.790000e+00    1.053852e+00    6.201586e-01
    2.466016e+00    1.046927e+01    2.575687e+00    3.029893e+07    3.336429e-08    2.108832e-09    3.136688e-08    3.301782e-09   -1.780000e+00    1.053852e+00    6.121150e-01
    2.514207e+00    1.155969e+01    2.512343e+00    3.023219e+07    3.325297e-08    1.973015e-09    3.135652e-08    3.280822e-09   -1.770000e+00    1.053852e+00    6.040760e-01
    2.563008e+00    1.279996e+01    2.449368e+00    3.014407e+07    3.314532e-08    1.844110e-09    3.134344e-08    3.260588e-09   -1.760000e+00    1.053852e+00    5.960416e-01
    2.612390e+00    1.421010e+01    2.386799e+00    3.003425e+07    3.304131e-08    1.722056e-09    3.132766e-08    3.241084e-09   -1.750000e+00    1.053852e+00    5.880119e-01
    2.662329e+00    1.581199e+01    2.324675e+00    2.990258e+07    3.294089e-08    1.606744e-09    3.130925e-08    3.222308e-09   -1.740000e+00    1.053852e+00    5.799867e-01
    2.712826e+00    1.762937e+01    2.263031e+00    2.974929e+07    3.284400e-08    1.498030e-09    3.128828e-08    3.204254e-09   -1.730000e+00    1.053852e+00    5.719662e-01
    2.763891e+00    1.968767e+01    2.201903e+00    2.957476e+07    3.275051e-08    1.395740e-09    3.126479e-08    3.186910e-09   -1.720000e+00    1.053852e+00    5.639503e-01
    2.815552e+00    2.201395e+01    2.141326e+00    2.937963e+07    3.266030e-08    1.299671e-09    3.123885e-08    3.170260e-09   -1.710000e+00    1.053852e+00    5.559389e-01
    2.867856e+00    2.463680e+01    2.081333e+00    2.916475e+07    3.257324e-08    1.209598e-09    3.121052e-08    3.154287e-09   -1.700000e+00    1.053852e+00    5.479322e-01
    2.920861e+00    2.758606e+01    2.021957e+00    2.893108e+07    3.248914e-08    1.125278e-09    3.117985e-08    3.138967e-09   -1.690000e+00    1.053852e+00    5.399300e-01
    2.974646e+00    3.089277e+01    1.963225e+00    2.867974e+07    3.240785e-08    1.046457e-09    3.114690e-08    3.124277e-09   -1.680000e+00    1.053852e+00    5.319324e-01
    3.029293e+00    3.458886e+01    1.905168e+00    2.841188e+07    3.232917e-08    9.728710e-10    3.111170e-08    3.110188e-09   -1.670000e+00    1.053852e+00    5.239394e-01
    3.084902e+00    3.870707e+01    1.847808e+00    2.812870e+07    3.225289e-08    9.042535e-10    3.107431e-08    3.096670e-09   -1.660000e+00    1.053852e+00    5.159509e-01
    3.141582e+00    4.328078e+01    1.791169e+00    2.783140e+07    3.217882e-08    8.403340e-10    3.103474e-08    3.083694e-09   -1.650000e+00    1.053852e+00    5.079671e-01
    3.199444e+00    4.834367e+01    1.735272e+00    2.752111e+07    3.210674e-08    7.808460e-10    3.099302e-08    3.071227e-09   -1.640000e+00    1.053852e+00    4.999878e-01
    3.258607e+00    5.392986e+01    1.680137e+00    2.719897e+07    3.203644e-08    7.255260e-10    3.094917e-08    3.059237e-09   -1.630000e+00    1.053852e+00    4.920131e-01
    3.319202e+00    6.007372e+01    1.625779e+00    2.686606e+07    3.196771e-08    6.741175e-10    3.090318e-08    3.047691e-09   -1.620000e+00    1.053852e+00    4.840431e-01
    3.381356e+00    6.680964e+01    1.572216e+00    2.652333e+07    3.190032e-08    6.263715e-10    3.085506e-08    3.036555e-09   -1.610000e+00    1.053852e+00    4.760777e-01
    3.445202e+00    7.417211e+01    1.519460e+00    2.617170e+07    3.183406e-08    5.820480e-10    3.080478e-08    3.025795e-09   -1.600000e+00    1.053852e+00    4.681169e-01
    3.510883e+00    8.219580e+01    1.467523e+00    2.581201e+07    3.176871e-08    5.409185e-10    3.075232e-08    3.015378e-09   -1.590000e+00    1.053852e+00    4.601608e-01
    3.578544e+00    9.091539e+01    1.416417e+00    2.544502e+07    3.170405e-08    5.027640e-10    3.069763e-08    3.005273e-09   -1.580000e+00    1.053852e+00    4.522094e-01
    3.648334e+00    1.003657e+02    1.366151e+00    2.507142e+07    3.163987e-08    4.673773e-10    3.064068e-08    2.995443e-09   -1.570000e+00    1.053852e+00    4.442627e-01
    3.720408e+00    1.105817e+02    1.316736e+00    2.469181e+07    3.157595e-08    4.345627e-10    3.058139e-08    2.985857e-09   -1.560000e+00    1.053852e+00    4.363209e-01
    3.794928e+00    1.215985e+02    1.268178e+00    2.430675e+07    3.151208e-08    4.041359e-10    3.051970e-08    2.976483e-09   -1.550000e+00    1.053852e+00    4.283839e-01
    3.872066e+00    1.334519e+02    1.220485e+00    2.391673e+07    3.144804e-08    3.759237e-10    3.045551e-08    2.967288e-09   -1.540000e+00    1.053852e+00    4.204518e-01
    3.951999e+00    1.461778e+02    1.173665e+00    2.352220e+07    3.138362e-08    3.497641e-10    3.038875e-08    2.958241e-09   -1.530000e+00    1.053852e+00    4.125248e-01
    4.034916e+00    1.598131e+02    1.127721e+00    2.312353e+07    3.131860e-08    3.255058e-10    3.031928e-08    2.949309e-09   -1.520000e+00    1.053852e+00    4.046029e-01
    4.121016e+00    1.743951e+02    1.082661e+00    2.272106e+07    3.125275e-08    3.030077e-10    3.024699e-08    2.940462e-09   -1.510000e+00    1.053852e+00    3.966862e-01
    4.210509e+00    1.899623e+02    1.038490e+00    2.231511e+07    3.118587e-08    2.821388e-10    3.017175e-08    2.931668e-09   -1.500000e+00    1.053852e+00    3.887749e-01
    4.303621e+00    2.065543e+02    9.952110e-01    2.190591e+07    3.111773e-08    2.627770e-10    3.009340e-08    2.922895e-09   -1.490000e+00    1.053852e+00    3.808691e-01
    4.400588e+00    2.242118e+02    9.528305e-01    2.149371e+07    3.104810e-08    2.448094e-10    3.001178e-08    2.914112e-09   -1.480000e+00    1.053852e+00    3.729691e-01
    4.501663e+00    2.429770e+02    9.113525e-01    2.107869e+07    3.097676e-08    2.281311e-10    2.992671e-08    2.905288e-09   -1.470000e+00    1.053852e+00    3.650750e-01
    4.607125e+00    2.628938e+02    8.707800e-01    2.066100e+07    3.090346e-08    2.126453e-10    2.983800e-08    2.896390e-09   -1.460000e+00    1.053852e+00    3.571872e-01
    4.717259e+00    2.840079e+02    8.311175e-01    2.024079e+07    3.082797e-08    1.982623e-10    2.974544e-08    2.887386e-09   -1.450000e+00    1.053852e+00    3.493059e-01
    4.832375e+00    3.063667e+02    7.923695e-01    1.981814e+07    3.075004e-08    1.848993e-10    2.964882e-08    2.878244e-09   -1.440000e+00    1.053852e+00    3.414315e-01
    4.952812e+00    3.300199e+02    7.545385e-01    1.939313e+07    3.066941e-08    1.724798e-10    2.954789e-08    2.868929e-09   -1.430000e+00    1.053852e+00    3.335645e-01
    5.078924e+00    3.550188e+02    7.176290e-01    1.896582e+07    3.058583e-08    1.609330e-10    2.944239e-08    2.859408e-09   -1.420000e+00    1.053852e+00    3.257054e-01
    5.211098e+00    3.814176e+02    6.816440e-01    1.853622e+07    3.049901e-08    1.501940e-10    2.933205e-08    2.849646e-09   -1.410000e+00    1.053852e+00    3.178547e-01
    5.349742e+00    4.092719e+02    6.465875e-01    1.810434e+07    3.040869e-08    1.402024e-10    2.921658e-08    2.839606e-09   -1.400000e+00    1.053852e+00    3.100132e-01
    5.495294e+00    4.386397e+02    6.124635e-01    1.767014e+07    3.031457e-08    1.309031e-10    2.909569e-08    2.829252e-09   -1.390000e+00    1.053852e+00    3.021816e-01
    5.648224e+00    4.695806e+02    5.792755e-01    1.723357e+07    3.021635e-08    1.222447e-10    2.896903e-08    2.818544e-09   -1.380000e+00    1.053852e+00    2.943609e-01
    5.809035e+00    5.021554e+02    5.470275e-01    1.679457e+07    3.011372e-08    1.141802e-10    2.883626e-08    2.807444e-09   -1.370000e+00    1.053852e+00    2.865522e-01
    5.978264e+00    5.364262e+02    5.157230e-01    1.635304e+07    3.000637e-08    1.066660e-10    2.869704e-08    2.795911e-09   -1.360000e+00    1.053852e+00    2.787568e-01
    6.156477e+00    5.724549e+02    4.853662e-01    1.590884e+07    2.989395e-08    9.966200e-11    2.855096e-08    2.783902e-09   -1.350000e+00    1.053852e+00    2.709761e-01
    6.344275e+00    6.103037e+02    4.559614e-01    1.546187e+07    2.977613e-08    9.313130e-11    2.839764e-08    2.771373e-09   -1.340000e+00    1.053852e+00    2.632118e-01
    6.542290e+00    6.500309e+02    4.275128e-01    1.501194e+07    2.965256e-08    8.703980e-11    2.823668e-08    2.758280e-09   -1.330000e+00    1.053852e+00    2.554659e-01
    6.751189e+00    6.916928e+02    4.000246e-01    1.455890e+07    2.952286e-08    8.135595e-11    2.806762e-08    2.744575e-09   -1.320000e+00    1.053852e+00    2.477408e-01
    6.971658e+00    7.353386e+02    3.735014e-01    1.410256e+07    2.938668e-08    7.605075e-11    2.789003e-08    2.730210e-09   -1.310000e+00    1.053852e+00    2.400391e-01
    7.204412e+00    7.810101e+02    3.479476e-01    1.364273e+07    2.924363e-08    7.109730e-11    2.770344e-08    2.715136e-09   -1.300000e+00    1.053852e+00    2.323639e-01
    7.450176e+00    8.287363e+02    3.233678e-01    1.317923e+07    2.909332e-08    6.647090e-11    2.750737e-08    2.699300e-09   -1.290000e+00    1.053852e+00    2.247186e-01
    7.709676e+00    8.785315e+02    2.997662e-01    1.271189e+07    2.893535e-08    6.214865e-11    2.730136e-08    2.682650e-09   -1.280000e+00    1.053852e+00    2.171075e-01
    7.983634e+00    9.303885e+02    2.771471e-01    1.224056e+07    2.876933e-08    5.810940e-11    2.708490e-08    2.665132e-09   -1.270000e+00    1.053852e+00    2.095351e-01
    8.272733e+00    9.842746e+02    2.555146e-01    1.176514e+07    2.859485e-08    5.433360e-11    2.685747e-08    2.646692e-09   -1.260000e+00    1.053852e+00    2.020067e-01
    8.577609e+00    1.040124e+03    2.348721e-01    1.128556e+07    2.841154e-08    5.080320e-11    2.661861e-08    2.627274e-09   -1.250000e+00    1.053852e+00    1.945286e-01
    8.898810e+00    1.097830e+03    2.152226e-01    1.080187e+07    2.821897e-08    4.750141e-11    2.636778e-08    2.606822e-09   -1.240000e+00    1.053852e+00    1.871075e-01
    9.236761e+00    1.157238e+03    1.965682e-01    1.031418e+07    2.801678e-08    4.441281e-11    2.610451e-08    2.585280e-09   -1.230000e+00    1.053852e+00    1.797514e-01
    9.591730e+00    1.218136e+03    1.789097e-01    9.822785e+06    2.780457e-08    4.152302e-11    2.582830e-08    2.562591e-09   -1.220000e+00    1.053852e+00    1.724689e-01
    9.963759e+00    1.280242e+03    1.622467e-01    9.328101e+06    2.758201e-08    3.881877e-11    2.553869e-08    2.538700e-09   -1.210000e+00    1.053852e+00    1.652700e-01
