# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: -40C
# W = 2.0 um
# L = 0.5 um (500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.404723e+00    6.986788e+00    3.174994e+01    3.958082e+09    3.070035e-09    7.045510e-11    2.958789e-09    2.661779e-10   -1.800000e+00    1.099148e+00    5.896140e-01
    2.454391e+00    7.450610e+00    3.098645e+01    3.948565e+09    3.065465e-09    6.557345e-11    2.957242e-09    2.653016e-10   -1.790000e+00    1.099148e+00    5.819685e-01
    2.504694e+00    7.945178e+00    3.022903e+01    3.936683e+09    3.061036e-09    6.098945e-11    2.955559e-09    2.644598e-10   -1.780000e+00    1.099148e+00    5.743173e-01
    2.555985e+00    8.470808e+00    2.947375e+01    3.922430e+09    3.056741e-09    5.668740e-11    2.953745e-09    2.636510e-10   -1.770000e+00    1.099148e+00    5.666602e-01
    2.608172e+00    9.027590e+00    2.872247e+01    3.905827e+09    3.052567e-09    5.265225e-11    2.951803e-09    2.628736e-10   -1.760000e+00    1.099148e+00    5.589971e-01
    2.661287e+00    9.615403e+00    2.797562e+01    3.886909e+09    3.048507e-09    4.886905e-11    2.949738e-09    2.621258e-10   -1.750000e+00    1.099148e+00    5.513279e-01
    2.715370e+00    1.023394e+01    2.723358e+01    3.865722e+09    3.044551e-09    4.532357e-11    2.947553e-09    2.614062e-10   -1.740000e+00    1.099148e+00    5.436524e-01
    2.770476e+00    1.088279e+01    2.649676e+01    3.842337e+09    3.040689e-09    4.200195e-11    2.945250e-09    2.607131e-10   -1.730000e+00    1.099148e+00    5.359704e-01
    2.826669e+00    1.156141e+01    2.576554e+01    3.816825e+09    3.036911e-09    3.889093e-11    2.942833e-09    2.600451e-10   -1.720000e+00    1.099148e+00    5.282819e-01
    2.884020e+00    1.226925e+01    2.504027e+01    3.789267e+09    3.033209e-09    3.597781e-11    2.940303e-09    2.594004e-10   -1.710000e+00    1.099148e+00    5.205868e-01
    2.942614e+00    1.300575e+01    2.432132e+01    3.759752e+09    3.029573e-09    3.325050e-11    2.937662e-09    2.587777e-10   -1.700000e+00    1.099148e+00    5.128848e-01
    3.002542e+00    1.377043e+01    2.360902e+01    3.728370e+09    3.025994e-09    3.069747e-11    2.934909e-09    2.581753e-10   -1.690000e+00    1.099148e+00    5.051758e-01
    3.063901e+00    1.456283e+01    2.290368e+01    3.695211e+09    3.022462e-09    2.830780e-11    2.932047e-09    2.575919e-10   -1.680000e+00    1.099148e+00    4.974598e-01
    3.126801e+00    1.538267e+01    2.220562e+01    3.660366e+09    3.018970e-09    2.607117e-11    2.929073e-09    2.570259e-10   -1.670000e+00    1.099148e+00    4.897365e-01
    3.191353e+00    1.622975e+01    2.151512e+01    3.623919e+09    3.015506e-09    2.397781e-11    2.925989e-09    2.564760e-10   -1.660000e+00    1.099148e+00    4.820060e-01
    3.257678e+00    1.710402e+01    2.083246e+01    3.585953e+09    3.012064e-09    2.201851e-11    2.922792e-09    2.559406e-10   -1.650000e+00    1.099148e+00    4.742679e-01
    3.325905e+00    1.800560e+01    2.015789e+01    3.546548e+09    3.008634e-09    2.018461e-11    2.919480e-09    2.554185e-10   -1.640000e+00    1.099148e+00    4.665223e-01
    3.396170e+00    1.893476e+01    1.949168e+01    3.505779e+09    3.005206e-09    1.846799e-11    2.916049e-09    2.549083e-10   -1.630000e+00    1.099148e+00    4.587689e-01
    3.468618e+00    1.989194e+01    1.883403e+01    3.463715e+09    3.001772e-09    1.686100e-11    2.912499e-09    2.544086e-10   -1.620000e+00    1.099148e+00    4.510077e-01
    3.543401e+00    2.087771e+01    1.818519e+01    3.420425e+09    2.998321e-09    1.535651e-11    2.908823e-09    2.539181e-10   -1.610000e+00    1.099148e+00    4.432386e-01
    3.620676e+00    2.189279e+01    1.754536e+01    3.375964e+09    2.994844e-09    1.394780e-11    2.905018e-09    2.534353e-10   -1.600000e+00    1.099148e+00    4.354615e-01
    3.700621e+00    2.293808e+01    1.691473e+01    3.330392e+09    2.991331e-09    1.262861e-11    2.901077e-09    2.529592e-10   -1.590000e+00    1.099148e+00    4.276762e-01
    3.783413e+00    2.401458e+01    1.629351e+01    3.283759e+09    2.987772e-09    1.139310e-11    2.896994e-09    2.524881e-10   -1.580000e+00    1.099148e+00    4.198827e-01
    3.869253e+00    2.512349e+01    1.568189e+01    3.236116e+09    2.984157e-09    1.023579e-11    2.892761e-09    2.520208e-10   -1.570000e+00    1.099148e+00    4.120808e-01
    3.958344e+00    2.626606e+01    1.508003e+01    3.187503e+09    2.980474e-09    9.151595e-12    2.888372e-09    2.515559e-10   -1.560000e+00    1.099148e+00    4.042705e-01
    4.050916e+00    2.744377e+01    1.448811e+01    3.137967e+09    2.976711e-09    8.135760e-12    2.883817e-09    2.510919e-10   -1.550000e+00    1.099148e+00    3.964517e-01
    4.147205e+00    2.865815e+01    1.390628e+01    3.087541e+09    2.972857e-09    7.183845e-12    2.879084e-09    2.506275e-10   -1.540000e+00    1.099148e+00    3.886243e-01
    4.247474e+00    2.991096e+01    1.333472e+01    3.036263e+09    2.968897e-09    6.291740e-12    2.874163e-09    2.501611e-10   -1.530000e+00    1.099148e+00    3.807883e-01
    4.352003e+00    3.120401e+01    1.277355e+01    2.984164e+09    2.964820e-09    5.455595e-12    2.869041e-09    2.496911e-10   -1.520000e+00    1.099148e+00    3.729437e-01
    4.461092e+00    3.253926e+01    1.222295e+01    2.931271e+09    2.960611e-09    4.671840e-12    2.863703e-09    2.492161e-10   -1.510000e+00    1.099148e+00    3.650903e-01
    4.575072e+00    3.391888e+01    1.168305e+01    2.877616e+09    2.956252e-09    3.937155e-12    2.858135e-09    2.487341e-10   -1.500000e+00    1.099148e+00    3.572282e-01
    4.694306e+00    3.534514e+01    1.115398e+01    2.823221e+09    2.951730e-09    3.248449e-12    2.852319e-09    2.482434e-10   -1.490000e+00    1.099148e+00    3.493574e-01
    4.819178e+00    3.682047e+01    1.063589e+01    2.768110e+09    2.947024e-09    2.602855e-12    2.846236e-09    2.477423e-10   -1.480000e+00    1.099148e+00    3.414779e-01
    4.950113e+00    3.834741e+01    1.012890e+01    2.712299e+09    2.942117e-09    1.997708e-12    2.839866e-09    2.472285e-10   -1.470000e+00    1.099148e+00    3.335898e-01
    5.087570e+00    3.992870e+01    9.633145e+00    2.655807e+09    2.936988e-09    1.430536e-12    2.833185e-09    2.467001e-10   -1.460000e+00    1.099148e+00    3.256932e-01
    5.232056e+00    4.156726e+01    9.148755e+00    2.598650e+09    2.931614e-09    8.990465e-13    2.826170e-09    2.461547e-10   -1.450000e+00    1.099148e+00    3.177882e-01
    5.384125e+00    4.326617e+01    8.675850e+00    2.540839e+09    2.925973e-09    4.011147e-13    2.818793e-09    2.455898e-10   -1.440000e+00    1.099148e+00    3.098751e-01
    5.544378e+00    4.502862e+01    8.214560e+00    2.482383e+09    2.920038e-09    6.522765e-14    2.811024e-09    2.450029e-10   -1.430000e+00    1.099148e+00    3.019541e-01
    5.713481e+00    4.685800e+01    7.765000e+00    2.423290e+09    2.913781e-09    5.018010e-13    2.802832e-09    2.443910e-10   -1.420000e+00    1.099148e+00    2.940256e-01
    5.892158e+00    4.875789e+01    7.327295e+00    2.363563e+09    2.907174e-09    9.102885e-13    2.794182e-09    2.437512e-10   -1.410000e+00    1.099148e+00    2.860900e-01
    6.081202e+00    5.073199e+01    6.901570e+00    2.303202e+09    2.900183e-09    1.292242e-12    2.785034e-09    2.430802e-10   -1.400000e+00    1.099148e+00    2.781478e-01
    6.281489e+00    5.278411e+01    6.487940e+00    2.242203e+09    2.892774e-09    1.649095e-12    2.775348e-09    2.423744e-10   -1.390000e+00    1.099148e+00    2.701999e-01
    6.493973e+00    5.491817e+01    6.086530e+00    2.180559e+09    2.884911e-09    1.982164e-12    2.765079e-09    2.416300e-10   -1.380000e+00    1.099148e+00    2.622470e-01
    6.719696e+00    5.713817e+01    5.697465e+00    2.118259e+09    2.876553e-09    2.292658e-12    2.754179e-09    2.408428e-10   -1.370000e+00    1.099148e+00    2.542902e-01
    6.959797e+00    5.944809e+01    5.320870e+00    2.055287e+09    2.867656e-09    2.581687e-12    2.742594e-09    2.400084e-10   -1.360000e+00    1.099148e+00    2.463310e-01
    7.215529e+00    6.185193e+01    4.956865e+00    1.991621e+09    2.858174e-09    2.850264e-12    2.730269e-09    2.391221e-10   -1.350000e+00    1.099148e+00    2.383708e-01
    7.488237e+00    6.435341e+01    4.605584e+00    1.927238e+09    2.848059e-09    3.099312e-12    2.717143e-09    2.381785e-10   -1.340000e+00    1.099148e+00    2.304117e-01
    7.779382e+00    6.695608e+01    4.267155e+00    1.862109e+09    2.837257e-09    3.329670e-12    2.703150e-09    2.371723e-10   -1.330000e+00    1.099148e+00    2.224561e-01
    8.090538e+00    6.966303e+01    3.941712e+00    1.796199e+09    2.825712e-09    3.542095e-12    2.688221e-09    2.360973e-10   -1.320000e+00    1.099148e+00    2.145071e-01
    8.423379e+00    7.247672e+01    3.629389e+00    1.729474e+09    2.813365e-09    3.737270e-12    2.672283e-09    2.349473e-10   -1.310000e+00    1.099148e+00    2.065680e-01
    8.779677e+00    7.539875e+01    3.330323e+00    1.661895e+09    2.800150e-09    3.915808e-12    2.655255e-09    2.337154e-10   -1.300000e+00    1.099148e+00    1.986434e-01
