# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: -40C
# W = 2.0 um
# L = 6 um (6000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.799235e+00    2.458940e+01    2.686735e+00    3.537938e+07    3.383249e-08    1.417259e-09    3.215609e-08    3.098174e-09   -1.800000e+00    1.145047e+00    5.462164e-01
    2.852426e+00    2.754775e+01    2.611527e+00    3.513365e+07    3.374471e-08    1.318494e-09    3.213685e-08    3.082585e-09   -1.790000e+00    1.145047e+00    5.382163e-01
    2.905606e+00    3.086352e+01    2.537764e+00    3.486482e+07    3.366050e-08    1.225961e-09    3.211544e-08    3.067668e-09   -1.780000e+00    1.145047e+00    5.302206e-01
    2.960025e+00    3.456838e+01    2.464418e+00    3.457427e+07    3.357971e-08    1.139405e-09    3.209195e-08    3.053406e-09   -1.770000e+00    1.145047e+00    5.222294e-01
    3.015396e+00    3.869478e+01    2.391880e+00    3.426344e+07    3.350217e-08    1.058558e-09    3.206646e-08    3.039774e-09   -1.760000e+00    1.145047e+00    5.142426e-01
    3.071823e+00    4.327571e+01    2.320179e+00    3.393372e+07    3.342769e-08    9.831410e-10    3.203903e-08    3.026748e-09   -1.750000e+00    1.145047e+00    5.062603e-01
    3.129424e+00    4.834463e+01    2.249345e+00    3.358656e+07    3.335609e-08    9.128725e-10    3.200974e-08    3.014303e-09   -1.740000e+00    1.145047e+00    4.982824e-01
    3.188314e+00    5.393524e+01    2.179404e+00    3.322326e+07    3.328716e-08    8.474700e-10    3.197864e-08    3.002409e-09   -1.730000e+00    1.145047e+00    4.903090e-01
    3.248620e+00    6.008155e+01    2.110381e+00    3.284512e+07    3.322072e-08    7.866520e-10    3.194579e-08    2.991038e-09   -1.720000e+00    1.145047e+00    4.823399e-01
    3.310472e+00    6.681761e+01    2.042295e+00    3.245333e+07    3.315654e-08    7.301435e-10    3.191122e-08    2.980160e-09   -1.710000e+00    1.145047e+00    4.743753e-01
    3.374005e+00    7.417766e+01    1.975168e+00    3.204903e+07    3.309443e-08    6.776740e-10    3.187497e-08    2.969747e-09   -1.700000e+00    1.145047e+00    4.664150e-01
    3.439358e+00    8.219598e+01    1.909016e+00    3.163323e+07    3.303419e-08    6.289840e-10    3.183707e-08    2.959767e-09   -1.690000e+00    1.145047e+00    4.584591e-01
    3.506676e+00    9.090706e+01    1.843857e+00    3.120688e+07    3.297560e-08    5.838225e-10    3.179752e-08    2.950190e-09   -1.680000e+00    1.145047e+00    4.505075e-01
    3.576111e+00    1.003454e+02    1.779705e+00    3.077084e+07    3.291847e-08    5.419500e-10    3.175634e-08    2.940987e-09   -1.670000e+00    1.145047e+00    4.425604e-01
