# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: 25C
# W = 2.0 um
# L = 5.5 um (5500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.279362e+00    7.947448e+00    3.000412e+00    3.447058e+07    3.157663e-08    2.288781e-09    2.946386e-08    3.099593e-09   -1.800000e+00    1.048829e+00    6.325321e-01
    2.325952e+00    8.704660e+00    2.932022e+00    3.449517e+07    3.146514e-08    2.147151e-09    2.946073e-08    3.078976e-09   -1.790000e+00    1.048829e+00    6.244779e-01
    2.373127e+00    9.564189e+00    2.864030e+00    3.449724e+07    3.135698e-08    2.011949e-09    2.945495e-08    3.058992e-09   -1.780000e+00    1.048829e+00    6.164285e-01
    2.421059e+00    1.054050e+01    2.796194e+00    3.447562e+07    3.125221e-08    1.883214e-09    2.944654e-08    3.039657e-09   -1.770000e+00    1.048829e+00    6.083840e-01
    2.469630e+00    1.164974e+01    2.728648e+00    3.442942e+07    3.115084e-08    1.760938e-09    2.943554e-08    3.020980e-09   -1.760000e+00    1.048829e+00    6.003443e-01
    2.518803e+00    1.290967e+01    2.661433e+00    3.435801e+07    3.105288e-08    1.645073e-09    2.942199e-08    3.002965e-09   -1.750000e+00    1.048829e+00    5.923094e-01
    2.568551e+00    1.433974e+01    2.594589e+00    3.426102e+07    3.095827e-08    1.535528e-09    2.940595e-08    2.985611e-09   -1.740000e+00    1.048829e+00    5.842792e-01
    2.618862e+00    1.596098e+01    2.528160e+00    3.413841e+07    3.086696e-08    1.432180e-09    2.938747e-08    2.968914e-09   -1.730000e+00    1.048829e+00    5.762538e-01
    2.669739e+00    1.779601e+01    2.462185e+00    3.399047e+07    3.077885e-08    1.334871e-09    2.936661e-08    2.952865e-09   -1.720000e+00    1.048829e+00    5.682332e-01
    2.721203e+00    1.986884e+01    2.396705e+00    3.381773e+07    3.069384e-08    1.243420e-09    2.934341e-08    2.937452e-09   -1.710000e+00    1.048829e+00    5.602173e-01
    2.773288e+00    2.220476e+01    2.331759e+00    3.362097e+07    3.061178e-08    1.157624e-09    2.931795e-08    2.922658e-09   -1.700000e+00    1.048829e+00    5.522061e-01
    2.826050e+00    2.483015e+01    2.267384e+00    3.340121e+07    3.053254e-08    1.077259e-09    2.929027e-08    2.908464e-09   -1.690000e+00    1.048829e+00    5.441996e-01
    2.879552e+00    2.777233e+01    2.203616e+00    3.315956e+07    3.045595e-08    1.002092e-09    2.926043e-08    2.894847e-09   -1.680000e+00    1.048829e+00    5.361978e-01
    2.933875e+00    3.105929e+01    2.140486e+00    3.289729e+07    3.038184e-08    9.318815e-10    2.922846e-08    2.881785e-09   -1.670000e+00    1.048829e+00    5.282007e-01
    2.989112e+00    3.471961e+01    2.078027e+00    3.261574e+07    3.031003e-08    8.663765e-10    2.919441e-08    2.869250e-09   -1.660000e+00    1.048829e+00    5.202083e-01
    3.045365e+00    3.878223e+01    2.016266e+00    3.231624e+07    3.024032e-08    8.053275e-10    2.915831e-08    2.857215e-09   -1.650000e+00    1.048829e+00    5.122205e-01
    3.102742e+00    4.327626e+01    1.955230e+00    3.200014e+07    3.017253e-08    7.484850e-10    2.912019e-08    2.845652e-09   -1.640000e+00    1.048829e+00    5.042375e-01
    3.161365e+00    4.823097e+01    1.894943e+00    3.166876e+07    3.010647e-08    6.956035e-10    2.908006e-08    2.834532e-09   -1.630000e+00    1.048829e+00    4.962591e-01
    3.221349e+00    5.367543e+01    1.835425e+00    3.132327e+07    3.004191e-08    6.464410e-10    2.903794e-08    2.823825e-09   -1.620000e+00    1.048829e+00    4.882854e-01
    3.282830e+00    5.963884e+01    1.776698e+00    3.096489e+07    2.997867e-08    6.007645e-10    2.899381e-08    2.813500e-09   -1.610000e+00    1.048829e+00    4.803164e-01
    3.345934e+00    6.615013e+01    1.718778e+00    3.059469e+07    2.991654e-08    5.583485e-10    2.894766e-08    2.803528e-09   -1.600000e+00    1.048829e+00    4.723521e-01
    3.410801e+00    7.323812e+01    1.661685e+00    3.021364e+07    2.985534e-08    5.189760e-10    2.889949e-08    2.793878e-09   -1.590000e+00    1.048829e+00    4.643926e-01
    3.477570e+00    8.093144e+01    1.605430e+00    2.982267e+07    2.979483e-08    4.824409e-10    2.884925e-08    2.784519e-09   -1.580000e+00    1.048829e+00    4.564378e-01
    3.546392e+00    8.925884e+01    1.550029e+00    2.942260e+07    2.973484e-08    4.485471e-10    2.879691e-08    2.775422e-09   -1.570000e+00    1.048829e+00    4.484878e-01
    3.617417e+00    9.824899e+01    1.495494e+00    2.901418e+07    2.967516e-08    4.171091e-10    2.874240e-08    2.766557e-09   -1.560000e+00    1.048829e+00    4.405426e-01
    3.690808e+00    1.079307e+02    1.441836e+00    2.859810e+07    2.961558e-08    3.879520e-10    2.868568e-08    2.757894e-09   -1.550000e+00    1.048829e+00    4.326022e-01
    3.766724e+00    1.183328e+02    1.389066e+00    2.817491e+07    2.955591e-08    3.609114e-10    2.862666e-08    2.749405e-09   -1.540000e+00    1.048829e+00    4.246668e-01
    3.845346e+00    1.294849e+02    1.337195e+00    2.774518e+07    2.949596e-08    3.358334e-10    2.856526e-08    2.741059e-09   -1.530000e+00    1.048829e+00    4.167365e-01
    3.926848e+00    1.414168e+02    1.286230e+00    2.730934e+07    2.943552e-08    3.125740e-10    2.850139e-08    2.732829e-09   -1.520000e+00    1.048829e+00    4.088112e-01
    4.011432e+00    1.541591e+02    1.236181e+00    2.686785e+07    2.937438e-08    2.909989e-10    2.843493e-08    2.724685e-09   -1.510000e+00    1.048829e+00    4.008911e-01
    4.099299e+00    1.677435e+02    1.187056e+00    2.642106e+07    2.931234e-08    2.709830e-10    2.836576e-08    2.716600e-09   -1.500000e+00    1.048829e+00    3.929764e-01
    4.190665e+00    1.822023e+02    1.138861e+00    2.596928e+07    2.924920e-08    2.524102e-10    2.829374e-08    2.708544e-09   -1.490000e+00    1.048829e+00    3.850671e-01
    4.285761e+00    1.975694e+02    1.091606e+00    2.551279e+07    2.918475e-08    2.351726e-10    2.821875e-08    2.700488e-09   -1.480000e+00    1.048829e+00    3.771635e-01
    4.384832e+00    2.138801e+02    1.045297e+00    2.505183e+07    2.911878e-08    2.191702e-10    2.814060e-08    2.692405e-09   -1.470000e+00    1.048829e+00    3.692657e-01
    4.488141e+00    2.311712e+02    9.999395e-01    2.458660e+07    2.905106e-08    2.043103e-10    2.805913e-08    2.684265e-09   -1.460000e+00    1.048829e+00    3.613741e-01
    4.595970e+00    2.494812e+02    9.555410e-01    2.411724e+07    2.898138e-08    1.905074e-10    2.797415e-08    2.676039e-09   -1.450000e+00    1.048829e+00    3.534890e-01
    4.708615e+00    2.688508e+02    9.121085e-01    2.364391e+07    2.890950e-08    1.776821e-10    2.788546e-08    2.667697e-09   -1.440000e+00    1.048829e+00    3.456105e-01
    4.826399e+00    2.893227e+02    8.696480e-01    2.316669e+07    2.883520e-08    1.657614e-10    2.779284e-08    2.659208e-09   -1.430000e+00    1.048829e+00    3.377393e-01
    4.949666e+00    3.109417e+02    8.281655e-01    2.268564e+07    2.875823e-08    1.546776e-10    2.769606e-08    2.650543e-09   -1.420000e+00    1.048829e+00    3.298756e-01
    5.078788e+00    3.337551e+02    7.876670e-01    2.220082e+07    2.867833e-08    1.443683e-10    2.759487e-08    2.641668e-09   -1.410000e+00    1.048829e+00    3.220202e-01
    5.214154e+00    3.578124e+02    7.481595e-01    2.171222e+07    2.859526e-08    1.347760e-10    2.748901e-08    2.632552e-09   -1.400000e+00    1.048829e+00    3.141736e-01
    5.356188e+00    3.831655e+02    7.096490e-01    2.121981e+07    2.850875e-08    1.258476e-10    2.737820e-08    2.623160e-09   -1.390000e+00    1.048829e+00    3.063366e-01
