# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: tt
# Temperature: -40C
# W = 2.0 um
# L = 0.18 um (180 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.525505e+00    2.145156e+00    1.076562e+02    2.149336e+10    1.216097e-09    1.768932e-12    9.542005e-10    8.871530e-11   -1.800000e+00    9.286518e-01    6.386601e-01
    1.558578e+00    2.228339e+00    1.060139e+02    2.164613e+10    1.214874e-09    1.330898e-14    9.542620e-10    8.848780e-11   -1.790000e+00    9.286518e-01    6.326210e-01
    1.592533e+00    2.315367e+00    1.043518e+02    2.179218e+10    1.213690e-09    1.706520e-12    9.542770e-10    8.826760e-11   -1.780000e+00    9.286518e-01    6.265763e-01
    1.627156e+00    2.406348e+00    1.026853e+02    2.193112e+10    1.212543e-09    3.314145e-12    9.542470e-10    8.805445e-11   -1.770000e+00    9.286518e-01    6.205256e-01
    1.662529e+00    2.501373e+00    1.010102e+02    2.206255e+10    1.211432e-09    4.839625e-12    9.541735e-10    8.784820e-11   -1.760000e+00    9.286518e-01    6.144683e-01
    1.698658e+00    2.600523e+00    9.932690e+01    2.218605e+10    1.210356e-09    6.286380e-12    9.540585e-10    8.764870e-11   -1.750000e+00    9.286518e-01    6.084040e-01
    1.735552e+00    2.703859e+00    9.763595e+01    2.230126e+10    1.209312e-09    7.657795e-12    9.539035e-10    8.745565e-11   -1.740000e+00    9.286518e-01    6.023320e-01
    1.773219e+00    2.811425e+00    9.593805e+01    2.240779e+10    1.208299e-09    8.957205e-12    9.537100e-10    8.726885e-11   -1.730000e+00    9.286518e-01    5.962518e-01
    1.811668e+00    2.923247e+00    9.423380e+01    2.250530e+10    1.207316e-09    1.018788e-11    9.534800e-10    8.708815e-11   -1.720000e+00    9.286518e-01    5.901630e-01
    1.850911e+00    3.039331e+00    9.252385e+01    2.259344e+10    1.206360e-09    1.135299e-11    9.532140e-10    8.691330e-11   -1.710000e+00    9.286518e-01    5.840649e-01
    1.890958e+00    3.159667e+00    9.080895e+01    2.267192e+10    1.205431e-09    1.245566e-11    9.529140e-10    8.674410e-11   -1.700000e+00    9.286518e-01    5.779570e-01
    1.931824e+00    3.284231e+00    8.908980e+01    2.274048e+10    1.204526e-09    1.349891e-11    9.525805e-10    8.658030e-11   -1.690000e+00    9.286518e-01    5.718388e-01
    1.973529e+00    3.412976e+00    8.736710e+01    2.279888e+10    1.203644e-09    1.448565e-11    9.522160e-10    8.642165e-11   -1.680000e+00    9.286518e-01    5.657096e-01
    2.016090e+00    3.545852e+00    8.564160e+01    2.284692e+10    1.202783e-09    1.541868e-11    9.518200e-10    8.626805e-11   -1.670000e+00    9.286518e-01    5.595690e-01
    2.059530e+00    3.682787e+00    8.391415e+01    2.288442e+10    1.201942e-09    1.630072e-11    9.513950e-10    8.611915e-11   -1.660000e+00    9.286518e-01    5.534164e-01
    2.103877e+00    3.823711e+00    8.218540e+01    2.291127e+10    1.201119e-09    1.713438e-11    9.509405e-10    8.597485e-11   -1.650000e+00    9.286518e-01    5.472511e-01
    2.149159e+00    3.968541e+00    8.045625e+01    2.292736e+10    1.200313e-09    1.792214e-11    9.504585e-10    8.583490e-11   -1.640000e+00    9.286518e-01    5.410727e-01
    2.195411e+00    4.117193e+00    7.872740e+01    2.293263e+10    1.199522e-09    1.866639e-11    9.499490e-10    8.569905e-11   -1.630000e+00    9.286518e-01    5.348805e-01
    2.242670e+00    4.269583e+00    7.699970e+01    2.292704e+10    1.198744e-09    1.936942e-11    9.494125e-10    8.556710e-11   -1.620000e+00    9.286518e-01    5.286740e-01
    2.290974e+00    4.425625e+00    7.527400e+01    2.291059e+10    1.197979e-09    2.003338e-11    9.488500e-10    8.543895e-11   -1.610000e+00    9.286518e-01    5.224526e-01
    2.340372e+00    4.585235e+00    7.355095e+01    2.288326e+10    1.197224e-09    2.066034e-11    9.482620e-10    8.531425e-11   -1.600000e+00    9.286518e-01    5.162157e-01
    2.390911e+00    4.748335e+00    7.183150e+01    2.284512e+10    1.196478e-09    2.125228e-11    9.476485e-10    8.519290e-11   -1.590000e+00    9.286518e-01    5.099627e-01
    2.442643e+00    4.914849e+00    7.011640e+01    2.279621e+10    1.195741e-09    2.181106e-11    9.470100e-10    8.507470e-11   -1.580000e+00    9.286518e-01    5.036930e-01
    2.495628e+00    5.084707e+00    6.840640e+01    2.273659e+10    1.195010e-09    2.233843e-11    9.463460e-10    8.495940e-11   -1.570000e+00    9.286518e-01    4.974061e-01
    2.549926e+00    5.257843e+00    6.670230e+01    2.266634e+10    1.194283e-09    2.283608e-11    9.456570e-10    8.484690e-11   -1.560000e+00    9.286518e-01    4.911013e-01
    2.605601e+00    5.434199e+00    6.500495e+01    2.258553e+10    1.193560e-09    2.330559e-11    9.449435e-10    8.473690e-11   -1.550000e+00    9.286518e-01    4.847782e-01
    2.662726e+00    5.613719e+00    6.331505e+01    2.249428e+10    1.192838e-09    2.374844e-11    9.442040e-10    8.462925e-11   -1.540000e+00    9.286518e-01    4.784360e-01
    2.721379e+00    5.796356e+00    6.163335e+01    2.239269e+10    1.192116e-09    2.416606e-11    9.434395e-10    8.452380e-11   -1.530000e+00    9.286518e-01    4.720742e-01
    2.781634e+00    5.982063e+00    5.996070e+01    2.228083e+10    1.191395e-09    2.455977e-11    9.426485e-10    8.442035e-11   -1.520000e+00    9.286518e-01    4.656922e-01
    2.843579e+00    6.170800e+00    5.829785e+01    2.215884e+10    1.190669e-09    2.493082e-11    9.418310e-10    8.431865e-11   -1.510000e+00    9.286518e-01    4.592895e-01
    2.907306e+00    6.362529e+00    5.664550e+01    2.202680e+10    1.189940e-09    2.528038e-11    9.409860e-10    8.421860e-11   -1.500000e+00    9.286518e-01    4.528654e-01
    2.972912e+00    6.557216e+00    5.500440e+01    2.188484e+10    1.189204e-09    2.560956e-11    9.401130e-10    8.411995e-11   -1.490000e+00    9.286518e-01    4.464194e-01
    3.040505e+00    6.754830e+00    5.337525e+01    2.173308e+10    1.188460e-09    2.591939e-11    9.392105e-10    8.402245e-11   -1.480000e+00    9.286518e-01    4.399508e-01
    3.110189e+00    6.955338e+00    5.175885e+01    2.157161e+10    1.187706e-09    2.621085e-11    9.382780e-10    8.392600e-11   -1.470000e+00    9.286518e-01    4.334592e-01
    3.182084e+00    7.158710e+00    5.015590e+01    2.140054e+10    1.186941e-09    2.648484e-11    9.373140e-10    8.383035e-11   -1.460000e+00    9.286518e-01    4.269439e-01
    3.256320e+00    7.364921e+00    4.856710e+01    2.122000e+10    1.186162e-09    2.674220e-11    9.363165e-10    8.373530e-11   -1.450000e+00    9.286518e-01    4.204043e-01
    3.333030e+00    7.573937e+00    4.699314e+01    2.103008e+10    1.185367e-09    2.698371e-11    9.352845e-10    8.364060e-11   -1.440000e+00    9.286518e-01    4.138400e-01
    3.412362e+00    7.785731e+00    4.543474e+01    2.083091e+10    1.184554e-09    2.721012e-11    9.342155e-10    8.354600e-11   -1.430000e+00    9.286518e-01    4.072504e-01
    3.494470e+00    8.000268e+00    4.389257e+01    2.062259e+10    1.183721e-09    2.742209e-11    9.331075e-10    8.345135e-11   -1.420000e+00    9.286518e-01    4.006349e-01
    3.579521e+00    8.217516e+00    4.236734e+01    2.040522e+10    1.182864e-09    2.762025e-11    9.319585e-10    8.335630e-11   -1.410000e+00    9.286518e-01    3.939929e-01
    3.667698e+00    8.437440e+00    4.085970e+01    2.017893e+10    1.181982e-09    2.780518e-11    9.307660e-10    8.326065e-11   -1.400000e+00    9.286518e-01    3.873240e-01
    3.759195e+00    8.660003e+00    3.937034e+01    1.994381e+10    1.181071e-09    2.797740e-11    9.295260e-10    8.316410e-11   -1.390000e+00    9.286518e-01    3.806277e-01
    3.854219e+00    8.885159e+00    3.789991e+01    1.969998e+10    1.180127e-09    2.813739e-11    9.282365e-10    8.306630e-11   -1.380000e+00    9.286518e-01    3.739034e-01
    3.953002e+00    9.112866e+00    3.644906e+01    1.944754e+10    1.179150e-09    2.828558e-11    9.268935e-10    8.296700e-11   -1.370000e+00    9.286518e-01    3.671506e-01
    4.055784e+00    9.343072e+00    3.501846e+01    1.918660e+10    1.178132e-09    2.842236e-11    9.254930e-10    8.286585e-11   -1.360000e+00    9.286518e-01    3.603689e-01
    4.162832e+00    9.575720e+00    3.360873e+01    1.891725e+10    1.177072e-09    2.854807e-11    9.240310e-10    8.276240e-11   -1.350000e+00    9.286518e-01    3.535579e-01
    4.274435e+00    9.810751e+00    3.222052e+01    1.863961e+10    1.175966e-09    2.866302e-11    9.225025e-10    8.265635e-11   -1.340000e+00    9.286518e-01    3.467171e-01
    4.390903e+00    1.004810e+01    3.085445e+01    1.835377e+10    1.174807e-09    2.876745e-11    9.209030e-10    8.254720e-11   -1.330000e+00    9.286518e-01    3.398461e-01
    4.512577e+00    1.028769e+01    2.951114e+01    1.805982e+10    1.173593e-09    2.886160e-11    9.192260e-10    8.243455e-11   -1.320000e+00    9.286518e-01    3.329446e-01
    4.639825e+00    1.052944e+01    2.819123e+01    1.775787e+10    1.172316e-09    2.894562e-11    9.174660e-10    8.231790e-11   -1.310000e+00    9.286518e-01    3.260122e-01
    4.773048e+00    1.077326e+01    2.689530e+01    1.744800e+10    1.170972e-09    2.901963e-11    9.156160e-10    8.219660e-11   -1.300000e+00    9.286518e-01    3.190486e-01
    4.912682e+00    1.101904e+01    2.562398e+01    1.713029e+10    1.169555e-09    2.908375e-11    9.136695e-10    8.207020e-11   -1.290000e+00    9.286518e-01    3.120537e-01
    5.059207e+00    1.126669e+01    2.437785e+01    1.680482e+10    1.168058e-09    2.913800e-11    9.116175e-10    8.193795e-11   -1.280000e+00    9.286518e-01    3.050272e-01
    5.213140e+00    1.151607e+01    2.315752e+01    1.647165e+10    1.166472e-09    2.918238e-11    9.094520e-10    8.179925e-11   -1.270000e+00    9.286518e-01    2.979690e-01
    5.375050e+00    1.176704e+01    2.196358e+01    1.613086e+10    1.164792e-09    2.921685e-11    9.071635e-10    8.165325e-11   -1.260000e+00    9.286518e-01    2.908792e-01
    5.545555e+00    1.201947e+01    2.079661e+01    1.578247e+10    1.163008e-09    2.924132e-11    9.047415e-10    8.149920e-11   -1.250000e+00    9.286518e-01    2.837579e-01
    5.725332e+00    1.227316e+01    1.965720e+01    1.542655e+10    1.161111e-09    2.925566e-11    9.021755e-10    8.133615e-11   -1.240000e+00    9.286518e-01    2.766051e-01
    5.915116e+00    1.252795e+01    1.854593e+01    1.506309e+10    1.159092e-09    2.925968e-11    8.994530e-10    8.116315e-11   -1.230000e+00    9.286518e-01    2.694213e-01
    6.115711e+00    1.278361e+01    1.746336e+01    1.469212e+10    1.156939e-09    2.925315e-11    8.965615e-10    8.097915e-11   -1.220000e+00    9.286518e-01    2.622071e-01
    6.327987e+00    1.303991e+01    1.641010e+01    1.431362e+10    1.154643e-09    2.923578e-11    8.934870e-10    8.078300e-11   -1.210000e+00    9.286518e-01    2.549630e-01
    6.552900e+00    1.329660e+01    1.538670e+01    1.392757e+10    1.152189e-09    2.920726e-11    8.902140e-10    8.057345e-11   -1.200000e+00    9.286518e-01    2.476901e-01
    6.791477e+00    1.355338e+01    1.439374e+01    1.353392e+10    1.149567e-09    2.916720e-11    8.867270e-10    8.034915e-11   -1.190000e+00    9.286518e-01    2.403895e-01
    7.044825e+00    1.380990e+01    1.343180e+01    1.313262e+10    1.146761e-09    2.911516e-11    8.830085e-10    8.010865e-11   -1.180000e+00    9.286518e-01    2.330630e-01
    7.314141e+00    1.406581e+01    1.250144e+01    1.272359e+10    1.143757e-09    2.905068e-11    8.790400e-10    7.985035e-11   -1.170000e+00    9.286518e-01    2.257124e-01
    7.600705e+00    1.432070e+01    1.160324e+01    1.230675e+10    1.140539e-09    2.897319e-11    8.748010e-10    7.957260e-11   -1.160000e+00    9.286518e-01    2.183402e-01
    7.905869e+00    1.457409e+01    1.073777e+01    1.188198e+10    1.137090e-09    2.888212e-11    8.702715e-10    7.927355e-11   -1.150000e+00    9.286518e-01    2.109494e-01
    8.231056e+00    1.482548e+01    9.905600e+00    1.144922e+10    1.133393e-09    2.877681e-11    8.654285e-10    7.895125e-11   -1.140000e+00    9.286518e-01    2.035438e-01
    8.577743e+00    1.507431e+01    9.107285e+00    1.100837e+10    1.129429e-09    2.865659e-11    8.602490e-10    7.860365e-11   -1.130000e+00    9.286518e-01    1.961279e-01
    8.947424e+00    1.531990e+01    8.343385e+00    1.055939e+10    1.125178e-09    2.852069e-11    8.547075e-10    7.822850e-11   -1.120000e+00    9.286518e-01    1.887069e-01
    9.341598e+00    1.556157e+01    7.614425e+00    1.010228e+10    1.120622e-09    2.836834e-11    8.487785e-10    7.782345e-11   -1.110000e+00    9.286518e-01    1.812876e-01
    9.761665e+00    1.579851e+01    6.920935e+00    9.637118e+09    1.115737e-09    2.819871e-11    8.424345e-10    7.738600e-11   -1.100000e+00    9.286518e-01    1.738776e-01
    1.020894e+01    1.602989e+01    6.263385e+00    9.164119e+09    1.110502e-09    2.801091e-11    8.356485e-10    7.691355e-11   -1.090000e+00    9.286518e-01    1.664861e-01
    1.068447e+01    1.625473e+01    5.642220e+00    8.683645e+09    1.104896e-09    2.780407e-11    8.283905e-10    7.640335e-11   -1.080000e+00    9.286518e-01    1.591241e-01
    1.118897e+01    1.647203e+01    5.057815e+00    8.196285e+09    1.098895e-09    2.757724e-11    8.206325e-10    7.585265e-11   -1.070000e+00    9.286518e-01    1.518044e-01
    1.172262e+01    1.668065e+01    4.510467e+00    7.702897e+09    1.092477e-09    2.732952e-11    8.123440e-10    7.525845e-11   -1.060000e+00    9.286518e-01    1.445416e-01
    1.228494e+01    1.687942e+01    4.000368e+00    7.204692e+09    1.085620e-09    2.705997e-11    8.034965e-10    7.461780e-11   -1.050000e+00    9.286518e-01    1.373529e-01
    1.287454e+01    1.706709e+01    3.527576e+00    6.703290e+09    1.078301e-09    2.676765e-11    7.940600e-10    7.392770e-11   -1.040000e+00    9.286518e-01    1.302578e-01
    1.348889e+01    1.724236e+01    3.091984e+00    6.200790e+09    1.070500e-09    2.645172e-11    7.840070e-10    7.318515e-11   -1.030000e+00    9.286518e-01    1.232780e-01
