# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: tt
# Temperature: 25C
# W = 2.0 um
# L = 1.5 um (1500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.995393e+00    4.088577e+00    1.305485e+01    4.471346e+08    9.272185e-09    7.025185e-10    8.505080e-09    9.182715e-10   -1.800000e+00    1.008212e+00    6.909724e-01
    2.038063e+00    4.355884e+00    1.279435e+01    4.490573e+08    9.241750e-09    6.613975e-10    8.506580e-09    9.123750e-10   -1.790000e+00    1.008212e+00    6.826389e-01
    2.081931e+00    4.651989e+00    1.253336e+01    4.508087e+08    9.212165e-09    6.219725e-10    8.507335e-09    9.066430e-10   -1.780000e+00    1.008212e+00    6.743107e-01
    2.126921e+00    4.980640e+00    1.227237e+01    4.523706e+08    9.183445e-09    5.842655e-10    8.507350e-09    9.010815e-10   -1.770000e+00    1.008212e+00    6.659878e-01
    2.173036e+00    5.346051e+00    1.201135e+01    4.537239e+08    9.155605e-09    5.482885e-10    8.506635e-09    8.956940e-10   -1.760000e+00    1.008212e+00    6.576700e-01
    2.220250e+00    5.752919e+00    1.175039e+01    4.548488e+08    9.128660e-09    5.140400e-10    8.505200e-09    8.904825e-10   -1.750000e+00    1.008212e+00    6.493572e-01
    2.268527e+00    6.206435e+00    1.148961e+01    4.557261e+08    9.102600e-09    4.815090e-10    8.503055e-09    8.854490e-10   -1.740000e+00    1.008212e+00    6.410495e-01
    2.317828e+00    6.712286e+00    1.122914e+01    4.563365e+08    9.077425e-09    4.506744e-10    8.500220e-09    8.805940e-10   -1.730000e+00    1.008212e+00    6.327467e-01
    2.368106e+00    7.276627e+00    1.096911e+01    4.566618e+08    9.053115e-09    4.215059e-10    8.496700e-09    8.759160e-10   -1.720000e+00    1.008212e+00    6.244487e-01
    2.419314e+00    7.906038e+00    1.070967e+01    4.566855e+08    9.029655e-09    3.939654e-10    8.492520e-09    8.714135e-10   -1.710000e+00    1.008212e+00    6.161554e-01
    2.471403e+00    8.607440e+00    1.045096e+01    4.563930e+08    9.007015e-09    3.680076e-10    8.487690e-09    8.670840e-10   -1.700000e+00    1.008212e+00    6.078668e-01
    2.524329e+00    9.388007e+00    1.019315e+01    4.557726e+08    8.985170e-09    3.435820e-10    8.482235e-09    8.629225e-10   -1.690000e+00    1.008212e+00    5.995828e-01
    2.578056e+00    1.025504e+01    9.936400e+00    4.548158e+08    8.964085e-09    3.206330e-10    8.476170e-09    8.589260e-10   -1.680000e+00    1.008212e+00    5.913033e-01
    2.632559e+00    1.121580e+01    9.680875e+00    4.535181e+08    8.943720e-09    2.991015e-10    8.469505e-09    8.550880e-10   -1.670000e+00    1.008212e+00    5.830282e-01
    2.687824e+00    1.227740e+01    9.426745e+00    4.518783e+08    8.924035e-09    2.789258e-10    8.462265e-09    8.514035e-10   -1.660000e+00    1.008212e+00    5.747575e-01
    2.743856e+00    1.344662e+01    9.174180e+00    4.498995e+08    8.904985e-09    2.600426e-10    8.454455e-09    8.478660e-10   -1.650000e+00    1.008212e+00    5.664911e-01
    2.800675e+00    1.472980e+01    8.923350e+00    4.475878e+08    8.886535e-09    2.423877e-10    8.446095e-09    8.444685e-10   -1.640000e+00    1.008212e+00    5.582289e-01
    2.858319e+00    1.613271e+01    8.674410e+00    4.449534e+08    8.868625e-09    2.258964e-10    8.437195e-09    8.412045e-10   -1.630000e+00    1.008212e+00    5.499708e-01
    2.916847e+00    1.766048e+01    8.427515e+00    4.420084e+08    8.851215e-09    2.105051e-10    8.427760e-09    8.380665e-10   -1.620000e+00    1.008212e+00    5.417168e-01
    2.976328e+00    1.931759e+01    8.182820e+00    4.387668e+08    8.834260e-09    1.961507e-10    8.417800e-09    8.350465e-10   -1.610000e+00    1.008212e+00    5.334668e-01
    3.036849e+00    2.110787e+01    7.940465e+00    4.352449e+08    8.817705e-09    1.827717e-10    8.407320e-09    8.321380e-10   -1.600000e+00    1.008212e+00    5.252208e-01
    3.098511e+00    2.303457e+01    7.700585e+00    4.314594e+08    8.801505e-09    1.703086e-10    8.396320e-09    8.293325e-10   -1.590000e+00    1.008212e+00    5.169786e-01
    3.161425e+00    2.510037e+01    7.463300e+00    4.274271e+08    8.785610e-09    1.587039e-10    8.384805e-09    8.266230e-10   -1.580000e+00    1.008212e+00    5.087403e-01
    3.225713e+00    2.730760e+01    7.228730e+00    4.231650e+08    8.769970e-09    1.479026e-10    8.372770e-09    8.240010e-10   -1.570000e+00    1.008212e+00    5.005057e-01
    3.291508e+00    2.965828e+01    6.996975e+00    4.186895e+08    8.754540e-09    1.378518e-10    8.360215e-09    8.214600e-10   -1.560000e+00    1.008212e+00    4.922749e-01
    3.358942e+00    3.215429e+01    6.768150e+00    4.140163e+08    8.739270e-09    1.285014e-10    8.347120e-09    8.189910e-10   -1.550000e+00    1.008212e+00    4.840478e-01
    3.428166e+00    3.479750e+01    6.542330e+00    4.091603e+08    8.724105e-09    1.198041e-10    8.333490e-09    8.165880e-10   -1.540000e+00    1.008212e+00    4.758244e-01
    3.499327e+00    3.758994e+01    6.319610e+00    4.041350e+08    8.709005e-09    1.117150e-10    8.319300e-09    8.142425e-10   -1.530000e+00    1.008212e+00    4.676045e-01
    3.572585e+00    4.053384e+01    6.100070e+00    3.989532e+08    8.693920e-09    1.041918e-10    8.304540e-09    8.119475e-10   -1.520000e+00    1.008212e+00    4.593883e-01
    3.648109e+00    4.363178e+01    5.883775e+00    3.936264e+08    8.678800e-09    9.719490e-11    8.289190e-09    8.096955e-10   -1.510000e+00    1.008212e+00    4.511757e-01
    3.726070e+00    4.688682e+01    5.670795e+00    3.881655e+08    8.663595e-09    9.068705e-11    8.273235e-09    8.074790e-10   -1.500000e+00    1.008212e+00    4.429667e-01
    3.806645e+00    5.030253e+01    5.461200e+00    3.825799e+08    8.648255e-09    8.463355e-11    8.256635e-09    8.052915e-10   -1.490000e+00    1.008212e+00    4.347613e-01
    3.890030e+00    5.388311e+01    5.255040e+00    3.768782e+08    8.632730e-09    7.900190e-11    8.239375e-09    8.031245e-10   -1.480000e+00    1.008212e+00    4.265596e-01
    3.976427e+00    5.763347e+01    5.052370e+00    3.710680e+08    8.616975e-09    7.376175e-11    8.221420e-09    8.009720e-10   -1.470000e+00    1.008212e+00    4.183615e-01
    4.066040e+00    6.155918e+01    4.853248e+00    3.651561e+08    8.600935e-09    6.888500e-11    8.202740e-09    7.988255e-10   -1.460000e+00    1.008212e+00    4.101672e-01
    4.159099e+00    6.566668e+01    4.657717e+00    3.591490e+08    8.584555e-09    6.434540e-11    8.183285e-09    7.966790e-10   -1.450000e+00    1.008212e+00    4.019767e-01
    4.255840e+00    6.996322e+01    4.465825e+00    3.530521e+08    8.567780e-09    6.011855e-11    8.163020e-09    7.945240e-10   -1.440000e+00    1.008212e+00    3.937901e-01
    4.356516e+00    7.445695e+01    4.277615e+00    3.468698e+08    8.550560e-09    5.618195e-11    8.141905e-09    7.923530e-10   -1.430000e+00    1.008212e+00    3.856077e-01
    4.461397e+00    7.915697e+01    4.093128e+00    3.406064e+08    8.532840e-09    5.251455e-11    8.119880e-09    7.901590e-10   -1.420000e+00    1.008212e+00    3.774295e-01
    4.570773e+00    8.407338e+01    3.912406e+00    3.342658e+08    8.514550e-09    4.909695e-11    8.096900e-09    7.879335e-10   -1.410000e+00    1.008212e+00    3.692559e-01
    4.684951e+00    8.921734e+01    3.735486e+00    3.278508e+08    8.495640e-09    4.591115e-11    8.072905e-09    7.856690e-10   -1.400000e+00    1.008212e+00    3.610870e-01
    4.804260e+00    9.460108e+01    3.562407e+00    3.213642e+08    8.476035e-09    4.294049e-11    8.047830e-09    7.833570e-10   -1.390000e+00    1.008212e+00    3.529232e-01
    4.929055e+00    1.002380e+02    3.393204e+00    3.148076e+08    8.455680e-09    4.016953e-11    8.021605e-09    7.809890e-10   -1.380000e+00    1.008212e+00    3.447649e-01
    5.059718e+00    1.061427e+02    3.227913e+00    3.081830e+08    8.434505e-09    3.758400e-11    7.994170e-09    7.785565e-10   -1.370000e+00    1.008212e+00    3.366125e-01
    5.196655e+00    1.123310e+02    3.066569e+00    3.014916e+08    8.412430e-09    3.517069e-11    7.965440e-09    7.760495e-10   -1.360000e+00    1.008212e+00    3.284667e-01
    5.340301e+00    1.188202e+02    2.909206e+00    2.947338e+08    8.389390e-09    3.291737e-11    7.935330e-09    7.734595e-10   -1.350000e+00    1.008212e+00    3.203282e-01
    5.491125e+00    1.256288e+02    2.755860e+00    2.879102e+08    8.365300e-09    3.081273e-11    7.903765e-09    7.707760e-10   -1.340000e+00    1.008212e+00    3.121976e-01
    5.649634e+00    1.327768e+02    2.606562e+00    2.810207e+08    8.340080e-09    2.884632e-11    7.870640e-09    7.679890e-10   -1.330000e+00    1.008212e+00    3.040759e-01
    5.816354e+00    1.402855e+02    2.461348e+00    2.740642e+08    8.313650e-09    2.700844e-11    7.835870e-09    7.650880e-10   -1.320000e+00    1.008212e+00    2.959642e-01
    5.991866e+00    1.481777e+02    2.320252e+00    2.670404e+08    8.285915e-09    2.529014e-11    7.799345e-09    7.620620e-10   -1.310000e+00    1.008212e+00    2.878639e-01
    6.176777e+00    1.564778e+02    2.183307e+00    2.599476e+08    8.256785e-09    2.368314e-11    7.760955e-09    7.588985e-10   -1.300000e+00    1.008212e+00    2.797765e-01
    6.371730e+00    1.652113e+02    2.050547e+00    2.527840e+08    8.226170e-09    2.217977e-11    7.720590e-09    7.555860e-10   -1.290000e+00    1.008212e+00    2.717036e-01
    6.577409e+00    1.744048e+02    1.922008e+00    2.455479e+08    8.193960e-09    2.077291e-11    7.678130e-09    7.521120e-10   -1.280000e+00    1.008212e+00    2.636474e-01
    6.794529e+00    1.840865e+02    1.797722e+00    2.382366e+08    8.160065e-09    1.945599e-11    7.633445e-09    7.484630e-10   -1.270000e+00    1.008212e+00    2.556103e-01
    7.023834e+00    1.942848e+02    1.677725e+00    2.308479e+08    8.124365e-09    1.822293e-11    7.586415e-09    7.446255e-10   -1.260000e+00    1.008212e+00    2.475951e-01
    7.266094e+00    2.050289e+02    1.562053e+00    2.233789e+08    8.086760e-09    1.706806e-11    7.536895e-09    7.405855e-10   -1.250000e+00    1.008212e+00    2.396050e-01
    7.522093e+00    2.163472e+02    1.450737e+00    2.158272e+08    8.047135e-09    1.598617e-11    7.484755e-09    7.363285e-10   -1.240000e+00    1.008212e+00    2.316439e-01
    7.792623e+00    2.282682e+02    1.343812e+00    2.081904e+08    8.005375e-09    1.497241e-11    7.429850e-09    7.318385e-10   -1.230000e+00    1.008212e+00    2.237162e-01
    8.078451e+00    2.408177e+02    1.241311e+00    2.004663e+08    7.961365e-09    1.402226e-11    7.372025e-09    7.271005e-10   -1.220000e+00    1.008212e+00    2.158267e-01
    8.380327e+00    2.540193e+02    1.143265e+00    1.926539e+08    7.914985e-09    1.313155e-11    7.311145e-09    7.220990e-10   -1.210000e+00    1.008212e+00    2.079814e-01
    8.698916e+00    2.678914e+02    1.049702e+00    1.847527e+08    7.866115e-09    1.229642e-11    7.247050e-09    7.168175e-10   -1.200000e+00    1.008212e+00    2.001869e-01
    9.034807e+00    2.824465e+02    9.606470e-01    1.767640e+08    7.814640e-09    1.151326e-11    7.179590e-09    7.112395e-10   -1.190000e+00    1.008212e+00    1.924507e-01
    9.388430e+00    2.976883e+02    8.761220e-01    1.686907e+08    7.760445e-09    1.077872e-11    7.108620e-09    7.053480e-10   -1.180000e+00    1.008212e+00    1.847815e-01
    9.760024e+00    3.136095e+02    7.961425e-01    1.605383e+08    7.703415e-09    1.008970e-11    7.033990e-09    6.991275e-10   -1.170000e+00    1.008212e+00    1.771889e-01
    1.014957e+01    3.301881e+02    7.207160e-01    1.523151e+08    7.643440e-09    9.443305e-12    6.955560e-09    6.925610e-10   -1.160000e+00    1.008212e+00    1.696838e-01
    1.055671e+01    3.473851e+02    6.498415e-01    1.440334e+08    7.580415e-09    8.836855e-12    6.873190e-09    6.856320e-10   -1.150000e+00    1.008212e+00    1.622785e-01
    1.098071e+01    3.651396e+02    5.835060e-01    1.357096e+08    7.514245e-09    8.267835e-12    6.786750e-09    6.783260e-10   -1.140000e+00    1.008212e+00    1.549864e-01
    1.142029e+01    3.833658e+02    5.216840e-01    1.273647e+08    7.444840e-09    7.733920e-12    6.696130e-09    6.706275e-10   -1.130000e+00    1.008212e+00    1.478223e-01
    1.187360e+01    4.019495e+02    4.643336e-01    1.190255e+08    7.372125e-09    7.232930e-12    6.601215e-09    6.625230e-10   -1.120000e+00    1.008212e+00    1.408020e-01
    1.233815e+01    4.207459e+02    4.113945e-01    1.107239e+08    7.296040e-09    6.762845e-12    6.501925e-09    6.539995e-10   -1.110000e+00    1.008212e+00    1.339429e-01
    1.281069e+01    4.395770e+02    3.627862e-01    1.024979e+08    7.216530e-09    6.321770e-12    6.398185e-09    6.450460e-10   -1.100000e+00    1.008212e+00    1.272630e-01
    1.328723e+01    4.582323e+02    3.184054e-01    9.439039e+07    7.133575e-09    5.907945e-12    6.289945e-09    6.356530e-10   -1.090000e+00    1.008212e+00    1.207811e-01
    1.376300e+01    4.764723e+02    2.781252e-01    8.644890e+07    7.047160e-09    5.519710e-12    6.177190e-09    6.258130e-10   -1.080000e+00    1.008212e+00    1.145162e-01
    1.423254e+01    4.940331e+02    2.417940e-01    7.872405e+07    6.957300e-09    5.155535e-12    6.059910e-09    6.155210e-10   -1.070000e+00    1.008212e+00    1.084875e-01
    1.468984e+01    5.106371e+02    2.092357e-01    7.126789e+07    6.864030e-09    4.813965e-12    5.938150e-09    6.047750e-10   -1.060000e+00    1.008212e+00    1.027132e-01
    1.512853e+01    5.260042e+02    1.802512e-01    6.413159e+07    6.767415e-09    4.493657e-12    5.811975e-09    5.935755e-10   -1.050000e+00    1.008212e+00    9.721057e-02
    1.554214e+01    5.398692e+02    1.546206e-01    5.736303e+07    6.667550e-09    4.193342e-12    5.681485e-09    5.819265e-10   -1.040000e+00    1.008212e+00    9.199479e-02
    1.592453e+01    5.519969e+02    1.321071e-01    5.100437e+07    6.564555e-09    3.911835e-12    5.546820e-09    5.698350e-10   -1.030000e+00    1.008212e+00    8.707873e-02
    1.627018e+01    5.622020e+02    1.124610e-01    4.508966e+07    6.458585e-09    3.648020e-12    5.408165e-09    5.573120e-10   -1.020000e+00    1.008212e+00    8.247225e-02
    1.657465e+01    5.703631e+02    9.542555e-02    3.964308e+07    6.349825e-09    3.400852e-12    5.265730e-09    5.443730e-10   -1.010000e+00    1.008212e+00    7.818174e-02
    1.683489e+01    5.764349e+02    8.074215e-02    3.467777e+07    6.238490e-09    3.169350e-12    5.119775e-09    5.310360e-10   -1.000000e+00    1.008212e+00    7.420985e-02
    1.704949e+01    5.804531e+02    6.815610e-02    3.019547e+07    6.124835e-09    2.952586e-12    4.970609e-09    5.173250e-10   -9.900000e-01    1.008212e+00    7.055536e-02
    1.721886e+01    5.825349e+02    5.742170e-02    2.618720e+07    6.009130e-09    2.749691e-12    4.818560e-09    5.032665e-10   -9.800000e-01    1.008212e+00    6.721323e-02
    1.734524e+01    5.828692e+02    4.830655e-02    2.263429e+07    5.891685e-09    2.559846e-12    4.664004e-09    4.888909e-10   -9.700000e-01    1.008212e+00    6.417486e-02
    1.743244e+01    5.817035e+02    4.059513e-02    1.951026e+07    5.772835e-09    2.382277e-12    4.507350e-09    4.742333e-10   -9.600000e-01    1.008212e+00    6.142844e-02
    1.748570e+01    5.793270e+02    3.409094e-02    1.678295e+07    5.652935e-09    2.216255e-12    4.349033e-09    4.593313e-10   -9.500000e-01    1.008212e+00    5.895954e-02
    1.751130e+01    5.760513e+02    2.861773e-02    1.441664e+07    5.532350e-09    2.061094e-12    4.189516e-09    4.442261e-10   -9.400000e-01    1.008212e+00    5.675161e-02
    1.751611e+01    5.721913e+02    2.401972e-02    1.237399e+07    5.411480e-09    1.916142e-12    4.029279e-09    4.289613e-10   -9.300000e-01    1.008212e+00    5.478669e-02
    1.750729e+01    5.680512e+02    2.016099e-02    1.061785e+07    5.290715e-09    1.780788e-12    3.868820e-09    4.135827e-10   -9.200000e-01    1.008212e+00    5.304594e-02
    1.749191e+01    5.639128e+02    1.692431e-02    9.112532e+06    5.170460e-09    1.654450e-12    3.708640e-09    3.981375e-10   -9.100000e-01    1.008212e+00    5.151023e-02
    1.747671e+01    5.600261e+02    1.420950e-02    7.824758e+06    5.051120e-09    1.536581e-12    3.549242e-09    3.826741e-10   -9.000000e-01    1.008212e+00    5.016059e-02
    1.746793e+01    5.566094e+02    1.193166e-02    6.724240e+06    4.933093e-09    1.426664e-12    3.391126e-09    3.672412e-10   -8.900000e-01    1.008212e+00    4.897863e-02
    1.747123e+01    5.538468e+02    1.001929e-02    5.783961e+06    4.816759e-09    1.324207e-12    3.234776e-09    3.518870e-10   -8.800000e-01    1.008212e+00    4.794681e-02
    1.749164e+01    5.518919e+02    8.412455e-03    4.980185e+06    4.702490e-09    1.228748e-12    3.080661e-09    3.366591e-10   -8.700000e-01    1.008212e+00    4.704868e-02
    1.753360e+01    5.508720e+02    7.061145e-03    4.292334e+06    4.590637e-09    1.139849e-12    2.929222e-09    3.216033e-10   -8.600000e-01    1.008212e+00    4.626900e-02
    1.760107e+01    5.508916e+02    5.923670e-03    3.702751e+06    4.481523e-09    1.057096e-12    2.780873e-09    3.067633e-10   -8.500000e-01    1.008212e+00    4.559380e-02
    1.769752e+01    5.520386e+02    4.965375e-03    3.196409e+06    4.375447e-09    9.800980e-13    2.635993e-09    2.921804e-10   -8.400000e-01    1.008212e+00    4.501043e-02
    1.782605e+01    5.543864e+02    4.157438e-03    2.760586e+06    4.272675e-09    9.084860e-13    2.494922e-09    2.778928e-10   -8.300000e-01    1.008212e+00    4.450750e-02
    1.798940e+01    5.579977e+02    3.475894e-03    2.384565e+06    4.173441e-09    8.419110e-13    2.357964e-09    2.639351e-10   -8.200000e-01    1.008212e+00    4.407485e-02
    1.818994e+01    5.629240e+02    2.900801e-03    2.059341e+06    4.077944e-09    7.800445e-13    2.225375e-09    2.503385e-10   -8.100000e-01    1.008212e+00    4.370345e-02
    1.842968e+01    5.692074e+02    2.415539e-03    1.777364e+06    3.986351e-09    7.225760e-13    2.097373e-09    2.371301e-10   -8.000000e-01    1.008212e+00    4.338534e-02
    1.871018e+01    5.768770e+02    2.006231e-03    1.532317e+06    3.898792e-09    6.692140e-13    1.974128e-09    2.243334e-10   -7.900000e-01    1.008212e+00    4.311352e-02
    1.903245e+01    5.859482e+02    1.661265e-03    1.318917e+06    3.815366e-09    6.196830e-13    1.855772e-09    2.119675e-10   -7.800000e-01    1.008212e+00    4.288184e-02
    1.939680e+01    5.964165e+02    1.370901e-03    1.132748e+06    3.736139e-09    5.737245e-13    1.742394e-09    2.000475e-10   -7.700000e-01    1.008212e+00    4.268495e-02
    1.980274e+01    6.082543e+02    1.126939e-03    9.701274e+05    3.661144e-09    5.310950e-13    1.634045e-09    1.885852e-10   -7.600000e-01    1.008212e+00    4.251814e-02
    2.024874e+01    6.214065e+02    9.224520e-04    8.279816e+05    3.590388e-09    4.915666e-13    1.530738e-09    1.775881e-10   -7.500000e-01    1.008212e+00    4.237734e-02
    2.073227e+01    6.357866e+02    7.515665e-04    7.037476e+05    3.523851e-09    4.549245e-13    1.432455e-09    1.670605e-10   -7.400000e-01    1.008212e+00    4.225897e-02
    2.124953e+01    6.512749e+02    6.092795e-04    5.952824e+05    3.461490e-09    4.209679e-13    1.339146e-09    1.570035e-10   -7.300000e-01    1.008212e+00    4.215991e-02
    2.179558e+01    6.677170e+02    4.913090e-04    5.007840e+05    3.403242e-09    3.895085e-13    1.250735e-09    1.474154e-10   -7.200000e-01    1.008212e+00    4.207743e-02
    2.236435e+01    6.849279e+02    3.939758e-04    4.187238e+05    3.349025e-09    3.603703e-13    1.167124e-09    1.382915e-10   -7.100000e-01    1.008212e+00    4.200914e-02
    2.294880e+01    7.026955e+02    3.141070e-04    3.477839e+05    3.298742e-09    3.333882e-13    1.088192e-09    1.296248e-10   -7.000000e-01    1.008212e+00    4.195294e-02
    2.354115e+01    7.207899e+02    2.489587e-04    2.868052e+05    3.252282e-09    3.084082e-13    1.013804e-09    1.214066e-10   -6.900000e-01    1.008212e+00    4.190699e-02
    2.413316e+01    7.389707e+02    1.961563e-04    2.347446e+05    3.209527e-09    2.852867e-13    9.438085e-10    1.136262e-10   -6.800000e-01    1.008212e+00    4.186968e-02
    2.471642e+01    7.570001e+02    1.536463e-04    1.906429e+05    3.170348e-09    2.638893e-13    8.780460e-10    1.062712e-10   -6.700000e-01    1.008212e+00    4.183958e-02
    2.528264e+01    7.746510e+02    1.196583e-04    1.536036e+05    3.134613e-09    2.440910e-13    8.163485e-10    9.932855e-11   -6.600000e-01    1.008212e+00    4.181550e-02
