# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: ff
# Temperature: 25 C
# W = 2.0 um
# L = 1.08 um (1080 nm)
# VDS = 0.6 V
# Columns: vgs [V]  vth [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]
#           vgs             vth              gm              id             gds             cgg             cgs             cgd
    0.000000e+00    5.784803e-01    3.316739e-12    1.159653e-13    2.088564e-14    4.464693e-15   -1.550444e-16   -6.154079e-20
    5.000000e-03    5.784803e-01    3.826550e-12    1.337932e-13    2.409648e-14    4.453568e-15   -1.608619e-16   -6.382888e-20
    1.000000e-02    5.784803e-01    4.414701e-12    1.543613e-13    2.780085e-14    4.442847e-15   -1.669740e-16   -6.620766e-20
    1.500000e-02    5.784803e-01    5.093225e-12    1.780907e-13    3.207458e-14    4.432542e-15   -1.733978e-16   -6.868119e-20
    2.000000e-02    5.784803e-01    5.876001e-12    2.054672e-13    3.700514e-14    4.422665e-15   -1.801517e-16   -7.125375e-20
    2.500000e-02    5.784803e-01    6.779041e-12    2.370510e-13    4.269347e-14    4.413228e-15   -1.872549e-16   -7.392982e-20
    3.000000e-02    5.784803e-01    7.820809e-12    2.734886e-13    4.925597e-14    4.404245e-15   -1.947278e-16   -7.671414e-20
    3.500000e-02    5.784803e-01    9.022607e-12    3.155256e-13    5.682694e-14    4.395730e-15   -2.025918e-16   -7.961163e-20
    4.000000e-02    5.784803e-01    1.040900e-11    3.640221e-13    6.556128e-14    4.387699e-15   -2.108693e-16   -8.262752e-20
    4.500000e-02    5.784803e-01    1.200832e-11    4.199703e-13    7.563767e-14    4.380168e-15   -2.195843e-16   -8.576725e-20
    5.000000e-02    5.784803e-01    1.385326e-11    4.845145e-13    8.726223e-14    4.373154e-15   -2.287617e-16   -8.903656e-20
    5.500000e-02    5.784803e-01    1.598150e-11    5.589747e-13    1.006727e-13    4.366677e-15   -2.384277e-16   -9.244148e-20
    6.000000e-02    5.784803e-01    1.843650e-11    6.448737e-13    1.161433e-13    4.360755e-15   -2.486099e-16   -9.598832e-20
    6.500000e-02    5.784803e-01    2.126839e-11    7.439674e-13    1.339903e-13    4.355410e-15   -2.593373e-16   -9.968372e-20
    7.000000e-02    5.784803e-01    2.453498e-11    8.582816e-13    1.545785e-13    4.350664e-15   -2.706400e-16   -1.035346e-19
    7.500000e-02    5.784803e-01    2.830292e-11    9.901522e-13    1.783287e-13    4.346539e-15   -2.825500e-16   -1.075484e-19
    8.000000e-02    5.784803e-01    3.264908e-11    1.142274e-12    2.057261e-13    4.343060e-15   -2.951003e-16   -1.117327e-19
    8.500000e-02    5.784803e-01    3.766208e-11    1.317754e-12    2.373304e-13    4.340252e-15   -3.083256e-16   -1.160956e-19
    9.000000e-02    5.784803e-01    4.344410e-11    1.520175e-12    2.737870e-13    4.338142e-15   -3.222621e-16   -1.206454e-19
    9.500000e-02    5.784803e-01    5.011296e-11    1.753672e-12    3.158401e-13    4.336759e-15   -3.369475e-16   -1.253912e-19
    1.000000e-01    5.784803e-01    5.780447e-11    2.023008e-12    3.643481e-13    4.336132e-15   -3.524207e-16   -1.303422e-19
    1.050000e-01    5.784803e-01    6.667520e-11    2.333681e-12    4.203007e-13    4.336290e-15   -3.687223e-16   -1.355081e-19
    1.100000e-01    5.784803e-01    7.690563e-11    2.692025e-12    4.848392e-13    4.337267e-15   -3.858952e-16   -1.408991e-19
    1.150000e-01    5.784803e-01    8.870380e-11    3.105348e-12    5.592792e-13    4.339096e-15   -4.039832e-16   -1.465260e-19
    1.200000e-01    5.784803e-01    1.023095e-10    3.582073e-12    6.451382e-13    4.341811e-15   -4.230319e-16   -1.524000e-19
    1.250000e-01    5.784803e-01    1.179990e-10    4.131914e-12    7.441650e-13    4.345448e-15   -4.430881e-16   -1.585329e-19
    1.300000e-01    5.784803e-01    1.360908e-10    4.766065e-12    8.583763e-13    4.350044e-15   -4.642004e-16   -1.649369e-19
    1.350000e-01    5.784803e-01    1.569519e-10    5.497434e-12    9.900964e-13    4.355639e-15   -4.864185e-16   -1.716249e-19
    1.400000e-01    5.784803e-01    1.810049e-10    6.340900e-12    1.142005e-12    4.362270e-15   -5.097938e-16   -1.786105e-19
    1.450000e-01    5.784803e-01    2.087369e-10    7.313611e-12    1.317190e-12    4.369980e-15   -5.343789e-16   -1.859077e-19
    1.500000e-01    5.784803e-01    2.407090e-10    8.435331e-12    1.519212e-12    4.378809e-15   -5.602275e-16   -1.935313e-19
    1.550000e-01    5.784803e-01    2.775674e-10    9.728839e-12    1.752172e-12    4.388801e-15   -5.873948e-16   -2.014968e-19
    1.600000e-01    5.784803e-01    3.200561e-10    1.122038e-11    2.020798e-12    4.399998e-15   -6.159369e-16   -2.098201e-19
    1.650000e-01    5.784803e-01    3.690322e-10    1.294021e-11    2.330535e-12    4.412447e-15   -6.459106e-16   -2.185182e-19
    1.700000e-01    5.784803e-01    4.254821e-10    1.492315e-11    2.687659e-12    4.426192e-15   -6.773741e-16   -2.276087e-19
    1.750000e-01    5.784803e-01    4.905416e-10    1.720937e-11    3.099400e-12    4.441279e-15   -7.103857e-16   -2.371097e-19
    1.800000e-01    5.784803e-01    5.655176e-10    1.984508e-11    3.574083e-12    4.457755e-15   -7.450045e-16   -2.470406e-19
    1.850000e-01    5.784803e-01    6.519144e-10    2.288356e-11    4.121299e-12    4.475666e-15   -7.812901e-16   -2.574212e-19
    1.900000e-01    5.784803e-01    7.514623e-10    2.638613e-11    4.752092e-12    4.495059e-15   -8.193018e-16   -2.682722e-19
    1.950000e-01    5.784803e-01    8.661519e-10    3.042341e-11    5.479177e-12    4.515983e-15   -8.590993e-16   -2.796154e-19
    2.000000e-01    5.784803e-01    9.982724e-10    3.507668e-11    6.317193e-12    4.538483e-15   -9.007418e-16   -2.914731e-19
    2.050000e-01    5.784803e-01    1.150456e-09    4.043955e-11    7.282991e-12    4.562607e-15   -9.442881e-16   -3.038690e-19
    2.100000e-01    5.784803e-01    1.325727e-09    4.661970e-11    8.395962e-12    4.588402e-15   -9.897961e-16   -3.168272e-19
    2.150000e-01    5.784803e-01    1.527563e-09    5.374106e-11    9.678419e-12    4.615912e-15   -1.037323e-15   -3.303732e-19
    2.200000e-01    5.784803e-01    1.759958e-09    6.194623e-11    1.115603e-11    4.645182e-15   -1.086924e-15   -3.445332e-19
    2.250000e-01    5.784803e-01    2.027499e-09    7.139919e-11    1.285833e-11    4.676257e-15   -1.138654e-15   -3.593346e-19
    2.300000e-01    5.784803e-01    2.335452e-09    8.228853e-11    1.481925e-11    4.709177e-15   -1.192565e-15   -3.748056e-19
    2.350000e-01    5.784803e-01    2.689861e-09    9.483109e-11    1.707782e-11    4.743985e-15   -1.248707e-15   -3.909757e-19
    2.400000e-01    5.784803e-01    3.097661e-09    1.092761e-10    1.967892e-11    4.780719e-15   -1.307128e-15   -4.078752e-19
    2.450000e-01    5.784803e-01    3.566804e-09    1.259099e-10    2.267406e-11    4.819416e-15   -1.367873e-15   -4.255358e-19
    2.500000e-01    5.784803e-01    4.106406e-09    1.450615e-10    2.612245e-11    4.860109e-15   -1.430982e-15   -4.439901e-19
    2.550000e-01    5.784803e-01    4.726912e-09    1.671087e-10    3.009208e-11    4.902831e-15   -1.496496e-15   -4.632719e-19
    2.600000e-01    5.784803e-01    5.440285e-09    1.924853e-10    3.466096e-11    4.947610e-15   -1.564447e-15   -4.834161e-19
    2.650000e-01    5.784803e-01    6.260218e-09    2.216890e-10    3.991863e-11    4.994472e-15   -1.634867e-15   -5.044588e-19
    2.700000e-01    5.784803e-01    7.202378e-09    2.552910e-10    4.596780e-11    5.043439e-15   -1.707781e-15   -5.264374e-19
    2.750000e-01    5.784803e-01    8.284676e-09    2.939462e-10    5.292620e-11    5.094530e-15   -1.783212e-15   -5.493904e-19
    2.800000e-01    5.784803e-01    9.527583e-09    3.384053e-10    6.092877e-11    5.147759e-15   -1.861175e-15   -5.733575e-19
    2.850000e-01    5.784803e-01    1.095447e-08    3.895285e-10    7.013007e-11    5.203138e-15   -1.941682e-15   -5.983797e-19
    2.900000e-01    5.784803e-01    1.259202e-08    4.483009e-10    8.070703e-11    5.260671e-15   -2.024738e-15   -6.244994e-19
    2.950000e-01    5.784803e-01    1.447064e-08    5.158503e-10    9.286213e-11    5.320362e-15   -2.110343e-15   -6.517600e-19
    3.000000e-01    5.784803e-01    1.662501e-08    5.934667e-10    1.068269e-10    5.382206e-15   -2.198491e-15   -6.802065e-19
    3.050000e-01    5.784803e-01    1.909458e-08    6.826254e-10    1.228659e-10    5.446197e-15   -2.289170e-15   -7.098850e-19
    3.100000e-01    5.784803e-01    2.192426e-08    7.850123e-10    1.412814e-10    5.512320e-15   -2.382360e-15   -7.408430e-19
    3.150000e-01    5.784803e-01    2.516509e-08    9.025528e-10    1.624183e-10    5.580558e-15   -2.478038e-15   -7.731295e-19
    3.200000e-01    5.784803e-01    2.887501e-08    1.037445e-09    1.866697e-10    5.650888e-15   -2.576172e-15   -8.067946e-19
    3.250000e-01    5.784803e-01    3.311977e-08    1.192194e-09    2.144840e-10    5.723280e-15   -2.676723e-15   -8.418900e-19
    3.300000e-01    5.784803e-01    3.797390e-08    1.369657e-09    2.463712e-10    5.797701e-15   -2.779646e-15   -8.784687e-19
    3.350000e-01    5.784803e-01    4.352176e-08    1.573088e-09    2.829119e-10    5.874111e-15   -2.884890e-15   -9.165853e-19
    3.400000e-01    5.784803e-01    4.985876e-08    1.806190e-09    3.247654e-10    5.952466e-15   -2.992396e-15   -9.562957e-19
    3.450000e-01    5.784803e-01    5.709269e-08    2.073170e-09    3.726804e-10    6.032715e-15   -3.102101e-15   -9.976572e-19
    3.500000e-01    5.784803e-01    6.534518e-08    2.378813e-09    4.275058e-10    6.114803e-15   -3.213932e-15   -1.040729e-18
    3.550000e-01    5.784803e-01    7.475331e-08    2.728547e-09    4.902033e-10    6.198671e-15   -3.327813e-15   -1.085571e-18
    3.600000e-01    5.784803e-01    8.547142e-08    3.128529e-09    5.618606e-10    6.284251e-15   -3.443661e-15   -1.132245e-18
    3.650000e-01    5.784803e-01    9.767303e-08    3.585733e-09    6.437066e-10    6.371475e-15   -3.561385e-15   -1.180816e-18
    3.700000e-01    5.784803e-01    1.115530e-07    4.108055e-09    7.371281e-10    6.460268e-15   -3.680892e-15   -1.231348e-18
