# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: 75C
# W = 2.0 um
# L = 5.4 um (5400 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Vov [V]
#         gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W             Vov
    2.284594e+01    2.325922e+02    1.066765e-06    3.160289e+02    1.227358e-08    7.938760e-13    1.825259e-09   -4.658488e-01
    2.284257e+01    2.325583e+02    1.195844e-06    3.535546e+02    1.229655e-08    8.208470e-13    1.896481e-09   -4.608488e-01
    2.283899e+01    2.325225e+02    1.340519e-06    3.954508e+02    1.232189e-08    8.488000e-13    1.970376e-09   -4.558488e-01
    2.283521e+01    2.324846e+02    1.502668e-06    4.422143e+02    1.234967e-08    8.777715e-13    2.047019e-09   -4.508488e-01
    2.283122e+01    2.324446e+02    1.684398e-06    4.943965e+02    1.237994e-08    9.077990e-13    2.126487e-09   -4.458488e-01
    2.282699e+01    2.324023e+02    1.888067e-06    5.526089e+02    1.241276e-08    9.389220e-13    2.208853e-09   -4.408488e-01
    2.282252e+01    2.323576e+02    2.116318e-06    6.175309e+02    1.244818e-08    9.711815e-13    2.294193e-09   -4.358488e-01
    2.281779e+01    2.323105e+02    2.372107e-06    6.899149e+02    1.248627e-08    1.004619e-12    2.382583e-09   -4.308488e-01
    2.281279e+01    2.322606e+02    2.658747e-06    7.705952e+02    1.252706e-08    1.039277e-12    2.474097e-09   -4.258488e-01
    2.280751e+01    2.322079e+02    2.979949e-06    8.604973e+02    1.257063e-08    1.075203e-12    2.568808e-09   -4.208488e-01
    2.280194e+01    2.321526e+02    3.339863e-06    9.606457e+02    1.261704e-08    1.112441e-12    2.666790e-09   -4.158488e-01
    2.279603e+01    2.320940e+02    3.743140e-06    1.072173e+03    1.266632e-08    1.151040e-12    2.768114e-09   -4.108488e-01
    2.278980e+01    2.320321e+02    4.194984e-06    1.196337e+03    1.271854e-08    1.191049e-12    2.872849e-09   -4.058488e-01
    2.278323e+01    2.319671e+02    4.701221e-06    1.334528e+03    1.277375e-08    1.232519e-12    2.981065e-09   -4.008488e-01
    2.277628e+01    2.318984e+02    5.268370e-06    1.488280e+03    1.283201e-08    1.275503e-12    3.092827e-09   -3.958488e-01
    2.276894e+01    2.318260e+02    5.903730e-06    1.659296e+03    1.289335e-08    1.320057e-12    3.208199e-09   -3.908488e-01
    2.276117e+01    2.317495e+02    6.615465e-06    1.849452e+03    1.295782e-08    1.366235e-12    3.327243e-09   -3.858488e-01
    2.275300e+01    2.316691e+02    7.412705e-06    2.060826e+03    1.302549e-08    1.414098e-12    3.450020e-09   -3.808488e-01
    2.274436e+01    2.315844e+02    8.305675e-06    2.295712e+03    1.309639e-08    1.463704e-12    3.576583e-09   -3.758488e-01
    2.273523e+01    2.314953e+02    9.305805e-06    2.556640e+03    1.317055e-08    1.515116e-12    3.706988e-09   -3.708488e-01
    2.272562e+01    2.314014e+02    1.042588e-05    2.846408e+03    1.324803e-08    1.568397e-12    3.841283e-09   -3.658488e-01
    2.271548e+01    2.313026e+02    1.168018e-05    3.168100e+03    1.332885e-08    1.623614e-12    3.979514e-09   -3.608488e-01
    2.270477e+01    2.311987e+02    1.308471e-05    3.525117e+03    1.341306e-08    1.680834e-12    4.121722e-09   -3.558488e-01
    2.269348e+01    2.310895e+02    1.465733e-05    3.921215e+03    1.350067e-08    1.740128e-12    4.267948e-09   -3.508488e-01
    2.268158e+01    2.309748e+02    1.641800e-05    4.360529e+03    1.359173e-08    1.801568e-12    4.418221e-09   -3.458488e-01
    2.266904e+01    2.308542e+02    1.838904e-05    4.847617e+03    1.368624e-08    1.865228e-12    4.572571e-09   -3.408488e-01
    2.265583e+01    2.307277e+02    2.059539e-05    5.387501e+03    1.378424e-08    1.931186e-12    4.731023e-09   -3.358488e-01
    2.264191e+01    2.305949e+02    2.306491e-05    5.985714e+03    1.388573e-08    1.999520e-12    4.893594e-09   -3.308488e-01
    2.262725e+01    2.304556e+02    2.582868e-05    6.648341e+03    1.399075e-08    2.070311e-12    5.060295e-09   -3.258488e-01
    2.261184e+01    2.303098e+02    2.892145e-05    7.382090e+03    1.409927e-08    2.143645e-12    5.231135e-09   -3.208488e-01
    2.259560e+01    2.301570e+02    3.238199e-05    8.194324e+03    1.421132e-08    2.219606e-12    5.406115e-09   -3.158488e-01
    2.257852e+01    2.299970e+02    3.625357e-05    9.093156e+03    1.432688e-08    2.298284e-12    5.585230e-09   -3.108488e-01
    2.256057e+01    2.298298e+02    4.058450e-05    1.008751e+04    1.444596e-08    2.379771e-12    5.768470e-09   -3.058488e-01
    2.254170e+01    2.296550e+02    4.542862e-05    1.118716e+04    1.456855e-08    2.464161e-12    5.955815e-09   -3.008488e-01
    2.252188e+01    2.294726e+02    5.084600e-05    1.240290e+04    1.469462e-08    2.551550e-12    6.147240e-09   -2.958488e-01
    2.250105e+01    2.292824e+02    5.690365e-05    1.374654e+04    1.482415e-08    2.642040e-12    6.342715e-09   -2.908488e-01
    2.247922e+01    2.290842e+02    6.367615e-05    1.523106e+04    1.495712e-08    2.735732e-12    6.542210e-09   -2.858488e-01
    2.245629e+01    2.288776e+02    7.124675e-05    1.687071e+04    1.509350e-08    2.832732e-12    6.745670e-09   -2.808488e-01
    2.243226e+01    2.286630e+02    7.970810e-05    1.868114e+04    1.523324e-08    2.933149e-12    6.953050e-09   -2.758488e-01
    2.240709e+01    2.284403e+02    8.916335e-05    2.067948e+04    1.537632e-08    3.037094e-12    7.164290e-09   -2.708488e-01
    2.238071e+01    2.282094e+02    9.972740e-05    2.288455e+04    1.552266e-08    3.144683e-12    7.379325e-09   -2.658488e-01
    2.235314e+01    2.279703e+02    1.115280e-04    2.531695e+04    1.567223e-08    3.256034e-12    7.598085e-09   -2.608488e-01
    2.232429e+01    2.277230e+02    1.247073e-04    2.799926e+04    1.582497e-08    3.371268e-12    7.820490e-09   -2.558488e-01
    2.229414e+01    2.274679e+02    1.394235e-04    3.095622e+04    1.598081e-08    3.490511e-12    8.046455e-09   -2.508488e-01
    2.226266e+01    2.272051e+02    1.558523e-04    3.421491e+04    1.613969e-08    3.613891e-12    8.275885e-09   -2.458488e-01
    2.222983e+01    2.269350e+02    1.741889e-04    3.780496e+04    1.630152e-08    3.741541e-12    8.508685e-09   -2.408488e-01
    2.219561e+01    2.266580e+02    1.946503e-04    4.175883e+04    1.646622e-08    3.873595e-12    8.744755e-09   -2.358488e-01
    2.215997e+01    2.263746e+02    2.174773e-04    4.611198e+04    1.663372e-08    4.010196e-12    8.983975e-09   -2.308488e-01
    2.212290e+01    2.260856e+02    2.429370e-04    5.090323e+04    1.680392e-08    4.151485e-12    9.226230e-09   -2.258488e-01
    2.208436e+01    2.257914e+02    2.713259e-04    5.617492e+04    1.697672e-08    4.297611e-12    9.471400e-09   -2.208488e-01
    2.204437e+01    2.254932e+02    3.029729e-04    6.197347e+04    1.715204e-08    4.448725e-12    9.719355e-09   -2.158488e-01
    2.200291e+01    2.251922e+02    3.382421e-04    6.834950e+04    1.732976e-08    4.604985e-12    9.969965e-09   -2.108488e-01
    2.195997e+01    2.248894e+02    3.775374e-04    7.535831e+04    1.750978e-08    4.766551e-12    1.022309e-08   -2.058488e-01
    2.191556e+01    2.245863e+02    4.213059e-04    8.306031e+04    1.769199e-08    4.933587e-12    1.047859e-08   -2.008488e-01
    2.186971e+01    2.242847e+02    4.700424e-04    9.152152e+04    1.787627e-08    5.106265e-12    1.073631e-08   -1.958488e-01
    2.182242e+01    2.239863e+02    5.242945e-04    1.008139e+05    1.806251e-08    5.284755e-12    1.099610e-08   -1.908488e-01
    2.177371e+01    2.236932e+02    5.846685e-04    1.110161e+05    1.825057e-08    5.469245e-12    1.125780e-08   -1.858488e-01
    2.172367e+01    2.234080e+02    6.518330e-04    1.222138e+05    1.844036e-08    5.659910e-12    1.152128e-08   -1.808488e-01
    2.167230e+01    2.231332e+02    7.265295e-04    1.345009e+05    1.863173e-08    5.856945e-12    1.178635e-08   -1.758488e-01
    2.161968e+01    2.228718e+02    8.095750e-04    1.479797e+05    1.882455e-08    6.060550e-12    1.205286e-08   -1.708488e-01
