# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: fs
# Temperature: 0 C
# W = 2.0 um
# L = 2.88 um (2880 nm)
# VDS = 0.6 V
# Columns: vgs [V]  vth [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]
#           vgs             vth              gm              id             gds             cgg             cgs             cgd
    0.000000e+00    6.050295e-01    1.118998e-13    3.715979e-15    6.275956e-16    1.207421e-14   -3.089492e-16   -1.018271e-19
    5.000000e-03    6.050295e-01    1.300815e-13    4.319792e-15    7.295742e-16    1.204484e-14   -3.202252e-16   -1.058689e-19
    1.000000e-02    6.050295e-01    1.512172e-13    5.021714e-15    8.481224e-16    1.201626e-14   -3.320337e-16   -1.100757e-19
    1.500000e-02    6.050295e-01    1.757867e-13    5.837683e-15    9.859322e-16    1.198846e-14   -3.444050e-16   -1.144550e-19
    2.000000e-02    6.050295e-01    2.043477e-13    6.786228e-15    1.146133e-15    1.196148e-14   -3.573710e-16   -1.190145e-19
    2.500000e-02    6.050295e-01    2.375488e-13    7.888887e-15    1.332362e-15    1.193534e-14   -3.709658e-16   -1.237624e-19
    3.000000e-02    6.050295e-01    2.761434e-13    9.170698e-15    1.548849e-15    1.191005e-14   -3.852236e-16   -1.287072e-19
    3.500000e-02    6.050295e-01    3.210077e-13    1.066076e-14    1.800507e-15    1.188564e-14   -4.001827e-16   -1.338579e-19
    4.000000e-02    6.050295e-01    3.731599e-13    1.239291e-14    2.093052e-15    1.186213e-14   -4.158838e-16   -1.392238e-19
    4.500000e-02    6.050295e-01    4.337838e-13    1.440647e-14    2.433124e-15    1.183956e-14   -4.323689e-16   -1.448148e-19
    5.000000e-02    6.050295e-01    5.042550e-13    1.674715e-14    2.828443e-15    1.181796e-14   -4.496824e-16   -1.506414e-19
    5.500000e-02    6.050295e-01    5.861727e-13    1.946808e-14    3.287985e-15    1.179735e-14   -4.678710e-16   -1.567143e-19
    6.000000e-02    6.050295e-01    6.813956e-13    2.263104e-14    3.822179e-15    1.177777e-14   -4.869840e-16   -1.630450e-19
    6.500000e-02    6.050295e-01    7.920842e-13    2.630780e-14    4.443150e-15    1.175926e-14   -5.070732e-16   -1.696456e-19
    7.000000e-02    6.050295e-01    9.207496e-13    3.058182e-14    5.164994e-15    1.174185e-14   -5.281932e-16   -1.765284e-19
    7.500000e-02    6.050295e-01    1.070310e-12    3.555009e-14    6.004091e-15    1.172558e-14   -5.504015e-16   -1.837069e-19
    8.000000e-02    6.050295e-01    1.244158e-12    4.132537e-14    6.979483e-15    1.171050e-14   -5.737582e-16   -1.911949e-19
    8.500000e-02    6.050295e-01    1.446236e-12    4.803869e-14    8.113302e-15    1.169665e-14   -5.983269e-16   -1.990068e-19
    9.000000e-02    6.050295e-01    1.681126e-12    5.584238e-14    9.431274e-15    1.168408e-14   -6.241739e-16   -2.071581e-19
    9.500000e-02    6.050295e-01    1.954154e-12    6.491347e-14    1.096330e-14    1.167284e-14   -6.513692e-16   -2.156646e-19
    1.000000e-01    6.050295e-01    2.271508e-12    7.545774e-14    1.274413e-14    1.166298e-14   -6.799858e-16   -2.245433e-19
    1.050000e-01    6.050295e-01    2.640380e-12    8.771435e-14    1.481416e-14    1.165456e-14   -7.101002e-16   -2.338119e-19
    1.100000e-01    6.050295e-01    3.069131e-12    1.019613e-13    1.722034e-14    1.164763e-14   -7.417927e-16   -2.434887e-19
    1.150000e-01    6.050295e-01    3.567472e-12    1.185216e-13    2.001722e-14    1.164226e-14   -7.751470e-16   -2.535933e-19
    1.200000e-01    6.050295e-01    4.146693e-12    1.377707e-13    2.326822e-14    1.163852e-14   -8.102507e-16   -2.641460e-19
    1.250000e-01    6.050295e-01    4.819909e-12    1.601450e-13    2.704704e-14    1.163646e-14   -8.471949e-16   -2.751682e-19
    1.300000e-01    6.050295e-01    5.602364e-12    1.861517e-13    3.143933e-14    1.163616e-14   -8.860749e-16   -2.866822e-19
    1.350000e-01    6.050295e-01    6.511765e-12    2.163801e-13    3.654462e-14    1.163770e-14   -9.269899e-16   -2.987117e-19
    1.400000e-01    6.050295e-01    7.568693e-12    2.515150e-13    4.247859e-14    1.164114e-14   -9.700429e-16   -3.112812e-19
    1.450000e-01    6.050295e-01    8.797054e-12    2.923525e-13    4.937565e-14    1.164658e-14   -1.015341e-15   -3.244165e-19
    1.500000e-01    6.050295e-01    1.022463e-11    3.398174e-13    5.739202e-14    1.165409e-14   -1.062995e-15   -3.381447e-19
    1.550000e-01    6.050295e-01    1.188368e-11    3.949843e-13    6.670918e-14    1.166377e-14   -1.113120e-15   -3.524940e-19
    1.600000e-01    6.050295e-01    1.381171e-11    4.591021e-13    7.753807e-14    1.167569e-14   -1.165836e-15   -3.674941e-19
    1.650000e-01    6.050295e-01    1.605225e-11    5.336219e-13    9.012372e-14    1.168996e-14   -1.221265e-15   -3.831761e-19
    1.700000e-01    6.050295e-01    1.865590e-11    6.202294e-13    1.047509e-13    1.170667e-14   -1.279535e-15   -3.995724e-19
    1.750000e-01    6.050295e-01    2.168141e-11    7.208834e-13    1.217503e-13    1.172592e-14   -1.340775e-15   -4.167171e-19
    1.800000e-01    6.050295e-01    2.519702e-11    8.378597e-13    1.415064e-13    1.174781e-14   -1.405120e-15   -4.346456e-19
    1.850000e-01    6.050295e-01    2.928197e-11    9.738018e-13    1.644657e-13    1.177245e-14   -1.472708e-15   -4.533953e-19
    1.900000e-01    6.050295e-01    3.402830e-11    1.131781e-12    1.911466e-13    1.179995e-14   -1.543680e-15   -4.730048e-19
    1.950000e-01    6.050295e-01    3.954287e-11    1.315364e-12    2.221519e-13    1.183041e-14   -1.618180e-15   -4.935150e-19
