# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: 25C
# W = 2.0 um
# L = 0.54 um (540 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Vov [V]
#         gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W             Vov
    2.663979e+01    1.677572e+02    2.666136e-08    9.375408e+01    1.205710e-09    2.577814e-14    2.924830e-11   -6.631943e-01
    2.663950e+01    1.677634e+02    3.045998e-08    1.074042e+02    1.202416e-09    2.670863e-14    3.021991e-11   -6.581943e-01
    2.663919e+01    1.677695e+02    3.479975e-08    1.230348e+02    1.199193e-09    2.768150e-14    3.123313e-11   -6.531943e-01
    2.663884e+01    1.677755e+02    3.975777e-08    1.409321e+02    1.196045e-09    2.869901e-14    3.229005e-11   -6.481943e-01
    2.663848e+01    1.677814e+02    4.542209e-08    1.614234e+02    1.192972e-09    2.976354e-14    3.339283e-11   -6.431943e-01
    2.663810e+01    1.677872e+02    5.189330e-08    1.848829e+02    1.189976e-09    3.087761e-14    3.454376e-11   -6.381943e-01
    2.663769e+01    1.677928e+02    5.928635e-08    2.117386e+02    1.187057e-09    3.204386e-14    3.574524e-11   -6.331943e-01
    2.663724e+01    1.677983e+02    6.773255e-08    2.424799e+02    1.184216e-09    3.326504e-14    3.699977e-11   -6.281943e-01
    2.663677e+01    1.678038e+02    7.738180e-08    2.776661e+02    1.181456e-09    3.454406e-14    3.830999e-11   -6.231943e-01
    2.663627e+01    1.678090e+02    8.840550e-08    3.179367e+02    1.178779e-09    3.588399e-14    3.967866e-11   -6.181943e-01
    2.663572e+01    1.678141e+02    1.009994e-07    3.640223e+02    1.176185e-09    3.728800e-14    4.110868e-11   -6.131943e-01
    2.663515e+01    1.678191e+02    1.153870e-07    4.167580e+02    1.173676e-09    3.875946e-14    4.260306e-11   -6.081943e-01
    2.663454e+01    1.678238e+02    1.318238e-07    4.770981e+02    1.171255e-09    4.030188e-14    4.416496e-11   -6.031943e-01
    2.663388e+01    1.678284e+02    1.506015e-07    5.461324e+02    1.168923e-09    4.191895e-14    4.579771e-11   -5.981943e-01
    2.663317e+01    1.678328e+02    1.720534e-07    6.251057e+02    1.166683e-09    4.361450e-14    4.750477e-11   -5.931943e-01
    2.663241e+01    1.678369e+02    1.965602e-07    7.154398e+02    1.164536e-09    4.539261e-14    4.928955e-11   -5.881943e-01
    2.663161e+01    1.678409e+02    2.245568e-07    8.187594e+02    1.162485e-09    4.725746e-14    5.115605e-11   -5.831943e-01
    2.663074e+01    1.678445e+02    2.565400e-07    9.369154e+02    1.160534e-09    4.921348e-14    5.310825e-11   -5.781943e-01
    2.662983e+01    1.678479e+02    2.930772e-07    1.072026e+03    1.158685e-09    5.126525e-14    5.515020e-11   -5.731943e-01
    2.662884e+01    1.678510e+02    3.348166e-07    1.226502e+03    1.156940e-09    5.341765e-14    5.728625e-11   -5.681943e-01
    2.662779e+01    1.678538e+02    3.824983e-07    1.403101e+03    1.155303e-09    5.567565e-14    5.952095e-11   -5.631943e-01
    2.662666e+01    1.678564e+02    4.369682e-07    1.604963e+03    1.153777e-09    5.804450e-14    6.185890e-11   -5.581943e-01
    2.662547e+01    1.678586e+02    4.991920e-07    1.835672e+03    1.152365e-09    6.052970e-14    6.430500e-11   -5.531943e-01
    2.662418e+01    1.678604e+02    5.702730e-07    2.099314e+03    1.151070e-09    6.313690e-14    6.686435e-11   -5.481943e-01
    2.662282e+01    1.678618e+02    6.514705e-07    2.400545e+03    1.149898e-09    6.587200e-14    6.954220e-11   -5.431943e-01
    2.662136e+01    1.678629e+02    7.442245e-07    2.744676e+03    1.148850e-09    6.874120e-14    7.234405e-11   -5.381943e-01
    2.661978e+01    1.678633e+02    8.501780e-07    3.137752e+03    1.147932e-09    7.175090e-14    7.527565e-11   -5.331943e-01
    2.661811e+01    1.678635e+02    9.712080e-07    3.586663e+03    1.147147e-09    7.490775e-14    7.834285e-11   -5.281943e-01
    2.661633e+01    1.678631e+02    1.109458e-06    4.099254e+03    1.146500e-09    7.821860e-14    8.155190e-11   -5.231943e-01
    2.661443e+01    1.678622e+02    1.267375e-06    4.684455e+03    1.145997e-09    8.169070e-14    8.490910e-11   -5.181943e-01
    2.661239e+01    1.678607e+02    1.447757e-06    5.352434e+03    1.145640e-09    8.533135e-14    8.842110e-11   -5.131943e-01
    2.661022e+01    1.678585e+02    1.653794e-06    6.114753e+03    1.145437e-09    8.914825e-14    9.209475e-11   -5.081943e-01
    2.660788e+01    1.678557e+02    1.889132e-06    6.984562e+03    1.145391e-09    9.314930e-14    9.593710e-11   -5.031943e-01
    2.660541e+01    1.678523e+02    2.157933e-06    7.976827e+03    1.145508e-09    9.734270e-14    9.995545e-11   -4.981943e-01
    2.660276e+01    1.678480e+02    2.464950e-06    9.108537e+03    1.145793e-09    1.017369e-13    1.041574e-10   -4.931943e-01
    2.659994e+01    1.678431e+02    2.815608e-06    1.039903e+04    1.146253e-09    1.063405e-13    1.085507e-10   -4.881943e-01
    2.659691e+01    1.678372e+02    3.216103e-06    1.187021e+04    1.146893e-09    1.111625e-13    1.131433e-10   -4.831943e-01
    2.659368e+01    1.678305e+02    3.673508e-06    1.354702e+04    1.147720e-09    1.162120e-13    1.179435e-10   -4.781943e-01
    2.659024e+01    1.678227e+02    4.195896e-06    1.545772e+04    1.148740e-09    1.214985e-13    1.229598e-10   -4.731943e-01
    2.658656e+01    1.678139e+02    4.792484e-06    1.763439e+04    1.149959e-09    1.270315e-13    1.282009e-10   -4.681943e-01
    2.658263e+01    1.678041e+02    5.473795e-06    2.011343e+04    1.151384e-09    1.328209e-13    1.336757e-10   -4.631943e-01
    2.657843e+01    1.677930e+02    6.251835e-06    2.293607e+04    1.153023e-09    1.388768e-13    1.393932e-10   -4.581943e-01
    2.657395e+01    1.677807e+02    7.140310e-06    2.614905e+04    1.154882e-09    1.452094e-13    1.453629e-10   -4.531943e-01
    2.656917e+01    1.677670e+02    8.154860e-06    2.980530e+04    1.156968e-09    1.518291e-13    1.515943e-10   -4.481943e-01
    2.656407e+01    1.677520e+02    9.313335e-06    3.396475e+04    1.159289e-09    1.587465e-13    1.580969e-10   -4.431943e-01
    2.655863e+01    1.677354e+02    1.063610e-05    3.869524e+04    1.161852e-09    1.659721e-13    1.648807e-10   -4.381943e-01
    2.655281e+01    1.677173e+02    1.214640e-05    4.407346e+04    1.164665e-09    1.735169e-13    1.719557e-10   -4.331943e-01
    2.654660e+01    1.676974e+02    1.387074e-05    5.018617e+04    1.167736e-09    1.813917e-13    1.793320e-10   -4.281943e-01
    2.653999e+01    1.676756e+02    1.583936e-05    5.713135e+04    1.171073e-09    1.896073e-13    1.870198e-10   -4.231943e-01
    2.653292e+01    1.676520e+02    1.808676e-05    6.501975e+04    1.174683e-09    1.981748e-13    1.950294e-10   -4.181943e-01
    2.652538e+01    1.676262e+02    2.065230e-05    7.397628e+04    1.178576e-09    2.071051e-13    2.033712e-10   -4.131943e-01
    2.651734e+01    1.675982e+02    2.358082e-05    8.414204e+04    1.182758e-09    2.164088e-13    2.120557e-10   -4.081943e-01
    2.650877e+01    1.675679e+02    2.692349e-05    9.567604e+04    1.187238e-09    2.260969e-13    2.210931e-10   -4.031943e-01
    2.649963e+01    1.675352e+02    3.073864e-05    1.087575e+05    1.192024e-09    2.361799e-13    2.304940e-10   -3.981943e-01
    2.648988e+01    1.674997e+02    3.509275e-05    1.235885e+05    1.197125e-09    2.466681e-13    2.402687e-10   -3.931943e-01
    2.647949e+01    1.674614e+02    4.006159e-05    1.403963e+05    1.202548e-09    2.575718e-13    2.504273e-10   -3.881943e-01
    2.646841e+01    1.674202e+02    4.573154e-05    1.594369e+05    1.208301e-09    2.689007e-13    2.609801e-10   -3.831943e-01
    2.645662e+01    1.673757e+02    5.220095e-05    1.809981e+05    1.214392e-09    2.806644e-13    2.719369e-10   -3.781943e-01
    2.644403e+01    1.673279e+02    5.958195e-05    2.054035e+05    1.220829e-09    2.928719e-13    2.833075e-10   -3.731943e-01
    2.643063e+01    1.672765e+02    6.800220e-05    2.330167e+05    1.227619e-09    3.055318e-13    2.951014e-10   -3.681943e-01
    2.641637e+01    1.672213e+02    7.760700e-05    2.642458e+05    1.234770e-09    3.186521e-13    3.073276e-10   -3.631943e-01
    2.640118e+01    1.671621e+02    8.856190e-05    2.995491e+05    1.242288e-09    3.322402e-13    3.199952e-10   -3.581943e-01
    2.638501e+01    1.670987e+02    1.010553e-04    3.394402e+05    1.250182e-09    3.463030e-13    3.331124e-10   -3.531943e-01
