# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: 0C
# W = 2.0 um
# L = 4.86 um (4860 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Vov [V]
#         gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W             Vov
    2.880544e+01    2.224402e+02    1.792526e-08    7.692727e+00    1.068267e-08    2.075271e-13    5.313905e-10   -5.355196e-01
    2.880472e+01    2.224346e+02    2.070212e-08    8.897752e+00    1.066642e-08    2.155650e-13    5.536780e-10   -5.305196e-01
    2.880394e+01    2.224286e+02    2.390907e-08    1.029029e+01    1.065141e-08    2.239398e-13    5.771390e-10   -5.255196e-01
    2.880312e+01    2.224223e+02    2.761270e-08    1.189928e+01    1.063770e-08    2.326671e-13    6.018375e-10   -5.205196e-01
    2.880224e+01    2.224155e+02    3.188989e-08    1.375805e+01    1.062534e-08    2.417634e-13    6.278430e-10   -5.155196e-01
    2.880128e+01    2.224081e+02    3.682946e-08    1.590498e+01    1.061437e-08    2.512462e-13    6.552245e-10   -5.105196e-01
    2.880025e+01    2.224001e+02    4.253392e-08    1.838432e+01    1.060485e-08    2.611335e-13    6.840585e-10   -5.055196e-01
    2.879914e+01    2.223916e+02    4.912168e-08    2.124696e+01    1.059683e-08    2.714445e-13    7.144235e-10   -5.005196e-01
    2.879794e+01    2.223824e+02    5.672945e-08    2.455153e+01    1.059038e-08    2.821992e-13    7.464005e-10   -4.955196e-01
    2.879668e+01    2.223728e+02    6.551505e-08    2.836546e+01    1.058556e-08    2.934185e-13    7.800755e-10   -4.905196e-01
    2.879532e+01    2.223622e+02    7.566075e-08    3.276627e+01    1.058243e-08    3.051245e-13    8.155370e-10   -4.855196e-01
    2.879384e+01    2.223509e+02    8.737705e-08    3.784316e+01    1.058107e-08    3.173402e-13    8.528765e-10   -4.805196e-01
    2.879227e+01    2.223387e+02    1.009069e-07    4.369860e+01    1.058155e-08    3.300899e-13    8.921905e-10   -4.755196e-01
    2.879057e+01    2.223257e+02    1.165307e-07    5.045032e+01    1.058393e-08    3.433991e-13    9.335780e-10   -4.705196e-01
    2.878875e+01    2.223116e+02    1.345726e-07    5.823356e+01    1.058829e-08    3.572942e-13    9.771425e-10   -4.655196e-01
    2.878679e+01    2.222966e+02    1.554062e-07    6.720349e+01    1.059473e-08    3.718031e-13    1.022990e-09   -4.605196e-01
    2.878470e+01    2.222806e+02    1.794634e-07    7.753830e+01    1.060331e-08    3.869551e-13    1.071232e-09   -4.555196e-01
    2.878243e+01    2.222631e+02    2.072424e-07    8.944206e+01    1.061413e-08    4.027806e-13    1.121981e-09   -4.505196e-01
    2.878001e+01    2.222446e+02    2.393185e-07    1.031491e+02    1.062727e-08    4.193117e-13    1.175354e-09   -4.455196e-01
    2.877741e+01    2.222245e+02    2.763557e-07    1.189276e+02    1.064284e-08    4.365818e-13    1.231471e-09   -4.405196e-01
    2.877462e+01    2.222032e+02    3.191206e-07    1.370851e+02    1.066091e-08    4.546260e-13    1.290456e-09   -4.355196e-01
    2.877162e+01    2.221801e+02    3.684978e-07    1.579732e+02    1.068160e-08    4.734809e-13    1.352435e-09   -4.305196e-01
    2.876840e+01    2.221555e+02    4.255085e-07    1.819944e+02    1.070499e-08    4.931847e-13    1.417539e-09   -4.255196e-01
    2.876495e+01    2.221290e+02    4.913312e-07    2.096092e+02    1.073119e-08    5.137775e-13    1.485896e-09   -4.205196e-01
    2.876123e+01    2.221006e+02    5.673260e-07    2.413437e+02    1.076030e-08    5.353010e-13    1.557643e-09   -4.155196e-01
    2.875726e+01    2.220700e+02    6.550620e-07    2.777990e+02    1.079243e-08    5.577990e-13    1.632914e-09   -4.105196e-01
    2.875297e+01    2.220374e+02    7.563515e-07    3.196616e+02    1.082769e-08    5.813170e-13    1.711848e-09   -4.055196e-01
