# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: sf
# Temperature: 75 C
# W = 2.0 um
# L = 1.8 um (1800 nm)
# VDS = 0.6 V
# Columns: vgs [V]  vth [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]
#           vgs             vth              gm              id             gds             cgg             cgs             cgd
    0.000000e+00    4.812367e-01    8.800794e-11    3.755824e-12    6.217808e-13    8.147526e-15   -1.056565e-15   -4.132983e-19
    5.000000e-03    4.812367e-01    9.893574e-11    4.222651e-12    6.990639e-13    8.158187e-15   -1.098456e-15   -4.274544e-19
    1.000000e-02    4.812367e-01    1.112182e-10    4.747438e-12    7.859421e-13    8.170357e-15   -1.142010e-15   -4.421320e-19
    1.500000e-02    4.812367e-01    1.250228e-10    5.337369e-12    8.836044e-13    8.184077e-15   -1.187279e-15   -4.573510e-19
    2.000000e-02    4.812367e-01    1.405376e-10    6.000515e-12    9.933873e-13    8.199388e-15   -1.234317e-15   -4.731321e-19
    2.500000e-02    4.812367e-01    1.579740e-10    6.745946e-12    1.116792e-12    8.216330e-15   -1.283178e-15   -4.894965e-19
    3.000000e-02    4.812367e-01    1.775692e-10    7.583851e-12    1.255505e-12    8.234943e-15   -1.333918e-15   -5.064663e-19
    3.500000e-02    4.812367e-01    1.995895e-10    8.525678e-12    1.411422e-12    8.255269e-15   -1.386589e-15   -5.240645e-19
    4.000000e-02    4.812367e-01    2.243343e-10    9.584285e-12    1.586670e-12    8.277352e-15   -1.441249e-15   -5.423146e-19
    4.500000e-02    4.812367e-01    2.521392e-10    1.077412e-11    1.783641e-12    8.301232e-15   -1.497953e-15   -5.612411e-19
    5.000000e-02    4.812367e-01    2.833814e-10    1.211140e-11    2.005022e-12    8.326952e-15   -1.556757e-15   -5.808695e-19
    5.500000e-02    4.812367e-01    3.184839e-10    1.361436e-11    2.253827e-12    8.354554e-15   -1.617714e-15   -6.012258e-19
    6.000000e-02    4.812367e-01    3.579218e-10    1.530346e-11    2.533445e-12    8.384081e-15   -1.680880e-15   -6.223373e-19
    6.500000e-02    4.812367e-01    4.022281e-10    1.720169e-11    2.847680e-12    8.415573e-15   -1.746309e-15   -6.442320e-19
    7.000000e-02    4.812367e-01    4.520009e-10    1.933485e-11    3.200804e-12    8.449072e-15   -1.814054e-15   -6.669389e-19
    7.500000e-02    4.812367e-01    5.079112e-10    2.173192e-11    3.597611e-12    8.484619e-15   -1.884169e-15   -6.904878e-19
    8.000000e-02    4.812367e-01    5.707117e-10    2.442544e-11    4.043487e-12    8.522255e-15   -1.956704e-15   -7.149098e-19
    8.500000e-02    4.812367e-01    6.412468e-10    2.745193e-11    4.544475e-12    8.562018e-15   -2.031711e-15   -7.402368e-19
    9.000000e-02    4.812367e-01    7.204633e-10    3.085237e-11    5.107360e-12    8.603947e-15   -2.109238e-15   -7.665018e-19
    9.500000e-02    4.812367e-01    8.094230e-10    3.467279e-11    5.739754e-12    8.648079e-15   -2.189332e-15   -7.937389e-19
    1.000000e-01    4.812367e-01    9.093161e-10    3.896482e-11    6.450201e-12    8.694451e-15   -2.272041e-15   -8.219831e-19
    1.050000e-01    4.812367e-01    1.021477e-09    4.378639e-11    7.248288e-12    8.743097e-15   -2.357407e-15   -8.512708e-19
    1.100000e-01    4.812367e-01    1.147401e-09    4.920251e-11    8.144769e-12    8.794050e-15   -2.445473e-15   -8.816394e-19
    1.150000e-01    4.812367e-01    1.288762e-09    5.528611e-11    9.151707e-12    8.847343e-15   -2.536278e-15   -9.131274e-19
    1.200000e-01    4.812367e-01    1.447439e-09    6.211899e-11    1.028263e-11    8.903004e-15   -2.629859e-15   -9.457746e-19
    1.250000e-01    4.812367e-01    1.625534e-09    6.979286e-11    1.155271e-11    8.961061e-15   -2.726249e-15   -9.796220e-19
    1.300000e-01    4.812367e-01    1.825399e-09    7.841059e-11    1.297897e-11    9.021540e-15   -2.825481e-15   -1.014712e-18
    1.350000e-01    4.812367e-01    2.049670e-09    8.808750e-11    1.458045e-11    9.084464e-15   -2.927582e-15   -1.051087e-18
    1.400000e-01    4.812367e-01    2.301296e-09    9.895286e-11    1.637855e-11    9.149852e-15   -3.032577e-15   -1.088794e-18
    1.450000e-01    4.812367e-01    2.583577e-09    1.111515e-10    1.839719e-11    9.217724e-15   -3.140487e-15   -1.127877e-18
    1.500000e-01    4.812367e-01    2.900204e-09    1.248458e-10    2.066322e-11    9.288094e-15   -3.251329e-15   -1.168384e-18
    1.550000e-01    4.812367e-01    3.255304e-09    1.402177e-10    2.320667e-11    9.360974e-15   -3.365117e-15   -1.210365e-18
    1.600000e-01    4.812367e-01    3.653493e-09    1.574707e-10    2.606120e-11    9.436373e-15   -3.481860e-15   -1.253869e-18
    1.650000e-01    4.812367e-01    4.099926e-09    1.768330e-10    2.926447e-11    9.514296e-15   -3.601563e-15   -1.298947e-18
    1.700000e-01    4.812367e-01    4.600366e-09    1.985599e-10    3.285864e-11    9.594745e-15   -3.724228e-15   -1.345655e-18
    1.750000e-01    4.812367e-01    5.161247e-09    2.229373e-10    3.689088e-11    9.677720e-15   -3.849849e-15   -1.394044e-18
    1.800000e-01    4.812367e-01    5.789752e-09    2.502850e-10    4.141395e-11    9.763215e-15   -3.978419e-15   -1.444173e-18
    1.850000e-01    4.812367e-01    6.493897e-09    2.809609e-10    4.648686e-11    9.851221e-15   -4.109925e-15   -1.496099e-18
    1.900000e-01    4.812367e-01    7.282626e-09    3.153649e-10    5.217556e-11    9.941726e-15   -4.244347e-15   -1.549881e-18
    1.950000e-01    4.812367e-01    8.165910e-09    3.539446e-10    5.855374e-11    1.003471e-14   -4.381662e-15   -1.605579e-18
    2.000000e-01    4.812367e-01    9.154866e-09    3.972001e-10    6.570374e-11    1.013016e-14   -4.521842e-15   -1.663257e-18
    2.050000e-01    4.812367e-01    1.026188e-08    4.456900e-10    7.371746e-11    1.022805e-14   -4.664854e-15   -1.722979e-18
    2.100000e-01    4.812367e-01    1.150073e-08    5.000385e-10    8.269752e-11    1.032834e-14   -4.810658e-15   -1.784811e-18
    2.150000e-01    4.812367e-01    1.288678e-08    5.609425e-10    9.275838e-11    1.043101e-14   -4.959211e-15   -1.848821e-18
    2.200000e-01    4.812367e-01    1.443710e-08    6.291799e-10    1.040277e-10    1.053602e-14   -5.110464e-15   -1.915077e-18
    2.250000e-01    4.812367e-01    1.617069e-08    7.056188e-10    1.166477e-10    1.064333e-14   -5.264362e-15   -1.983652e-18
    2.300000e-01    4.812367e-01    1.810865e-08    7.912273e-10    1.307769e-10    1.075289e-14   -5.420846e-15   -2.054619e-18
    2.350000e-01    4.812367e-01    2.027442e-08    8.870849e-10    1.465919e-10    1.086465e-14   -5.579852e-15   -2.128053e-18
    2.400000e-01    4.812367e-01    2.269405e-08    9.943945e-10    1.642889e-10    1.097857e-14   -5.741309e-15   -2.204031e-18
    2.450000e-01    4.812367e-01    2.539642e-08    1.114496e-09    1.840863e-10    1.109457e-14   -5.905145e-15   -2.282631e-18
    2.500000e-01    4.812367e-01    2.841357e-08    1.248883e-09    2.062270e-10    1.121261e-14   -6.071279e-15   -2.363937e-18
    2.550000e-01    4.812367e-01    3.178101e-08    1.399216e-09    2.309805e-10    1.133262e-14   -6.239629e-15   -2.448029e-18
    2.600000e-01    4.812367e-01    3.553809e-08    1.567342e-09    2.586461e-10    1.145452e-14   -6.410106e-15   -2.534995e-18
    2.650000e-01    4.812367e-01    3.972838e-08    1.755318e-09    2.895556e-10    1.157826e-14   -6.582617e-15   -2.624922e-18
    2.700000e-01    4.812367e-01    4.440008e-08    1.965428e-09    3.240768e-10    1.170374e-14   -6.757068e-15   -2.717898e-18
    2.750000e-01    4.812367e-01    4.960653e-08    2.200210e-09    3.626170e-10    1.183091e-14   -6.933358e-15   -2.814017e-18
    2.800000e-01    4.812367e-01    5.540667e-08    2.462483e-09    4.056269e-10    1.195966e-14   -7.111382e-15   -2.913374e-18
    2.850000e-01    4.812367e-01    6.186564e-08    2.755374e-09    4.536046e-10    1.208992e-14   -7.291035e-15   -3.016064e-18
    2.900000e-01    4.812367e-01    6.905539e-08    3.082357e-09    5.071000e-10    1.222161e-14   -7.472207e-15   -3.122188e-18
    2.950000e-01    4.812367e-01    7.705532e-08    3.447278e-09    5.667202e-10    1.235463e-14   -7.654784e-15   -3.231846e-18
    3.000000e-01    4.812367e-01    8.595308e-08    3.854406e-09    6.331339e-10    1.248889e-14   -7.838651e-15   -3.345145e-18
    3.050000e-01    4.812367e-01    9.584533e-08    4.308466e-09    7.070776e-10    1.262430e-14   -8.023692e-15   -3.462191e-18
    3.100000e-01    4.812367e-01    1.068386e-07    4.814694e-09    7.893609e-10    1.276077e-14   -8.209787e-15   -3.583094e-18
    3.150000e-01    4.812367e-01    1.190505e-07    5.378883e-09    8.808733e-10    1.289820e-14   -8.396815e-15   -3.707967e-18
    3.200000e-01    4.812367e-01    1.326103e-07    6.007444e-09    9.825904e-10    1.303649e-14   -8.584655e-15   -3.836925e-18
    3.250000e-01    4.812367e-01    1.476609e-07    6.707470e-09    1.095581e-09    1.317554e-14   -8.773183e-15   -3.970088e-18
    3.300000e-01    4.812367e-01    1.643592e-07    7.486798e-09    1.221015e-09    1.331526e-14   -8.962277e-15   -4.107577e-18
    3.350000e-01    4.812367e-01    1.828783e-07    8.354095e-09    1.360169e-09    1.345554e-14   -9.151812e-15   -4.249518e-18
    3.400000e-01    4.812367e-01    2.034089e-07    9.318933e-09    1.514438e-09    1.359629e-14   -9.341665e-15   -4.396038e-18
    3.450000e-01    4.812367e-01    2.261609e-07    1.039188e-08    1.685340e-09    1.373741e-14   -9.531713e-15   -4.547269e-18
