# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: ss
# Temperature: 0 C
# W = 2.0 um
# L = 3.24 um (3240 nm)
# VDS = 0.6 V
# Columns: vgs [V]  vth [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]
#           vgs             vth              gm              id             gds             cgg             cgs             cgd
    0.000000e+00    5.947509e-01    1.454152e-13    4.844516e-15    7.753252e-16    1.362556e-14   -3.779084e-16   -1.301852e-19
    5.000000e-03    5.947509e-01    1.689607e-13    5.628984e-15    9.008728e-16    1.359331e-14   -3.919346e-16   -1.353356e-19
    1.000000e-02    5.947509e-01    1.963182e-13    6.540472e-15    1.046749e-15    1.356200e-14   -4.066372e-16   -1.406971e-19
    1.500000e-02    5.947509e-01    2.281048e-13    7.599542e-15    1.216244e-15    1.353165e-14   -4.220551e-16   -1.462793e-19
    2.000000e-02    5.947509e-01    2.650375e-13    8.830090e-15    1.413183e-15    1.350229e-14   -4.382292e-16   -1.520921e-19
    2.500000e-02    5.947509e-01    3.079492e-13    1.025987e-14    1.642009e-15    1.347395e-14   -4.552027e-16   -1.581461e-19
    3.000000e-02    5.947509e-01    3.578076e-13    1.192115e-14    1.907882e-15    1.344665e-14   -4.730205e-16   -1.644522e-19
    3.500000e-02    5.947509e-01    4.157370e-13    1.385139e-14    2.216802e-15    1.342043e-14   -4.917302e-16   -1.710221e-19
    4.000000e-02    5.947509e-01    4.830437e-13    1.609414e-14    2.575735e-15    1.339532e-14   -5.113842e-16   -1.778678e-19
    4.500000e-02    5.947509e-01    5.612452e-13    1.869997e-14    2.992777e-15    1.337136e-14   -5.320362e-16   -1.850022e-19
    5.000000e-02    5.947509e-01    6.521046e-13    2.172767e-14    3.477335e-15    1.334859e-14   -5.537427e-16   -1.924385e-19
    5.500000e-02    5.947509e-01    7.576699e-13    2.524551e-14    4.040337e-15    1.332704e-14   -5.765634e-16   -2.001910e-19
    6.000000e-02    5.947509e-01    8.803207e-13    2.933282e-14    4.694478e-15    1.330677e-14   -6.005608e-16   -2.082742e-19
    6.500000e-02    5.947509e-01    1.022821e-12    3.408178e-14    5.454508e-15    1.328781e-14   -6.258011e-16   -2.167038e-19
    7.000000e-02    5.947509e-01    1.188383e-12    3.959944e-14    6.337565e-15    1.327022e-14   -6.523536e-16   -2.254960e-19
    7.500000e-02    5.947509e-01    1.380736e-12    4.601023e-14    7.363558e-15    1.325405e-14   -6.802911e-16   -2.346678e-19
    8.000000e-02    5.947509e-01    1.604214e-12    5.345864e-14    8.555615e-15    1.323935e-14   -7.096902e-16   -2.442373e-19
    8.500000e-02    5.947509e-01    1.863851e-12    6.211259e-14    9.940608e-15    1.322618e-14   -7.406311e-16   -2.542231e-19
    9.000000e-02    5.947509e-01    2.165495e-12    7.216711e-14    1.154975e-14    1.321460e-14   -7.731981e-16   -2.646451e-19
    9.500000e-02    5.947509e-01    2.515938e-12    8.384881e-14    1.341931e-14    1.320468e-14   -8.074792e-16   -2.755240e-19
    1.000000e-01    5.947509e-01    2.923070e-12    9.742090e-14    1.559141e-14    1.319648e-14   -8.435668e-16   -2.868815e-19
    1.050000e-01    5.947509e-01    3.396055e-12    1.131892e-13    1.811499e-14    1.319007e-14   -8.815572e-16   -2.987405e-19
    1.100000e-01    5.947509e-01    3.945538e-12    1.315089e-13    2.104690e-14    1.318553e-14   -9.215512e-16   -3.111248e-19
    1.150000e-01    5.947509e-01    4.583882e-12    1.527925e-13    2.445318e-14    1.318294e-14   -9.636540e-16   -3.240597e-19
    1.200000e-01    5.947509e-01    5.325445e-12    1.775196e-13    2.841053e-14    1.318238e-14   -1.007975e-15   -3.375715e-19
    1.250000e-01    5.947509e-01    6.186905e-12    2.062467e-13    3.300806e-14    1.318392e-14   -1.054629e-15   -3.516877e-19
    1.300000e-01    5.947509e-01    7.187628e-12    2.396206e-13    3.834926e-14    1.318767e-14   -1.103733e-15   -3.664373e-19
    1.350000e-01    5.947509e-01    8.350103e-12    2.783923e-13    4.455435e-14    1.319371e-14   -1.155413e-15   -3.818507e-19
    1.400000e-01    5.947509e-01    9.700449e-12    3.234345e-13    5.176295e-14    1.320215e-14   -1.209794e-15   -3.979597e-19
    1.450000e-01    5.947509e-01    1.126899e-11    3.757602e-13    6.013723e-14    1.321307e-14   -1.267010e-15   -4.147975e-19
    1.500000e-01    5.947509e-01    1.309095e-11    4.365464e-13    6.986552e-14    1.322658e-14   -1.327198e-15   -4.323991e-19
    1.550000e-01    5.947509e-01    1.520720e-11    5.071598e-13    8.116656e-14    1.324280e-14   -1.390498e-15   -4.508010e-19
    1.600000e-01    5.947509e-01    1.766521e-11    5.891876e-13    9.429436e-14    1.326183e-14   -1.457058e-15   -4.700415e-19
    1.650000e-01    5.947509e-01    2.052010e-11    6.844729e-13    1.095439e-13    1.328378e-14   -1.527027e-15   -4.901606e-19
    1.700000e-01    5.947509e-01    2.383583e-11    7.951561e-13    1.272577e-13    1.330878e-14   -1.600560e-15   -5.112002e-19
    1.750000e-01    5.947509e-01    2.768665e-11    9.237224e-13    1.478335e-13    1.333694e-14   -1.677814e-15   -5.332040e-19
    1.800000e-01    5.947509e-01    3.215876e-11    1.073057e-12    1.717331e-13    1.336839e-14   -1.758952e-15   -5.562178e-19
    1.850000e-01    5.947509e-01    3.735218e-11    1.246511e-12    1.994926e-13    1.340326e-14   -1.844138e-15   -5.802896e-19
    1.900000e-01    5.947509e-01    4.338299e-11    1.447974e-12    2.317346e-13    1.344168e-14   -1.933541e-15   -6.054692e-19
    1.950000e-01    5.947509e-01    5.038587e-11    1.681960e-12    2.691816e-13    1.348377e-14   -2.027333e-15   -6.318089e-19
    2.000000e-01    5.947509e-01    5.851710e-11    1.953712e-12    3.126724e-13    1.352968e-14   -2.125686e-15   -6.593632e-19
    2.050000e-01    5.947509e-01    6.795797e-11    2.269312e-12    3.631806e-13    1.357954e-14   -2.228776e-15   -6.881889e-19
    2.100000e-01    5.947509e-01    7.891878e-11    2.635823e-12    4.218361e-13    1.363348e-14   -2.336778e-15   -7.183453e-19
    2.150000e-01    5.947509e-01    9.164341e-11    3.061438e-12    4.899502e-13    1.369164e-14   -2.449871e-15   -7.498941e-19
    2.200000e-01    5.947509e-01    1.064147e-10    3.555665e-12    5.690446e-13    1.375417e-14   -2.568232e-15   -7.828999e-19
