# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: 25C
# W = 2.0 um
# L = 4.68 um (4680 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Vov [V]
#         gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W             Vov
    2.767792e+01    2.251910e+02    1.356497e-08    6.135395e+00    9.739350e-09    1.677151e-13    4.260629e-10   -5.625955e-01
    2.767730e+01    2.251860e+02    1.557830e-08    7.057748e+00    9.722945e-09    1.739926e-13    4.429376e-10   -5.575955e-01
    2.767664e+01    2.251806e+02    1.789039e-08    8.117984e+00    9.707450e-09    1.805207e-13    4.606326e-10   -5.525955e-01
    2.767592e+01    2.251747e+02    2.054557e-08    9.336564e+00    9.692890e-09    1.873103e-13    4.791895e-10   -5.475955e-01
    2.767517e+01    2.251687e+02    2.359472e-08    1.073696e+01    9.679300e-09    1.943729e-13    4.986523e-10   -5.425955e-01
    2.767436e+01    2.251621e+02    2.709629e-08    1.234607e+01    9.666715e-09    2.017205e-13    5.190665e-10   -5.375955e-01
    2.767347e+01    2.251549e+02    3.111738e-08    1.419474e+01    9.655155e-09    2.093655e-13    5.404800e-10   -5.325955e-01
    2.767254e+01    2.251473e+02    3.573503e-08    1.631835e+01    9.644665e-09    2.173211e-13    5.629415e-10   -5.275955e-01
    2.767153e+01    2.251390e+02    4.103772e-08    1.875737e+01    9.635285e-09    2.256010e-13    5.865040e-10   -5.225955e-01
    2.767045e+01    2.251304e+02    4.712703e-08    2.155826e+01    9.627040e-09    2.342195e-13    6.112220e-10   -5.175955e-01
    2.766927e+01    2.251209e+02    5.411960e-08    2.477411e+01    9.619985e-09    2.431916e-13    6.371525e-10   -5.125955e-01
    2.766804e+01    2.251108e+02    6.214930e-08    2.846582e+01    9.614155e-09    2.525328e-13    6.643530e-10   -5.075955e-01
    2.766673e+01    2.251001e+02    7.136990e-08    3.270302e+01    9.609595e-09    2.622596e-13    6.928850e-10   -5.025955e-01
    2.766531e+01    2.250886e+02    8.195795e-08    3.756543e+01    9.606350e-09    2.723890e-13    7.228125e-10   -4.975955e-01
    2.766378e+01    2.250762e+02    9.411610e-08    4.314418e+01    9.604470e-09    2.829390e-13    7.542000e-10   -4.925955e-01
    2.766215e+01    2.250630e+02    1.080770e-07    4.954356e+01    9.604000e-09    2.939281e-13    7.871165e-10   -4.875955e-01
    2.766040e+01    2.250489e+02    1.241078e-07    5.688272e+01    9.605000e-09    3.053759e-13    8.216315e-10   -4.825955e-01
    2.765853e+01    2.250337e+02    1.425151e-07    6.529788e+01    9.607515e-09    3.173027e-13    8.578190e-10   -4.775955e-01
    2.765654e+01    2.250175e+02    1.636509e-07    7.494457e+01    9.611610e-09    3.297299e-13    8.957535e-10   -4.725955e-01
    2.765439e+01    2.250001e+02    1.879194e-07    8.600054e+01    9.617330e-09    3.426794e-13    9.355125e-10   -4.675955e-01
    2.765208e+01    2.249815e+02    2.157843e-07    9.866846e+01    9.624750e-09    3.561746e-13    9.771765e-10   -4.625955e-01
    2.764964e+01    2.249617e+02    2.477781e-07    1.131799e+02    9.633920e-09    3.702398e-13    1.020827e-09   -4.575955e-01
    2.764699e+01    2.249403e+02    2.845119e-07    1.297988e+02    9.644905e-09    3.848999e-13    1.066550e-09   -4.525955e-01
    2.764418e+01    2.249175e+02    3.266873e-07    1.488260e+02    9.657775e-09    4.001815e-13    1.114431e-09   -4.475955e-01
    2.764116e+01    2.248932e+02    3.751091e-07    1.706047e+02    9.672595e-09    4.161118e-13    1.164557e-09   -4.425955e-01
    2.763793e+01    2.248671e+02    4.307012e-07    1.955255e+02    9.689430e-09    4.327196e-13    1.217022e-09   -4.375955e-01
    2.763447e+01    2.248393e+02    4.945240e-07    2.240337e+02    9.708350e-09    4.500348e-13    1.271916e-09   -4.325955e-01
    2.763077e+01    2.248093e+02    5.677940e-07    2.566354e+02    9.729430e-09    4.680882e-13    1.329334e-09   -4.275955e-01
    2.762680e+01    2.247773e+02    6.519075e-07    2.939070e+02    9.752745e-09    4.869124e-13    1.389373e-09   -4.225955e-01
    2.762255e+01    2.247431e+02    7.484665e-07    3.365039e+02    9.778365e-09    5.065410e-13    1.452128e-09   -4.175955e-01
    2.761801e+01    2.247065e+02    8.593085e-07    3.851710e+02    9.806365e-09    5.270090e-13    1.517698e-09   -4.125955e-01
    2.761315e+01    2.246675e+02    9.865420e-07    4.407545e+02    9.836825e-09    5.483535e-13    1.586183e-09   -4.075955e-01
    2.760795e+01    2.246256e+02    1.132586e-06    5.042155e+02    9.869820e-09    5.706120e-13    1.657682e-09   -4.025955e-01
    2.760238e+01    2.245809e+02    1.300215e-06    5.766455e+02    9.905420e-09    5.938240e-13    1.732295e-09   -3.975955e-01
    2.759642e+01    2.245331e+02    1.492611e-06    6.592813e+02    9.943715e-09    6.180305e-13    1.810122e-09   -3.925955e-01
    2.759004e+01    2.244820e+02    1.713423e-06    7.535270e+02    9.984775e-09    6.432745e-13    1.891264e-09   -3.875955e-01
    2.758323e+01    2.244274e+02    1.966837e-06    8.609738e+02    1.002868e-08    6.696000e-13    1.975820e-09   -3.825955e-01
    2.757593e+01    2.243690e+02    2.257650e-06    9.834229e+02    1.007550e-08    6.970540e-13    2.063889e-09   -3.775955e-01
    2.756813e+01    2.243068e+02    2.591366e-06    1.122917e+03    1.012532e-08    7.256830e-13    2.155567e-09   -3.725955e-01
    2.755980e+01    2.242403e+02    2.974289e-06    1.281764e+03    1.017821e-08    7.555375e-13    2.250950e-09   -3.675955e-01
    2.755087e+01    2.241692e+02    3.413649e-06    1.462577e+03    1.023424e-08    7.866685e-13    2.350132e-09   -3.625955e-01
    2.754134e+01    2.240934e+02    3.917731e-06    1.668312e+03    1.029349e-08    8.191295e-13    2.453201e-09   -3.575955e-01
    2.753115e+01    2.240125e+02    4.496028e-06    1.902308e+03    1.035602e-08    8.529760e-13    2.560247e-09   -3.525955e-01
    2.752026e+01    2.239263e+02    5.159415e-06    2.168334e+03    1.042190e-08    8.882655e-13    2.671352e-09   -3.475955e-01
    2.750864e+01    2.238343e+02    5.920350e-06    2.470652e+03    1.049120e-08    9.250565e-13    2.786597e-09   -3.425955e-01
    2.749621e+01    2.237364e+02    6.793105e-06    2.814067e+03    1.056397e-08    9.634105e-13    2.906056e-09   -3.375955e-01
    2.748295e+01    2.236319e+02    7.794015e-06    3.203999e+03    1.064026e-08    1.003392e-12    3.029799e-09   -3.325955e-01
    2.746878e+01    2.235206e+02    8.941790e-06    3.646559e+03    1.072015e-08    1.045066e-12    3.157890e-09   -3.275955e-01
    2.745366e+01    2.234022e+02    1.025784e-05    4.148639e+03    1.080366e-08    1.088500e-12    3.290387e-09   -3.225955e-01
    2.743752e+01    2.232762e+02    1.176667e-05    4.717992e+03    1.089084e-08    1.133764e-12    3.427342e-09   -3.175955e-01
    2.742031e+01    2.231422e+02    1.349631e-05    5.363356e+03    1.098173e-08    1.180931e-12    3.568798e-09   -3.125955e-01
    2.740196e+01    2.229998e+02    1.547881e-05    6.094560e+03    1.107636e-08    1.230077e-12    3.714792e-09   -3.075955e-01
    2.738240e+01    2.228485e+02    1.775085e-05    6.922658e+03    1.117476e-08    1.281276e-12    3.865352e-09   -3.025955e-01
    2.736157e+01    2.226880e+02    2.035434e-05    7.860079e+03    1.127693e-08    1.334611e-12    4.020496e-09   -2.975955e-01
    2.733934e+01    2.225176e+02    2.333716e-05    8.920780e+03    1.138291e-08    1.390162e-12    4.180236e-09   -2.925955e-01
    2.731572e+01    2.223372e+02    2.675403e-05    1.012047e+04    1.149268e-08    1.448014e-12    4.344573e-09   -2.875955e-01
    2.729054e+01    2.221459e+02    3.066744e-05    1.147673e+04    1.160625e-08    1.508255e-12    4.513496e-09   -2.825955e-01
    2.726379e+01    2.219437e+02    3.514871e-05    1.300933e+04    1.172360e-08    1.570974e-12    4.686987e-09   -2.775955e-01
    2.723534e+01    2.217298e+02    4.027925e-05    1.474042e+04    1.184471e-08    1.636263e-12    4.865016e-09   -2.725955e-01
    2.720511e+01    2.215040e+02    4.615191e-05    1.669484e+04    1.196956e-08    1.704218e-12    5.047540e-09   -2.675955e-01
    2.717302e+01    2.212660e+02    5.287255e-05    1.890041e+04    1.209810e-08    1.774937e-12    5.234510e-09   -2.625955e-01
    2.713896e+01    2.210153e+02    6.056185e-05    2.138825e+04    1.223030e-08    1.848519e-12    5.425865e-09   -2.575955e-01
    2.710283e+01    2.207514e+02    6.935725e-05    2.419324e+04    1.236610e-08    1.925070e-12    5.621525e-09   -2.525955e-01
    2.706457e+01    2.204744e+02    7.941520e-05    2.735435e+04    1.250543e-08    2.004694e-12    5.821410e-09   -2.475955e-01
    2.702405e+01    2.201837e+02    9.091385e-05    3.091512e+04    1.264823e-08    2.087501e-12    6.025420e-09   -2.425955e-01
    2.698118e+01    2.198796e+02    1.040558e-04    3.492423e+04    1.279441e-08    2.173604e-12    6.233450e-09   -2.375955e-01
    2.693588e+01    2.195618e+02    1.190711e-04    3.943598e+04    1.294389e-08    2.263118e-12    6.445380e-09   -2.325955e-01
    2.688805e+01    2.192304e+02    1.362214e-04    4.451099e+04    1.309657e-08    2.356161e-12    6.661080e-09   -2.275955e-01
    2.683759e+01    2.188857e+02    1.558036e-04    5.021680e+04    1.325233e-08    2.452855e-12    6.880410e-09   -2.225955e-01
    2.678444e+01    2.185281e+02    1.781547e-04    5.662871e+04    1.341107e-08    2.553324e-12    7.103220e-09   -2.175955e-01
    2.672850e+01    2.181580e+02    2.036568e-04    6.383051e+04    1.357267e-08    2.657696e-12    7.329350e-09   -2.125955e-01
    2.666973e+01    2.177765e+02    2.327425e-04    7.191556e+04    1.373699e-08    2.766104e-12    7.558635e-09   -2.075955e-01
    2.660802e+01    2.173841e+02    2.659022e-04    8.098749e+04    1.390390e-08    2.878681e-12    7.790890e-09   -2.025955e-01
    2.654336e+01    2.169825e+02    3.036902e-04    9.116168e+04    1.407325e-08    2.995566e-12    8.025935e-09   -1.975955e-01
    2.647570e+01    2.165731e+02    3.467338e-04    1.025661e+05    1.424491e-08    3.116900e-12    8.263570e-09   -1.925955e-01
    2.640503e+01    2.161578e+02    3.957411e-04    1.153432e+05    1.441870e-08    3.242829e-12    8.503600e-09   -1.875955e-01
    2.633132e+01    2.157390e+02    4.515122e-04    1.296504e+05    1.459448e-08    3.373502e-12    8.745815e-09   -1.825955e-01
    2.625458e+01    2.153190e+02    5.149495e-04    1.456629e+05    1.477206e-08    3.509072e-12    8.990010e-09   -1.775955e-01
    2.617489e+01    2.149015e+02    5.870695e-04    1.635745e+05    1.495130e-08    3.649696e-12    9.235955e-09   -1.725955e-01
    2.609225e+01    2.144898e+02    6.690190e-04    1.836004e+05    1.513201e-08    3.795534e-12    9.483445e-09   -1.675955e-01
    2.600676e+01    2.140881e+02    7.620875e-04    2.059787e+05    1.531401e-08    3.946752e-12    9.732245e-09   -1.625955e-01
    2.591855e+01    2.137012e+02    8.677255e-04    2.309731e+05    1.549715e-08    4.103518e-12    9.982130e-09   -1.575955e-01
    2.582770e+01    2.133345e+02    9.875650e-04    2.588759e+05    1.568122e-08    4.266007e-12    1.023288e-08   -1.525955e-01
    2.573442e+01    2.129938e+02    1.123438e-03    2.900108e+05    1.586607e-08    4.434395e-12    1.048426e-08   -1.475955e-01
    2.563886e+01    2.126859e+02    1.277400e-03    3.247361e+05    1.605149e-08    4.608866e-12    1.073605e-08   -1.425955e-01
    2.554122e+01    2.124179e+02    1.451763e-03    3.634486e+05    1.623732e-08    4.789607e-12    1.098801e-08   -1.375955e-01
    2.544177e+01    2.121981e+02    1.649111e-03    4.065882e+05    1.642338e-08    4.976810e-12    1.123993e-08   -1.325955e-01
    2.534071e+01    2.120349e+02    1.872348e-03    4.546416e+05    1.660949e-08    5.170675e-12    1.149158e-08   -1.275955e-01
    2.523833e+01    2.119376e+02    2.124723e-03    5.081484e+05    1.679548e-08    5.371395e-12    1.174274e-08   -1.225955e-01
    2.513488e+01    2.119162e+02    2.409874e-03    5.677061e+05    1.698118e-08    5.579190e-12    1.199320e-08   -1.175955e-01
    2.503063e+01    2.119813e+02    2.731877e-03    6.339771e+05    1.716641e-08    5.794265e-12    1.224276e-08   -1.125955e-01
    2.492583e+01    2.121436e+02    3.095286e-03    7.076938e+05    1.735102e-08    6.016845e-12    1.249120e-08   -1.075955e-01
