# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: tt
# Temperature: 25 C
# W = 2.0 um
# L = 2.88 um (2880 nm)
# VDS = 0.6 V
# Columns: vgs [V]  vth [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]
#           vgs             vth              gm              id             gds             cgg             cgs             cgd
    0.000000e+00    5.488024e-01    2.344781e-12    8.682949e-14    1.361781e-14    1.236113e-14   -6.580114e-16   -2.563166e-19
    5.000000e-03    5.488024e-01    2.683667e-12    9.938156e-14    1.558640e-14    1.234451e-14   -6.846122e-16   -2.657729e-19
    1.000000e-02    5.488024e-01    3.071514e-12    1.137477e-13    1.783950e-14    1.232923e-14   -7.124976e-16   -2.756045e-19
    1.500000e-02    5.488024e-01    3.515392e-12    1.301900e-13    2.041821e-14    1.231535e-14   -7.417306e-16   -2.858276e-19
    2.000000e-02    5.488024e-01    4.023389e-12    1.490084e-13    2.336957e-14    1.230290e-14   -7.723767e-16   -2.964593e-19
    2.500000e-02    5.488024e-01    4.604761e-12    1.705461e-13    2.674741e-14    1.229194e-14   -8.045036e-16   -3.075172e-19
    3.000000e-02    5.488024e-01    5.270100e-12    1.951959e-13    3.061332e-14    1.228252e-14   -8.381808e-16   -3.190200e-19
    3.500000e-02    5.488024e-01    6.031524e-12    2.234072e-13    3.503780e-14    1.227469e-14   -8.734839e-16   -3.309868e-19
    4.000000e-02    5.488024e-01    6.902898e-12    2.556943e-13    4.010150e-14    1.226851e-14   -9.104894e-16   -3.434381e-19
    4.500000e-02    5.488024e-01    7.900084e-12    2.926457e-13    4.589673e-14    1.226403e-14   -9.492767e-16   -3.563948e-19
    5.000000e-02    5.488024e-01    9.041233e-12    3.349349e-13    5.252910e-14    1.226131e-14   -9.899279e-16   -3.698791e-19
    5.500000e-02    5.488024e-01    1.034711e-11    3.833324e-13    6.011945e-14    1.226042e-14   -1.032528e-15   -3.839140e-19
    6.000000e-02    5.488024e-01    1.184146e-11    4.387199e-13    6.880606e-14    1.226142e-14   -1.077165e-15   -3.985234e-19
    6.500000e-02    5.488024e-01    1.355146e-11    5.021062e-13    7.874714e-14    1.226437e-14   -1.123930e-15   -4.137326e-19
    7.000000e-02    5.488024e-01    1.550820e-11    5.746455e-13    9.012372e-14    1.226936e-14   -1.172916e-15   -4.295677e-19
    7.500000e-02    5.488024e-01    1.774723e-11    6.576585e-13    1.031429e-13    1.227644e-14   -1.224220e-15   -4.460559e-19
    8.000000e-02    5.488024e-01    2.030923e-11    7.526558e-13    1.180416e-13    1.228569e-14   -1.277941e-15   -4.632258e-19
    8.500000e-02    5.488024e-01    2.324069e-11    8.613661e-13    1.350910e-13    1.229719e-14   -1.334181e-15   -4.811071e-19
    9.000000e-02    5.488024e-01    2.659484e-11    9.857668e-13    1.546011e-13    1.231102e-14   -1.393045e-15   -4.997308e-19
    9.500000e-02    5.488024e-01    3.043251e-11    1.128120e-12    1.769267e-13    1.232726e-14   -1.454640e-15   -5.191291e-19
    1.000000e-01    5.488024e-01    3.482327e-11    1.291013e-12    2.024736e-13    1.234599e-14   -1.519075e-15   -5.393356e-19
    1.050000e-01    5.488024e-01    3.984670e-11    1.477406e-12    2.317061e-13    1.236730e-14   -1.586463e-15   -5.603856e-19
    1.100000e-01    5.488024e-01    4.559376e-11    1.690685e-12    2.651550e-13    1.239126e-14   -1.656917e-15   -5.823153e-19
    1.150000e-01    5.488024e-01    5.216847e-11    1.934723e-12    3.034278e-13    1.241798e-14   -1.730554e-15   -6.051630e-19
    1.200000e-01    5.488024e-01    5.968975e-11    2.213947e-12    3.472189e-13    1.244754e-14   -1.807491e-15   -6.289680e-19
