# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: tt
# Temperature: 25C
# W = 2.0 um
# L = 0.9 um (900 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Vov [V]
#         gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W             Vov
    2.822972e+01    1.611218e+02    3.853906e-08    9.358126e+01    1.850287e-09    1.960421e-14    5.323990e-11   -6.082981e-01
    2.822921e+01    1.611189e+02    4.438137e-08    1.080660e+02    1.845145e-09    2.032025e-14    5.512055e-11   -6.032981e-01
    2.822868e+01    1.611160e+02    5.110920e-08    1.247835e+02    1.840147e-09    2.106340e-14    5.709105e-11   -5.982981e-01
    2.822810e+01    1.611127e+02    5.885675e-08    1.440762e+02    1.835294e-09    2.183478e-14    5.915660e-11   -5.932981e-01
    2.822747e+01    1.611091e+02    6.777855e-08    1.663385e+02    1.830592e-09    2.263561e-14    6.132255e-11   -5.882981e-01
    2.822682e+01    1.611054e+02    7.805245e-08    1.920251e+02    1.826042e-09    2.346712e-14    6.359465e-11   -5.832981e-01
    2.822611e+01    1.611014e+02    8.988340e-08    2.216594e+02    1.821648e-09    2.433062e-14    6.597895e-11   -5.782981e-01
    2.822534e+01    1.610971e+02    1.035073e-07    2.558447e+02    1.817414e-09    2.522751e-14    6.848185e-11   -5.732981e-01
    2.822452e+01    1.610925e+02    1.191957e-07    2.952751e+02    1.813345e-09    2.615920e-14    7.111005e-11   -5.682981e-01
    2.822364e+01    1.610875e+02    1.372614e-07    3.407503e+02    1.809445e-09    2.712721e-14    7.387065e-11   -5.632981e-01
    2.822269e+01    1.610821e+02    1.580645e-07    3.931903e+02    1.805718e-09    2.813313e-14    7.677115e-11   -5.582981e-01
    2.822167e+01    1.610764e+02    1.820196e-07    4.536541e+02    1.802171e-09    2.917861e-14    7.981935e-11   -5.532981e-01
    2.822058e+01    1.610702e+02    2.096040e-07    5.233601e+02    1.798809e-09    3.026540e-14    8.302355e-11   -5.482981e-01
    2.821942e+01    1.610637e+02    2.413673e-07    6.037098e+02    1.795637e-09    3.139531e-14    8.639250e-11   -5.432981e-01
    2.821817e+01    1.610566e+02    2.779424e-07    6.963145e+02    1.792661e-09    3.257025e-14    8.993525e-11   -5.382981e-01
    2.821683e+01    1.610490e+02    3.200578e-07    8.030274e+02    1.789890e-09    3.379223e-14    9.366145e-11   -5.332981e-01
    2.821539e+01    1.610408e+02    3.685521e-07    9.259777e+02    1.787329e-09    3.506335e-14    9.758110e-11   -5.282981e-01
