# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: ff
# Temperature: 0 C
# W = 2.0 um
# L = 3.42 um (3420 nm)
# VDS = -0.6 V  (VSD = 0.6 V)
# Columns: vgs [V]  vth [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]
#            vgs             vth              gm              id             gds             cgg             cgs             cgd
   -1.800000e+00    1.034720e+00    2.767353e-05   -1.292214e-05    5.012876e-06    4.413789e-14   -4.054093e-14   -3.697097e-15
   -1.795000e+00    1.034720e+00    2.767111e-05   -1.278378e-05    4.823817e-06    4.405397e-14   -4.054542e-14   -3.585944e-15
   -1.790000e+00    1.034720e+00    2.766572e-05   -1.264543e-05    4.637843e-06    4.397114e-14   -4.054899e-14   -3.476920e-15
   -1.785000e+00    1.034720e+00    2.765723e-05   -1.250713e-05    4.455111e-06    4.388943e-14   -4.055164e-14   -3.370061e-15
   -1.780000e+00    1.034720e+00    2.764550e-05   -1.236887e-05    4.275780e-06    4.380885e-14   -4.055338e-14   -3.265397e-15
   -1.775000e+00    1.034720e+00    2.763039e-05   -1.223068e-05    4.100005e-06    4.372944e-14   -4.055421e-14   -3.162956e-15
   -1.770000e+00    1.034720e+00    2.761177e-05   -1.209257e-05    3.927939e-06    4.365122e-14   -4.055412e-14   -3.062760e-15
   -1.765000e+00    1.034720e+00    2.758950e-05   -1.195456e-05    3.759731e-06    4.357421e-14   -4.055313e-14   -2.964826e-15
   -1.760000e+00    1.034720e+00    2.756346e-05   -1.181668e-05    3.595523e-06    4.349841e-14   -4.055123e-14   -2.869168e-15
   -1.755000e+00    1.034720e+00    2.753352e-05   -1.167894e-05    3.435449e-06    4.342385e-14   -4.054843e-14   -2.775795e-15
   -1.750000e+00    1.034720e+00    2.749956e-05   -1.154135e-05    3.279636e-06    4.335053e-14   -4.054474e-14   -2.684713e-15
   -1.745000e+00    1.034720e+00    2.746148e-05   -1.140395e-05    3.128199e-06    4.327845e-14   -4.054016e-14   -2.595921e-15
   -1.740000e+00    1.034720e+00    2.741919e-05   -1.126674e-05    2.981241e-06    4.320762e-14   -4.053470e-14   -2.509416e-15
   -1.735000e+00    1.034720e+00    2.737258e-05   -1.112976e-05    2.838853e-06    4.313804e-14   -4.052838e-14   -2.425190e-15
   -1.730000e+00    1.034720e+00    2.732159e-05   -1.099303e-05    2.701111e-06    4.306972e-14   -4.052120e-14   -2.343234e-15
   -1.725000e+00    1.034720e+00    2.726615e-05   -1.085655e-05    2.568075e-06    4.300263e-14   -4.051317e-14   -2.263531e-15
   -1.720000e+00    1.034720e+00    2.720621e-05   -1.072037e-05    2.439790e-06    4.293678e-14   -4.050429e-14   -2.186064e-15
   -1.715000e+00    1.034720e+00    2.714172e-05   -1.058450e-05    2.316283e-06    4.287215e-14   -4.049459e-14   -2.110812e-15
   -1.710000e+00    1.034720e+00    2.707268e-05   -1.044896e-05    2.197564e-06    4.280874e-14   -4.048408e-14   -2.037751e-15
   -1.705000e+00    1.034720e+00    2.699906e-05   -1.031378e-05    2.083626e-06    4.274652e-14   -4.047275e-14   -1.966853e-15
   -1.700000e+00    1.034720e+00    2.692088e-05   -1.017898e-05    1.974444e-06    4.268549e-14   -4.046063e-14   -1.898088e-15
   -1.695000e+00    1.034720e+00    2.683816e-05   -1.004458e-05    1.869979e-06    4.262562e-14   -4.044773e-14   -1.831426e-15
   -1.690000e+00    1.034720e+00    2.675093e-05   -9.910605e-06    1.770173e-06    4.256689e-14   -4.043406e-14   -1.766831e-15
   -1.685000e+00    1.034720e+00    2.665923e-05   -9.777078e-06    1.674953e-06    4.250929e-14   -4.041963e-14   -1.704267e-15
   -1.680000e+00    1.034720e+00    2.656313e-05   -9.644020e-06    1.584233e-06    4.245278e-14   -4.040444e-14   -1.643698e-15
   -1.675000e+00    1.034720e+00    2.646271e-05   -9.511453e-06    1.497913e-06    4.239734e-14   -4.038852e-14   -1.585083e-15
   -1.670000e+00    1.034720e+00    2.635804e-05   -9.379400e-06    1.415883e-06    4.234295e-14   -4.037188e-14   -1.528381e-15
