# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: 0C
# W = 2.0 um
# L = 2.7 um (2700 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Vov [V]
#         gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W             Vov
    2.112327e+00    5.128586e+00    8.285875e+00    1.598021e+08    1.743159e-08    1.455281e-09    1.592907e-08   -2.832353e+00
    2.135068e+00    5.319403e+00    8.198355e+00    1.601169e+08    1.739888e-08    1.411683e-09    1.593097e-08   -2.827353e+00
    2.158084e+00    5.521287e+00    8.110835e+00    1.604130e+08    1.736659e-08    1.368918e-09    1.593250e-08   -2.822353e+00
    2.181374e+00    5.734987e+00    8.023320e+00    1.606894e+08    1.733474e-08    1.327000e-09    1.593368e-08   -2.817353e+00
    2.204933e+00    5.961293e+00    7.935820e+00    1.609450e+08    1.730334e-08    1.285941e-09    1.593450e-08   -2.812353e+00
    2.228755e+00    6.201043e+00    7.848345e+00    1.611789e+08    1.727239e-08    1.245751e-09    1.593495e-08   -2.807353e+00
    2.252834e+00    6.455125e+00    7.760905e+00    1.613900e+08    1.724190e-08    1.206439e-09    1.593506e-08   -2.802353e+00
    2.277167e+00    6.724485e+00    7.673510e+00    1.615774e+08    1.721188e-08    1.168012e-09    1.593480e-08   -2.797353e+00
    2.301745e+00    7.010107e+00    7.586170e+00    1.617401e+08    1.718234e-08    1.130475e-09    1.593419e-08   -2.792353e+00
    2.326563e+00    7.313039e+00    7.498900e+00    1.618771e+08    1.715328e-08    1.093831e-09    1.593323e-08   -2.787353e+00
    2.351615e+00    7.634368e+00    7.411705e+00    1.619875e+08    1.712470e-08    1.058083e-09    1.593192e-08   -2.782353e+00
    2.376893e+00    7.975247e+00    7.324605e+00    1.620705e+08    1.709661e-08    1.023230e-09    1.593027e-08   -2.777353e+00
    2.402389e+00    8.336869e+00    7.237615e+00    1.621252e+08    1.706901e-08    9.892710e-10    1.592827e-08   -2.772353e+00
    2.428100e+00    8.720481e+00    7.150735e+00    1.621510e+08    1.704190e-08    9.562035e-10    1.592592e-08   -2.767353e+00
    2.454017e+00    9.127376e+00    7.063990e+00    1.621470e+08    1.701527e-08    9.240230e-10    1.592325e-08   -2.762353e+00
    2.480134e+00    9.558893e+00    6.977390e+00    1.621128e+08    1.698913e-08    8.927240e-10    1.592023e-08   -2.757353e+00
    2.506448e+00    1.001641e+01    6.890945e+00    1.620478e+08    1.696347e-08    8.622990e-10    1.591690e-08   -2.752353e+00
    2.532951e+00    1.050135e+01    6.804675e+00    1.619514e+08    1.693829e-08    8.327400e-10    1.591324e-08   -2.747353e+00
    2.559639e+00    1.101517e+01    6.718590e+00    1.618235e+08    1.691358e-08    8.040375e-10    1.590925e-08   -2.742353e+00
    2.586508e+00    1.155936e+01    6.632710e+00    1.616637e+08    1.688934e-08    7.761810e-10    1.590496e-08   -2.737353e+00
    2.613560e+00    1.213543e+01    6.547040e+00    1.614719e+08    1.686556e-08    7.491590e-10    1.590035e-08   -2.732353e+00
    2.640787e+00    1.274492e+01    6.461605e+00    1.612480e+08    1.684223e-08    7.229590e-10    1.589543e-08   -2.727353e+00
    2.668193e+00    1.338937e+01    6.376410e+00    1.609920e+08    1.681936e-08    6.975680e-10    1.589021e-08   -2.722353e+00
    2.695776e+00    1.407038e+01    6.291475e+00    1.607041e+08    1.679692e-08    6.729715e-10    1.588470e-08   -2.717353e+00
    2.723540e+00    1.478948e+01    6.206810e+00    1.603845e+08    1.677491e-08    6.491555e-10    1.587889e-08   -2.712353e+00
    2.751484e+00    1.554827e+01    6.122435e+00    1.600334e+08    1.675332e-08    6.261045e-10    1.587280e-08   -2.707353e+00
    2.779616e+00    1.634831e+01    6.038355e+00    1.596513e+08    1.673213e-08    6.038025e-10    1.586642e-08   -2.702353e+00
    2.807938e+00    1.719116e+01    5.954595e+00    1.592387e+08    1.671135e-08    5.822330e-10    1.585976e-08   -2.697353e+00
    2.836457e+00    1.807838e+01    5.871160e+00    1.587959e+08    1.669095e-08    5.613800e-10    1.585282e-08   -2.692353e+00
    2.865182e+00    1.901148e+01    5.788065e+00    1.583237e+08    1.667093e-08    5.412260e-10    1.584561e-08   -2.687353e+00
    2.894119e+00    1.999200e+01    5.705325e+00    1.578227e+08    1.665128e-08    5.217545e-10    1.583813e-08   -2.682353e+00
    2.923279e+00    2.102140e+01    5.622950e+00    1.572935e+08    1.663197e-08    5.029480e-10    1.583040e-08   -2.677353e+00
    2.952671e+00    2.210114e+01    5.540955e+00    1.567370e+08    1.661300e-08    4.847887e-10    1.582239e-08   -2.672353e+00
    2.982306e+00    2.323266e+01    5.459350e+00    1.561538e+08    1.659437e-08    4.672595e-10    1.581413e-08   -2.667353e+00
    3.012198e+00    2.441736e+01    5.378145e+00    1.555448e+08    1.657604e-08    4.503428e-10    1.580562e-08   -2.662353e+00
    3.042362e+00    2.565661e+01    5.297350e+00    1.549107e+08    1.655801e-08    4.340213e-10    1.579684e-08   -2.657353e+00
    3.072804e+00    2.695171e+01    5.216985e+00    1.542523e+08    1.654028e-08    4.182776e-10    1.578782e-08   -2.652353e+00
    3.103548e+00    2.830398e+01    5.137045e+00    1.535705e+08    1.652282e-08    4.030944e-10    1.577856e-08   -2.647353e+00
    3.134601e+00    2.971473e+01    5.057555e+00    1.528661e+08    1.650562e-08    3.884547e-10    1.576904e-08   -2.642353e+00
    3.165982e+00    3.118515e+01    4.978517e+00    1.521398e+08    1.648867e-08    3.743416e-10    1.575928e-08   -2.637353e+00
    3.197708e+00    3.271648e+01    4.899940e+00    1.513926e+08    1.647195e-08    3.607387e-10    1.574927e-08   -2.632353e+00
    3.229794e+00    3.430989e+01    4.821834e+00    1.506251e+08    1.645546e-08    3.476294e-10    1.573902e-08   -2.627353e+00
    3.262259e+00    3.596657e+01    4.744207e+00    1.498381e+08    1.643916e-08    3.349976e-10    1.572853e-08   -2.622353e+00
    3.295119e+00    3.768765e+01    4.667068e+00    1.490325e+08    1.642307e-08    3.228276e-10    1.571779e-08   -2.617353e+00
    3.328392e+00    3.947425e+01    4.590424e+00    1.482088e+08    1.640716e-08    3.111040e-10    1.570682e-08   -2.612353e+00
    3.362098e+00    4.132750e+01    4.514283e+00    1.473679e+08    1.639141e-08    2.998115e-10    1.569559e-08   -2.607353e+00
    3.396254e+00    4.324851e+01    4.438652e+00    1.465104e+08    1.637582e-08    2.889353e-10    1.568412e-08   -2.602353e+00
    3.430882e+00    4.523838e+01    4.363537e+00    1.456370e+08    1.636036e-08    2.784610e-10    1.567241e-08   -2.597353e+00
    3.465998e+00    4.729820e+01    4.288946e+00    1.447482e+08    1.634503e-08    2.683744e-10    1.566045e-08   -2.592353e+00
    3.501626e+00    4.942908e+01    4.214885e+00    1.438448e+08    1.632982e-08    2.586620e-10    1.564824e-08   -2.587353e+00
    3.537785e+00    5.163214e+01    4.141358e+00    1.429273e+08    1.631471e-08    2.493102e-10    1.563577e-08   -2.582353e+00
    3.574494e+00    5.390850e+01    4.068374e+00    1.419961e+08    1.629968e-08    2.403061e-10    1.562306e-08   -2.577353e+00
    3.611778e+00    5.625929e+01    3.995937e+00    1.410520e+08    1.628472e-08    2.316372e-10    1.561008e-08   -2.572353e+00
    3.649656e+00    5.868571e+01    3.924052e+00    1.400954e+08    1.626983e-08    2.232910e-10    1.559685e-08   -2.567353e+00
    3.688153e+00    6.118891e+01    3.852724e+00    1.391267e+08    1.625499e-08    2.152559e-10    1.558336e-08   -2.562353e+00
    3.727290e+00    6.377013e+01    3.781959e+00    1.381464e+08    1.624017e-08    2.075203e-10    1.556958e-08   -2.557353e+00
    3.767091e+00    6.643062e+01    3.711761e+00    1.371549e+08    1.622538e-08    2.000730e-10    1.555555e-08   -2.552353e+00
