# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: fs
# Temperature: 75 C
# W = 2.0 um
# L = 1.62 um (1620 nm)
# VDS = -0.6 V  (VSD = 0.6 V)
# Columns: vgs [V]  vth [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]
#            vgs             vth              gm              id             gds             cgg             cgs             cgd
   -1.800000e+00    8.967508e-01    4.249507e-05   -2.792912e-05    1.949788e-05    2.200940e-14   -1.928027e-14   -2.914205e-15
   -1.795000e+00    8.967508e-01    4.258603e-05   -2.771642e-05    1.913729e-05    2.196616e-14   -1.929195e-14   -2.850109e-15
   -1.790000e+00    8.967508e-01    4.267603e-05   -2.750327e-05    1.877682e-05    2.192300e-14   -1.930327e-14   -2.786394e-15
   -1.785000e+00    8.967508e-01    4.276503e-05   -2.728966e-05    1.841654e-05    2.187993e-14   -1.931422e-14   -2.723098e-15
   -1.780000e+00    8.967508e-01    4.285298e-05   -2.707562e-05    1.805651e-05    2.183697e-14   -1.932480e-14   -2.660254e-15
   -1.775000e+00    8.967508e-01    4.293983e-05   -2.686113e-05    1.769678e-05    2.179416e-14   -1.933499e-14   -2.597899e-15
   -1.770000e+00    8.967508e-01    4.302552e-05   -2.664622e-05    1.733743e-05    2.175150e-14   -1.934478e-14   -2.536066e-15
   -1.765000e+00    8.967508e-01    4.310998e-05   -2.643088e-05    1.697852e-05    2.170902e-14   -1.943016e-14   -2.474791e-15
   -1.760000e+00    8.967508e-01    4.319316e-05   -2.621512e-05    1.662012e-05    2.166674e-14   -1.943709e-14   -2.414106e-15
   -1.755000e+00    8.967508e-01    4.327499e-05   -2.599895e-05    1.626233e-05    2.162468e-14   -1.944364e-14   -2.354046e-15
   -1.750000e+00    8.967508e-01    4.335539e-05   -2.578238e-05    1.590523e-05    2.158287e-14   -1.944979e-14   -2.294641e-15
   -1.745000e+00    8.967508e-01    4.343429e-05   -2.556540e-05    1.554890e-05    2.154133e-14   -1.945555e-14   -2.235923e-15
