# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: 75C
# W = 2.0 um
# L = 3.42 um (3420 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Vov [V]
#         gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W             Vov
    1.623971e+00    2.595705e+00    6.527660e+00    7.228507e+07    2.334035e-08    3.254390e-09    2.051070e-08   -2.712941e+00
    1.639775e+00    2.656959e+00    6.474615e+00    7.254825e+07    2.329117e-08    3.183308e-09    2.052258e-08   -2.707941e+00
    1.655815e+00    2.720786e+00    6.421495e+00    7.281055e+07    2.324202e-08    3.112571e-09    2.053408e-08   -2.702941e+00
    1.672099e+00    2.787335e+00    6.368290e+00    7.307174e+07    2.319292e-08    3.042221e-09    2.054519e-08   -2.697941e+00
    1.688628e+00    2.856769e+00    6.315010e+00    7.333164e+07    2.314391e-08    2.972299e-09    2.055590e-08   -2.692941e+00
    1.705405e+00    2.929258e+00    6.261655e+00    7.359005e+07    2.309499e-08    2.902845e-09    2.056620e-08   -2.687941e+00
    1.722435e+00    3.004987e+00    6.208225e+00    7.384669e+07    2.304620e-08    2.833903e-09    2.057607e-08   -2.682941e+00
    1.739721e+00    3.084152e+00    6.154720e+00    7.410132e+07    2.299758e-08    2.765511e-09    2.058552e-08   -2.677941e+00
    1.757264e+00    3.166967e+00    6.101150e+00    7.435370e+07    2.294913e-08    2.697711e-09    2.067631e-08   -2.672941e+00
    1.775069e+00    3.253657e+00    6.047510e+00    7.460355e+07    2.290089e-08    2.630543e-09    2.068260e-08   -2.667941e+00
    1.793138e+00    3.344466e+00    5.993800e+00    7.485056e+07    2.285288e-08    2.564045e-09    2.068846e-08   -2.662941e+00
    1.811473e+00    3.439656e+00    5.940030e+00    7.509448e+07    2.280514e-08    2.498257e-09    2.069390e-08   -2.657941e+00
    1.830077e+00    3.539509e+00    5.886200e+00    7.533498e+07    2.275768e-08    2.433214e-09    2.069891e-08   -2.652941e+00
    1.848952e+00    3.644323e+00    5.832310e+00    7.557172e+07    2.271052e-08    2.368954e-09    2.070346e-08   -2.647941e+00
    1.868099e+00    3.754421e+00    5.778365e+00    7.580437e+07    2.266369e-08    2.305511e-09    2.070757e-08   -2.642941e+00
    1.887520e+00    3.870153e+00    5.724365e+00    7.603260e+07    2.261722e-08    2.242921e-09    2.071120e-08   -2.637941e+00
    1.907215e+00    3.991888e+00    5.670320e+00    7.625604e+07    2.257112e-08    2.181213e-09    2.071438e-08   -2.632941e+00
    1.927187e+00    4.120026e+00    5.616225e+00    7.647431e+07    2.252542e-08    2.120419e-09    2.071708e-08   -2.627941e+00
    1.947435e+00    4.254996e+00    5.562085e+00    7.668700e+07    2.248014e-08    2.060568e-09    2.071930e-08   -2.622941e+00
    1.967960e+00    4.397255e+00    5.507905e+00    7.689374e+07    2.243530e-08    2.001687e-09    2.072103e-08   -2.617941e+00
    1.988759e+00    4.547296e+00    5.453690e+00    7.709411e+07    2.239090e-08    1.943801e-09    2.072229e-08   -2.612941e+00
    2.009832e+00    4.705647e+00    5.399445e+00    7.728768e+07    2.234698e-08    1.886934e-09    2.072304e-08   -2.607941e+00
    2.031177e+00    4.872868e+00    5.345175e+00    7.747398e+07    2.230354e-08    1.831105e-09    2.072330e-08   -2.602941e+00
    2.052794e+00    5.049568e+00    5.290880e+00    7.765263e+07    2.226062e-08    1.776337e-09    2.072306e-08   -2.597941e+00
    2.074680e+00    5.236389e+00    5.236565e+00    7.782317e+07    2.221820e-08    1.722643e-09    2.072231e-08   -2.592941e+00
    2.096830e+00    5.434019e+00    5.182240e+00    7.798512e+07    2.217630e-08    1.670040e-09    2.072108e-08   -2.587941e+00
    2.119243e+00    5.643193e+00    5.127905e+00    7.813801e+07    2.213494e-08    1.618541e-09    2.071933e-08   -2.582941e+00
    2.141914e+00    5.864691e+00    5.073565e+00    7.828138e+07    2.209413e-08    1.568156e-09    2.071709e-08   -2.577941e+00
    2.164837e+00    6.099347e+00    5.019235e+00    7.841480e+07    2.205387e-08    1.518894e-09    2.071434e-08   -2.572941e+00
    2.188010e+00    6.348044e+00    4.964911e+00    7.853779e+07    2.201417e-08    1.470760e-09    2.071109e-08   -2.567941e+00
    2.211426e+00    6.611717e+00    4.910603e+00    7.864987e+07    2.197503e-08    1.423760e-09    2.070734e-08   -2.562941e+00
    2.235080e+00    6.891360e+00    4.856319e+00    7.875062e+07    2.193645e-08    1.377895e-09    2.070310e-08   -2.557941e+00
    2.258966e+00    7.188019e+00    4.802063e+00    7.883960e+07    2.189844e-08    1.333166e-09    2.069836e-08   -2.552941e+00
    2.283077e+00    7.502796e+00    4.747844e+00    7.891638e+07    2.186100e-08    1.289571e-09    2.069313e-08   -2.547941e+00
    2.307408e+00    7.836856e+00    4.693669e+00    7.898055e+07    2.182413e-08    1.247106e-09    2.068740e-08   -2.542941e+00
    2.331953e+00    8.191415e+00    4.639545e+00    7.903175e+07    2.178782e-08    1.205766e-09    2.068119e-08   -2.537941e+00
    2.356706e+00    8.567755e+00    4.585479e+00    7.906963e+07    2.175206e-08    1.165543e-09    2.067449e-08   -2.532941e+00
    2.381658e+00    8.967198e+00    4.531481e+00    7.909380e+07    2.171687e-08    1.126430e-09    2.066732e-08   -2.527941e+00
    2.406808e+00    9.391144e+00    4.477557e+00    7.910406e+07    2.168223e-08    1.088416e-09    2.065966e-08   -2.522941e+00
    2.432147e+00    9.841031e+00    4.423718e+00    7.910009e+07    2.164813e-08    1.051488e-09    2.065153e-08   -2.517941e+00
    2.457672e+00    1.031836e+01    4.369969e+00    7.908170e+07    2.161456e-08    1.015635e-09    2.064294e-08   -2.512941e+00
    2.483376e+00    1.082466e+01    4.316321e+00    7.904866e+07    2.158152e-08    9.808410e-10    2.063388e-08   -2.507941e+00
    2.509260e+00    1.136152e+01    4.262782e+00    7.900087e+07    2.154899e-08    9.470905e-10    2.062436e-08   -2.502941e+00
    2.535316e+00    1.193059e+01    4.209359e+00    7.893819e+07    2.151697e-08    9.143685e-10    2.061438e-08   -2.497941e+00
    2.561545e+00    1.253353e+01    4.156064e+00    7.886062e+07    2.148543e-08    8.826560e-10    2.060395e-08   -2.492941e+00
    2.587946e+00    1.317204e+01    4.102903e+00    7.876814e+07    2.145438e-08    8.519350e-10    2.059307e-08   -2.487941e+00
    2.614517e+00    1.384786e+01    4.049886e+00    7.866073e+07    2.142380e-08    8.221875e-10    2.058174e-08   -2.482941e+00
    2.641260e+00    1.456274e+01    3.997021e+00    7.853851e+07    2.139365e-08    7.933925e-10    2.056997e-08   -2.477941e+00
    2.668176e+00    1.531846e+01    3.944317e+00    7.840154e+07    2.136396e-08    7.655300e-10    2.055777e-08   -2.472941e+00
    2.695269e+00    1.611683e+01    3.891783e+00    7.825005e+07    2.133468e-08    7.385800e-10    2.054512e-08   -2.467941e+00
    2.722543e+00    1.695964e+01    3.839425e+00    7.808418e+07    2.130581e-08    7.125205e-10    2.053205e-08   -2.462941e+00
    2.750001e+00    1.784870e+01    3.787255e+00    7.790413e+07    2.127733e-08    6.873305e-10    2.051855e-08   -2.457941e+00
    2.777652e+00    1.878580e+01    3.735279e+00    7.771022e+07    2.124922e-08    6.629885e-10    2.050462e-08   -2.452941e+00
    2.805501e+00    1.977276e+01    3.683505e+00    7.750264e+07    2.122146e-08    6.394725e-10    2.049026e-08   -2.447941e+00
    2.833557e+00    2.081136e+01    3.631941e+00    7.728175e+07    2.119405e-08    6.167605e-10    2.047549e-08   -2.442941e+00
    2.861830e+00    2.190340e+01    3.580594e+00    7.704788e+07    2.116695e-08    5.948305e-10    2.046030e-08   -2.437941e+00
    2.890327e+00    2.305061e+01    3.529473e+00    7.680132e+07    2.114016e-08    5.736610e-10    2.044468e-08   -2.432941e+00
    2.919061e+00    2.425475e+01    3.478583e+00    7.654242e+07    2.111365e-08    5.532300e-10    2.042864e-08   -2.427941e+00
    2.948042e+00    2.551753e+01    3.427933e+00    7.627156e+07    2.108742e-08    5.335165e-10    2.041219e-08   -2.422941e+00
    2.977284e+00    2.684065e+01    3.377528e+00    7.598913e+07    2.106143e-08    5.144980e-10    2.039532e-08   -2.417941e+00
    3.006797e+00    2.822577e+01    3.327377e+00    7.569546e+07    2.103567e-08    4.961542e-10    2.037803e-08   -2.412941e+00
    3.036597e+00    2.967455e+01    3.277483e+00    7.539093e+07    2.101013e-08    4.784637e-10    2.036032e-08   -2.407941e+00
    3.066698e+00    3.118859e+01    3.227855e+00    7.507596e+07    2.098477e-08    4.614060e-10    2.034220e-08   -2.402941e+00
    3.097114e+00    3.276948e+01    3.178497e+00    7.475085e+07    2.095960e-08    4.449609e-10    2.032364e-08   -2.397941e+00
    3.127858e+00    3.441876e+01    3.129415e+00    7.441599e+07    2.093457e-08    4.291085e-10    2.030468e-08   -2.392941e+00
    3.158948e+00    3.613798e+01    3.080614e+00    7.407170e+07    2.090969e-08    4.138291e-10    2.028528e-08   -2.387941e+00
    3.190398e+00    3.792864e+01    3.032102e+00    7.371838e+07    2.088493e-08    3.991036e-10    2.026545e-08   -2.382941e+00
    3.222226e+00    3.979223e+01    2.983880e+00    7.335634e+07    2.086026e-08    3.849134e-10    2.024521e-08   -2.377941e+00
    3.254448e+00    4.173023e+01    2.935955e+00    7.298594e+07    2.083569e-08    3.712401e-10    2.022452e-08   -2.372941e+00
    3.287080e+00    4.374406e+01    2.888333e+00    7.260744e+07    2.081117e-08    3.580660e-10    2.020339e-08   -2.367941e+00
    3.320139e+00    4.583514e+01    2.841015e+00    7.222115e+07    2.078670e-08    3.453735e-10    2.018182e-08   -2.362941e+00
    3.353645e+00    4.800494e+01    2.794008e+00    7.182741e+07    2.076226e-08    3.331459e-10    2.015980e-08   -2.357941e+00
    3.387612e+00    5.025482e+01    2.747316e+00    7.142647e+07    2.073783e-08    3.213665e-10    2.013734e-08   -2.352941e+00
    3.422061e+00    5.258619e+01    2.700941e+00    7.101857e+07    2.071339e-08    3.100194e-10    2.011441e-08   -2.347941e+00
