# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: sf
# Temperature: 75 C
# W = 2.0 um
# L = 2.52 um (2520 nm)
# VDS = -0.6 V  (VSD = 0.6 V)
# Columns: vgs [V]  vth [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]
#            vgs             vth              gm              id             gds             cgg             cgs             cgd
   -1.800000e+00    9.738141e-01    2.486794e-05   -1.282776e-05    6.408134e-06    2.914124e-14   -2.643896e-14   -2.758052e-15
   -1.795000e+00    9.738141e-01    2.486865e-05   -1.270341e-05    6.223918e-06    2.908674e-14   -2.644309e-14   -2.682928e-15
   -1.790000e+00    9.738141e-01    2.486793e-05   -1.257907e-05    6.041181e-06    2.903275e-14   -2.644664e-14   -2.608955e-15
   -1.785000e+00    9.738141e-01    2.486571e-05   -1.245474e-05    5.860019e-06    2.897928e-14   -2.644959e-14   -2.536165e-15
   -1.780000e+00    9.738141e-01    2.486191e-05   -1.233042e-05    5.680529e-06    2.892636e-14   -2.645194e-14   -2.464585e-15
   -1.775000e+00    9.738141e-01    2.485644e-05   -1.220612e-05    5.502816e-06    2.887400e-14   -2.645368e-14   -2.394242e-15
   -1.770000e+00    9.738141e-01    2.484922e-05   -1.208186e-05    5.326986e-06    2.882222e-14   -2.645481e-14   -2.325162e-15
   -1.765000e+00    9.738141e-01    2.484016e-05   -1.195763e-05    5.153147e-06    2.877104e-14   -2.645533e-14   -2.257365e-15
   -1.760000e+00    9.738141e-01    2.482917e-05   -1.183346e-05    4.981414e-06    2.872047e-14   -2.645524e-14   -2.190871e-15
   -1.755000e+00    9.738141e-01    2.481614e-05   -1.170934e-05    4.811902e-06    2.867052e-14   -2.645453e-14   -2.125698e-15
   -1.750000e+00    9.738141e-01    2.480100e-05   -1.158530e-05    4.644729e-06    2.862122e-14   -2.645320e-14   -2.061859e-15
   -1.745000e+00    9.738141e-01    2.478362e-05   -1.146134e-05    4.480013e-06    2.857256e-14   -2.645126e-14   -1.999367e-15
   -1.740000e+00    9.738141e-01    2.476393e-05   -1.133747e-05    4.317877e-06    2.852455e-14   -2.644870e-14   -1.938233e-15
   -1.735000e+00    9.738141e-01    2.474181e-05   -1.121370e-05    4.158441e-06    2.847721e-14   -2.644553e-14   -1.878462e-15
   -1.730000e+00    9.738141e-01    2.471715e-05   -1.109005e-05    4.001825e-06    2.843053e-14   -2.644174e-14   -1.820060e-15
   -1.725000e+00    9.738141e-01    2.468988e-05   -1.096653e-05    3.848149e-06    2.838453e-14   -2.643734e-14   -1.763030e-15
   -1.720000e+00    9.738141e-01    2.465987e-05   -1.084316e-05    3.697529e-06    2.833920e-14   -2.643234e-14   -1.707372e-15
   -1.715000e+00    9.738141e-01    2.462703e-05   -1.071994e-05    3.550080e-06    2.829454e-14   -2.642672e-14   -1.653083e-15
   -1.710000e+00    9.738141e-01    2.459128e-05   -1.059689e-05    3.405911e-06    2.825056e-14   -2.642051e-14   -1.600161e-15
   -1.705000e+00    9.738141e-01    2.455251e-05   -1.047403e-05    3.265126e-06    2.820724e-14   -2.641370e-14   -1.548598e-15
   -1.700000e+00    9.738141e-01    2.451064e-05   -1.035137e-05    3.127824e-06    2.816459e-14   -2.640629e-14   -1.498386e-15
