# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: 75C
# W = 2.0 um
# L = 2.34 um (2340 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Vov [V]
#         gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W             Vov
    1.930655e+00    3.819160e+00    6.888055e+00    1.561272e+08    1.355634e-08    1.278542e-09    1.227928e-08   -2.772825e+00
    1.949616e+00    3.930820e+00    6.821560e+00    1.564291e+08    1.353117e-08    1.243743e-09    1.228122e-08   -2.767825e+00
    1.968840e+00    4.048015e+00    6.755060e+00    1.567205e+08    1.350623e-08    1.209480e-09    1.228290e-08   -2.762825e+00
    1.988326e+00    4.171093e+00    6.688565e+00    1.570008e+08    1.348152e-08    1.175765e-09    1.228430e-08   -2.757825e+00
    2.008079e+00    4.300425e+00    6.622070e+00    1.572693e+08    1.345708e-08    1.142612e-09    1.228542e-08   -2.752825e+00
    2.028094e+00    4.436407e+00    6.555590e+00    1.575254e+08    1.343289e-08    1.110032e-09    1.228626e-08   -2.747825e+00
    2.048373e+00    4.579459e+00    6.489120e+00    1.577682e+08    1.340897e-08    1.078039e-09    1.228682e-08   -2.742825e+00
    2.068914e+00    4.730031e+00    6.422670e+00    1.579971e+08    1.338533e-08    1.046640e-09    1.228709e-08   -2.737825e+00
    2.089719e+00    4.888600e+00    6.356240e+00    1.582114e+08    1.336197e-08    1.015845e-09    1.228708e-08   -2.732825e+00
    2.110782e+00    5.055677e+00    6.289845e+00    1.584102e+08    1.333891e-08    9.856620e-10    1.228679e-08   -2.727825e+00
    2.132103e+00    5.231794e+00    6.223480e+00    1.585928e+08    1.331614e-08    9.560975e-10    1.228620e-08   -2.722825e+00
    2.153681e+00    5.417529e+00    6.157155e+00    1.587585e+08    1.329366e-08    9.271570e-10    1.228533e-08   -2.717825e+00
    2.175510e+00    5.613481e+00    6.090875e+00    1.589063e+08    1.327150e-08    8.988450e-10    1.228418e-08   -2.712825e+00
    2.197588e+00    5.820294e+00    6.024650e+00    1.590357e+08    1.324963e-08    8.711650e-10    1.228274e-08   -2.707825e+00
    2.219913e+00    6.038642e+00    5.958480e+00    1.591457e+08    1.322808e-08    8.441185e-10    1.228102e-08   -2.702825e+00
    2.242478e+00    6.269237e+00    5.892380e+00    1.592356e+08    1.320684e-08    8.177070e-10    1.227901e-08   -2.697825e+00
    2.265279e+00    6.512826e+00    5.826350e+00    1.593047e+08    1.318590e-08    7.919310e-10    1.227672e-08   -2.692825e+00
    2.288313e+00    6.770193e+00    5.760400e+00    1.593522e+08    1.316529e-08    7.667885e-10    1.227416e-08   -2.687825e+00
    2.311575e+00    7.042163e+00    5.694535e+00    1.593774e+08    1.314498e-08    7.422785e-10    1.227131e-08   -2.682825e+00
    2.335060e+00    7.329598e+00    5.628765e+00    1.593796e+08    1.312498e-08    7.183980e-10    1.226818e-08   -2.677825e+00
    2.358760e+00    7.633386e+00    5.563100e+00    1.593582e+08    1.310529e-08    6.951425e-10    1.226478e-08   -2.672825e+00
