# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: ss
# Temperature: 0 C
# W = 2.0 um
# L = 2.7 um (2700 nm)
# VDS = -0.6 V  (VSD = 0.6 V)
# Columns: vgs [V]  vth [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]
#            vgs             vth              gm              id             gds             cgg             cgs             cgd
   -1.800000e+00    1.083022e+00    2.950757e-05   -1.224847e-05    3.164518e-06    3.110971e-14   -2.907015e-14   -1.647671e-15
   -1.795000e+00    1.083022e+00    2.945011e-05   -1.210107e-05    3.018521e-06    3.106549e-14   -2.906528e-14   -1.593285e-15
   -1.790000e+00    1.083022e+00    2.938818e-05   -1.195397e-05    2.877382e-06    3.102207e-14   -2.905982e-14   -1.540388e-15
   -1.785000e+00    1.083022e+00    2.932175e-05   -1.180720e-05    2.741137e-06    3.097944e-14   -2.905379e-14   -1.488964e-15
   -1.780000e+00    1.083022e+00    2.925077e-05   -1.166076e-05    2.609805e-06    3.093760e-14   -2.904719e-14   -1.438997e-15
   -1.775000e+00    1.083022e+00    2.917524e-05   -1.151470e-05    2.483389e-06    3.089653e-14   -2.904002e-14   -1.390469e-15
   -1.770000e+00    1.083022e+00    2.909515e-05   -1.136902e-05    2.361874e-06    3.085622e-14   -2.903230e-14   -1.343360e-15
   -1.765000e+00    1.083022e+00    2.901050e-05   -1.122375e-05    2.245231e-06    3.081667e-14   -2.902403e-14   -1.297650e-15
   -1.760000e+00    1.083022e+00    2.892134e-05   -1.107892e-05    2.133414e-06    3.077786e-14   -2.901522e-14   -1.253315e-15
   -1.755000e+00    1.083022e+00    2.882768e-05   -1.093455e-05    2.026363e-06    3.073977e-14   -2.900588e-14   -1.210333e-15
   -1.750000e+00    1.083022e+00    2.872958e-05   -1.079065e-05    1.924002e-06    3.070240e-14   -2.899602e-14   -1.168679e-15
   -1.745000e+00    1.083022e+00    2.862709e-05   -1.064726e-05    1.826245e-06    3.066572e-14   -2.898564e-14   -1.128327e-15
   -1.740000e+00    1.083022e+00    2.852030e-05   -1.050439e-05    1.732991e-06    3.062971e-14   -2.897475e-14   -1.089252e-15
   -1.735000e+00    1.083022e+00    2.840927e-05   -1.036206e-05    1.644130e-06    3.059437e-14   -2.896337e-14   -1.051425e-15
   -1.730000e+00    1.083022e+00    2.829409e-05   -1.022030e-05    1.559542e-06    3.055968e-14   -2.895150e-14   -1.014819e-15
   -1.725000e+00    1.083022e+00    2.817487e-05   -1.007913e-05    1.479099e-06    3.052561e-14   -2.893914e-14   -9.794073e-16
   -1.720000e+00    1.083022e+00    2.805170e-05   -9.938559e-06    1.402666e-06    3.049214e-14   -2.892630e-14   -9.451601e-16
   -1.715000e+00    1.083022e+00    2.792468e-05   -9.798616e-06    1.330105e-06    3.045926e-14   -2.891299e-14   -9.120490e-16
   -1.710000e+00    1.083022e+00    2.779394e-05   -9.659318e-06    1.261270e-06    3.042695e-14   -2.889922e-14   -8.800453e-16
   -1.705000e+00    1.083022e+00    2.765958e-05   -9.520683e-06    1.196016e-06    3.039518e-14   -2.888499e-14   -8.491198e-16
   -1.700000e+00    1.083022e+00    2.752173e-05   -9.382728e-06    1.134194e-06    3.036394e-14   -2.887030e-14   -8.192436e-16
   -1.695000e+00    1.083022e+00    2.738049e-05   -9.245471e-06    1.075656e-06    3.033321e-14   -2.885517e-14   -7.903879e-16
   -1.690000e+00    1.083022e+00    2.723600e-05   -9.108929e-06    1.020255e-06    3.030295e-14   -2.883959e-14   -7.625237e-16
   -1.685000e+00    1.083022e+00    2.708836e-05   -8.973117e-06    9.678434e-07    3.027317e-14   -2.882357e-14   -7.356225e-16
   -1.680000e+00    1.083022e+00    2.693770e-05   -8.838050e-06    9.182775e-07    3.024382e-14   -2.880712e-14   -7.096559e-16
   -1.675000e+00    1.083022e+00    2.678412e-05   -8.703745e-06    8.714163e-07    3.021489e-14   -2.879024e-14   -6.845959e-16
   -1.670000e+00    1.083022e+00    2.662775e-05   -8.570214e-06    8.271220e-07    3.018636e-14   -2.877293e-14   -6.604149e-16
   -1.665000e+00    1.083022e+00    2.646870e-05   -8.437471e-06    7.852609e-07    3.015821e-14   -2.875519e-14   -6.370855e-16
   -1.660000e+00    1.083022e+00    2.630706e-05   -8.305531e-06    7.457038e-07    3.013041e-14   -2.873702e-14   -6.145810e-16
   -1.655000e+00    1.083022e+00    2.614295e-05   -8.174405e-06    7.083259e-07    3.010295e-14   -2.871843e-14   -5.928748e-16
   -1.650000e+00    1.083022e+00    2.597647e-05   -8.044105e-06    6.730076e-07    3.007580e-14   -2.869942e-14   -5.719412e-16
   -1.645000e+00    1.083022e+00    2.580771e-05   -7.914644e-06    6.396339e-07    3.004893e-14   -2.867998e-14   -5.517548e-16
   -1.640000e+00    1.083022e+00    2.563677e-05   -7.786032e-06    6.080953e-07    3.002234e-14   -2.866012e-14   -5.322907e-16
   -1.635000e+00    1.083022e+00    2.546374e-05   -7.658280e-06    5.782871e-07    2.999599e-14   -2.863984e-14   -5.135248e-16
   -1.630000e+00    1.083022e+00    2.528869e-05   -7.531398e-06    5.501099e-07    2.996987e-14   -2.861913e-14   -4.954333e-16
   -1.625000e+00    1.083022e+00    2.511172e-05   -7.405396e-06    5.234692e-07    2.994395e-14   -2.859799e-14   -4.779932e-16
   -1.620000e+00    1.083022e+00    2.493290e-05   -7.280284e-06    4.982755e-07    2.991821e-14   -2.857642e-14   -4.611819e-16
   -1.615000e+00    1.083022e+00    2.475231e-05   -7.156070e-06    4.744441e-07    2.989264e-14   -2.855442e-14   -4.449776e-16
   -1.610000e+00    1.083022e+00    2.457001e-05   -7.032764e-06    4.518949e-07    2.986720e-14   -2.853198e-14   -4.293590e-16
   -1.605000e+00    1.083022e+00    2.438606e-05   -6.910373e-06    4.305524e-07    2.984188e-14   -2.850909e-14   -4.143053e-16
   -1.600000e+00    1.083022e+00    2.420055e-05   -6.788906e-06    4.103454e-07    2.981665e-14   -2.848576e-14   -3.997965e-16
   -1.595000e+00    1.083022e+00    2.401351e-05   -6.668370e-06    3.912069e-07    2.979151e-14   -2.846198e-14   -3.858131e-16
   -1.590000e+00    1.083022e+00    2.382501e-05   -6.548773e-06    3.730737e-07    2.976641e-14   -2.843773e-14   -3.723362e-16
   -1.585000e+00    1.083022e+00    2.363511e-05   -6.430122e-06    3.558866e-07    2.974135e-14   -2.841301e-14   -3.593474e-16
   -1.580000e+00    1.083022e+00    2.344384e-05   -6.312424e-06    3.395899e-07    2.971630e-14   -2.838783e-14   -3.468291e-16
   -1.575000e+00    1.083022e+00    2.325126e-05   -6.195686e-06    3.241311e-07    2.969123e-14   -2.836215e-14   -3.347641e-16
   -1.570000e+00    1.083022e+00    2.305742e-05   -6.079914e-06    3.094613e-07    2.966614e-14   -2.833599e-14   -3.231357e-16
   -1.565000e+00    1.083022e+00    2.286234e-05   -5.965114e-06    2.955343e-07    2.964099e-14   -2.830932e-14   -3.119280e-16
   -1.560000e+00    1.083022e+00    2.266608e-05   -5.851292e-06    2.823070e-07    2.961576e-14   -2.828213e-14   -3.011254e-16
   -1.555000e+00    1.083022e+00    2.246866e-05   -5.738455e-06    2.697388e-07    2.959044e-14   -2.825443e-14   -2.907130e-16
   -1.550000e+00    1.083022e+00    2.227013e-05   -5.626607e-06    2.577917e-07    2.956499e-14   -2.822618e-14   -2.806763e-16
   -1.545000e+00    1.083022e+00    2.207051e-05   -5.515755e-06    2.464303e-07    2.953941e-14   -2.819739e-14   -2.710014e-16
   -1.540000e+00    1.083022e+00    2.186983e-05   -5.405904e-06    2.356210e-07    2.951366e-14   -2.816803e-14   -2.616748e-16
   -1.535000e+00    1.083022e+00    2.166813e-05   -5.297059e-06    2.253327e-07    2.948772e-14   -2.813810e-14   -2.526835e-16
   -1.530000e+00    1.083022e+00    2.146542e-05   -5.189224e-06    2.155360e-07    2.946158e-14   -2.810757e-14   -2.440150e-16
   -1.525000e+00    1.083022e+00    2.126173e-05   -5.082406e-06    2.062035e-07    2.943520e-14   -2.807644e-14   -2.356573e-16
   -1.520000e+00    1.083022e+00    2.105708e-05   -4.976609e-06    1.973094e-07    2.940856e-14   -2.804468e-14   -2.275987e-16
   -1.515000e+00    1.083022e+00    2.085150e-05   -4.871837e-06    1.888296e-07    2.938165e-14   -2.801228e-14   -2.198280e-16
   -1.510000e+00    1.083022e+00    2.064500e-05   -4.768095e-06    1.807415e-07    2.935443e-14   -2.797921e-14   -2.123346e-16
   -1.505000e+00    1.083022e+00    2.043761e-05   -4.665388e-06    1.730237e-07    2.932688e-14   -2.794547e-14   -2.051080e-16
   -1.500000e+00    1.083022e+00    2.022933e-05   -4.563721e-06    1.656565e-07    2.929898e-14   -2.791102e-14   -1.981381e-16
   -1.495000e+00    1.083022e+00    2.002018e-05   -4.463096e-06    1.586211e-07    2.927070e-14   -2.787586e-14   -1.914155e-16
   -1.490000e+00    1.083022e+00    1.981017e-05   -4.363520e-06    1.519000e-07    2.924202e-14   -2.783994e-14   -1.849309e-16
   -1.485000e+00    1.083022e+00    1.959933e-05   -4.264996e-06    1.454766e-07    2.921291e-14   -2.780326e-14   -1.786753e-16
   -1.480000e+00    1.083022e+00    1.938765e-05   -4.167528e-06    1.393357e-07    2.918334e-14   -2.776579e-14   -1.726402e-16
   -1.475000e+00    1.083022e+00    1.917515e-05   -4.071121e-06    1.334625e-07    2.915329e-14   -2.772751e-14   -1.668174e-16
   -1.470000e+00    1.083022e+00    1.896184e-05   -3.975778e-06    1.278435e-07    2.912273e-14   -2.768838e-14   -1.611989e-16
   -1.465000e+00    1.083022e+00    1.874772e-05   -3.881504e-06    1.224658e-07    2.909163e-14   -2.764838e-14   -1.557772e-16
   -1.460000e+00    1.083022e+00    1.853281e-05   -3.788302e-06    1.173174e-07    2.905996e-14   -2.760748e-14   -1.505449e-16
   -1.455000e+00    1.083022e+00    1.831710e-05   -3.696177e-06    1.123868e-07    2.902770e-14   -2.756565e-14   -1.454950e-16
   -1.450000e+00    1.083022e+00    1.810060e-05   -3.605133e-06    1.076635e-07    2.899480e-14   -2.752287e-14   -1.406207e-16
