# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: 0C
# W = 2.0 um
# L = 1.62 um (1620 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Vov [V]
#         gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W             Vov
    2.353040e+00    7.846579e+00    1.012608e+01    4.011134e+08    9.454175e-09    4.490828e-10    8.837925e-09   -2.875791e+00
    2.377439e+00    8.177813e+00    1.000703e+01    4.010120e+08    9.442290e-09    4.344308e-10    8.836380e-09   -2.870791e+00
    2.402031e+00    8.526869e+00    9.888170e+00    4.008432e+08    9.430620e-09    4.201891e-10    8.834670e-09   -2.865791e+00
    2.426811e+00    8.894575e+00    9.769520e+00    4.006055e+08    9.419165e-09    4.063522e-10    8.832795e-09   -2.860791e+00
    2.451777e+00    9.281774e+00    9.651090e+00    4.002986e+08    9.407915e-09    3.929142e-10    8.830755e-09   -2.855791e+00
    2.476925e+00    9.689303e+00    9.532900e+00    3.999213e+08    9.396875e-09    3.798689e-10    8.828560e-09   -2.850791e+00
    2.502249e+00    1.011801e+01    9.414975e+00    3.994731e+08    9.386040e-09    3.672100e-10    8.826205e-09   -2.845791e+00
    2.527752e+00    1.056872e+01    9.297320e+00    3.989538e+08    9.375400e-09    3.549305e-10    8.823695e-09   -2.840791e+00
    2.553429e+00    1.104229e+01    9.179965e+00    3.983630e+08    9.364960e-09    3.430234e-10    8.821040e-09   -2.835791e+00
    2.579279e+00    1.153953e+01    9.062925e+00    3.977010e+08    9.354705e-09    3.314815e-10    8.818230e-09   -2.830791e+00
    2.605303e+00    1.206126e+01    8.946215e+00    3.969677e+08    9.344640e-09    3.202973e-10    8.815270e-09   -2.825791e+00
    2.631504e+00    1.260827e+01    8.829855e+00    3.961638e+08    9.334755e-09    3.094633e-10    8.812170e-09   -2.820791e+00
    2.657883e+00    1.318133e+01    8.713860e+00    3.952898e+08    9.325045e-09    2.989716e-10    8.808925e-09   -2.815791e+00
    2.684441e+00    1.378120e+01    8.598255e+00    3.943462e+08    9.315510e-09    2.888144e-10    8.805545e-09   -2.810791e+00
    2.711182e+00    1.440861e+01    8.483055e+00    3.933341e+08    9.306140e-09    2.789838e-10    8.802020e-09   -2.805791e+00
    2.738115e+00    1.506425e+01    8.368270e+00    3.922545e+08    9.296930e-09    2.694718e-10    8.798365e-09   -2.800791e+00
    2.765242e+00    1.574880e+01    8.253925e+00    3.911087e+08    9.287875e-09    2.602705e-10    8.794570e-09   -2.795791e+00
    2.792570e+00    1.646289e+01    8.140035e+00    3.898978e+08    9.278970e-09    2.513716e-10    8.790645e-09   -2.790791e+00
    2.820108e+00    1.720713e+01    8.026615e+00    3.886230e+08    9.270215e-09    2.427673e-10    8.786590e-09   -2.785791e+00
    2.847863e+00    1.798210e+01    7.913680e+00    3.872862e+08    9.261595e-09    2.344494e-10    8.782405e-09   -2.780791e+00
    2.875844e+00    1.878836e+01    7.801250e+00    3.858886e+08    9.253110e-09    2.264101e-10    8.778095e-09   -2.775791e+00
    2.904063e+00    1.962640e+01    7.689335e+00    3.844322e+08    9.244750e-09    2.186416e-10    8.773655e-09   -2.770791e+00
    2.932529e+00    2.049673e+01    7.577950e+00    3.829183e+08    9.236515e-09    2.111360e-10    8.769095e-09   -2.765791e+00
    2.961253e+00    2.139981e+01    7.467115e+00    3.813487e+08    9.228395e-09    2.038854e-10    8.764405e-09   -2.760791e+00
    2.990249e+00    2.233605e+01    7.356835e+00    3.797250e+08    9.220390e-09    1.968825e-10    8.759595e-09   -2.755791e+00
    3.019526e+00    2.330589e+01    7.247130e+00    3.780491e+08    9.212485e-09    1.901195e-10    8.754665e-09   -2.750791e+00
    3.049101e+00    2.430970e+01    7.138010e+00    3.763226e+08    9.204680e-09    1.835891e-10    8.749615e-09   -2.745791e+00
    3.078984e+00    2.534786e+01    7.029490e+00    3.745473e+08    9.196970e-09    1.772842e-10    8.744440e-09   -2.740791e+00
    3.109191e+00    2.642071e+01    6.921580e+00    3.727245e+08    9.189350e-09    1.711975e-10    8.739150e-09   -2.735791e+00
    3.139737e+00    2.752862e+01    6.814290e+00    3.708564e+08    9.181810e-09    1.653220e-10    8.733740e-09   -2.730791e+00
    3.170638e+00    2.867192e+01    6.707630e+00    3.689443e+08    9.174345e-09    1.596510e-10    8.728205e-09   -2.725791e+00
    3.201907e+00    2.985091e+01    6.601615e+00    3.669897e+08    9.166955e-09    1.541777e-10    8.722555e-09   -2.720791e+00
    3.233559e+00    3.106594e+01    6.496255e+00    3.649945e+08    9.159625e-09    1.488957e-10    8.716785e-09   -2.715791e+00
    3.265611e+00    3.231734e+01    6.391560e+00    3.629599e+08    9.152355e-09    1.437984e-10    8.710895e-09   -2.710791e+00
