# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: tt
# Temperature: 25C
# W = 2.0 um
# L = 5.76 um (5760 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Vov [V]
#         gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W             Vov
    2.142885e+00    5.815763e+00    3.313433e+00    3.211464e+07    3.518796e-08    3.187024e-09    3.236400e-08   -2.825600e+00
    2.165285e+00    6.050761e+00    3.277938e+00    3.216761e+07    3.511698e-08    3.093488e-09    3.236729e-08   -2.820600e+00
    2.187936e+00    6.300544e+00    3.242457e+00    3.221667e+07    3.504681e-08    3.001586e-09    3.236983e-08   -2.815600e+00
    2.210834e+00    6.566220e+00    3.206996e+00    3.226164e+07    3.497745e-08    2.911358e-09    3.237164e-08   -2.810600e+00
    2.233972e+00    6.848960e+00    3.171557e+00    3.230230e+07    3.490896e-08    2.822835e-09    3.237270e-08   -2.805600e+00
    2.257344e+00    7.150035e+00    3.136146e+00    3.233846e+07    3.484134e-08    2.736052e-09    3.237303e-08   -2.800600e+00
    2.280945e+00    7.470798e+00    3.100765e+00    3.236990e+07    3.477463e-08    2.651034e-09    3.237261e-08   -2.795600e+00
    2.304767e+00    7.812701e+00    3.065420e+00    3.239643e+07    3.470884e-08    2.567804e-09    3.237144e-08   -2.790600e+00
    2.328802e+00    8.177286e+00    3.030115e+00    3.241785e+07    3.464398e-08    2.486384e-09    3.236952e-08   -2.785600e+00
    2.353046e+00    8.566215e+00    2.994857e+00    3.243400e+07    3.458008e-08    2.406788e-09    3.236687e-08   -2.780600e+00
    2.377490e+00    8.981249e+00    2.959647e+00    3.244470e+07    3.451715e-08    2.329030e-09    3.236347e-08   -2.775600e+00
    2.402126e+00    9.424249e+00    2.924493e+00    3.244978e+07    3.445519e-08    2.253117e-09    3.235934e-08   -2.770600e+00
    2.426948e+00    9.897209e+00    2.889399e+00    3.244909e+07    3.439423e-08    2.179058e-09    3.235448e-08   -2.765600e+00
    2.451949e+00    1.040224e+01    2.854370e+00    3.244250e+07    3.433425e-08    2.106852e-09    3.234889e-08   -2.760600e+00
    2.477124e+00    1.094155e+01    2.819413e+00    3.242992e+07    3.427526e-08    2.036499e-09    3.234257e-08   -2.755600e+00
    2.502464e+00    1.151749e+01    2.784532e+00    3.241118e+07    3.421726e-08    1.967993e-09    3.233554e-08   -2.750600e+00
    2.527965e+00    1.213252e+01    2.749733e+00    3.238625e+07    3.416026e-08    1.901328e-09    3.232780e-08   -2.745600e+00
    2.553624e+00    1.278924e+01    2.715022e+00    3.235505e+07    3.410424e-08    1.836492e-09    3.231936e-08   -2.740600e+00
    2.579434e+00    1.349036e+01    2.680404e+00    3.231750e+07    3.404921e-08    1.773471e-09    3.231023e-08   -2.735600e+00
    2.605396e+00    1.423871e+01    2.645884e+00    3.227363e+07    3.399514e-08    1.712251e-09    3.230040e-08   -2.730600e+00
