# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: tt
# Temperature: 75 C
# W = 2.0 um
# L = 4.5 um (4500 nm)
# VDS = -0.6 V  (VSD = 0.6 V)
# Columns: vgs [V]  vth [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]
#            vgs             vth              gm              id             gds             cgg             cgs             cgd
   -1.800000e+00    9.493623e-01    1.558092e-05   -8.623631e-06    4.711789e-06    5.618860e-14   -5.018604e-14   -6.870030e-15
   -1.795000e+00    9.493623e-01    1.559222e-05   -8.545698e-06    4.588377e-06    5.606902e-14   -5.020736e-14   -6.702682e-15
   -1.790000e+00    9.493623e-01    1.560288e-05   -8.467710e-06    4.465568e-06    5.594990e-14   -5.042416e-14   -6.536822e-15
   -1.785000e+00    9.493623e-01    1.561285e-05   -8.389671e-06    4.343408e-06    5.583132e-14   -5.043782e-14   -6.372550e-15
   -1.780000e+00    9.493623e-01    1.562209e-05   -8.311583e-06    4.221948e-06    5.571334e-14   -5.045045e-14   -6.209960e-15
   -1.775000e+00    9.493623e-01    1.563056e-05   -8.233451e-06    4.101241e-06    5.559602e-14   -5.046203e-14   -6.049148e-15
   -1.770000e+00    9.493623e-01    1.563822e-05   -8.155279e-06    3.981343e-06    5.547942e-14   -5.047253e-14   -5.890204e-15
   -1.765000e+00    9.493623e-01    1.564502e-05   -8.077070e-06    3.862311e-06    5.536360e-14   -5.048194e-14   -5.733218e-15
   -1.760000e+00    9.493623e-01    1.565090e-05   -7.998830e-06    3.744207e-06    5.524862e-14   -5.049025e-14   -5.578275e-15
   -1.755000e+00    9.493623e-01    1.565582e-05   -7.920563e-06    3.627096e-06    5.513453e-14   -5.049742e-14   -5.425458e-15
   -1.750000e+00    9.493623e-01    1.565972e-05   -7.842273e-06    3.511044e-06    5.502140e-14   -5.050345e-14   -5.274844e-15
   -1.745000e+00    9.493623e-01    1.566254e-05   -7.763967e-06    3.396123e-06    5.490926e-14   -5.050832e-14   -5.126507e-15
   -1.740000e+00    9.493623e-01    1.566422e-05   -7.685650e-06    3.282404e-06    5.479818e-14   -5.051203e-14   -4.980519e-15
   -1.735000e+00    9.493623e-01    1.566470e-05   -7.607327e-06    3.169963e-06    5.468819e-14   -5.051455e-14   -4.836943e-15
   -1.730000e+00    9.493623e-01    1.566391e-05   -7.529005e-06    3.058877e-06    5.457935e-14   -5.051589e-14   -4.695841e-15
   -1.725000e+00    9.493623e-01    1.566179e-05   -7.450690e-06    2.949228e-06    5.447169e-14   -5.051602e-14   -4.557269e-15
   -1.720000e+00    9.493623e-01    1.565827e-05   -7.372390e-06    2.841096e-06    5.436524e-14   -5.051495e-14   -4.421277e-15
   -1.715000e+00    9.493623e-01    1.565329e-05   -7.294110e-06    2.734564e-06    5.426005e-14   -5.051267e-14   -4.287910e-15
   -1.710000e+00    9.493623e-01    1.564675e-05   -7.215859e-06    2.629718e-06    5.415615e-14   -5.050918e-14   -4.157210e-15
   -1.705000e+00    9.493623e-01    1.563861e-05   -7.137645e-06    2.526642e-06    5.405355e-14   -5.050447e-14   -4.029210e-15
   -1.700000e+00    9.493623e-01    1.562877e-05   -7.059476e-06    2.425421e-06    5.395230e-14   -5.049855e-14   -3.903940e-15
   -1.695000e+00    9.493623e-01    1.561718e-05   -6.981360e-06    2.326140e-06    5.385240e-14   -5.049141e-14   -3.781425e-15
   -1.690000e+00    9.493623e-01    1.560375e-05   -6.903307e-06    2.228882e-06    5.375387e-14   -5.048306e-14   -3.661684e-15
   -1.685000e+00    9.493623e-01    1.558843e-05   -6.825326e-06    2.133728e-06    5.365674e-14   -5.047349e-14   -3.544730e-15
   -1.680000e+00    9.493623e-01    1.557112e-05   -6.747426e-06    2.040759e-06    5.356100e-14   -5.046272e-14   -3.430571e-15
   -1.675000e+00    9.493623e-01    1.555178e-05   -6.669618e-06    1.950048e-06    5.346666e-14   -5.045074e-14   -3.319211e-15
